"","geneset","source","zeb_p","zeb_p3","zeb_p5","mouse_p","mouse_p3","mouse_p5","human_p","human_p3","human_p5","wilk_p","wilk_p3","wilk_p5","wilk_adj","wilk_adj3","wilk_adj5"
"1","HALLMARK_MITOTIC_SPINDLE","h",0.184140129901141,0.129603775149647,1,4.88088029576546e-07,1.94217478750234e-05,1.09468424203544e-05,3.10246248700841e-08,5.8887071840111e-08,0.000301025314823465,7.14689541293398e-13,1.13159821962967e-09,2.71794164929251e-07,7.45206784706626e-09,1.17991746360786e-05,0.0028339977577173
"2","HALLMARK_UV_RESPONSE_DN","h",0.0123530975120772,0.131731185106486,0.00812259317756845,8.50808315078056e-07,2.52395109605349e-05,0.000150241570322974,2.82536409804988e-06,2.41184323409701e-05,0.000226553525368577,2.39480017516797e-11,1.91106658378247e-09,1.53956243171817e-07,2.49705814264764e-07,1.99266912690998e-05,0.00160530174755253
"3","HALLMARK_HEME_METABOLISM","h",1,0.456985912828982,0.106320455381933,3.28058146320242e-06,1.59437089212251e-05,0.000925882333051263,0.00013536795293976,2.57923120647204e-05,0.0121864494548548,5.49684869538842e-08,1.995695768603e-09,0.000441909042690223,0.000573156413468151,2.08091197792234e-05,1
"4","KEGG_ERBB_SIGNALING_PATHWAY","c2",0.0124400088823904,0.0474512503749156,0.0266981933311497,0.00119003173172626,0.000434981837315198,0.0297415220077173,1.18557787481367e-08,1.44562867781666e-08,0.00504033565607859,4.24515597992722e-06,5.6746299125246e-07,0.00210031998265639,0.0442642414027011,0.0059169366097894,1
"5","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM","c2",0.425224063686941,0.37354772249029,0.0754326612173665,0.000529695033936506,0.00279057662185402,0.000269890327794264,3.93111851590556e-05,4.56245643716726e-06,0.318759061655772,8.41433246625095e-07,2.33184914328553e-05,0.0162118224188531,0.00877362446255987,0.243141910170382,1
"6","KEGG_ENDOCYTOSIS","c2",0.899517308738299,0.775727658938196,1,0.000673040929955431,7.10134107428274e-05,0.475780938988419,0.00706411208690215,0.000553392837412389,0.593422756303929,0.000149000016613247,9.18391951432546e-07,0.638503382061771,1,0.00957607287758716,1
"7","KEGG_WNT_SIGNALING_PATHWAY","c2",0.380859267244699,0.619557078017463,0.0754757189799303,0.000123815407340689,7.86326579241712e-05,0.0638278867462255,3.11401889690276e-05,8.06588193692196e-06,0.259862660842099,4.59869690412634e-08,1.8548312290288e-08,0.0162298448968745,0.000479506126193254,0.000193403252250833,1
"8","KEGG_AXON_GUIDANCE","c2",0.768617598370441,0.619557078017463,0.537729334756285,0.00381935803043486,0.000652644895418937,0.780314836166235,6.25978672847646e-06,2.29927432781007e-05,0.0118922327218933,4.36510575557565e-05,1.27728009641995e-06,0.556486586514551,0.455149577133873,0.0133181995653709,1
"9","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","c2",0.00322567095707188,0.0387672418383054,0.000609530554683891,0.185961175844844,0.231121777189218,0.0344559656734737,2.9521141442219e-08,1.88738954215749e-07,0.00106488577789929,3.11477334596921e-05,0.00439217061818389,3.39953003790451e-06,0.32477741678421,1,0.0354468997052303
"10","KEGG_INSULIN_SIGNALING_PATHWAY","c2",0.447229514117946,0.170065269130133,1,0.00011141168321187,0.000233270038442663,0.0043734044006708,1.1998237798837e-07,1.42493082174317e-07,0.00165330387084285,3.72349236591978e-08,1.63219345768439e-07,5.72127008644579e-05,0.000388248548994455,0.00170188811832751,0.596556831913703
"11","KEGG_MELANOGENESIS","c2",0.397509212859121,0.445204625448701,0.17300301816978,0.000448945141999845,0.00026124400109215,0.115917666594218,0.000693540882510794,6.93813223226699e-05,1,1.44232968226109e-06,2.04709625335052e-07,0.0794341568932845,0.0150391715969364,0.00213450726336858,1
"12","KEGG_PATHWAYS_IN_CANCER","c2",0.0216092639790221,0.172270503938069,0.000234310632859267,9.8489531239934e-08,4.69913019511317e-05,1.17851830778937e-07,2.75222543798669e-12,1.75835043407994e-10,1.01320085067408e-05,2.9100561380852e-14,6.6243398464499e-09,3.07970708886727e-10,3.03431553518143e-10,6.90719915789331e-05,3.2112105815619e-06
"13","KEGG_RENAL_CELL_CARCINOMA","c2",0.000250341243642884,0.00801108005159249,9.25098677435333e-05,0.011258461216651,0.0226523779650494,0.0128414109474535,1.02363196401811e-05,0.000423438279465853,0.00220359118473507,1.87980836664882e-07,0.000191503950143695,1.45460418699937e-05,0.00196007618390472,1,0.151671578578425
"14","KEGG_GLIOMA","c2",3.90250962424342e-05,0.00243065508636462,3.86429235925405e-06,0.00418286282042851,0.00868994621611913,0.00764917770226545,1.56779919942408e-05,3.84265489712944e-06,0.157072630003438,4.56875554301802e-09,1.76955314170363e-05,0.000174634653018985,4.76384140470489e-05,0.184511306085437,1
"15","KEGG_NON_SMALL_CELL_LUNG_CANCER","c2",0.0063610885490588,0.0830866564618426,0.00359645558354036,0.00352889071261729,0.000715759039767778,0.157814796047495,0.00044664417800939,0.000156975189200554,0.443476384412833,3.72713179410449e-05,1.53619962656472e-06,0.0668556136391865,0.388628032171276,0.0160179535061903,1
"16","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS","c2",0.000342796251042967,0.00354487000824156,0.118696434555257,0.203002921613378,0.377083838153745,0.528136089069655,1.49361907353149e-07,6.72578389613227e-06,0.00690609644685777,3.52447245713087e-07,3.76092197200402e-05,0.0389219397294042,0.00367496743105036,0.392151334020859,1
"17","BIOCARTA_CARM_ER_PATHWAY","c2",0.0506047809703358,0.442302516538362,0.0220341052323832,4.74319018293266e-05,0.000318504317485341,0.000329198697024677,0.00425064408994833,0.000551268351242316,1,5.40503244744105e-05,9.11355327873919e-07,0.00143511018496301,0.563582733294679,0.00950270200374135,1
"18","BIOCARTA_CCR3_PATHWAY","c2",0.333801538615965,0.45049737748181,0.446137591393018,0.00123236944630734,0.0155930975136946,0.000965062653541973,0.000476506144886447,0.0157481152083699,0.00271188482832324,4.55246007270374e-06,0.000736198234039321,2.20230698322848e-05,0.0474685011780819,1,0.229634549141234
"19","BIOCARTA_SHH_PATHWAY","c2",1,1,1,0.00177929664659496,0.283979391417907,4.33726359836193e-05,0.00109531384955038,0.0117629072868783,0.000249466473184924,9.48642353149902e-06,0.196130248761343,1.86669513375857e-07,0.0989149381629403,1,0.00194640301597006
"20","PID_ERBB4_PATHWAY","c2",0.00217270655389152,0.000316885059554142,1,0.139401855100398,0.0945061754927648,0.433310819453349,0.000456724512462575,0.000778442426697868,0.124368965213231,1.41414481172029e-05,1.81697440546909e-06,0.400559422345522,0.147452879518075,0.0189455921258262,1
"21","PID_RHOA_REG_PATHWAY","c2",0.797286482829749,0.770066770021249,0.619515092603498,1.10030246471066e-05,0.00173504892579605,2.75815134489089e-06,5.98215847191988e-05,4.45509298150248e-05,0.0211041516820087,1.07354378372707e-08,9.02073796027724e-06,0.00131735670024733,0.000111938410329222,0.0940592347118108,1
"22","PID_MAPK_TRK_PATHWAY","c2",0.000308142847666636,0.000798464740327634,0.0986129229519069,0.127698860189629,0.152156069559817,0.254146963482431,1.9932601154495e-05,2.34005595613896e-06,0.24417284239959,2.84797526135988e-07,1.9116197087301e-06,0.149745777079285,0.00296958380501995,0.0199324587029287,1
"23","REACTOME_SIGNALING_BY_RHO_GTPASES","c2",0.494940276261469,1,0.0634579173891914,1.55439031652322e-05,1.12176155934997e-05,0.0232895061232301,5.28901673867824e-16,1.54617689157295e-10,1.9866165895738e-13,7.24831265614504e-10,3.77501875675518e-10,0.00160193877912381,7.55781560656243e-06,3.93621205766862e-06,1
"24","REACTOME_SIGNALING_BY_WNT","c2",0.237236624095916,0.184185844508362,1,1.99293870630492e-05,3.8547120417457e-06,0.102530863325962,0.000967042919489629,0.000533718767060046,0.0613798407217756,2.80370732146713e-06,8.54263101246483e-07,0.029382006420317,0.0292342562409378,0.00890740135669708,1
