Source	Target
TTGCWCAAY_CEBPB_02	ENSDARG00000009418
TTGCWCAAY_CEBPB_02	ENSDARG00000029764
TTGCWCAAY_CEBPB_02	ENSDARG00000077842
TTGCWCAAY_CEBPB_02	ENSDARG00000040184
TTGCWCAAY_CEBPB_02	ENSDARG00000026723
TTGCWCAAY_CEBPB_02	ENSDARG00000033498
TTGCWCAAY_CEBPB_02	ENSDARG00000071168
TTGCWCAAY_CEBPB_02	ENSDARG00000069356
TTGCWCAAY_CEBPB_02	ENSDARG00000075899
TTGCWCAAY_CEBPB_02	ENSDARG00000111712
TTGCWCAAY_CEBPB_02	ENSDARG00000090624
TTGCWCAAY_CEBPB_02	ENSDARG00000055543
TTGCWCAAY_CEBPB_02	ENSDARG00000104279
TTGCWCAAY_CEBPB_02	ENSDARG00000005416
TTGCWCAAY_CEBPB_02	ENSDARG00000077948
TTGCWCAAY_CEBPB_02	ENSDARG00000077749
TTGCWCAAY_CEBPB_02	ENSDARG00000051783
TTGCWCAAY_CEBPB_02	ENSDARG00000087517
TTGCWCAAY_CEBPB_02	ENSDARG00000014181
TTGCWCAAY_CEBPB_02	ENSDARG00000004843
TTGCWCAAY_CEBPB_02	ENSDARG00000029556
TTGCWCAAY_CEBPB_02	ENSDARG00000101947
TTGCWCAAY_CEBPB_02	ENSDARG00000015901
TTGCWCAAY_CEBPB_02	ENSDARG00000099455
TTGCWCAAY_CEBPB_02	ENSDARG00000105243
TTGCWCAAY_CEBPB_02	ENSDARG00000077839
TTGCWCAAY_CEBPB_02	ENSDARG00000036868
TTGCWCAAY_CEBPB_02	ENSDARG00000017661
TTGCWCAAY_CEBPB_02	ENSDARG00000027915
TTGCWCAAY_CEBPB_02	ENSDARG00000055022
TTGCWCAAY_CEBPB_02	ENSDARG00000104361
TTGCWCAAY_CEBPB_02	ENSDARG00000104243
TTGCWCAAY_CEBPB_02	ENSDARG00000006640
TTGCWCAAY_CEBPB_02	ENSDARG00000061896
TTGCWCAAY_CEBPB_02	ENSDARG00000042387
TTGCWCAAY_CEBPB_02	ENSDARG00000061656
TTGCWCAAY_CEBPB_02	ENSDARG00000058873
TTGCWCAAY_CEBPB_02	ENSDARG00000068983
TTGCWCAAY_CEBPB_02	ENSDARG00000086490
TTGCWCAAY_CEBPB_02	ENSDARG00000015176
TTGCWCAAY_CEBPB_02	ENSDARG00000020758
TTGCWCAAY_CEBPB_02	ENSDARG00000001975
TTGCWCAAY_CEBPB_02	ENSDARG00000009899
TTGCWCAAY_CEBPB_02	ENSDARG00000002071
TTGCWCAAY_CEBPB_02	ENSDARG00000068934
TTGCWCAAY_CEBPB_02	ENSDARG00000076928
TTGCWCAAY_CEBPB_02	ENSDARG00000058011
TTGCWCAAY_CEBPB_02	ENSDARG00000101523
TTGCWCAAY_CEBPB_02	ENSDARG00000036870
TTGCWCAAY_CEBPB_02	ENSDARG00000003616
TTGCWCAAY_CEBPB_02	ENSDARG00000039806
TTGCWCAAY_CEBPB_02	ENSDARG00000003952
TTGCWCAAY_CEBPB_02	ENSDARG00000012682
