Source	Target
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000205307
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000164692
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000112561
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000177302
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000284238
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000076716
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000137364
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000164292
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000113658
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000176170
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000156103
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000104936
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000197429
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000140836
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000132330
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000145819
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000230989
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000211455
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000006652
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000142541
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000011304
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000150907
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000147862
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000089234
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000099326
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000101361
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000080839
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000204592
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000233904
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000225201
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000206493
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000229252
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000236632
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000230254
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000182199
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000114098
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000166147
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000029725
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000118418
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000198911
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000076321
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000139613
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000104763
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000011243
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000082641
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000139644
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000249437
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000276068
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000278613
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000198033
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000101972
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000160271
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000183479
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000173786
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000135114
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000137161
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000125482
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000118515
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000160310
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000197892
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000077782
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000107331
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000006611
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000170525
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000196954
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000142945
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000145451
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000169925
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000104880
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000268861
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000125386
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000068078
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000140575
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000111537
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000167995
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000165689
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000155657
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000077327
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000079557
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000130313
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000110723
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000010704
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000177600
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000176463
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000078674
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000151748
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000170776
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000069702
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000100034
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000121281
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000158373
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000166833
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000044115
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000058056
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000006638
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000073737
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000085719
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000110047
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000187109
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000174807
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000071859
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000141458
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000130713
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000167759
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000172262
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000113712
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000125676
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000104969
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000118007
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000170759
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000185650
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000105963
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000196329
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000111596
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000127603
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000100206
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000188372
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000135643
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000138646
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000166326
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000115657
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000072501
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000265972
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000167978
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000163939
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000070756
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000214021
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000132952
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000212710
