Id	text	size	colour
TTGCWCAAY_CEBPB_02	TTGCWCAAY_CEBPB_02	2	#FF0000FF
TGANTCA_AP1_C	TGANTCA_AP1_C	2	#FF3B00FF
YRTCANNRCGC_UNKNOWN	YRTCANNRCGC_UNKNOWN	2	#FF7600FF
TGGAAA_NFAT_Q4_01	TGGAAA_NFAT_Q4_01	2	#FFB100FF
KEGG_GLIOMA	KEGG_GLIOMA	2	#FFEB00FF
PID_BETA_CATENIN_NUC_PATHWAY	PID_BETA_CATENIN_NUC_PATHWAY	2	#D8FF00FF
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	2	#9DFF00FF
WTGAAAT_UNKNOWN	WTGAAAT_UNKNOWN	2	#62FF00FF
GO_INTRACELLULAR_SIGNAL_TRANSDUCTION	GO_INTRACELLULAR_SIGNAL_TRANSDUCTION	2	#27FF00FF
CTACTAG_MIR325	CTACTAG_MIR325	2	#00FF14FF
TGGNNNNNNKCCAR_UNKNOWN	TGGNNNNNNKCCAR_UNKNOWN	2	#00FF4EFF
GO_POSTSYNAPTIC_MEMBRANE	GO_POSTSYNAPTIC_MEMBRANE	2	#00FF89FF
GO_SYNAPTIC_MEMBRANE	GO_SYNAPTIC_MEMBRANE	2	#00FFC4FF
GO_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	GO_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	2	#00FFFFFF
TNCATNTCCYR_UNKNOWN	TNCATNTCCYR_UNKNOWN	2	#00C4FFFF
ENSDARG00000009418	NA	1	NA
ENSDARG00000029764	NA	1	NA
ENSDARG00000077842	NA	1	NA
ENSDARG00000040184	NA	1	NA
ENSDARG00000026723	NA	1	NA
ENSDARG00000033498	NA	1	NA
ENSDARG00000071168	NA	1	NA
ENSDARG00000069356	NA	1	NA
ENSDARG00000075899	NA	1	NA
ENSDARG00000111712	NA	1	NA
ENSDARG00000090624	NA	1	NA
