TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	-	0.0045902053285896	-5.3838305220127	393	83	0.049141503848431	1689	10485	23095,9651,157,6305,3667,11078,23362,53358,84632,23371,5338,9910,131583,26030,5902,113026,51196,547,6452,6093,160851,9462,23164,5330,199786,8853,116985,55701,57731,440073,9459,10818,1785,23637,10087,23542,23229,8527,23035,27237,9855,65977,9475,1894,29,4478,64097,23365,23370,9267,25977,50649,50618,114876,54545,8476,26119,84725,5774,7145,57669,8498,66036,84249,57636,79674,55616,8874,144717,5784,25759,5170,64855,5334,114881,23550,25970,129880,9846,6654,116986,50807,23263	KIF1B,PLCH2,GRK3,SBF1,IRS1,TRIOBP,PSD3,SHC3,AFAP1L2,TNS2,PLD2,RABGAP1L,FAM43A,PLEKHG3,RANBP1,PLCD3,PLCE1,KIF1A,SH3BP2,ROCK1,DGKH,RASAL2,MPRIP,PLCB2,FAM129C,ASAP2,ARAP1,ARHGEF40,SPTBN4,IQSEC3,ARHGEF6,FRS2,DNM2,RABGAP1,COL4A3BP,MAPK8IP2,ARHGEF9,DGKD,PHLPP2,ARHGEF16,FARP2,PLEKHA3,ROCK2,ECT2,ABR,MSN,EPB41L4A,ARHGEF12,ARHGEF18,CYTH1,NECAP1,ARHGEF4,ITSN2,OSBPL1A,MTMR12,CDC42BPA,LDLRAP1,PLEKHA8,PTPN3,TNS1,EPB41L5,RANBP3,MTMR9,PSD2,ARHGAP23,VEPH1,ASAP3,ARHGEF7,FAM109A,PTPN14,SHC2,PDPK1,FAM129B,PLCL1,OSBPL7,PSD4,SH2B1,BBS5,GAB2,SOS1,AGAP2,ASAP1,MCF2L
2.130.10.10	-	0.00477217965397231	-5.34495212793368	334	72	0.0426287744227353	1689	10485	6272,29062,254065,115825,54014,8482,146845,7011,59345,57715,51343,27072,9515,57175,57556,9184,10681,256364,9742,1762,84321,80344,9948,10507,3993,9639,120892,57521,987,10885,23001,79819,10607,54806,1130,161436,10238,55250,56995,57539,55062,84942,22898,5928,26094,23105,9723,29919,49856,80031,55234,1477,9013,284434,8439,57599,23046,80335,89849,10517,284403,114987,26100,89891,2782,121441,54584,149465,55558,54461,55135,79269	SORT1,WDR91,BRWD3,WDFY2,BRWD1,SEMA7A,CFAP52,TEP1,GNB4,SEMA4G,FZR1,VPS41,STXBP5L,CORO1B,SEMA6A,BUB3,GNB5,EML3,IFT140,DMWD,THOC3,DCAF11,WDR1,SEMA4D,LLGL2,ARHGEF10,LRRK2,RPTOR,LRBA,WDR3,WDFY3,WDR78,TBL3,AHI1,LYST,EML5,DCAF7,ELP2,TULP4,WDR35,WIPI1,WDR73,DENND3,RBBP4,DCAF4,FSTL4,SEMA3E,C18orf8,WRAP73,SEMA6D,SMU1,CSTF1,TAF1C,NWD1,NSMAF,WDR48,KIF21B,WDR82,ATG16L2,FBXW10,WDR62,WDR31,WIPI2,WDR34,GNB1,NEDD1,GNB1L,CFAP57,PLXNA3,FBXW5,WRAP53,DCAF10
3.60.40.10	-	0.00910359516799805	-4.6990858700739	20	8	0.00473653049141504	1689	10485	5494,10454,22843,152926,147699,132160,23035,9647	PPM1A,TAB1,PPM1E,PPM1K,PPM1N,PPM1M,PHLPP2,PPM1F
2.60.40.640	-	0.0155893759439686	-4.16116562596518	7	4	0.00236826524570752	1689	10485	6295,57561,408,27106	SAG,ARRDC3,ARRB1,ARRDC2
2.60.120.290	-	0.0174499570345165	-4.04841809254209	53	15	0.0088809946714032	1689	10485	285761,401944,64478,8455,83999,114784,8829,124925,80310,8828,164656,51279,80274,649,6768	DCBLD1,LDLRAD2,CSMD1,ATRN,KREMEN1,CSMD2,NRP1,SEZ6,PDGFD,NRP2,TMPRSS6,C1RL,SCUBE1,BMP1,ST14
3.40.800.20	-	0.0212678494645973	-3.85055876138855	11	5	0.0029603315571344	1689	10485	3065,55869,9759,10013,9734	HDAC1,HDAC8,HDAC4,HDAC6,HDAC9
3.30.530.20	-	0.0226762869761908	-3.78643552709695	23	8	0.00473653049141504	1689	10485	26027,9754,5306,10087,58488,23760,57605,57519	ACOT11,STARD8,PITPNA,COL4A3BP,PCTP,PITPNB,PITPNM2,STARD9
1.10.1000.11	-	0.0233502272810857	-3.75714856124926	15	6	0.00355239786856128	1689	10485	84249,9267,440073,10564,23550,23362	PSD2,CYTH1,IQSEC3,ARFGEF2,PSD4,PSD3
3.30.1490.20	-	0.0233502272810857	-3.75714856124926	15	6	0.00355239786856128	1689	10485	56922,284716,6854,8803,2618,5095	MCCC1,RIMKLA,SYN2,SUCLA2,GART,PCCA
4.10.260.20	-	0.0259362178164404	-3.65211491579612	2	2	0.00118413262285376	1689	10485	64428,26502	NARFL,NARF
3.40.1180.10	-	0.0259362178164404	-3.65211491579612	2	2	0.00118413262285376	1689	10485	79947,116150	DHDDS,NUS1
3.30.1490.120	-	0.0259362178164404	-3.65211491579612	2	2	0.00118413262285376	1689	10485	171568,5436	POLR3H,POLR2G
3.90.520.10	-	0.0272440454240439	-3.60292029829995	8	4	0.00236826524570752	1689	10485	4087,4089,4091,4088	SMAD2,SMAD4,SMAD6,SMAD3
2.30.29.40	-	0.0272440454240439	-3.60292029829995	8	4	0.00236826524570752	1689	10485	987,23001,8439,1130	LRBA,WDFY3,NSMAF,LYST
2.60.40.150	-	0.0292558236316295	-3.5316766266045	148	33	0.019538188277087	1689	10485	5334,255928,9699,5578,23025,55841,11060,127833,4734,9462,54843,57520,5330,23322,5582,5290,5579,8895,55784,255189,8681,51196,113026,50618,140730,90342,9651,83851,9783,11231,57699,6861,29	PLCL1,SYT14,RIMS2,PRKCA,UNC13A,WWC3,WWP2,SYT2,NEDD4,RASAL2,SYTL2,HECW2,PLCB2,RPGRIP1L,PRKCG,PIK3CA,PRKCB,CPNE3,MCTP2,PLA2G4F,JMJD7-PLA2G4B,PLCE1,PLCD3,ITSN2,RIMS4,FER1L5,PLCH2,SYT16,RIMS3,SEC63,CPNE5,SYT5,ABR
