TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR02107	INOS145TPRIP	0.00298260781557038	-5.81495725525065	3	3	0.00440528634361234	681	4725	162073,150771,85450	ITPRIPL2,ITPRIPL1,ITPRIP
PR01857	ADAMTSFAMILY	0.0043758340041339	-5.43165814782374	24	9	0.013215859030837	681	4725	56999,170689,170691,339366,9509,11174,92949,9719,11093	ADAMTS9,ADAMTS15,ADAMTS17,ADAMTSL5,ADAMTS2,ADAMTS6,ADAMTSL1,ADAMTSL2,ADAMTS13
PR01084	NAHEXCHNGR	0.00466838750037903	-5.36694155592537	9	5	0.00734214390602056	681	4725	6548,6549,6550,6553,23315	SLC9A1,SLC9A2,SLC9A3,SLC9A5,SLC9A8
PR01768	TRPVRECEPTOR	0.0106456738931346	-4.54260167656861	4	3	0.00440528634361234	681	4725	162514,7442,59341	TRPV3,TRPV1,TRPV4
PR00381	KINESINLIGHT	0.0106456738931346	-4.54260167656861	4	3	0.00440528634361234	681	4725	64837,89953,3831	KLC2,KLC4,KLC1
PR01270	HDASUPER	0.0133382905863296	-4.31711638865984	11	5	0.00734214390602056	681	4725	10013,3065,9734,9759,55869	HDAC6,HDAC1,HDAC9,HDAC4,HDAC8
PR00405	REVINTRACTNG	0.0135572427728067	-4.30083435248406	28	9	0.013215859030837	681	4725	9815,3268,3267,55616,116986,8853,28964,116985,50807	GIT2,AGFG2,AGFG1,ASAP3,AGAP2,ASAP2,GIT1,ARAP1,ASAP1
PR01087	NAHEXCHNGR3	0.0207464752767502	-3.87537891291504	2	2	0.00293685756240822	681	4725	6553,6550	SLC9A5,SLC9A3
PR01503	TREACLE	0.0207464752767502	-3.87537891291504	2	2	0.00293685756240822	681	4725	11168,6949	PSIP1,TCOF1
PR01838	NCAMFAMILY	0.0207464752767502	-3.87537891291504	2	2	0.00293685756240822	681	4725	4685,4684	NCAM2,NCAM1
PR01884	MALPROTEIN	0.0237707644048109	-3.73929883974213	5	3	0.00440528634361234	681	4725	4118,114569,51090	MAL,MAL2,PLLP
PR00391	PITRANSFER	0.0237707644048109	-3.73929883974213	5	3	0.00440528634361234	681	4725	23760,5306,57605	PITPNB,PITPNA,PITPNM2
PR00503	BROMODOMAIN	0.0391186315114139	-3.24115641624197	33	9	0.013215859030837	681	4725	55193,8019,7862,54014,2648,254065,8805,6597,6595	PBRM1,BRD3,BRPF1,BRWD1,KAT2A,BRWD3,TRIM24,SMARCA4,SMARCA2
PR00404	MADSDOMAIN	0.0425036796051309	-3.15816462785525	6	3	0.00440528634361234	681	4725	4208,6722,4209	MEF2C,SRF,MEF2D
PR00176	NANEUSMPORT	0.0450373217482334	-3.10026376076792	19	6	0.00881057268722467	681	4725	6534,340024,6530,9152,6532,6529	SLC6A7,SLC6A19,SLC6A2,SLC6A5,SLC6A4,SLC6A1
PR00007	COMPLEMNTC1Q	0.0474229617048134	-3.04864874342443	29	8	0.0117474302496329	681	4725	1295,114898,390664,1300,165257,22915,65981,10882	COL8A1,C1QTNF2,C1QTNF8,COL10A1,C1QL2,MMRN1,CAPRIN2,C1QL1
PR00390	PHPHLIPASEC	0.0530122468741027	-2.93723231902701	15	5	0.00734214390602056	681	4725	51196,113026,5330,5334,9651	PLCE1,PLCD3,PLCB2,PLCL1,PLCH2
PR01760	DISHEVELLED	0.0562742101993243	-2.8775189269511	3	2	0.00293685756240822	681	4725	1857,1856	DVL3,DVL2
PR01939	NTKRECEPTOR	0.0562742101993243	-2.8775189269511	3	2	0.00293685756240822	681	4725	4915,4916	NTRK2,NTRK3
PR01444	LATROPHILIN	0.0562742101993243	-2.8775189269511	3	2	0.00293685756240822	681	4725	23284,22859	ADGRL3,ADGRL1
PR00428	PROSTAGLNDNR	0.0562742101993243	-2.8775189269511	3	2	0.00293685756240822	681	4725	5734,5733	PTGER4,PTGER3
PR01629	TVDCCALPHA1	0.0562742101993243	-2.8775189269511	3	2	0.00293685756240822	681	4725	8912,8913	CACNA1H,CACNA1G
PR00244	NEUROKININR	0.0562742101993243	-2.8775189269511	3	2	0.00293685756240822	681	4725	6870,6869	TACR3,TACR1
PR00415	ACONITASE	0.0562742101993243	-2.8775189269511	3	2	0.00293685756240822	681	4725	50,48	ACO2,ACO1
PR01494	KV9CHANNEL	0.0665658888624681	-2.70956301188661	7	3	0.00440528634361234	681	4725	93107,3788,3787	KCNG4,KCNS2,KCNS1
PR00683	SPECTRINPH	0.0665658888624681	-2.70956301188661	7	3	0.00440528634361234	681	4725	84249,23550,57731	PSD2,PSD4,SPTBN4
PR00747	GLYHDRLASE47	0.0665658888624681	-2.70956301188661	7	3	0.00440528634361234	681	4725	80267,9695,57134	EDEM3,EDEM1,MAN1C1
PR00319	GPROTEINB	0.0665658888624681	-2.70956301188661	7	3	0.00440528634361234	681	4725	59345,10681,2782	GNB4,GNB5,GNB1
PR01320	KIRCHANNEL	0.0682914431417852	-2.68397080368322	16	5	0.00734214390602056	681	4725	3766,3763,3768,3772,3758	KCNJ10,KCNJ6,KCNJ12,KCNJ15,KCNJ1
PR00008	DAGPEDOMAIN	0.0701937480430685	-2.65649603113193	21	6	0.00881057268722467	681	4725	5579,5584,673,25780,5578,5582	PRKCB,PRKCI,BRAF,RASGRP3,PRKCA,PRKCG
PR00053	FORKHEAD	0.0753508205212182	-2.58560046450352	48	11	0.0161527165932452	681	4725	93986,221937,3607,22887,399823,1112,121643,3344,2300,2309,116113	FOXP2,FOXK1,FOXK2,FOXJ3,FOXI2,FOXN3,FOXN4,FOXN2,FOXL1,FOXO3,FOXP4
PR00025	ANTENNAPEDIA	0.0815905266989773	-2.50604211812683	12	4	0.00587371512481645	681	4725	3651,3203,3214,3201	PDX1,HOXA6,HOXB4,HOXA4
PR01415	ANKYRIN	0.0825037071462622	-2.49491205154485	113	22	0.0323054331864905	681	4725	51130,114876,23253,287,26115,51479,374569,10116,51665,79813,147463,91526,22852,283373,286,26057,203286,85461,388468,100302652,8658,102724631	ASB3,OSBPL1A,ANKRD12,ANK2,TANC2,ANKFY1,ASPG,FEM1B,ASB1,EHMT1,ANKRD29,ANKRD44,ANKRD26,ANKRD52,ANK1,ANKRD17,ANKS6,TANC1,POTEC,GPR75-ASB3,TNKS,POTEB3
PR01491	KVCHANNEL	0.0826437180928696	-2.4932164637396	27	7	0.0102790014684288	681	4725	3745,93107,3749,3787,3788,3750,3746	KCNB1,KCNG4,KCNC4,KCNS1,KCNS2,KCND1,KCNC1
PR00320	GPROTEINBRPT	0.0882350569141886	-2.42775092425753	84	17	0.0249632892804699	681	4725	80335,9948,9184,114987,10607,2782,84321,10517,89849,57599,5928,10885,55234,59345,10681,80344,115825	WDR82,WDR1,BUB3,WDR31,TBL3,GNB1,THOC3,FBXW10,ATG16L2,WDR48,RBBP4,WDR3,SMU1,GNB4,GNB5,DCAF11,WDFY2
PR00169	KCHANNEL	0.0917388016488273	-2.38880985237033	33	8	0.0117474302496329	681	4725	3745,3785,3750,3787,93107,3746,3749,3788	KCNB1,KCNQ2,KCND1,KCNS1,KCNG4,KCNC1,KCNC4,KCNS2
PR01271	HISDACETLASE	0.101902746506265	-2.2837363861602	4	2	0.00293685756240822	681	4725	55869,3065	HDAC8,HDAC1
PR00384	OPIOIDR	0.101902746506265	-2.2837363861602	4	2	0.00293685756240822	681	4725	4985,4988	OPRD1,OPRM1
PR00626	CALRETICULIN	0.101902746506265	-2.2837363861602	4	2	0.00293685756240822	681	4725	811,821	CALR,CANX
PR00991	6PFRUCTKNASE	0.101902746506265	-2.2837363861602	4	2	0.00293685756240822	681	4725	5209,5208	PFKFB3,PFKFB2
PR00629	SHCPIDOMAIN	0.101902746506265	-2.2837363861602	4	2	0.00293685756240822	681	4725	25759,53358	SHC2,SHC3
PR00834	PROTEASES2C	0.101902746506265	-2.2837363861602	4	2	0.00293685756240822	681	4725	94031,203100	HTRA3,HTRA4
PR00309	ARRESTIN	0.101902746506265	-2.2837363861602	4	2	0.00293685756240822	681	4725	6295,408	SAG,ARRB1
PR00442	GPROTEINAQ	0.101902746506265	-2.2837363861602	4	2	0.00293685756240822	681	4725	9630,2767	GNA14,GNA11
PR00065	TEADOMAIN	0.101902746506265	-2.2837363861602	4	2	0.00293685756240822	681	4725	7005,7003	TEAD3,TEAD1
PR01773	P38MAPKINASE	0.101902746506265	-2.2837363861602	4	2	0.00293685756240822	681	4725	1432,6300	MAPK14,MAPK12
PR00962	LETHAL2GIANT	0.101902746506265	-2.2837363861602	4	2	0.00293685756240822	681	4725	9515,3993	STXBP5L,LLGL2
PR01498	SHAWCHANNEL	0.101902746506265	-2.2837363861602	4	2	0.00293685756240822	681	4725	3749,3746	KCNC4,KCNC1
PR00321	GPROTEING	0.10495530855377	-2.25422065225321	13	4	0.00587371512481645	681	4725	2790,2786,552891,2791	GNG10,GNG4,DNAJC25-GNG10,GNG11
PR01185	INTEGRINA	0.105279340472319	-2.2511380759354	18	5	0.00734214390602056	681	4725	3679,3675,3685,3655,3674	ITGA7,ITGA3,ITGAV,ITGA6,ITGA2B
PR00625	JDOMAIN	0.111648764729926	-2.19239736452855	40	9	0.013215859030837	681	4725	285126,25822,150353,552891,11231,54788,54431,5611,56521	DNAJC5G,DNAJB5,DNAJB7,DNAJC25-GNG10,SEC63,DNAJB12,DNAJC10,DNAJC3,DNAJC12
PR00360	C2DOMAIN	0.120271525005586	-2.11800338388978	24	6	0.00881057268722467	681	4725	6861,127833,5579,5578,23025,5582	SYT5,SYT2,PRKCB,PRKCA,UNC13A,PRKCG
PR00465	EP450IV	0.128345160187527	-2.05303208030328	9	3	0.00440528634361234	681	4725	5740,1582,340665	PTGIS,CYP8B1,CYP26C1
PR00027	PAIREDBOX	0.128345160187527	-2.05303208030328	9	3	0.00440528634361234	681	4725	5077,5079,5080	PAX3,PAX5,PAX6
PR00398	STRDHORMONER	0.129381472661368	-2.04499008598118	47	10	0.0146842878120411	681	4725	2101,7067,7421,2099,6096,5914,5465,367,8431,3172	ESRRA,THRA,VDR,ESR1,RORB,RARA,PPARA,AR,NR0B2,HNF4A
PR00783	MINTRINSICP	0.130965487505325	-2.03282144464895	14	4	0.00587371512481645	681	4725	653437,359,358,363	AQP12B,AQP2,AQP1,AQP6
PR00935	BAND41	0.14005565764074	-1.9657153808	25	6	0.00881057268722467	681	4725	64097,4478,57669,9855,5784,5774	EPB41L4A,MSN,EPB41L5,FARP2,PTPN14,PTPN3
PR00557	ADRENRGCA1AR	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	148	ADRA1A
PR01906	FISHGLOBIN	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	114757	CYGB
PR00604	CYTCHRMECIAB	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	54205	CYCS
PR01024	NEUROKININ1R	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	6869	TACR1
PR01475	PARKIN	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	5071	PARK2
PR02072	4JOINTEDBOX1	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	24147	FJX1
PR01030	PENKBPRCRSR	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	5173	PDYN
PR00520	ACTROPHINR	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	4158	MC2R
PR01201	NORTRANSPORT	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	6530	SLC6A2
PR00752	VASOPRSNV1AR	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	552	AVPR1A
PR00706	PYROGLUPTASE	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	54858	PGPEP1
PR01194	GLUCTRSPORT5	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	6518	SLC2A5
PR01122	FMOXYGENASE2	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	2327	FMO2
PR00564	CXCCHMKINER5	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	643	CXCR5
PR00537	MUOPIOIDR	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	4988	OPRM1
PR00570	ENDOTHELINAR	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	1909	EDNRA
PR01256	OTX1HOMEOBOX	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	5013	OTX1
PR01579	KCNAB2CHANEL	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	8514	KCNAB2
PR01136	CONNEXINA6	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	10052	GJC1
PR01525	EDG5RECEPTOR	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	9294	S1PR2
PR01942	NTKRECEPTOR3	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	4916	NTRK3
PR02095	TRNSPORTRHRG	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	55652	SLC48A1
PR02018	AQUAPORIN6	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	363	AQP6
PR00322	G10	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	8896	BUD31
PR01669	TAPASIN	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	6892	TAPBP
PR01321	KIR11CHANNEL	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	3758	KCNJ1
PR01289	PROXISOMPAAR	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	5465	PPARA
PR00584	PRSTNOIDE32R	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	5733	PTGER3
PR01585	TASK3CHANNEL	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	51305	KCNK9
PR01135	CONNEXINA5	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	2702	GJA5
PR01461	KCNQ2CHANNEL	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	3785	KCNQ2
PR01085	NAHEXCHNGR1	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	6548	SLC9A1
PR01126	DEZORPHANR	0.144126984128001	-1.93706053377127	1	1	0.00146842878120411	681	4725	1240	CMKLR1
