TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-HSA-426496	Post-transcriptional silencing by small RNAs	9.03872075607943e-05	-9.31140780986278	7	6	0.00371057513914657	1617	10293	23112,27161,26523,192669,192670,27327	TNRC6B,AGO2,AGO1,AGO3,AGO4,TNRC6A
R-HSA-5617833	Cilium Assembly	0.000140389026582797	-8.87109322766926	192	50	0.0309214594928881	1617	10293	22948,140735,55755,10013,112752,10382,4867,89891,5518,23322,129880,79867,9742,55081,23354,200132,9738,79959,10576,3842,55125,22897,10640,57539,84131,8195,9662,92104,9727,102800317,91147,27031,3320,9702,11116,11336,54806,79659,22832,10121,22919,55835,117177,50807,123016,11190,192668,121441,79598,84902	CCT5,DYNLL2,CDK5RAP2,HDAC6,IFT43,TUBB4A,NPHP1,WDR34,PPP2R1A,RPGRIP1L,BBS5,TCTN2,IFT140,IFT57,HAUS5,TCTEX1D1,CCP110,CEP76,CCT2,TNPO1,CEP192,CEP164,EXOC5,WDR35,CEP78,MKKS,CEP135,TTC30A,RAB11FIP3,LOC400927-CSNK1E,TMEM67,NPHP3,HSP90AA1,CEP57,FGFR1OP,EXOC3,AHI1,DYNC2H1,CEP162,ACTR1A,MAPRE1,CENPJ,RAB3IP,ASAP1,TTC8,CEP250,CYS1,NEDD1,CEP97,CEP89
R-HSA-1852241	Organelle biogenesis and maintenance	0.000145638844481328	-8.83438066876344	340	79	0.0488559059987631	1617	10293	55052,11232,3842,55125,57539,10640,6300,91147,133522,9702,92399,9727,22919,55835,11336,11116,84902,121441,5563,50807,63931,63875,11190,10013,10382,55755,4899,85441,124995,4867,5565,5518,23322,55056,4209,10576,9738,200132,55168,79959,84131,22897,3320,28977,27031,8195,9662,102800317,92104,10121,22832,117177,5469,1432,79659,54806,5564,79598,192668,123016,9611,51650,84311,112752,2101,22948,23373,140735,5465,64784,89891,55081,9742,118487,129880,79867,54205,4208,23354	MRPL20,POLG2,TNPO1,CEP192,WDR35,EXOC5,MAPK12,TMEM67,PPARGC1B,CEP57,MRRF,RAB11FIP3,MAPRE1,CENPJ,EXOC3,FGFR1OP,CEP89,NEDD1,PRKAA2,ASAP1,MRPS14,MRPL17,CEP250,HDAC6,TUBB4A,CDK5RAP2,NRF1,HELZ2,MRPL10,NPHP1,PRKAB2,PPP2R1A,RPGRIP1L,FLJ10038,MEF2D,CCT2,CCP110,TCTEX1D1,MRPS18A,CEP76,CEP78,CEP164,HSP90AA1,MRPL42,NPHP3,MKKS,CEP135,LOC400927-CSNK1E,TTC30A,ACTR1A,CEP162,RAB3IP,MED1,MAPK14,DYNC2H1,AHI1,PRKAB1,CEP97,CYS1,TTC8,NCOR1,MRPS33,MRPL45,IFT43,ESRRA,CCT5,CRTC1,DYNLL2,PPARA,CRTC3,WDR34,IFT57,IFT140,CHCHD1,BBS5,TCTN2,CYCS,MEF2C,HAUS5
R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs	0.000171404547495669	-8.67148402067257	36	15	0.00927643784786642	1617	10293	60,10458,3071,10163,10810,10093,998,10096,10152,5594,147179,7456,10787,5747,644150	ACTB,BAIAP2,NCKAP1L,WASF2,WASF3,ARPC4,CDC42,ACTR3,ABI2,MAPK1,WIPF2,WIPF1,NCKAP1,PTK2,WIPF3
R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	0.000244867939343507	-8.31479151583244	61	21	0.012987012987013	1617	10293	10458,4650,60,10163,3071,5594,998,644150,7456,919,147179,10810,4644,10096,10152,4641,2212,10093,10787,5747,3320	BAIAP2,MYO9B,ACTB,WASF2,NCKAP1L,MAPK1,CDC42,WIPF3,WIPF1,CD247,WIPF2,WASF3,MYO5A,ACTR3,ABI2,MYO1C,FCGR2A,ARPC4,NCKAP1,PTK2,HSP90AA1
R-HSA-1592230	Mitochondrial biogenesis	0.000347673657127621	-7.96424628504289	54	19	0.0117501546072975	1617	10293	55056,4208,4209,54205,9611,5563,5469,5564,1432,64784,133522,4899,85441,6300,5465,5565,23373,11232,2101	FLJ10038,MEF2C,MEF2D,CYCS,NCOR1,PRKAA2,MED1,PRKAB1,MAPK14,CRTC3,PPARGC1B,NRF1,HELZ2,MAPK12,PPARA,PRKAB2,CRTC1,POLG2,ESRRA
R-HSA-418597	G alpha (z) signalling events	0.00064451668685443	-7.34700984475739	48	17	0.0105132962275819	1617	10293	8601,59345,2781,10681,2782,2791,5578,5999,5582,406974,2770,111,107,2786,5579,112,2790	RGS20,GNB4,GNAZ,GNB5,GNB1,GNG11,PRKCA,RGS4,PRKCG,MIR197,GNAI1,ADCY5,ADCY1,GNG4,PRKCB,ADCY6,GNG10
R-HSA-163685	Integration of energy metabolism	0.000709579703447027	-7.25083773018656	111	31	0.0191713048855906	1617	10293	2782,10681,6861,59345,7086,102466190,6513,5906,402,5563,5575,9630,2791,5578,5330,3745,2786,107,777,111,2770,51085,10411,6833,2790,5518,5567,5565,2767,112,5573	GNB1,GNB5,SYT5,GNB4,TKT,MIR6721,SLC2A1,RAP1A,ARL2,PRKAA2,PRKAR1B,GNA14,GNG11,PRKCA,PLCB2,KCNB1,GNG4,ADCY1,CACNA1E,ADCY5,GNAI1,MLXIPL,RAPGEF3,ABCC8,GNG10,PPP2R1A,PRKACB,PRKAB2,GNA11,ADCY6,PRKAR1A
R-HSA-416482	G alpha (12/13) signalling events	0.000744584915876609	-7.20268365475314	88	26	0.0160791589363018	1617	10293	23365,2786,5290,6093,23263,27237,23229,9639,2790,9459,23370,8503,102465803,10681,2782,55701,29,59345,6654,998,9475,1894,148,8874,2791,50649	ARHGEF12,GNG4,PIK3CA,ROCK1,MCF2L,ARHGEF16,ARHGEF9,ARHGEF10,GNG10,ARHGEF6,ARHGEF18,PIK3R3,MIR7706,GNB5,GNB1,ARHGEF40,ABR,GNB4,SOS1,CDC42,ROCK2,ECT2,ADRA1A,ARHGEF7,GNG11,ARHGEF4
R-HSA-199991	Membrane Trafficking	0.000761116931791477	-7.18072355646423	611	125	0.0773036487322202	1617	10293	9648,4943,128637,9909,11037,10052,23095,55291,4012,26984,4644,5565,414918,10093,867,51164,51560,6272,128866,2664,547,56992,89953,55667,10139,7110,54885,408,286,10640,56894,1785,134829,22898,25839,84516,4641,85439,22836,221458,23423,8615,801,6305,10244,81562,11336,55048,90196,26958,2589,5563,966,25977,83548,287,7037,2157,50618,22848,9267,140735,10466,127534,51128,5049,8907,29924,100616314,1856,10096,23163,2873,57511,23062,6869,127833,11196,8906,3257,23011,23396,2702,27314,90411,55275,29082,29993,2709,27183,57706,64147,26119,3831,9367,11252,9892,57731,7039,9135,9527,8322,254263,57186,57148,23046,10427,3798,2804,117177,11014,55083,4036,157,102465841,5564,23647,7018,53407,8677,10652,64837,57134,3267,23637	GCC2,TBC1D25,TBC1D20,DENND4B,STON1,GJC1,KIF1B,PPP6R3,LNPEP,SEC22A,MYO5A,PRKAB2,DENND6B,ARPC4,CBL,DCTN4,RAB6B,SORT1,CHMP4B,GDI1,KIF1A,KIF15,KLC4,DENND4C,ARFRP1,TMF1,TBC1D8B,ARRB1,ANK1,EXOC5,AGPAT3,DNM2,CLVS2,DENND3,COG4,DCTN5,MYO1C,STON2,RHOBTB3,KIF6,TMED3,USO1,CALM1,SBF1,RABEPK,LMAN2L,EXOC3,VPS37C,SYS1,COPG2,GALNT1,PRKAA2,CD59,NECAP1,COG3,ANK2,TFRC,F8,ITSN2,AAK1,CYTH1,DYNLL2,COG5,GJB4,SAR1B,PAFAH1B2,AP1M1,EPN1,MIR4750,DVL2,ACTR3,GGA3,GPS1,COG6,GGA2,TACR1,SYT2,SEC23IP,AP1G2,HPS1,RAB21,PIP5K1C,GJA5,RAB30,MCFD2,VPS53,CHMP4A,PACSIN1,GJB5,VPS4A,DENND1A,KIF9,LDLRAP1,KLC1,RAB9A,PACSIN2,SNAP91,SPTBN4,TGFA,RABEP1,GOSR1,FZD4,CNIH2,RALGAPA2,RALGAPB,KIF21B,SEC24B,KIF5A,GOLGB1,RAB3IP,KDELR2,KIF26B,LRP2,GRK3,MIR7855,PRKAB1,ARFIP2,TF,STX18,STX10,YKT6,KLC2,MAN1C1,AGFG1,RABGAP1
R-HSA-422356	Regulation of insulin secretion	0.000923273769362298	-6.98758475924776	80	24	0.0148423005565863	1617	10293	2770,10411,3745,111,777,2786,2767,5573,112,5567,6833,2790,59345,6513,10681,2782,6861,2791,9630,5578,5575,5330,402,5906	GNAI1,RAPGEF3,KCNB1,ADCY5,CACNA1E,GNG4,GNA11,PRKAR1A,ADCY6,PRKACB,ABCC8,GNG10,GNB4,SLC2A1,GNB5,GNB1,SYT5,GNG11,GNA14,PRKCA,PRKAR1B,PLCB2,ARL2,RAP1A
R-HSA-5620912	Anchoring of the basal body to the plasma membrane	0.00120408980424712	-6.72203134663196	100	28	0.0173160173160173	1617	10293	55755,55125,22897,10382,84131,5518,102800317,9662,4867,3320,9702,91147,79867,54806,11116,23322,55835,117177,22832,10121,22919,79959,11190,9738,23354,79598,84902,121441	CDK5RAP2,CEP192,CEP164,TUBB4A,CEP78,PPP2R1A,LOC400927-CSNK1E,CEP135,NPHP1,HSP90AA1,CEP57,TMEM67,TCTN2,AHI1,FGFR1OP,RPGRIP1L,CENPJ,RAB3IP,CEP162,ACTR1A,MAPRE1,CEP76,CEP250,CCP110,HAUS5,CEP97,CEP89,NEDD1
