TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SMP00320	Intracellular Signalling Through Adenosine Receptor A2a and Adenosine	0.00143859247257451	-6.54409009301064	38	13	0.0909090909090909	143	992	673,5567,5170,2002,8874,5290,5906,10411,998,2782,5594,5609,6195	BRAF,PRKACB,PDPK1,ELK1,ARHGEF7,PIK3CA,RAP1A,RAPGEF3,CDC42,GNB1,MAPK1,MAP2K7,RPS6KA1
SMP00321	Intracellular Signalling Through Adenosine Receptor A2b and Adenosine	0.00143859247257451	-6.54409009301064	38	13	0.0909090909090909	143	992	2782,5594,5609,6195,673,5567,5170,2002,8874,5290,998,10411,5906	GNB1,MAPK1,MAP2K7,RPS6KA1,BRAF,PRKACB,PDPK1,ELK1,ARHGEF7,PIK3CA,CDC42,RAPGEF3,RAP1A
SMP00623	Heroin Metabolism Pathway	0.0105181397793086	-4.55465391437024	4	3	0.020979020979021	143	992	8824,4988,590	CES2,OPRM1,BCHE
SMP00407	Heroin Action Pathway	0.0160663716678403	-4.13102690768506	29	9	0.0629370629370629	143	992	590,6530,8824,486,6324,4988,6532,148,23439	BCHE,SLC6A2,CES2,FXYD2,SCN1B,OPRM1,SLC6A4,ADRA1A,ATP1B4
SMP00358	Fc Epsilon Receptor I Signaling in Mast Cells	0.030630985840315	-3.485743173206	32	9	0.0629370629370629	143	992	5594,5609,5163,5606,6654,1432,3635,5578,5290	MAPK1,MAP2K7,PDK1,MAP2K3,SOS1,MAPK14,INPP5D,PRKCA,PIK3CA
SMP00398	Lidocaine (Local Anaesthetic) Action Pathway	0.0373486595998458	-3.28745825560161	28	8	0.0559440559440559	143	992	6530,1576,486,6324,6532,4988,148,23439	SLC6A2,CYP3A4,FXYD2,SCN1B,SLC6A4,OPRM1,ADRA1A,ATP1B4
SMP00198	Malonic Aciduria	0.0390523719420324	-3.24285166338791	14	5	0.034965034965035	143	992	5096,84532,18,23417,5095	PCCB,ACSS1,ABAT,MLYCD,PCCA
SMP00016	Propanoate Metabolism	0.0390523719420324	-3.24285166338791	14	5	0.034965034965035	143	992	84532,5096,5095,18,23417	ACSS1,PCCB,PCCA,ABAT,MLYCD
SMP00201	Methylmalonic Aciduria Due to Cobalamin-Related Disorders	0.0390523719420324	-3.24285166338791	14	5	0.034965034965035	143	992	5095,23417,18,84532,5096	PCCA,MLYCD,ABAT,ACSS1,PCCB
SMP00502	Malonyl-coa decarboxylase deficiency	0.0390523719420324	-3.24285166338791	14	5	0.034965034965035	143	992	5096,84532,5095,23417,18	PCCB,ACSS1,PCCA,MLYCD,ABAT
