TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0032025	response to cobalt ion	0.000473940403728521	-7.65442897470449	10	3	0.0111111111111111	270	16543	538,841,842	ATP7A,CASP8,CASP9
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.000994710545536611	-6.91305877213635	290	13	0.0481481481481481	270	16543	22903,5683,27246,54476,79791,23510,10299,54442,119504,91147,5071,9695,53339	BTBD3,PSMA2,RNF115,RNF216,FBXO31,KCTD2,MARCH6,KCTD5,ANAPC16,TMEM67,PARK2,EDEM1,BTBD1
GO:0010498	proteasomal protein catabolic process	0.0012725411205863	-6.66673949525912	298	13	0.0481481481481481	270	16543	22903,27246,5683,54476,79791,23510,10299,54442,119504,91147,5071,9695,53339	BTBD3,RNF115,PSMA2,RNF216,FBXO31,KCTD2,MARCH6,KCTD5,ANAPC16,TMEM67,PARK2,EDEM1,BTBD1
GO:0061428	negative regulation of transcription from RNA polymerase II promoter in response to hypoxia	0.00155825387519389	-6.46418939538998	4	2	0.00740740740740741	270	16543	7428,55662	VHL,HIF1AN
GO:0001504	neurotransmitter uptake	0.00205696255808435	-6.18652487067224	16	3	0.0111111111111111	270	16543	22987,6532,5071	SV2C,SLC6A4,PARK2
GO:0051128	regulation of cellular component organization	0.00217613482888252	-6.13020499010537	2254	54	0.2	270	16543	1456,6721,7334,984,8556,54014,841,56998,11037,4985,64084,54869,54664,23224,5217,4478,112,3181,10117,6678,374946,126374,157922,10718,53335,4641,7037,8417,486,128866,196527,538,4867,8500,26119,5071,91147,11076,29780,8396,3172,22843,6597,859,6792,23768,3621,57606,5396,989,129049,23063,80031,9094	CSNK1G3,SREBF2,UBE2N,CDK11B,CDC14A,BRWD1,CASP8,CTNNBIP1,STON1,OPRD1,CLSTN2,EPS8L1,TMEM106B,SYNE2,PFN2,MSN,ADCY6,HNRNPA2B1,ENAM,SPARC,DRAXIN,WTIP,CAMSAP1,NRG3,BCL11A,MYO1C,TFRC,STX7,FXYD2,CHMP4B,ANO6,ATP7A,NPHP1,PPFIA1,LDLRAP1,PARK2,TMEM67,TPPP,PARVB,PIP4K2B,HNF4A,PPM1E,SMARCA4,CAV3,CDKL5,FLRT2,ING1,SLAIN2,PRRX1,SEPT7,SGSM1,WAPL,SEMA6D,UNC119
GO:0019511	peptidyl-proline hydroxylation	0.00246780800628182	-6.0044249692058	17	3	0.0111111111111111	270	16543	10491,55662,112399	CRTAP,HIF1AN,EGLN3
GO:2001286	regulation of caveolin-mediated endocytosis	0.00256911161420629	-5.96419511524064	5	2	0.00740740740740741	270	16543	9094,859	UNC119,CAV3
GO:0098657	import into cell	0.00272322619951347	-5.90593799877608	59	5	0.0185185185185185	270	16543	22987,6532,23315,486,5071	SV2C,SLC6A4,SLC9A8,FXYD2,PARK2
GO:0045995	regulation of embryonic development	0.00279814916565173	-5.87879709263315	115	7	0.0259259259259259	270	16543	989,27031,657,1290,3172,51684,1856	SEPT7,NPHP3,BMPR1A,COL5A2,HNF4A,SUFU,DVL2
GO:0018126	protein hydroxylation	0.00292591004503777	-5.83414972017949	18	3	0.0111111111111111	270	16543	10491,55662,112399	CRTAP,HIF1AN,EGLN3
GO:0051603	proteolysis involved in cellular protein catabolic process	0.00315698154999259	-5.75813891358155	536	18	0.0666666666666667	270	16543	23510,79791,27246,5683,54476,9098,53339,54442,10299,55743,841,22903,128866,1521,91147,5071,9695,119504	KCTD2,FBXO31,RNF115,PSMA2,RNF216,USP6,BTBD1,KCTD5,MARCH6,CHFR,CASP8,BTBD3,CHMP4B,CTSW,TMEM67,PARK2,EDEM1,ANAPC16
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	0.00381220747013124	-5.56954686913834	6	2	0.00740740740740741	270	16543	4338,55034	MOCS2,MOCOS
GO:0051189	prosthetic group metabolic process	0.00381220747013124	-5.56954686913834	6	2	0.00740740740740741	270	16543	4338,55034	MOCS2,MOCOS
GO:0043545	molybdopterin cofactor metabolic process	0.00381220747013124	-5.56954686913834	6	2	0.00740740740740741	270	16543	55034,4338	MOCOS,MOCS2
GO:0032324	molybdopterin cofactor biosynthetic process	0.00381220747013124	-5.56954686913834	6	2	0.00740740740740741	270	16543	4338,55034	MOCS2,MOCOS
GO:0019720	Mo-molybdopterin cofactor metabolic process	0.00381220747013124	-5.56954686913834	6	2	0.00740740740740741	270	16543	55034,4338	MOCOS,MOCS2
GO:0006303	double-strand break repair via nonhomologous end joining	0.00388316258116332	-5.55110535912115	64	5	0.0185185185185185	270	16543	7334,8370,64421,22992,554313	UBE2N,HIST2H4A,DCLRE1C,KDM2A,HIST2H4B
GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	0.00395240483618402	-5.53343106603729	92	6	0.0222222222222222	270	16543	85456,10217,79791,6597,8738,4849	TNKS1BP1,CTDSPL,FBXO31,SMARCA4,CRADD,CNOT3
GO:0044257	cellular protein catabolic process	0.00444937294303216	-5.41499210441114	554	18	0.0666666666666667	270	16543	119504,91147,5071,9695,1521,128866,22903,841,55743,10299,54442,53339,9098,27246,5683,54476,79791,23510	ANAPC16,TMEM67,PARK2,EDEM1,CTSW,CHMP4B,BTBD3,CASP8,CHFR,MARCH6,KCTD5,BTBD1,USP6,RNF115,PSMA2,RNF216,FBXO31,KCTD2
GO:1902807	negative regulation of cell cycle G1/S phase transition	0.00462683167835093	-5.37588294785796	95	6	0.0222222222222222	270	16543	10217,6597,79791,85456,8738,4849	CTDSPL,SMARCA4,FBXO31,TNKS1BP1,CRADD,CNOT3
GO:0006643	membrane lipid metabolic process	0.00514591570408175	-5.26955194611922	197	9	0.0333333333333333	270	16543	253782,2720,91012,7915,80055,412,79993,93183,204219	CERS6,GLB1,CERS5,ALDH5A1,PGAP1,STS,ELOVL7,PIGM,CERS3
GO:0051156	glucose 6-phosphate metabolic process	0.00526269004333359	-5.24711296787821	22	3	0.0111111111111111	270	16543	51071,2821,57818	DERA,GPI,G6PC2
GO:0098810	neurotransmitter reuptake	0.00527974763911287	-5.24387697802878	7	2	0.00740740740740741	270	16543	6532,5071	SLC6A4,PARK2
GO:0000726	non-recombinational repair	0.00569695552321482	-5.1678233655681	70	5	0.0185185185185185	270	16543	554313,22992,8370,64421,7334	HIST2H4B,KDM2A,HIST2H4A,DCLRE1C,UBE2N
GO:0097237	cellular response to toxic substance	0.00696412923354481	-4.96698269987549	8	2	0.00740740740740741	270	16543	5071,4985	PARK2,OPRD1
GO:0060027	convergent extension involved in gastrulation	0.00696412923354481	-4.96698269987549	8	2	0.00740740740740741	270	16543	1856,27031	DVL2,NPHP3
GO:0090286	cytoskeletal anchoring at nuclear membrane	0.00696412923354481	-4.96698269987549	8	2	0.00740740740740741	270	16543	23224,23345	SYNE2,SYNE1
GO:0070936	protein K48-linked ubiquitination	0.0071379030638237	-4.94233623430567	47	4	0.0148148148148148	270	16543	5071,10299,27246,54476	PARK2,MARCH6,RNF115,RNF216
GO:0055076	transition metal ion homeostasis	0.00819067869047354	-4.80475851636085	107	6	0.0222222222222222	270	16543	5071,113235,94097,7037,22,538	PARK2,SLC46A1,SFXN5,TFRC,ABCB7,ATP7A
GO:0030163	protein catabolic process	0.00834874456835175	-4.78564410251883	590	18	0.0666666666666667	270	16543	54442,10299,53339,5683,27246,54476,9098,23510,79791,119504,1521,91147,5071,9695,841,22903,128866,55743	KCTD5,MARCH6,BTBD1,PSMA2,RNF115,RNF216,USP6,KCTD2,FBXO31,ANAPC16,CTSW,TMEM67,PARK2,EDEM1,CASP8,BTBD3,CHMP4B,CHFR
GO:0008635	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c	0.00885793616470263	-4.72644148002069	9	2	0.00740740740740741	270	16543	842,54205	CASP9,CYCS
GO:0015886	heme transport	0.00885793616470263	-4.72644148002069	9	2	0.00740740740740741	270	16543	22,113235	ABCB7,SLC46A1
GO:0006629	lipid metabolic process	0.00954610056718037	-4.65162252544655	1172	30	0.111111111111111	270	16543	6721,204219,2690,79993,79796,498,412,7915,113026,91012,200879,54577,26119,137964,253782,3953,3172,8396,3635,6319,859,93183,80055,195814,1582,5049,23446,5828,2720,112724	SREBF2,CERS3,GHR,ELOVL7,ALG9,ATP5A1,STS,ALDH5A1,PLCD3,CERS5,LIPH,UGT1A7,LDLRAP1,GPAT4,CERS6,LEPR,HNF4A,PIP4K2B,INPP5D,SCD,CAV3,PIGM,PGAP1,SDR16C5,CYP8B1,PAFAH1B2,SLC44A1,PEX2,GLB1,RDH13
GO:0006665	sphingolipid metabolic process	0.010878856337454	-4.52093415912225	148	7	0.0259259259259259	270	16543	204219,91012,79993,253782,2720,412,7915	CERS3,CERS5,ELOVL7,CERS6,GLB1,STS,ALDH5A1
GO:1903651	positive regulation of cytoplasmic transport	0.0109539351044912	-4.51405651700449	10	2	0.00740740740740741	270	16543	5071,4478	PARK2,MSN
GO:0097202	activation of cysteine-type endopeptidase activity	0.0109539351044912	-4.51405651700449	10	2	0.00740740740740741	270	16543	841,444	CASP8,ASPH
GO:0097201	negative regulation of transcription from RNA polymerase II promoter in response to stress	0.0109539351044912	-4.51405651700449	10	2	0.00740740740740741	270	16543	7428,55662	VHL,HIF1AN
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	0.0109772725795808	-4.51192827270217	82	5	0.0185185185185185	270	16543	8738,841,54205,112399,842	CRADD,CASP8,CYCS,EGLN3,CASP9
