TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0043231	intracellular membrane-bounded organelle	0.000287145884093046	-8.15552016440445	10282	195	0.679442508710801	287	17744	284695,84572,11179,23315,152100,394,284443,859,444,10520,4010,79796,9098,10382,7334,6597,8396,8609,10217,55128,126374,84905,253782,51335,412,6792,23063,2523,119504,56998,54442,57818,254048,3172,80055,11076,58499,79899,79022,54939,162394,54629,112724,140886,85456,5862,8019,841,22,63931,93183,6721,8556,5549,51128,29070,55662,91012,92370,22843,54205,195814,9652,7037,7915,53335,8417,79145,3763,842,2720,169841,1856,64431,23338,84725,137964,55670,5828,8438,23439,55796,4641,146540,112399,55421,8370,84515,80011,55743,7652,54499,22836,1677,163049,81691,8615,9877,27300,51071,5683,55790,54577,554313,57610,140576,94097,10617,486,64421,116113,84671,23446,1456,129049,9702,984,10491,1521,3454,55234,29072,57713,22992,1773,7428,64895,5784,23768,22903,158,5071,22806,64084,10299,133619,8518,163859,91147,4338,1582,22888,285051,51313,23224,3621,360023,818,26610,134829,1290,57630,65082,26119,54811,54664,54014,204219,221937,51776,5592,9169,4291,55257,3480,23345,4478,51742,283571,8693,64699,100381270,6319,54476,93377,128866,6678,104,79882,8907,79833,9695,5396,498,2821,79993,51684,538,4849,8738,3181,5049,220002,989,56252	ZNF326,GNPTG,ZNF277,SLC9A8,CMC1,ARHGAP5,ZNF493,CAV3,ASPH,ZNF211,LMX1B,ALG9,USP6,TUBB4A,UBE2N,SMARCA4,PIP4K2B,KLF7,CTDSPL,TRIM68,WTIP,ZNF341,CERS6,NGRN,STS,CDKL5,WAPL,FUT1,ANAPC16,CTNNBIP1,KCTD5,G6PC2,UBN2,HNF4A,PGAP1,TPPP,ZNF462,PRR5L,TMEM106C,COMMD4,SLFN5,FAM63B,RDH13,PABPC5,TNKS1BP1,RAB2A,BRD3,CASP8,ABCB7,MRPS14,PIGM,SREBF2,CDC14A,PRELP,SAR1B,CCDC113,HIF1AN,CERS5,PXYLP1,PPM1E,CYCS,SDR16C5,TTC37,TFRC,ALDH5A1,BCL11A,STX7,CHCHD7,KCNJ6,CASP9,GLB1,ZNF169,DVL2,ACTR6,JADE2,PLEKHA8,GPAT4,PEX26,PEX2,RAD54L,ATP1B4,MBNL3,MYO1C,ZNF785,EGLN3,NCBP3,HIST2H4A,MCM8,FAM192A,CHFR,ZNF99,TMCO1,RHOBTB3,DFFB,ZNF791,LOC81691,USO1,ZC3H11A,ZNF544,DERA,PSMA2,CSGALNACT1,UGT1A7,HIST2H4B,RANBP10,S100A16,SFXN5,STAMBP,FXYD2,DCLRE1C,FOXP4,ZNF347,SLC44A1,CSNK1G3,SGSM1,CEP57,CDK11B,CRTAP,CTSW,IFNAR1,SMU1,SETD2,SFMBT2,KDM2A,DNASE1,VHL,PAPOLG,PTPN14,FLRT2,BTBD3,ADSL,PARK2,IKZF3,CLSTN2,MARCH6,PRRC1,IKBKAP,SDE2,TMEM67,MOCS2,CYP8B1,UBOX5,C2orf61,FAM198B,SYNE2,ING1,ZBTB41,CAMK2G,ELP4,CLVS2,COL5A2,SH3RF1,VPS33A,LDLRAP1,ZNF562,TMEM106B,BRWD1,CERS3,FOXK1,MAP3K20,PRKG1,SCAF11,MLF1,MRGBP,IGF1R,SYNE1,MSN,ARID4B,PROX2,GALNT4,TMPRSS3,ZBED6,SCD,RNF216,OPALIN,CHMP4B,SPARC,ADARB1,ZC3H14,AP1M1,GEMIN6,EDEM1,PRRX1,ATP5A1,GPI,ELOVL7,SUFU,ATP7A,CNOT3,CRADD,HNRNPA2B1,PAFAH1B2,CYB561A3,SEPT7,YLPM1
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.00098451105747316	-6.92336542838579	1010	30	0.104529616724739	287	17744	10299,9695,195814,64084,80055,79796,444,57818,204219,51128,91012,93183,23768,6721,137964,64699,54577,412,818,6319,5862,23224,253782,1582,79022,54499,23345,79993,91147,8396	MARCH6,EDEM1,SDR16C5,CLSTN2,PGAP1,ALG9,ASPH,G6PC2,CERS3,SAR1B,CERS5,PIGM,FLRT2,SREBF2,GPAT4,TMPRSS3,UGT1A7,STS,CAMK2G,SCD,RAB2A,SYNE2,CERS6,CYP8B1,TMEM106C,TMCO1,SYNE1,ELOVL7,TMEM67,PIP4K2B
GO:0005789	endoplasmic reticulum membrane	0.00145381485705092	-6.53356424150598	989	29	0.101045296167247	287	17744	23224,253782,412,818,54577,64699,5862,6319,79993,91147,8396,54499,1582,79022,57818,444,204219,9695,195814,64084,10299,79796,80055,23768,93183,137964,6721,51128,91012	SYNE2,CERS6,STS,CAMK2G,UGT1A7,TMPRSS3,RAB2A,SCD,ELOVL7,TMEM67,PIP4K2B,TMCO1,CYP8B1,TMEM106C,G6PC2,ASPH,CERS3,EDEM1,SDR16C5,CLSTN2,MARCH6,ALG9,PGAP1,FLRT2,PIGM,GPAT4,SREBF2,SAR1B,CERS5
GO:0000932	P-body	0.00164669992321632	-6.40898204036915	78	6	0.0209059233449477	287	17744	23112,5683,23345,4849,53339,126374	TNRC6B,PSMA2,SYNE1,CNOT3,BTBD1,WTIP
GO:0005622	intracellular	0.00164787156536893	-6.4082707841672	13907	245	0.853658536585366	287	17744	54205,22843,92370,7915,7037,9652,195814,5549,8556,6721,93183,63931,91012,55662,29070,51128,64431,196527,84725,23338,28512,842,79145,3763,8417,53335,169841,1856,55701,2720,8370,57186,84515,112399,55421,146540,80011,137964,27152,4641,23439,55796,8438,55670,5828,5683,51071,27300,8615,9877,57610,100506658,22987,140576,9754,54577,554313,55790,79791,7652,55743,163049,113026,81691,1677,23229,53339,54499,22836,23112,10520,444,10382,79796,9098,5217,4867,4010,27246,23315,11179,84572,23164,284695,859,284443,394,152100,51335,253782,6532,23263,6792,412,10217,8609,8396,6597,7334,126374,55128,84905,254048,57818,23510,54442,80055,3172,7135,2523,23063,119504,56998,27031,112724,54629,22,841,5862,8019,85456,140886,79899,4985,58499,11076,162394,54939,79022,126282,204219,54014,9169,5592,51776,221937,54811,26119,65082,57630,1290,134829,54664,113235,51742,283571,6319,100381270,54869,64699,9094,8693,201725,4291,4478,23345,1979,55034,3480,55257,2690,79833,5396,10988,9695,6678,128866,54476,93377,8907,79882,104,10718,3181,56252,112,989,220002,5049,51684,538,29125,79993,2821,157922,498,89953,5261,4849,8738,80031,1456,23446,57606,3918,10491,9702,129049,984,414918,64421,486,10617,94097,84671,116113,1773,22992,57713,5784,64895,7428,11037,1521,29072,3454,55234,22806,8518,3635,10299,133619,64084,29780,22903,23768,5071,158,6854,360023,3621,51313,23224,283455,26610,818,4338,91147,8500,163859,285051,22888,1582,400713,785	CYCS,PPM1E,PXYLP1,ALDH5A1,TFRC,TTC37,SDR16C5,PRELP,CDC14A,SREBF2,PIGM,MRPS14,CERS5,HIF1AN,CCDC113,SAR1B,ACTR6,ANO6,PLEKHA8,JADE2,NKIRAS1,CASP9,CHCHD7,KCNJ6,STX7,BCL11A,ZNF169,DVL2,ARHGEF40,GLB1,HIST2H4A,RALGAPA2,MCM8,EGLN3,NCBP3,ZNF785,FAM192A,GPAT4,INTU,MYO1C,ATP1B4,MBNL3,RAD54L,PEX26,PEX2,PSMA2,DERA,ZNF544,USO1,ZC3H11A,RANBP10,OCLN,SV2C,S100A16,STARD8,UGT1A7,HIST2H4B,CSGALNACT1,FBXO31,ZNF99,CHFR,ZNF791,PLCD3,LOC81691,DFFB,ARHGEF9,BTBD1,TMCO1,RHOBTB3,TNRC6B,ZNF211,ASPH,TUBB4A,ALG9,USP6,PFN2,NPHP1,LMX1B,RNF115,SLC9A8,ZNF277,GNPTG,MPRIP,ZNF326,CAV3,ZNF493,ARHGAP5,CMC1,NGRN,CERS6,SLC6A4,MCF2L,CDKL5,STS,CTDSPL,KLF7,PIP4K2B,SMARCA4,UBE2N,WTIP,TRIM68,ZNF341,UBN2,G6PC2,KCTD2,KCTD5,PGAP1,HNF4A,TNNI1,FUT1,WAPL,ANAPC16,CTNNBIP1,NPHP3,RDH13,FAM63B,ABCB7,CASP8,RAB2A,BRD3,TNKS1BP1,PABPC5,PRR5L,OPRD1,ZNF462,TPPP,SLFN5,COMMD4,TMEM106C,TNFAIP8L1,CERS3,BRWD1,SCAF11,PRKG1,MAP3K20,FOXK1,ZNF562,LDLRAP1,VPS33A,SH3RF1,COL5A2,CLVS2,TMEM106B,SLC46A1,ARID4B,PROX2,SCD,ZBED6,EPS8L1,TMPRSS3,UNC119,GALNT4,C4orf46,MLF1,MSN,SYNE1,EIF4EBP2,MOCOS,IGF1R,MRGBP,GHR,GEMIN6,PRRX1,METAP2,EDEM1,SPARC,CHMP4B,RNF216,OPALIN,AP1M1,ZC3H14,ADARB1,NRG3,HNRNPA2B1,YLPM1,ADCY6,SEPT7,CYB561A3,PAFAH1B2,SUFU,ATP7A,C11orf21,ELOVL7,GPI,CAMSAP1,ATP5A1,KLC4,PHKG2,CNOT3,CRADD,SEMA6D,CSNK1G3,SLC44A1,SLAIN2,LAMC2,CRTAP,CEP57,SGSM1,CDK11B,DENND6B,DCLRE1C,FXYD2,STAMBP,SFXN5,ZNF347,FOXP4,DNASE1,KDM2A,SFMBT2,PTPN14,PAPOLG,VHL,STON1,CTSW,SETD2,IFNAR1,SMU1,IKZF3,IKBKAP,INPP5D,MARCH6,PRRC1,CLSTN2,PARVB,BTBD3,FLRT2,PARK2,ADSL,SYN2,ZBTB41,ING1,FAM198B,SYNE2,KSR2,ELP4,CAMK2G,MOCS2,TMEM67,PPFIA1,SDE2,C2orf61,UBOX5,CYP8B1,ZNF880,CACNB4
GO:0044424	intracellular part	0.00184260033901924	-6.29657747729986	13571	240	0.836236933797909	287	17744	4338,163859,8500,91147,22888,285051,785,1582,6854,360023,51313,23224,3621,818,26610,283455,23768,22903,29780,5071,158,22806,8518,64084,133619,10299,3635,1521,29072,3454,55234,1773,57713,22992,5784,11037,64895,7428,64421,10617,94097,486,84671,116113,1456,57606,23446,3918,129049,984,414918,9702,10491,51684,29125,538,498,157922,79993,2821,89953,8738,5261,4849,80031,3181,989,56252,5049,220002,128866,6678,93377,54476,79882,8907,104,79833,5396,9695,10988,201725,4291,1979,4478,23345,55257,55034,3480,51742,283571,113235,100381270,6319,9094,8693,64699,54869,65082,26119,54811,134829,57630,1290,54664,54014,204219,5592,9169,221937,51776,4985,79899,58499,11076,162394,54939,126282,79022,112724,54629,5862,841,8019,22,140886,85456,7135,23063,2523,56998,119504,27031,23510,54442,57818,254048,80055,3172,8396,8609,10217,6597,7334,55128,126374,84905,51335,253782,6532,412,6792,23263,11179,84572,23164,23315,284695,284443,859,394,152100,23112,10520,444,9098,79796,10382,4867,4010,27246,5217,7652,79791,55743,23229,1677,113026,81691,163049,22836,54499,53339,9877,27300,8615,51071,5683,57610,100506658,22987,140576,55790,54577,9754,554313,137964,27152,55796,23439,4641,55670,5828,8438,57186,84515,8370,146540,55421,112399,80011,842,28512,8417,53335,3763,79145,169841,1856,55701,2720,64431,84725,23338,8556,6721,5549,63931,93183,55662,91012,51128,29070,92370,54205,22843,7915,9652,195814,7037	MOCS2,SDE2,PPFIA1,TMEM67,UBOX5,C2orf61,CACNB4,CYP8B1,SYN2,ZBTB41,FAM198B,SYNE2,ING1,CAMK2G,ELP4,KSR2,FLRT2,BTBD3,PARVB,PARK2,ADSL,IKZF3,IKBKAP,CLSTN2,PRRC1,MARCH6,INPP5D,CTSW,SETD2,IFNAR1,SMU1,DNASE1,SFMBT2,KDM2A,PTPN14,STON1,PAPOLG,VHL,DCLRE1C,STAMBP,SFXN5,FXYD2,ZNF347,FOXP4,CSNK1G3,SLAIN2,SLC44A1,LAMC2,SGSM1,CDK11B,DENND6B,CEP57,CRTAP,SUFU,C11orf21,ATP7A,ATP5A1,CAMSAP1,ELOVL7,GPI,KLC4,CRADD,PHKG2,CNOT3,SEMA6D,HNRNPA2B1,SEPT7,YLPM1,PAFAH1B2,CYB561A3,CHMP4B,SPARC,OPALIN,RNF216,ZC3H14,AP1M1,ADARB1,GEMIN6,PRRX1,EDEM1,METAP2,C4orf46,MLF1,EIF4EBP2,MSN,SYNE1,MRGBP,MOCOS,IGF1R,ARID4B,PROX2,SLC46A1,ZBED6,SCD,UNC119,GALNT4,TMPRSS3,EPS8L1,VPS33A,LDLRAP1,ZNF562,CLVS2,SH3RF1,COL5A2,TMEM106B,BRWD1,CERS3,PRKG1,SCAF11,FOXK1,MAP3K20,OPRD1,PRR5L,ZNF462,TPPP,SLFN5,COMMD4,TNFAIP8L1,TMEM106C,RDH13,FAM63B,RAB2A,CASP8,BRD3,ABCB7,PABPC5,TNKS1BP1,TNNI1,WAPL,FUT1,CTNNBIP1,ANAPC16,NPHP3,KCTD2,KCTD5,G6PC2,UBN2,PGAP1,HNF4A,PIP4K2B,KLF7,CTDSPL,SMARCA4,UBE2N,TRIM68,WTIP,ZNF341,NGRN,CERS6,SLC6A4,STS,CDKL5,MCF2L,ZNF277,GNPTG,MPRIP,SLC9A8,ZNF326,ZNF493,CAV3,ARHGAP5,CMC1,TNRC6B,ZNF211,ASPH,USP6,ALG9,TUBB4A,NPHP1,LMX1B,RNF115,PFN2,ZNF99,FBXO31,CHFR,ARHGEF9,DFFB,PLCD3,LOC81691,ZNF791,RHOBTB3,TMCO1,BTBD1,ZC3H11A,ZNF544,USO1,DERA,PSMA2,RANBP10,OCLN,SV2C,S100A16,CSGALNACT1,UGT1A7,STARD8,HIST2H4B,GPAT4,INTU,MBNL3,ATP1B4,MYO1C,PEX26,PEX2,RAD54L,RALGAPA2,MCM8,HIST2H4A,ZNF785,NCBP3,EGLN3,FAM192A,CASP9,NKIRAS1,STX7,BCL11A,KCNJ6,CHCHD7,ZNF169,DVL2,ARHGEF40,GLB1,ACTR6,PLEKHA8,JADE2,CDC14A,SREBF2,PRELP,MRPS14,PIGM,HIF1AN,CERS5,SAR1B,CCDC113,PXYLP1,CYCS,PPM1E,ALDH5A1,TTC37,SDR16C5,TFRC
GO:0043229	intracellular organelle	0.0033036721681281	-5.71272065096783	11832	213	0.742160278745645	287	17744	26610,818,3621,23224,51313,6854,360023,1582,22888,285051,91147,163859,4338,133619,10299,3635,64084,8518,22806,158,5071,22903,29780,23768,64895,7428,5784,22992,57713,1773,3454,55234,29072,1521,10491,129049,414918,9702,984,23446,57606,1456,116113,84671,486,10617,94097,64421,220002,5049,56252,989,3181,8738,4849,89953,2821,157922,79993,498,538,51684,9695,5396,79833,104,79882,8907,54476,93377,6678,128866,64699,9094,8693,6319,100381270,51742,283571,3480,55257,4478,23345,4291,221937,51776,9169,5592,204219,54014,54664,1290,57630,134829,26119,54811,65082,85456,140886,22,8019,841,5862,54629,112724,79022,54939,162394,11076,79899,58499,3172,80055,254048,54442,57818,56998,119504,23063,2523,7135,6792,412,6532,253782,51335,126374,84905,55128,6597,7334,10217,8396,8609,5217,4867,4010,10382,79796,9098,444,10520,23112,394,152100,859,284443,284695,23315,84572,23164,11179,554313,54577,55790,22987,100506658,140576,57610,5683,9877,51071,27300,8615,53339,54499,22836,163049,81691,1677,55743,7652,80011,55421,112399,146540,84515,8370,8438,55670,5828,4641,55796,23439,27152,137964,23338,84725,64431,2720,169841,1856,79145,3763,8417,53335,842,7037,9652,195814,7915,22843,54205,92370,29070,51128,91012,55662,93183,63931,5549,8556,6721	ELP4,CAMK2G,ING1,SYNE2,FAM198B,SYN2,ZBTB41,CYP8B1,UBOX5,C2orf61,TMEM67,SDE2,MOCS2,PRRC1,MARCH6,INPP5D,CLSTN2,IKBKAP,IKZF3,ADSL,PARK2,BTBD3,PARVB,FLRT2,PAPOLG,VHL,PTPN14,KDM2A,SFMBT2,DNASE1,IFNAR1,SMU1,SETD2,CTSW,CRTAP,SGSM1,DENND6B,CEP57,CDK11B,SLC44A1,SLAIN2,CSNK1G3,FOXP4,ZNF347,FXYD2,STAMBP,SFXN5,DCLRE1C,CYB561A3,PAFAH1B2,YLPM1,SEPT7,HNRNPA2B1,CRADD,CNOT3,KLC4,GPI,CAMSAP1,ELOVL7,ATP5A1,ATP7A,SUFU,EDEM1,PRRX1,GEMIN6,ADARB1,ZC3H14,AP1M1,RNF216,OPALIN,SPARC,CHMP4B,TMPRSS3,UNC119,GALNT4,SCD,ZBED6,ARID4B,PROX2,IGF1R,MRGBP,MSN,SYNE1,MLF1,FOXK1,MAP3K20,SCAF11,PRKG1,CERS3,BRWD1,TMEM106B,COL5A2,SH3RF1,CLVS2,LDLRAP1,ZNF562,VPS33A,TNKS1BP1,PABPC5,ABCB7,BRD3,CASP8,RAB2A,FAM63B,RDH13,TMEM106C,COMMD4,SLFN5,TPPP,PRR5L,ZNF462,HNF4A,PGAP1,UBN2,KCTD5,G6PC2,CTNNBIP1,ANAPC16,WAPL,FUT1,TNNI1,CDKL5,STS,SLC6A4,CERS6,NGRN,WTIP,ZNF341,TRIM68,SMARCA4,UBE2N,CTDSPL,PIP4K2B,KLF7,PFN2,NPHP1,LMX1B,TUBB4A,ALG9,USP6,ASPH,ZNF211,TNRC6B,ARHGAP5,CMC1,CAV3,ZNF493,ZNF326,SLC9A8,GNPTG,MPRIP,ZNF277,HIST2H4B,UGT1A7,CSGALNACT1,SV2C,OCLN,S100A16,RANBP10,PSMA2,ZC3H11A,DERA,ZNF544,USO1,BTBD1,TMCO1,RHOBTB3,ZNF791,LOC81691,DFFB,CHFR,ZNF99,FAM192A,NCBP3,EGLN3,ZNF785,MCM8,HIST2H4A,RAD54L,PEX26,PEX2,MYO1C,MBNL3,ATP1B4,INTU,GPAT4,JADE2,PLEKHA8,ACTR6,GLB1,ZNF169,DVL2,CHCHD7,KCNJ6,STX7,BCL11A,CASP9,TFRC,TTC37,SDR16C5,ALDH5A1,PPM1E,CYCS,PXYLP1,CCDC113,SAR1B,CERS5,HIF1AN,PIGM,MRPS14,PRELP,CDC14A,SREBF2
GO:0033588	Elongator holoenzyme complex	0.00374622441270417	-5.58700676946572	6	2	0.00696864111498258	287	17744	8518,26610	IKBKAP,ELP4
GO:0044432	endoplasmic reticulum part	0.0044559845183546	-5.41350725070013	1166	31	0.10801393728223	287	17744	253782,23224,818,412,64699,54577,5862,6319,91147,79993,8396,54499,79022,1582,57818,444,204219,9695,64084,195814,10299,10491,79796,80055,23768,1290,93183,137964,6721,51128,91012	CERS6,SYNE2,CAMK2G,STS,TMPRSS3,UGT1A7,RAB2A,SCD,TMEM67,ELOVL7,PIP4K2B,TMCO1,TMEM106C,CYP8B1,G6PC2,ASPH,CERS3,EDEM1,CLSTN2,SDR16C5,MARCH6,CRTAP,ALG9,PGAP1,FLRT2,COL5A2,PIGM,GPAT4,SREBF2,SAR1B,CERS5
GO:0044464	cell part	0.0057183521387557	-5.16407460272577	15986	271	0.944250871080139	287	17744	80011,8370,84515,112399,55421,23439,55796,4641,100506658,140576,57610,9754,554313,9877,84249,5683,1677,113026,54499,53339,79791,7652,55743,7915,9652,92370,284433,29070,8556,5549,93183,84725,23338,55701,169841,28512,842,200879,79145,3172,23510,119504,27031,7135,2523,23063,8019,841,22,140886,85456,54629,54939,126282,4985,11076,729956,79796,9098,27246,5217,64847,444,10520,390436,394,84572,23315,412,6792,23263,63027,11122,8609,6597,5396,9695,79833,79882,6678,54476,112,3181,89953,8738,538,51684,498,157922,79993,5592,9169,221937,54014,54664,65082,134829,57630,100381270,64699,54869,51742,1979,55257,391107,201725,4291,8518,3635,10299,657,29780,22903,283455,360023,23224,22888,285051,785,400713,1582,4338,163859,8500,414918,9702,129049,23446,84671,116113,64421,94097,486,7428,117247,57713,55234,3454,1521,390882,57186,146540,5828,55670,8438,137964,27152,22987,55790,54577,27300,8615,51071,23229,163049,81691,341152,22836,195814,4045,7037,54205,22843,55662,91012,51128,6721,63931,53826,196527,64431,1856,2720,5133,53335,8417,3763,80055,54442,57818,254048,56998,115330,5862,112724,162394,79022,79899,58499,10382,4010,4867,23112,284443,859,152100,11179,23164,284695,6532,51335,253782,9783,84905,126374,55128,8396,1088,10217,7334,10988,2690,253832,8907,104,128866,93377,989,56252,5049,220002,10718,4849,80031,5261,29125,2821,51776,204219,26119,54811,1290,3785,6319,8693,9094,283571,113235,4478,23345,3480,55034,64084,133619,3953,22806,5071,158,23768,818,81491,26610,6854,51313,3621,160365,91147,3918,984,10491,1456,57606,10617,5784,11037,64895,347404,1773,22992,29072,81472	FAM192A,HIST2H4A,MCM8,EGLN3,NCBP3,ATP1B4,MBNL3,MYO1C,OCLN,S100A16,RANBP10,STARD8,HIST2H4B,ZC3H11A,PSD2,PSMA2,DFFB,PLCD3,TMCO1,BTBD1,FBXO31,ZNF99,CHFR,ALDH5A1,TTC37,PXYLP1,OR10H5,CCDC113,CDC14A,PRELP,PIGM,PLEKHA8,JADE2,ARHGEF40,ZNF169,NKIRAS1,CASP9,LIPH,CHCHD7,HNF4A,KCTD2,ANAPC16,NPHP3,TNNI1,FUT1,WAPL,BRD3,CASP8,ABCB7,PABPC5,TNKS1BP1,FAM63B,COMMD4,TNFAIP8L1,OPRD1,TPPP,SHISA7,ALG9,USP6,RNF115,PFN2,SPATA20,ASPH,ZNF211,OR4K17,ARHGAP5,GNPTG,SLC9A8,STS,CDKL5,MCF2L,SLC22A23,PTPRT,KLF7,SMARCA4,PRRX1,EDEM1,GEMIN6,ZC3H14,SPARC,RNF216,ADCY6,HNRNPA2B1,KLC4,CRADD,ATP7A,SUFU,ATP5A1,CAMSAP1,ELOVL7,PRKG1,SCAF11,FOXK1,BRWD1,TMEM106B,VPS33A,CLVS2,SH3RF1,ZBED6,TMPRSS3,EPS8L1,ARID4B,EIF4EBP2,MRGBP,OR10K2,C4orf46,MLF1,IKBKAP,INPP5D,MARCH6,BMPR1A,PARVB,BTBD3,KSR2,ZBTB41,SYNE2,UBOX5,C2orf61,CACNB4,ZNF880,CYP8B1,MOCS2,SDE2,PPFIA1,DENND6B,CEP57,SGSM1,SLC44A1,ZNF347,FOXP4,DCLRE1C,SFXN5,FXYD2,VHL,SLC16A10,SFMBT2,SMU1,IFNAR1,CTSW,OR7G2,RALGAPA2,ZNF785,PEX2,PEX26,RAD54L,GPAT4,INTU,SV2C,CSGALNACT1,UGT1A7,ZNF544,USO1,DERA,ARHGEF9,ZNF791,LOC81691,OR2AT4,RHOBTB3,SDR16C5,LSAMP,TFRC,CYCS,PPM1E,HIF1AN,CERS5,SAR1B,SREBF2,MRPS14,FXYD6,ANO6,ACTR6,DVL2,GLB1,PDCD1,BCL11A,STX7,KCNJ6,PGAP1,KCTD5,G6PC2,UBN2,CTNNBIP1,GPR146,RAB2A,RDH13,SLFN5,TMEM106C,PRR5L,ZNF462,TUBB4A,LMX1B,NPHP1,TNRC6B,ZNF493,CAV3,CMC1,ZNF277,MPRIP,ZNF326,SLC6A4,NGRN,CERS6,RIMS3,ZNF341,WTIP,TRIM68,PIP4K2B,CEACAM8,CTDSPL,UBE2N,METAP2,GHR,ZDHHC20,AP1M1,ADARB1,CHMP4B,OPALIN,SEPT7,YLPM1,PAFAH1B2,CYB561A3,NRG3,CNOT3,SEMA6D,PHKG2,C11orf21,GPI,MAP3K20,CERS3,LDLRAP1,ZNF562,COL5A2,KCNQ2,SCD,GALNT4,UNC119,PROX2,SLC46A1,MSN,SYNE1,IGF1R,MOCOS,CLSTN2,PRRC1,LEPR,IKZF3,PARK2,ADSL,FLRT2,CAMK2G,GPR63,ELP4,SYN2,FAM198B,ING1,CLECL1,TMEM67,LAMC2,CDK11B,CRTAP,CSNK1G3,SLAIN2,STAMBP,PTPN14,STON1,PAPOLG,LANCL3,DNASE1,KDM2A,SETD2,OR2C3
