TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr2p16.1	human chr2p16.1	0.00379700141377725	-5.57354362539194	26	3	0.009375	320	26234	64895,53335,114800	PAPOLG,BCL11A,CCDC85A
human chr12q12	human chr12q12	0.00572015767253363	-5.16375890884208	30	3	0.009375	320	26234	83448,9169,196527	PUS7L,SCAF11,ANO6
human chr12q22	human chr12q22	0.00686413046811271	-4.98144590938494	32	3	0.009375	320	26234	10988,7334,8738	METAP2,UBE2N,CRADD
human chr12q24.22-q24.23	human chr12q24.22-q24.23	0.0121979111075327	-4.4064905625969	1	1	0.003125	320	26234	283455	KSR2
human chr10q11.23-q21.1	human chr10q11.23-q21.1	0.0121979111075327	-4.4064905625969	1	1	0.003125	320	26234	5592	PRKG1
human chr4q32.3-q33	human chr4q32.3-q33	0.0121979111075327	-4.4064905625969	1	1	0.003125	320	26234	57630	SH3RF1
human chr20q12-q13.11	human chr20q12-q13.11	0.0121979111075327	-4.4064905625969	1	1	0.003125	320	26234	11122	PTPRT
human chr15q21.3-q22.1	human chr15q21.3-q22.1	0.0121979111075327	-4.4064905625969	1	1	0.003125	320	26234	54629	FAM63B
human chr9q31.1-q31.2	human chr9q31.1-q31.2	0.0121979111075327	-4.4064905625969	1	1	0.003125	320	26234	23446	SLC44A1
human chr8q12.1-q12.2	human chr8q12.1-q12.2	0.0121979111075327	-4.4064905625969	1	1	0.003125	320	26234	5862	RAB2A
human chr17q12-q21.1	human chr17q12-q21.1	0.0121979111075327	-4.4064905625969	1	1	0.003125	320	26234	22806	IKZF3
human chr5p13.1-p12	human chr5p13.1-p12	0.0121979111075327	-4.4064905625969	1	1	0.003125	320	26234	2690	GHR
human chr1q32.3-q41	human chr1q32.3-q41	0.0121979111075327	-4.4064905625969	1	1	0.003125	320	26234	5784	PTPN14
human chr15q23-q24.1	human chr15q23-q24.1	0.0121979111075327	-4.4064905625969	1	1	0.003125	320	26234	338949	TMEM202
human chr11p13-p12	human chr11p13-p12	0.0121979111075327	-4.4064905625969	1	1	0.003125	320	26234	79899	PRR5L
human chr14q31.3	human chr14q31.3	0.0122521642187732	-4.40205268667561	14	2	0.00625	320	26234	23768,79882	FLRT2,ZC3H14
human chr12q21.33	human chr12q21.33	0.0140242307851383	-4.26696867505692	15	2	0.00625	320	26234	8693,100528030	GALNT4,POC1B-GALNT4
human chr10q23.2	human chr10q23.2	0.0221205045377311	-3.81125029346828	19	2	0.00625	320	26234	23063,657	WAPL,BMPR1A
human chr3p22.3	human chr3p22.3	0.0243830931907612	-3.71386528886852	20	2	0.00625	320	26234	2720,10491	GLB1,CRTAP
human chr10q24.31	human chr10q24.31	0.0369991779428404	-3.2968595843458	25	2	0.00625	320	26234	6319,55662	SCD,HIF1AN
human chr4q32.1	human chr4q32.1	0.0397660259873217	-3.22474234964041	26	2	0.00625	320	26234	201725,51313	C4orf46,FAM198B
human chr5q23.2	human chr5q23.2	0.0426086329658625	-3.1556983944571	27	2	0.00625	320	26234	1456,133619	CSNK1G3,PRRC1
human chr12p12.3	human chr12p12.3	0.0426086329658625	-3.1556983944571	27	2	0.00625	320	26234	440087,51071	SMCO3,DERA
human chr8q12.1	human chr8q12.1	0.0485121782025243	-3.025940415599	29	2	0.00625	320	26234	79145,195814	CHCHD7,SDR16C5
human chr5q15	human chr5q15	0.0515687510965326	-2.96483938884811	30	2	0.00625	320	26234	22836,9652	RHOBTB3,TTC37
human chr4q21.1	human chr4q21.1	0.0515687510965326	-2.96483938884811	30	2	0.00625	320	26234	8615,152816	USO1,C4orf26
human chr19q13.42	human chr19q13.42	0.0532259931013713	-2.93320840982577	166	5	0.015625	320	26234	54869,112724,84671,4849,729956	EPS8L1,RDH13,ZNF347,CNOT3,SHISA7
human chr7p15.3	human chr7p15.3	0.054692350784085	-2.90603141874608	31	2	0.00625	320	26234	340277,54205	FAM221A,CYCS
human chrXq11.1	human chrXq11.1	0.0595241313239381	-2.82137348018167	5	1	0.003125	320	26234	23229	ARHGEF9
human chr3q23	human chr3q23	0.0644447276065693	-2.7419473588925	34	2	0.00625	320	26234	92370,64084	PXYLP1,CLSTN2
human chr5q31.1	human chr5q31.1	0.0659923419186093	-2.71821657522411	76	3	0.009375	320	26234	23338,51128,134548	JADE2,SAR1B,SOWAHA
human chrXq21.31	human chrXq21.31	0.0709981592341797	-2.64510132855607	6	1	0.003125	320	26234	140886	PABPC5
human chr14q13.1	human chr14q13.1	0.0709981592341797	-2.64510132855607	6	1	0.003125	320	26234	112399	EGLN3
human chr14q24.3	human chr14q24.3	0.072325284294849	-2.62658149733127	79	3	0.009375	320	26234	283578,283571,56252	TMED8,PROX2,YLPM1
human chr1p36.33	human chr1p36.33	0.0766926603573154	-2.56794926805199	81	3	0.009375	320	26234	984,9906,254173	CDK11B,SLC35E2,TTLL10
human chr10p13	human chr10p13	0.0782647213415592	-2.54765833509601	38	2	0.00625	320	26234	64421,222389	DCLRE1C,BEND7
