TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS51049	KASH	0.00185152170403377	-6.29174743527382	4	2	0.00938967136150235	213	11955	23345,23224	SYNE1,SYNE2
PS50922	TLC	0.00315321202747504	-5.75933365441467	17	3	0.0140845070422535	213	11955	91012,204219,253782	CERS5,CERS3,CERS6
PS01310	FXYD	0.00824279218138096	-4.7984161354961	8	2	0.00938967136150235	213	11955	53826,486	FXYD6,FXYD2
PS00633	BROMODOMAIN_1	0.0107192820082095	-4.53571110242866	26	3	0.0140845070422535	213	11955	6597,8019,54014	SMARCA4,BRD3,BRWD1
PS50897	CTLH	0.0129402596569934	-4.34741192388247	10	2	0.00938967136150235	213	11955	57610,55234	RANBP10,SMU1
PS01121	CASPASE_HIS	0.0129402596569934	-4.34741192388247	10	2	0.00938967136150235	213	11955	842,841	CASP9,CASP8
PS00765	P_GLUCOSE_ISOMERASE_1	0.0178168130490091	-4.02761271417876	1	1	0.00469483568075117	213	11955	2821	GPI
PS51007	CYTC	0.0178168130490091	-4.02761271417876	1	1	0.00469483568075117	213	11955	54205	CYCS
PS51271	WAPL	0.0178168130490091	-4.02761271417876	1	1	0.00469483568075117	213	11955	23063	WAPL
PS00174	P_GLUCOSE_ISOMERASE_2	0.0178168130490091	-4.02761271417876	1	1	0.00469483568075117	213	11955	2821	GPI
PS51463	P_GLUCOSE_ISOMERASE_3	0.0178168130490091	-4.02761271417876	1	1	0.00469483568075117	213	11955	2821	GPI
PS00047	HISTONE_H4	0.0178168130490091	-4.02761271417876	1	1	0.00469483568075117	213	11955	8370	HIST2H4A
PS50207	CASPASE_P10	0.0185403800908485	-3.98780421793006	12	2	0.00938967136150235	213	11955	842,841	CASP9,CASP8
PS01122	CASPASE_CYS	0.0185403800908485	-3.98780421793006	12	2	0.00938967136150235	213	11955	842,841	CASP9,CASP8
PS51072	MHD	0.0249741393105472	-3.6899144170815	14	2	0.00938967136150235	213	11955	8907,11037	AP1M1,STON1
PS50208	CASPASE_P20	0.0249741393105472	-3.6899144170815	14	2	0.00938967136150235	213	11955	841,842	CASP8,CASP9
PS50850	MFS	0.0262135698555468	-3.64147806887849	94	5	0.0234741784037559	213	11955	22987,55356,113235,63027,117247	SV2C,SLC22A15,SLC46A1,SLC22A23,SLC16A10
PS00518	ZF_RING_1	0.0291050681668405	-3.53684295616049	166	7	0.0328638497652582	213	11955	5828,9169,57630,22888,55743,164832,55128	PEX2,SCAF11,SH3RF1,UBOX5,CHFR,LONRF2,TRIM68
PS50014	BROMODOMAIN_2	0.0318484903944183	-3.44676529543676	39	3	0.0140845070422535	213	11955	8019,54014,6597	BRD3,BRWD1,SMARCA4
PS51422	SAR1	0.0353176511621262	-3.34337240709627	2	1	0.00469483568075117	213	11955	51128	SAR1B
PS01182	GLYCOSYL_HYDROL_F35	0.0353176511621262	-3.34337240709627	2	1	0.00469483568075117	213	11955	2720	GLB1
PS00476	FATTY_ACID_DESATUR_1	0.0353176511621262	-3.34337240709627	2	1	0.00469483568075117	213	11955	6319	SCD
PS51666	QLQ	0.0353176511621262	-3.34337240709627	2	1	0.00469483568075117	213	11955	6597	SMARCA4
PS00613	OSTEONECTIN_2	0.0353176511621262	-3.34337240709627	2	1	0.00469483568075117	213	11955	6678	SPARC
PS50984	TRUD	0.0353176511621262	-3.34337240709627	2	1	0.00469483568075117	213	11955	83448	PUS7L
PS01202	MAP_2	0.0353176511621262	-3.34337240709627	2	1	0.00469483568075117	213	11955	10988	METAP2
PS00612	OSTEONECTIN_1	0.0353176511621262	-3.34337240709627	2	1	0.00469483568075117	213	11955	6678	SPARC
PS51818	HOMEO_PROSPERO	0.0353176511621262	-3.34337240709627	2	1	0.00469483568075117	213	11955	283571	PROX2
PS00414	PROFILIN	0.0353176511621262	-3.34337240709627	2	1	0.00469483568075117	213	11955	5217	PFN2
PS50010	DH_2	0.0360731994332117	-3.32220508732912	70	4	0.0187793427230047	213	11955	55701,23263,26030,23229	ARHGEF40,MCF2L,PLEKHG3,ARHGEF9
PS01210	CAVEOLIN	0.0525080920812917	-2.94678798638037	3	1	0.00469483568075117	213	11955	859	CAV3
PS00163	FUMARATE_LYASES	0.0525080920812917	-2.94678798638037	3	1	0.00469483568075117	213	11955	158	ADSL
PS51340	MOSC	0.0525080920812917	-2.94678798638037	3	1	0.00469483568075117	213	11955	55034	MOCOS
PS51070	SHD	0.0525080920812917	-2.94678798638037	3	1	0.00469483568075117	213	11955	11037	STON1
PS00416	SYNAPSIN_2	0.0525080920812917	-2.94678798638037	3	1	0.00469483568075117	213	11955	6854	SYN2
PS51799	ZF_C2H2_AKAP95	0.0525080920812917	-2.94678798638037	3	1	0.00469483568075117	213	11955	284695	ZNF326
PS51508	CKK	0.0525080920812917	-2.94678798638037	3	1	0.00469483568075117	213	11955	157922	CAMSAP1
PS01160	KINESIN_LIGHT	0.0525080920812917	-2.94678798638037	3	1	0.00469483568075117	213	11955	89953	KLC4
PS00415	SYNAPSIN_1	0.0525080920812917	-2.94678798638037	3	1	0.00469483568075117	213	11955	6854	SYN2
PS01047	HMA_1	0.0525080920812917	-2.94678798638037	3	1	0.00469483568075117	213	11955	538	ATP7A
