TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-HSA-111458	Formation of apoptosome	0.000952554262919421	-6.95636348364181	3	2	0.0108108108108108	185	10293	842,54205	CASP9,CYCS
R-HSA-111461	Cytochrome c-mediated apoptotic response	0.00310050287239988	-5.77619096374359	5	2	0.0108108108108108	185	10293	842,54205	CASP9,CYCS
R-HSA-111459	Activation of caspases through apoptosome-mediated cleavage	0.00310050287239988	-5.77619096374359	5	2	0.0108108108108108	185	10293	842,54205	CASP9,CYCS
R-HSA-947581	Molybdenum cofactor biosynthesis	0.0045958562650429	-5.38260019340919	6	2	0.0108108108108108	185	10293	4338,55034	MOCS2,MOCOS
R-HSA-111471	Apoptotic factor-mediated response	0.00635835853160875	-5.05798502745606	7	2	0.0108108108108108	185	10293	842,54205	CASP9,CYCS
R-HSA-3247509	Chromatin modifying enzymes	0.011963378116093	-4.42590511916313	279	11	0.0594594594594595	185	10293	8518,6597,51742,554313,22992,54014,29072,55257,23338,26610,8370	IKBKAP,SMARCA4,ARID4B,HIST2H4B,KDM2A,BRWD1,SETD2,MRGBP,JADE2,ELP4,HIST2H4A
R-HSA-4839726	Chromatin organization	0.011963378116093	-4.42590511916313	279	11	0.0594594594594595	185	10293	554313,8518,6597,51742,54014,22992,29072,55257,8370,26610,23338	HIST2H4B,IKBKAP,SMARCA4,ARID4B,BRWD1,KDM2A,SETD2,MRGBP,HIST2H4A,ELP4,JADE2
R-HSA-1234174	Regulation of Hypoxia-inducible Factor (HIF) by oxygen	0.0137183641191724	-4.28901989708972	79	5	0.027027027027027	185	10293	5683,126374,55662,7428,112399	PSMA2,WTIP,HIF1AN,VHL,EGLN3
R-HSA-2262749	Cellular response to hypoxia	0.0137183641191724	-4.28901989708972	79	5	0.027027027027027	185	10293	112399,7428,126374,55662,5683	EGLN3,VHL,WTIP,HIF1AN,PSMA2
R-HSA-112315	Transmission across Chemical Synapses	0.0164360280529498	-4.10827952116334	217	9	0.0486486486486487	185	10293	3763,8500,23229,7915,6854,818,112,785,6532	KCNJ6,PPFIA1,ARHGEF9,ALDH5A1,SYN2,CAMK2G,ADCY6,CACNB4,SLC6A4
R-HSA-5578775	Ion homeostasis	0.0179489943164149	-4.02022119255809	56	4	0.0216216216216216	185	10293	444,818,53826,486	ASPH,CAMK2G,FXYD6,FXYD2
R-HSA-2022857	Keratan sulfate degradation	0.0188380333494164	-3.97187740225627	12	2	0.0108108108108108	185	10293	2720,5549	GLB1,PRELP
R-HSA-168638	NOD1/2 Signaling Pathway	0.0193303389615067	-3.94607945040055	32	3	0.0162162162162162	185	10293	7334,841,842	UBE2N,CASP8,CASP9
R-HSA-936837	Ion transport by P-type ATPases	0.0201712427544455	-3.90349731491083	58	4	0.0216216216216216	185	10293	53826,538,818,486	FXYD6,ATP7A,CAMK2G,FXYD2
