TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP254	Apoptosis	0.000699089986830546	-7.26573108749191	86	7	0.0752688172043011	93	5314	54205,1677,842,3480,9169,8738,841	CYCS,DFFB,CASP9,IGF1R,SCAF11,CRADD,CASP8
WP384	Apoptosis Modulation by HSP70	0.00410412609288853	-5.49576244719761	19	3	0.032258064516129	93	5314	841,842,54205	CASP8,CASP9,CYCS
WP1422	Sphingolipid Metabolism	0.00476773529442269	-5.34588386786956	20	3	0.032258064516129	93	5314	253782,91012,204219	CERS6,CERS5,CERS3
WP2507	Nanomaterial induced apoptosis	0.0054925437326714	-5.20436379148479	21	3	0.032258064516129	93	5314	54205,842,841	CYCS,CASP9,CASP8
WP314	Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation	0.00699202775124945	-4.96298467163657	44	4	0.043010752688172	93	5314	842,1677,54205,841	CASP9,DFFB,CYCS,CASP8
WP2276	Glial Cell Differentiation	0.00792200469126004	-4.83811098760131	8	2	0.021505376344086	93	5314	11076,4478	TPPP,MSN
WP1772	Apoptosis Modulation and Signaling	0.0238377333616842	-3.73648551841566	94	5	0.0537634408602151	93	5314	841,8738,1677,54205,842	CASP8,CRADD,DFFB,CYCS,CASP9
WP2324	AGE/RAGE pathway	0.0277771065424015	-3.58354310322162	66	4	0.043010752688172	93	5314	4478,842,54205,841	MSN,CASP9,CYCS,CASP8
WP2011	SREBF and miR33 in cholesterol and lipid homeostasis	0.0427174307340689	-3.15314822813157	19	2	0.021505376344086	93	5314	6319,6721	SCD,SREBF2
WP2267	Synaptic Vesicle Pathway	0.0620098634197452	-2.78046181917486	52	3	0.032258064516129	93	5314	6532,6854,100500912	SLC6A4,SYN2,MIR3674
WP1981	Thyroxine (Thyroid Hormone) Production	0.100562465696361	-2.2969761953472	6	1	0.010752688172043	93	5314	7038	TG
