TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
META_PWY-6000	gamma-linolenate biosynthesis II (animals)	0.0159612431361871	-4.13759179925526	3	2	0.0294117647058824	68	903	9415,2180	FADS2,ACSL1
META_PWY-7724	icosapentaenoate biosynthesis III (8-desaturase, mammals)	0.0159612431361871	-4.13759179925526	3	2	0.0294117647058824	68	903	9415,2180	FADS2,ACSL1
META_PWY-7049	icosapentaenoate biosynthesis II (6-desaturase, mammals)	0.0159612431361871	-4.13759179925526	3	2	0.0294117647058824	68	903	9415,2180	FADS2,ACSL1
META_PWY-7426	mannosyl-glycoprotein N-acetylglucosaminyltransferases	0.0173987326404423	-4.05135791217057	8	3	0.0441176470588235	68	903	4124,4245,11282	MAN2A1,MGAT1,MGAT4B
META_PWY-6564	heparan sulfate biosynthesis	0.0241960104262824	-3.72156751782822	23	5	0.0735294117647059	68	903	27087,26229,2137,2134,2132	B3GAT1,B3GAT3,EXTL3,EXTL1,EXT2
META_PWY-7592	arachidonate biosynthesis III (6-desaturase, mammals)	0.0303723025267672	-3.49422418696802	4	2	0.0294117647058824	68	903	2180,9415	ACSL1,FADS2
HUMAN_THIOREDOX-PWY	thioredoxin pathway	0.0303723025267672	-3.49422418696802	4	2	0.0294117647058824	68	903	7296,10587	TXNRD1,TXNRD2
META_PWY-5189	tetrapyrrole biosynthesis II (from glycine)	0.0481763996305421	-3.03288601205668	5	2	0.0294117647058824	68	903	212,3145	ALAS2,HMBS
HUMAN_PWY-5189	tetrapyrrole biosynthesis	0.0481763996305421	-3.03288601205668	5	2	0.0294117647058824	68	903	212,3145	ALAS2,HMBS
HUMAN_PWY-6571	dermatan sulfate biosynthesis	0.0549579493161036	-2.90118694406213	12	3	0.0441176470588235	68	903	26229,27087,55790	B3GAT3,B3GAT1,CSGALNACT1
META_PWY-7277	sphingolipid biosynthesis (mammals)	0.0687958439378635	-2.67661194374736	6	2	0.0294117647058824	68	903	9517,2531	SPTLC2,KDSR
META_PWY3DJ-12	ceramide de novo biosynthesis	0.0687958439378635	-2.67661194374736	6	2	0.0294117647058824	68	903	9517,2531	SPTLC2,KDSR
META_PWY-5972	stearate biosynthesis I (animals and fungi)	0.0687958439378635	-2.67661194374736	6	2	0.0294117647058824	68	903	79071,2180	ELOVL6,ACSL1
META_PWY-6557	glycoaminoglycan-protein linkage region biosynthesis	0.0687958439378635	-2.67661194374736	6	2	0.0294117647058824	68	903	26229,27087	B3GAT3,B3GAT1
HUMAN_PWY3DJ-12	ceramide de novo biosynthesis	0.0687958439378635	-2.67661194374736	6	2	0.0294117647058824	68	903	2531,9517	KDSR,SPTLC2
HUMAN_PWY-6557	glycoaminoglycan-protein linkage region biosynthesis	0.0687958439378635	-2.67661194374736	6	2	0.0294117647058824	68	903	26229,27087	B3GAT3,B3GAT1
HUMAN_PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	0.0753045404209335	-2.58621484823936	1	1	0.0147058823529412	68	903	9054	NFS1
META_PWY-6241	thyroid hormone biosynthesis	0.0753045404209335	-2.58621484823936	1	1	0.0147058823529412	68	903	1509	CTSD
