TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0007265	Ras protein signal transduction	0.000141596676201552	-8.86252785013304	144	22	0.0205607476635514	1070	16543	283455,9289,1072,7157,2768,53358,22808,10787,57826,3984,51495,1399,2664,1796,7867,22800,6239,2247,394,10602,391,152015	KSR2,ADGRG1,CFL1,TP53,GNA12,SHC3,MRAS,NCKAP1,RAP2C,LIMK1,HACD3,CRKL,GDI1,DOK1,MAPKAPK3,RRAS2,RREB1,FGF2,ARHGAP5,CDC42EP3,RHOG,ROPN1B
GO:0001933	negative regulation of protein phosphorylation	0.000178764641835938	-8.62944046737591	386	44	0.0411214953271028	1070	16543	2039,4221,103,79883,8835,7040,56940,25793,55364,55861,10253,338761,4690,868,8692,80059,5576,5570,11072,84335,753,374403,5998,23435,6461,27342,51231,2022,5573,10399,57732,25,5080,1852,2675,5577,65268,9241,57761,10217,154043,120892,10252,4771	DMTN,MEN1,ADAR,PODNL1,SOCS2,TGFB1,DUSP22,FBXO7,IMPACT,DBNDD2,SPRY2,C1QL4,NCK1,CBLB,HYAL2,LRRTM4,PRKAR2A,PKIB,DUSP14,AKT1S1,LDLRAD4,TBC1D10C,RGS3,TARDBP,SHB,RABGEF1,VRK3,ENG,PRKAR1A,RACK1,ZFYVE28,ABL1,PAX6,DUSP9,GFRA2,PRKAR2B,WNK2,NOG,TRIB3,CTDSPL,CNKSR3,LRRK2,SPRY1,NF2
GO:0048523	negative regulation of cellular process	0.00019940234752798	-8.52018592754706	4190	321	0.3	1070	16543	2354,7159,5926,6461,5734,6832,8601,8314,10752,6772,2956,55922,4849,55681,28984,3655,10252,9134,5791,8826,120892,627,7157,57510,5577,7850,65268,5525,100381270,5273,10399,5216,5903,55024,23112,51232,7710,2868,25816,161,163255,23650,2796,5265,7431,1997,10951,8654,23551,80315,10217,7417,57761,5774,25855,1289,53827,6207,7536,56963,30818,1852,5080,10010,5800,8877,7490,55635,85456,51222,9242,9425,166,55929,2495,5931,11043,10253,54998,868,26278,253725,55841,605,10401,149951,10385,4221,4771,29933,51156,84891,3717,397,192669,79412,55366,9241,57649,6778,9110,2146,3709,85508,5267,3091,51231,84101,10397,30061,8621,79791,9100,81620,5087,8558,80823,5629,11060,6597,4690,3172,341405,2247,55364,558,51123,9735,8835,1112,92335,23051,3351,3623,10595,103,154043,149428,596,7784,7020,8453,29934,85458,57560,57732,2615,112401,56957,27018,5797,1812,51474,79148,10129,56776,6397,27086,8507,81603,5998,822,6665,114771,9289,6586,133,2332,23654,773,25793,6304,25913,5017,563,9719,2859,100127983,1999,3688,51738,23677,1072,2675,3659,3475,5083,5916,367,9575,54815,7216,2022,6909,27342,9094,23435,51621,3621,10432,5570,753,92140,84174,55437,55003,1545,163081,8874,3485,79883,79923,51567,2039,10653,257144,2017,10634,6929,57491,830,5307,55937,117584,59082,896,64324,23293,114770,6239,57533,4101,9531,23394,84446,64689,3248,4300,4000,2561,54908,266740,6002,6096,5576,79365,8611,2620,4088,8692,54463,55861,3609,8767,90627,8932,10765,2918,56940,637,2023,5831,2253,7541,9921,947,3213,54739,7442,23291,57795,84260,26051,4887,3400,4864,25,5573,126520,154,79813,53349,63967,3984,29091,129563,374403,10613,11072,1111,84335,598,2729,80059,338761,7040,10736,22902,11160,11124,493,10669,57826,63901,60436,10755,1859,25920,7703,79822,80155,8738,84133,7068,3164,9516,80034,2200,10776,8013,2664	FOSB,TP53BP2,ARID4A,SHB,PTGER4,SUPV3L1,RGS20,BAP1,CHL1,STAT1,MSH6,NKRF,CNOT3,SCYL2,RGCC,ITGA6,SPRY1,CCNE2,PTPRE,IQGAP1,LRRK2,BDNF,TP53,XPO5,PRKAR2B,IL1R2,WNK2,PPP2R5A,ZBED6,SERPINB10,RACK1,PFN1,RANBP2,BANK1,TNRC6B,CRIM1,ZNF154,GRK4,TNFAIP8,AP2A2,ZNF540,TRIM29,GNRH1,SERPINA1,VIM,ELF1,CBX1,PDE5A,RASD2,CPEB4,CTDSPL,VDAC2,TRIB3,PTPN3,BRMS1,COL5A1,FXYD5,RPS13,SF1,RGMA,KCNIP3,DUSP9,PAX6,TANK,PTPRO,SPHK1,WT1,DEPDC1,TNKS1BP1,ZNF219,MSC,CDYL,AES,DMAP1,FTH1,RBBP7,MID2,SPRY2,AURKAIP1,CBLB,SACS,WASHC2C,WWC3,BCL7A,PIAS3,COMMD7,BTN2A2,MEN1,NF2,GPR132,SERPINA10,ZSCAN10,JAK2,ARHGDIB,AGO3,KREMEN2,LGR4,NOG,PHF12,STAT6,MTMR4,EZH2,ITPR2,SCRT2,SERPINA4,HIF1A,VRK3,USP44,NDRG1,SLC40A1,CDK13,FBXO31,USP10,CDT1,PBX1,CDK10,BHLHB9,PROX1,WWP2,SMARCA4,NCK1,HNF4A,ANKRD33,FGF2,IMPACT,AXL,ZNF706,KNTC1,SOCS2,FOXN3,STRADA,ZHX3,HTR1B,INHA,ERN2,ADAR,CNKSR3,BNIPL,BCL2,ZP3,TFAP2A,CUL2,SNX12,DIXDC1,IFT80,ZFYVE28,LRRC32,BIRC8,OTUD7B,BEX3,PTPRM,DRD1,LIMA1,MMP28,FRY,FMN2,SEC14L1,FOXP1,ENC1,TRIM8,RGS3,CAPG,SOX15,PGLYRP3,ADGRG1,SLIT3,ADM,FMR1,PLXNB2,CACNA1A,FBXO7,SATB1,POT1,OVOL1,AZGP1,ADAMTSL2,GPR35,C8orf88,ELF3,ITGB1,GHRL,SH3BP4,CFL1,GFRA2,IRF1,IFRD1,PAX9,RARG,AR,CLOCK,GATAD2A,TRO,ENG,TBX2,RABGEF1,UNC119,TARDBP,KLF13,ING1,RBM14,PKIB,LDLRAD4,MTDH,SLA2,STRADB,PAK1IP1,CYP1B1,ZNF567,ARHGEF7,IGFBP2,PODNL1,NANOG,TDP2,DMTN,SPINT2,GCSAM,CTTN,GAS2L1,TCF3,AHRR,CAPZA2,PITX1,APOM,RFFL,CARD18,CCND3,NSD1,SMG6,PGLYRP2,RREB1,TBC1D14,MAGEA2,BAG3,ADNP,BRSK1,GORASP1,HPGD,MLLT3,LMNA,GABRB2,SPDL1,MAGEA2B,RGS12,RORB,PRKAR2A,BHLHE41,PLPP1,GAS2,SMAD3,HYAL2,FAM134B,DBNDD2,ILF3,RIPK2,STARD13,MBD2,KDM5B,GRM8,DUSP22,BID,ENO1,PYCR1,FGF8,ZBTB14,RNF10,CD34,HOXB3,XAF1,TRPV1,FBXW11,BRINP2,TCHP,PPP1R16B,NPY2R,ID4,NPC1,ABL1,PRKAR1A,PLK5,ADRB2,EHMT1,ZFYVE1,CLSPN,LIMK1,STXBP6,DIS3L2,TBC1D10C,ERLIN1,DUSP14,CHEK1,AKT1S1,BCL2L1,GCLC,LRRTM4,C1QL4,TGFB1,SIX2,RUFY3,ERLIN2,FAF1,ATP2B4,CGREF1,RAP2C,FAM111A,TGIF2,GIPC1,DYRK1A,NELFB,PCGF2,ARHGAP28,NAA15,CRADD,ZNRF3,THRB,NR4A1,LITAF,CSRNP3,FBN1,ARPP19,NR4A3,GDI1
GO:0042326	negative regulation of phosphorylation	0.000199418178585072	-8.52010653816731	423	47	0.0439252336448598	1070	16543	57761,2675,5577,5525,65268,9241,10252,4771,10217,154043,120892,2022,51231,27342,5903,57732,25,1852,5080,5573,10399,5570,5576,11072,84335,753,8692,80059,23435,6461,374403,5998,79883,8835,2039,3623,103,4221,10253,55861,338761,4690,868,7040,25793,56940,55364	TRIB3,GFRA2,PRKAR2B,PPP2R5A,WNK2,NOG,SPRY1,NF2,CTDSPL,CNKSR3,LRRK2,ENG,VRK3,RABGEF1,RANBP2,ZFYVE28,ABL1,DUSP9,PAX6,PRKAR1A,RACK1,PKIB,PRKAR2A,DUSP14,AKT1S1,LDLRAD4,HYAL2,LRRTM4,TARDBP,SHB,TBC1D10C,RGS3,PODNL1,SOCS2,DMTN,INHA,ADAR,MEN1,SPRY2,DBNDD2,C1QL4,NCK1,CBLB,TGFB1,FBXO7,DUSP22,IMPACT
GO:0048519	negative regulation of biological process	0.000218109065164288	-8.43051532136421	4518	343	0.320560747663551	1070	16543	84174,92140,55437,55003,5570,144453,753,3621,10432,23435,51621,2039,51567,79883,79923,3485,163081,1545,8874,5307,117584,55937,6929,57491,830,10634,2017,10653,257144,84446,9531,23394,64689,6239,4101,57533,23293,4927,114770,896,59082,64324,6665,114771,9289,9641,822,81603,8507,5998,10129,56776,6397,79148,51006,27086,9719,563,5017,25913,23654,2332,6304,25793,773,133,6586,2675,3659,23677,1072,2859,100127983,1999,3688,51738,27342,6909,9162,9094,2022,54815,7216,5916,3475,5083,9575,367,598,2729,80059,11072,84335,79023,1111,129563,374403,10613,63967,53349,29091,3984,11124,10669,493,11160,7058,7040,22902,10736,338761,79822,80155,1859,10755,7703,25920,63901,60436,57826,2200,2664,10776,8013,100101267,3164,80034,9516,7068,84133,8738,4088,2620,5733,8692,5576,6096,6002,79365,8611,4000,266740,54908,2561,3248,4300,7541,2253,637,5831,2023,56940,2918,10765,55861,54463,3609,8767,8932,90627,4887,3400,84260,26051,23291,7442,57795,9921,3213,54739,947,79813,154,9817,5573,126520,25,4864,25816,54899,2868,51232,23112,7710,55024,1997,7431,5265,8654,10951,23650,161,163255,2796,6207,53827,7536,57761,25855,5774,2969,1289,80315,10217,7417,23551,8877,7490,5800,10010,30818,56963,1852,5080,10752,8601,8314,6772,5734,6832,7159,2354,6461,5926,66005,28984,55681,4849,23450,55922,2956,7850,5577,5525,100381270,208,65268,7157,627,57510,120892,8826,3655,10252,5791,9134,5903,5216,10399,5273,284207,11060,8558,5629,80823,81620,9100,5087,8621,79791,3623,3351,10595,103,9735,51123,92335,8835,1112,23051,341405,3172,558,55364,2247,6597,4690,85458,79621,29934,8453,7020,51291,596,149428,154043,7784,4502,51474,5797,27018,1812,2615,56957,112401,149233,57732,57560,2495,55929,166,9425,5931,9242,85456,51222,55635,10385,4221,26278,8614,10401,149951,253725,55841,605,10253,11043,868,54998,57649,9241,79412,192669,55366,397,84891,29933,51156,4771,885,3717,10397,30061,3091,51231,84101,3709,85508,5267,6778,2146,9110	SLA2,MTDH,STRADB,PAK1IP1,PKIB,BEST3,LDLRAD4,ING1,RBM14,TARDBP,KLF13,DMTN,TDP2,PODNL1,NANOG,IGFBP2,ZNF567,CYP1B1,ARHGEF7,PITX1,RFFL,APOM,TCF3,AHRR,CAPZA2,GAS2L1,CTTN,SPINT2,GCSAM,BRSK1,BAG3,ADNP,GORASP1,RREB1,MAGEA2,TBC1D14,SMG6,NUP88,PGLYRP2,CCND3,CARD18,NSD1,SOX15,PGLYRP3,ADGRG1,IKBKE,CAPG,TRIM8,ENC1,RGS3,FRY,FMN2,SEC14L1,MMP28,SLC35C2,FOXP1,ADAMTSL2,AZGP1,OVOL1,POT1,PLXNB2,FMR1,SATB1,FBXO7,CACNA1A,ADM,SLIT3,GFRA2,IRF1,SH3BP4,CFL1,GPR35,C8orf88,ELF3,ITGB1,GHRL,RABGEF1,TBX2,DGKI,UNC119,ENG,GATAD2A,TRO,RARG,IFRD1,PAX9,CLOCK,AR,BCL2L1,GCLC,LRRTM4,DUSP14,AKT1S1,NUP37,CHEK1,DIS3L2,TBC1D10C,ERLIN1,CLSPN,ZFYVE1,STXBP6,LIMK1,FAF1,CGREF1,ATP2B4,ERLIN2,THBS2,TGFB1,RUFY3,SIX2,C1QL4,ARHGAP28,NAA15,DYRK1A,GIPC1,PCGF2,NELFB,FAM111A,TGIF2,RAP2C,FBN1,GDI1,ARPP19,NR4A3,POM121C,NR4A1,CSRNP3,LITAF,THRB,ZNRF3,CRADD,SMAD3,GAS2,PTGER3,HYAL2,PRKAR2A,RORB,RGS12,BHLHE41,PLPP1,LMNA,MAGEA2B,SPDL1,GABRB2,HPGD,MLLT3,ZBTB14,FGF8,BID,PYCR1,ENO1,DUSP22,GRM8,KDM5B,DBNDD2,FAM134B,ILF3,RIPK2,MBD2,STARD13,NPY2R,ID4,TCHP,PPP1R16B,FBXW11,TRPV1,BRINP2,RNF10,HOXB3,XAF1,CD34,EHMT1,ADRB2,KEAP1,PRKAR1A,PLK5,ABL1,NPC1,TNFAIP8,PXK,GRK4,CRIM1,TNRC6B,ZNF154,BANK1,ELF1,VIM,SERPINA1,PDE5A,CBX1,TRIM29,AP2A2,ZNF540,GNRH1,RPS13,FXYD5,SF1,TRIB3,BRMS1,PTPN3,GTF2I,COL5A1,CPEB4,CTDSPL,VDAC2,RASD2,SPHK1,WT1,PTPRO,TANK,KCNIP3,RGMA,DUSP9,PAX6,CHL1,RGS20,BAP1,STAT1,PTGER4,SUPV3L1,TP53BP2,FOSB,SHB,ARID4A,CHID1,RGCC,SCYL2,CNOT3,SF3B3,NKRF,MSH6,IL1R2,PRKAR2B,PPP2R5A,ZBED6,AKT2,WNK2,TP53,BDNF,XPO5,LRRK2,IQGAP1,ITGA6,SPRY1,PTPRE,CCNE2,RANBP2,PFN1,RACK1,SERPINB10,METRNL,WWP2,CDK10,PROX1,BHLHB9,CDT1,USP10,PBX1,CDK13,FBXO31,INHA,HTR1B,ERN2,ADAR,KNTC1,ZNF706,STRADA,SOCS2,FOXN3,ZHX3,ANKRD33,HNF4A,AXL,IMPACT,FGF2,SMARCA4,NCK1,DIXDC1,RNASEH2B,SNX12,CUL2,TFAP2A,GMIP,BCL2,BNIPL,CNKSR3,ZP3,MT2A,LIMA1,PTPRM,BEX3,DRD1,LRRC32,OTUD7B,BIRC8,IL23R,ZFYVE28,IFT80,FTH1,DMAP1,AES,CDYL,RBBP7,MSC,TNKS1BP1,ZNF219,DEPDC1,BTN2A2,MEN1,SACS,STC2,PIAS3,COMMD7,WASHC2C,WWC3,BCL7A,SPRY2,MID2,CBLB,AURKAIP1,PHF12,NOG,KREMEN2,AGO3,LGR4,ARHGDIB,ZSCAN10,GPR132,SERPINA10,NF2,CCK,JAK2,NDRG1,SLC40A1,HIF1A,VRK3,USP44,ITPR2,SCRT2,SERPINA4,STAT6,EZH2,MTMR4
GO:0006438	valyl-tRNA aminoacylation	0.000269878748599414	-8.21753777909362	3	3	0.00280373831775701	1070	16543	8565,57176,7407	YARS,VARS2,VARS
GO:0034330	cell junction organization	0.000370932731344939	-7.89948982892632	185	25	0.0233644859813084	1070	16543	596,977,2706,2017,389,4771,3655,10207,1005,4088,7368,5339,92140,23114,9074,287,3801,7040,64398,57863,51762,8874,81607,7082,5800	BCL2,CD151,GJB2,CTTN,RHOC,NF2,ITGA6,PATJ,CDH7,SMAD3,UGT8,PLEC,MTDH,NFASC,CLDN6,ANK2,KIFC3,TGFB1,MPP5,CADM3,RAB8B,ARHGEF7,NECTIN4,TJP1,PTPRO
GO:0010762	regulation of fibroblast migration	0.000485057165378042	-7.63124380721368	30	8	0.00747663551401869	1070	16543	51057,8874,2247,7040,2768,8692,117584,2039	WDPCP,ARHGEF7,FGF2,TGFB1,GNA12,HYAL2,RFFL,DMTN
GO:0001655	urogenital system development	0.000583505016864439	-7.44645750839212	302	35	0.0327102803738318	1070	16543	5228,4357,5087,79810,56913,4088,6772,8692,5629,7040,2247,10736,113263,2253,5017,7337,596,90410,8826,120892,3655,10252,4643,947,9241,3400,55366,7020,4311,5916,367,51057,2200,7490,5800	PGF,MPST,PBX1,PTCD2,C1GALT1,SMAD3,STAT1,HYAL2,PROX1,TGFB1,FGF2,SIX2,GLCCI1,FGF8,OVOL1,UBE3A,BCL2,IFT20,IQGAP1,LRRK2,ITGA6,SPRY1,MYO1E,CD34,NOG,ID4,LGR4,TFAP2A,MME,RARG,AR,WDPCP,FBN1,WT1,PTPRO
GO:0045936	negative regulation of phosphate metabolic process	0.000597573865234937	-7.42263265797524	542	55	0.0514018691588785	1070	16543	26051,57761,9241,65268,5525,5577,2675,4887,10252,4771,8826,120892,154043,10217,80034,2022,51231,5903,10776,27342,5080,1852,25,57732,10399,5573,753,84335,11072,5576,5570,80059,8692,6461,53349,23435,5998,374403,8835,79883,4221,103,3351,3623,2039,4690,868,338761,55861,10253,55364,56940,25793,2918,7040	PPP1R16B,TRIB3,NOG,WNK2,PPP2R5A,PRKAR2B,GFRA2,NPY2R,SPRY1,NF2,IQGAP1,LRRK2,CNKSR3,CTDSPL,CSRNP3,ENG,VRK3,RANBP2,ARPP19,RABGEF1,PAX6,DUSP9,ABL1,ZFYVE28,RACK1,PRKAR1A,LDLRAD4,AKT1S1,DUSP14,PRKAR2A,PKIB,LRRTM4,HYAL2,SHB,ZFYVE1,TARDBP,RGS3,TBC1D10C,SOCS2,PODNL1,MEN1,ADAR,HTR1B,INHA,DMTN,NCK1,CBLB,C1QL4,DBNDD2,SPRY2,IMPACT,DUSP22,FBXO7,GRM8,TGFB1
