TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chrXq28	human chrXq28	0.00146146503831014	-6.52831589548485	145	16	0.0128617363344051	1244	26234	4101,8260,6748,1852,2157,1069,2652,728269,4108,728458,9130,2664,5956,537,91966,266740	MAGEA2,NAA10,SSR4,DUSP9,F8,CETN2,OPN1MW,MAGEA9B,MAGEA9,OPN1MW2,FAM50A,GDI1,OPN1LW,ATP6AP1,CXorf40A,MAGEA2B
human chr2p22.2	human chr2p22.2	0.00202991244660517	-6.1997626166097	20	5	0.00401929260450161	1244	26234	1545,55471,5212,51232,10602	CYP1B1,NDUFAF7,VIT,CRIM1,CDC42EP3
human chr4p16.3	human chr4p16.3	0.0033850368651299	-5.68839048194459	77	10	0.00803858520900321	1244	26234	6452,57732,10417,10815,2868,4636,6002,345222,54872,57654	SH3BP2,ZFYVE28,SPON2,CPLX1,GRK4,MYL5,RGS12,MSANTD1,PIGG,UVSSA
human chr19q13.31	human chr19q13.31	0.00468819532354036	-5.36270756299765	56	8	0.00643086816720257	1244	26234	5673,126299,353355,5670,125931,284348,56971,147710	PSG5,ZNF428,ZNF233,PSG2,CEACAM20,LYPD5,CEACAM19,IGSF23
human chr19q13.43	human chr19q13.43	0.00723829843807389	-4.92836912257208	99	11	0.00884244372990354	1244	26234	388566,7694,10520,80095,84878,7710,388569,55663,25799,27300,7565	ZNF470,ZNF135,ZNF211,ZNF606,ZBTB45,ZNF154,ZNF324B,ZNF446,ZNF324,ZNF544,ZNF17
human chr12q13.12	human chr12q13.12	0.0087032909682298	-4.74405405263817	62	8	0.00643086816720257	1244	26234	466,4891,51474,91012,7846,338761,79962,5630	ATF1,SLC11A2,LIMA1,CERS5,TUBA1A,C1QL4,DNAJC22,PRPH
human chr4q34.1	human chr4q34.1	0.0110165815565326	-4.50835372696188	19	4	0.00321543408360129	1244	26234	3248,11086,8001,442117	HPGD,ADAM29,GLRA3,GALNTL6
human chr17q12	human chr17q12	0.0124111988075462	-4.38915608430652	121	12	0.00964630225080386	1244	26234	11072,31,201299,79148,8396,4302,782,100170841,7703,57636,117584,57125	DUSP14,ACACA,RDM1,MMP28,PIP4K2B,MLLT6,CACNB1,EPOP,PCGF2,ARHGAP23,RFFL,PLXDC1
human chr12q24.11	human chr12q24.11	0.015259265755301	-4.18256836992555	43	6	0.00482315112540193	1244	26234	84749,5501,121642,88455,84260,83892	USP30,PPP1CC,ALKBH2,ANKRD13A,TCHP,KCTD10
human chr7q22.3	human chr7q22.3	0.0185801814833813	-3.98565977797023	22	4	0.00321543408360129	1244	26234	55973,5577,5172,10135	BCAP29,PRKAR2B,SLC26A4,NAMPT
human chr2p13.2	human chr2p13.2	0.0212869943130343	-3.84965898838838	13	3	0.00241157556270096	1244	26234	2016,344022,150726	EMX1,NOTO,FBXO41
human chr4q28.1	human chr4q28.1	0.0212869943130343	-3.84965898838838	13	3	0.00241157556270096	1244	26234	22824,2247,10252	HSPA4L,FGF2,SPRY1
