TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
Select biomarker traits(PMID:17903293)	Select biomarker traits(PMID:17903293)	0.00370105670206962	-5.59913690495254	5	3	0.0167597765363128	179	2388	440279,57863,3091	UNC13C,CADM3,HIF1A
Sclerosing cholangitis and ulcerative colitis (combined)(PMID:22821403)	Sclerosing cholangitis and ulcerative colitis (combined)(PMID:22821403)	0.00558967158094054	-5.18683474471447	2	2	0.0111731843575419	179	2388	6925,2859	TCF4,GPR35
Menopause (age at onset)(PMID:19448619)	Menopause (age at onset)(PMID:19448619)	0.0115717753597222	-4.45918630445538	7	3	0.0167597765363128	179	2388	164312,84515,84446	LRRN4,MCM8,BRSK1
Waist-hip ratio(PMID:20935629)	Waist-hip ratio(PMID:20935629)	0.0115717753597222	-4.45918630445538	7	3	0.0167597765363128	179	2388	84133,80315,56244	ZNRF3,CPEB4,BTNL2
Cystic fibrosis severity(PMID:21602797)	Cystic fibrosis severity(PMID:21602797)	0.0159397005182387	-4.13894239386189	3	2	0.0111731843575419	179	2388	6547,57491	SLC8A3,AHRR
Optic disc size (cup)(PMID:20395239)	Optic disc size (cup)(PMID:20395239)	0.0303125708920336	-3.49619277158091	4	2	0.0111731843575419	179	2388	152579,2104	SCFD2,ESRRG
Insulin resistance/response(PMID:21901158)	Insulin resistance/response(PMID:21901158)	0.0303125708920336	-3.49619277158091	4	2	0.0111731843575419	179	2388	776,60685	CACNA1D,ZFAND3
Height(PMID:19570815)	Height(PMID:19570815)	0.0303125708920336	-3.49619277158091	4	2	0.0111731843575419	179	2388	23112,129563	TNRC6B,DIS3L2
Menopause (age at onset)(PMID:22267201)	Menopause (age at onset)(PMID:22267201)	0.0335485718254253	-3.39476098501223	17	4	0.0223463687150838	179	2388	84515,54933,64838,81550	MCM8,RHBDL2,FNDC4,TDRD3
Subcutaneous adipose tissue(PMID:22589738)	Subcutaneous adipose tissue(PMID:22589738)	0.0436497519828751	-3.13155767866284	11	3	0.0167597765363128	179	2388	29091,4306,27086	STXBP6,NR3C2,FOXP1
Dialysis-related mortality(PMID:21546767)	Dialysis-related mortality(PMID:21546767)	0.0436497519828751	-3.13155767866284	11	3	0.0167597765363128	179	2388	2620,5797,23677	GAS2,PTPRM,SH3BP4
Creatinine levels(PMID:20383145)	Creatinine levels(PMID:20383145)	0.0480535803521255	-3.03543863329027	5	2	0.0111731843575419	179	2388	57619,6909	SHROOM3,TBX2
Body mass index(PMID:22344221)	Body mass index(PMID:22344221)	0.0480535803521255	-3.03543863329027	5	2	0.0111731843575419	179	2388	885,627	CCK,BDNF
