TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
8648	NCOA1 (nuclear receptor coactivator 1)	2.15158513982635e-05	-10.746720620146	106	20	0.0182815356489945	1094	16330	3091,2104,7068,5916,3164,23054,7536,6096,2146,4306,10987,6776,7415,367,4088,3172,6778,6597,7157,51008	HIF1A,ESRRG,THRB,RARG,NR4A1,NCOA6,SF1,RORB,EZH2,NR3C2,COPS5,STAT5A,VCP,AR,SMAD3,HNF4A,STAT6,SMARCA4,TP53,ASCC1
5829	PXN (paxillin)	3.76431695805138e-05	-10.187359039021	110	20	0.0182815356489945	1094	16330	8826,8874,3655,394,1399,367,3688,596,4771,2017,25,8260,10487,4690,5595,51762,9564,2618,3984,5794	IQGAP1,ARHGEF7,ITGA6,ARHGAP5,CRKL,AR,ITGB1,BCL2,NF2,CTTN,ABL1,NAA10,CAP1,NCK1,MAPK3,RAB8B,BCAR1,GART,LIMK1,PTPRH
1627	DBN1 (drebrin 1)	4.31670578286544e-05	-10.0504329038662	215	31	0.0283363802559415	1094	16330	22800,161,10613,7157,25921,2017,4771,2778,1072,4676,8826,537,51474,10095,2146,5501,2618,81631,25913,4008,1073,83892,120892,54873,830,85458,7171,5216,23242,5500,4643	RRAS2,AP2A2,ERLIN1,TP53,ZDHHC5,CTTN,NF2,GNAS,CFL1,NAP1L4,IQGAP1,ATP6AP1,LIMA1,ARPC1B,EZH2,PPP1CC,GART,MAP1LC3B,POT1,LMO7,CFL2,KCTD10,LRRK2,PALMD,CAPZA2,DIXDC1,TPM4,PFN1,COBL,PPP1CB,MYO1E
60	ACTB (actin beta)	4.87783952701727e-05	-9.92822306300806	299	39	0.0356489945155393	1094	16330	120892,5216,51762,8453,4643,55366,5500,51474,2768,1104,7082,10856,10426,8941,7415,1072,2039,6597,8565,4000,7157,55929,25913,598,1915,1073,7337,1773,10095,23214,5501,10844,10987,4088,367,8826,8507,10487,55832	LRRK2,PFN1,RAB8B,CUL2,MYO1E,LGR4,PPP1CB,LIMA1,GNA12,RCC1,TJP1,RUVBL2,TUBGCP3,CDK5R2,VCP,CFL1,DMTN,SMARCA4,YARS,LMNA,TP53,DMAP1,POT1,BCL2L1,EEF1A1,CFL2,UBE3A,DNASE1,ARPC1B,XPO6,PPP1CC,TUBGCP2,COPS5,SMAD3,AR,IQGAP1,ENC1,CAP1,CAND1
7415	VCP (valosin containing protein)	4.91279656527396e-05	-9.9210821200756	590	65	0.0594149908592322	1094	16330	56997,51667,5315,3688,7157,5265,3336,79058,5595,637,2531,51608,79876,4678,9128,162,31,55139,9100,10844,10397,3187,85456,161,80344,3069,1852,8189,5501,26043,23291,6683,23042,7415,6772,2011,4000,1111,9641,23435,88455,8453,154,3091,10856,2146,57614,10728,23363,8826,3717,50813,367,10987,22858,5800,10425,5576,5339,5903,11124,5774,6207,846,7431	COQ8A,NUB1,PKM,ITGB1,TP53,SERPINA1,HSPE1,ASPSCR1,MAPK3,BID,KDSR,GET4,UBA5,NASP,PRPF4,AP1B1,ACACA,ANKZF1,USP10,TUBGCP2,NDRG1,HNRNPH1,TNKS1BP1,AP2A2,DCAF11,HDLBP,DUSP9,SYMPK,PPP1CC,UBXN7,FBXW11,SPAST,PDXDC1,VCP,STAT1,MARK2,LMNA,CHEK1,IKBKE,TARDBP,ANKRD13A,CUL2,ADRB2,HIF1A,RUVBL2,EZH2,KIAA1468,PTGES3,OBSL1,IQGAP1,JAK2,COPS7A,AR,COPS5,ICK,PTPRO,ARIH2,PRKAR2A,PLEC,RANBP2,FAF1,PTPN3,RPS13,CASR,VIM
71	ACTG1 (actin gamma 1)	5.2504484949138e-05	-9.8546119644128	149	24	0.0219378427787934	1094	16330	4306,10397,8826,1072,8565,10787,5800,10487,2017,55929,120892,1073,1915,1773,55366,5500,154,830,5339,51474,10856,5501,3609,2146	NR3C2,NDRG1,IQGAP1,CFL1,YARS,NCKAP1,PTPRO,CAP1,CTTN,DMAP1,LRRK2,CFL2,EEF1A1,DNASE1,LGR4,PPP1CB,ADRB2,CAPZA2,PLEC,LIMA1,RUVBL2,PPP1CC,ILF3,EZH2
3091	HIF1A (hypoxia inducible factor 1 alpha subunit)	5.57485995880554e-05	-9.79465826743631	159	25	0.0228519195612431	1094	16330	10856,11124,26043,10399,11043,10728,5595,3164,8453,7703,2034,79365,596,7157,8260,6597,3621,56957,10801,367,7415,4088,10987,5315,5887	RUVBL2,FAF1,UBXN7,RACK1,MID2,PTGES3,MAPK3,NR4A1,CUL2,PCGF2,EPAS1,BHLHE41,BCL2,TP53,NAA10,SMARCA4,ING1,OTUD7B,SEPT9,AR,VCP,SMAD3,COPS5,PKM,RAD23B
24145	PANX1 (pannexin 1)	6.31309381621712e-05	-9.67029960489726	8	5	0.00457038391224863	1094	16330	2778,9531,401152,25793,4771	GNAS,BAG3,C4orf3,FBXO7,NF2
337867	UBAC2 (UBA domain containing 2)	7.82753507622094e-05	-9.45527780960938	57	13	0.0118829981718464	1094	16330	55832,55720,4311,10613,11021,7846,140576,10241,9531,287,51608,4008,11160	CAND1,TSR1,MME,ERLIN1,RAB35,TUBA1A,S100A16,CALCOCO2,BAG3,ANK2,GET4,LMO7,ERLIN2
830	CAPZA2 (capping actin protein of muscle Z-line alpha subunit 2)	8.29980077248091e-05	-9.39669395377131	243	33	0.030164533820841	1094	16330	7171,4643,23242,5500,5099,120892,10634,23363,51474,1072,4676,5315,253725,121512,2011,2017,9897,85458,5339,387680,283431,9828,3709,83892,4008,1073,84665,80301,84617,10095,8826,4849,85456	TPM4,MYO1E,COBL,PPP1CB,PCDH7,LRRK2,GAS2L1,OBSL1,LIMA1,CFL1,NAP1L4,PKM,WASHC2C,FGD4,MARK2,CTTN,WASHC5,DIXDC1,PLEC,WASHC2A,GAS2L3,ARHGEF17,ITPR2,KCTD10,LMO7,CFL2,MYPN,PLEKHO2,TUBB6,ARPC1B,IQGAP1,CNOT3,TNKS1BP1
1073	CFL2 (cofilin 2)	9.11174895661041e-05	-9.30336079005975	43	11	0.010054844606947	1094	16330	1072,830,5500,51072,8826,79923,25913,1073,8659,3984,51474	CFL1,CAPZA2,PPP1CB,MEMO1,IQGAP1,NANOG,POT1,CFL2,ALDH4A1,LIMK1,LIMA1
85358	SHANK3 (SH3 and multiple ankyrin repeat domains 3)	9.81280483852852e-05	-9.22923731599739	18	7	0.00639853747714808	1094	16330	5501,8874,4690,22866,10987,1399,5080	PPP1CC,ARHGEF7,NCK1,CNKSR2,COPS5,CRKL,PAX6
1915	EEF1A1 (eukaryotic translation elongation factor 1 alpha 1)	0.000115817859560289	-9.06349177708089	377	45	0.0411334552102377	1094	16330	4311,6138,55832,10425,7159,6141,10844,10987,3191,5887,6207,6002,57510,6124,192669,25855,5903,4300,1915,7407,1854,81550,7157,8565,8738,3336,6778,23650,6742,5315,10856,10399,3609,6129,23363,3164,55366,5500,154,8453,2969,120892,7264,2618,9921	MME,RPL15,CAND1,ARIH2,TP53BP2,RPL18,TUBGCP2,COPS5,HNRNPL,RAD23B,RPS13,RGS12,XPO5,RPL4,AGO3,BRMS1,RANBP2,MLLT3,EEF1A1,VARS,DUT,TDRD3,TP53,YARS,CRADD,HSPE1,STAT6,TRIM29,SSBP1,PKM,RUVBL2,RACK1,ILF3,RPL7,OBSL1,NR4A1,LGR4,PPP1CB,ADRB2,CUL2,GTF2I,LRRK2,TSTA3,GART,RNF10
987	LRBA (LPS responsive beige-like anchor protein)	0.000146414071419088	-8.82907184480533	19	7	0.00639853747714808	1094	16330	7415,56992,80344,51259,120939,8079,9531	VCP,KIF15,DCAF11,TMEM216,TMEM52B,MLF2,BAG3
11217	AKAP2 (A-kinase anchoring protein 2)	0.000152995566487695	-8.78510161419629	25	8	0.00731261425959781	1094	16330	830,8826,5500,9897,3799,5577,5576,51474	CAPZA2,IQGAP1,PPP1CB,WASHC5,KIF5B,PRKAR2B,PRKAR2A,LIMA1
51441	YTHDF2 (YTH N6-methyladenosine RNA binding protein 2)	0.000185531263435204	-8.59228715407855	39	10	0.00914076782449726	1094	16330	23435,79058,3145,4088,2034,25913,55832,8078,3187,178	TARDBP,ASPSCR1,HMBS,SMAD3,EPAS1,POT1,CAND1,USP5,HNRNPH1,AGL
5339	PLEC (plectin)	0.000196550445929799	-8.53459143731343	96	17	0.0155393053016453	1094	16330	92140,23363,51474,7431,10399,2146,7082,120892,11269,5500,830,7415,3191,54438,8826,3655,9531	MTDH,OBSL1,LIMA1,VIM,RACK1,EZH2,TJP1,LRRK2,DDX19B,PPP1CB,CAPZA2,VCP,HNRNPL,GFOD1,IQGAP1,ITGA6,BAG3
17886	Myh9 (myosin, heavy polypeptide 9, non-muscle)	0.000200079198620986	-8.51679727669588	192	27	0.0246800731261426	1094	16330	10095,51474,10081,4638,5501,10634,7082,83892,1073,4008,2618,4643,283431,5500,23242,7171,85458,830,5339,6764,22800,4771,9425,25921,121512,26037,1072	ARPC1B,LIMA1,PDCD7,MYLK,PPP1CC,GAS2L1,TJP1,KCTD10,CFL2,LMO7,GART,MYO1E,GAS2L3,PPP1CB,COBL,TPM4,DIXDC1,CAPZA2,PLEC,ST5,RRAS2,NF2,CDYL,ZDHHC5,FGD4,SIPA1L1,CFL1
1387	CREBBP (CREB binding protein)	0.000234034136282346	-8.36004357169776	355	42	0.0383912248628885	1094	16330	10401,5595,3091,2956,3213,8932,5629,162,92140,3172,10579,3621,4306,6772,6929,7157,493861,1875,6778,6597,5931,466,25855,1406,896,1999,25913,2034,9575,1859,23054,54739,3659,26205,51621,4088,367,5087,7490,4849,9149,2354	PIAS3,MAPK3,HIF1A,MSH6,HOXB3,MBD2,PROX1,AP1B1,MTDH,HNF4A,TACC2,ING1,NR3C2,STAT1,TCF3,TP53,EID3,E2F5,STAT6,SMARCA4,RBBP7,ATF1,BRMS1,CRX,CCND3,ELF3,POT1,EPAS1,CLOCK,DYRK1A,NCOA6,XAF1,IRF1,GMEB2,KLF13,SMAD3,AR,PBX1,WT1,CNOT3,DYRK1B,FOSB
5970	RELA (RELA proto-oncogene, NF-kB subunit)	0.000236922129810412	-8.34777903701964	289	36	0.0329067641681901	1094	16330	26993,129563,4088,367,6885,56672,57761,7159,64324,1999,149951,25855,166,9443,11124,4221,23291,3659,23054,6772,9817,5315,7157,7020,1111,55922,6778,9641,10401,8453,79813,22992,3091,2146,92140,6925	AKAP8L,DIS3L2,SMAD3,AR,MAP3K7,AKIP1,TRIB3,TP53BP2,NSD1,ELF3,COMMD7,BRMS1,AES,MED7,FAF1,MEN1,FBXW11,IRF1,NCOA6,STAT1,KEAP1,PKM,TP53,TFAP2A,CHEK1,NKRF,STAT6,IKBKE,PIAS3,CUL2,EHMT1,KDM2A,HIF1A,EZH2,MTDH,TCF4
5093	PCBP1 (poly(rC) binding protein 1)	0.00024194830076329	-8.32678648783996	164	24	0.0219378427787934	1094	16330	23363,8491,10856,84617,4857,10399,8125,25913,1509,23435,8453,7703,154,2495,4000,7157,55832,10659,10426,6929,5315,10606,10987,1072	OBSL1,MAP4K3,RUVBL2,TUBB6,NOVA1,RACK1,ANP32A,POT1,CTSD,TARDBP,CUL2,PCGF2,ADRB2,FTH1,LMNA,TP53,CAND1,CELF2,TUBGCP3,TCF3,PKM,PAICS,COPS5,CFL1
6362	CCL18 (C-C motif chemokine ligand 18)	0.000269382625745685	-8.21937778847425	6	4	0.0036563071297989	1094	16330	9094,1915,11161,7157	UNC119,EEF1A1,C14orf1,TP53
90293	KLHL13 (kelch like family member 13)	0.000278485277495005	-8.18614536356696	27	8	0.00731261425959781	1094	16330	23650,10987,3801,50813,9903,9202,5631,26043	TRIM29,COPS5,KIFC3,COPS7A,KLHL21,ZMYM4,PRPS1,UBXN7
85464	SSH2 (slingshot protein phosphatase 2)	0.000300109904327641	-8.11136180263822	21	7	0.00639853747714808	1094	16330	51474,8826,5500,3984,830,9531,1072	LIMA1,IQGAP1,PPP1CB,LIMK1,CAPZA2,BAG3,CFL1
10499	NCOA2 (nuclear receptor coactivator 2)	0.000318613843814872	-8.05153070940826	82	15	0.0137111517367459	1094	16330	10587,23054,6778,7157,5956,3799,7068,3091,367,3172,8497,10401,896,3164,51259	TXNRD2,NCOA6,STAT6,TP53,OPN1LW,KIF5B,THRB,HIF1A,AR,HNF4A,PPFIA4,PIAS3,CCND3,NR4A1,TMEM216
10971	YWHAQ (tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta)	0.000351113243629543	-7.95440175510953	442	49	0.0447897623400366	1094	16330	6611,7159,55177,3187,6138,7942,57636,367,7846,8826,7431,5774,2036,5348,23677,55024,1915,4008,6547,2023,4000,23313,25,2011,7407,79621,6742,5315,64852,7415,10426,9531,1072,6452,51305,3621,64599,51474,23363,6129,9101,5998,10856,3799,84335,147700,120892,8453,5216	SMS,TP53BP2,RMDN3,HNRNPH1,RPL15,TFEB,ARHGAP23,AR,TUBA1A,IQGAP1,VIM,PTPN3,EPB41L1,FXYD1,SH3BP4,BANK1,EEF1A1,LMO7,SLC8A3,ENO1,LMNA,KIAA0930,ABL1,MARK2,VARS,RNASEH2B,SSBP1,PKM,TUT1,VCP,TUBGCP3,BAG3,CFL1,SH3BP2,KCNK9,ING1,GIGYF1,LIMA1,OBSL1,RPL7,USP8,RGS3,RUVBL2,KIF5B,AKT1S1,KLC3,LRRK2,CUL2,PFN1
26528	DAZAP1 (DAZ associated protein 1)	0.000532306359052754	-7.53829137148691	77	14	0.0127970749542962	1094	16330	23363,55832,29934,10399,2146,1854,10606,5315,10987,822,8453,5216,1072,8407	OBSL1,CAND1,SNX12,RACK1,EZH2,DUT,PAICS,PKM,COPS5,CAPG,CUL2,PFN1,CFL1,TAGLN2
23559	WBP1 (WW domain binding protein 1)	0.000591898398951664	-7.43217556120171	37	9	0.00822669104204753	1094	16330	83590,88455,9517,773,493,11060,2137,259217,23291	TMUB1,ANKRD13A,SPTLC2,CACNA1A,ATP2B4,WWP2,EXTL3,HSPA12A,FBXW11
159686	CFAP58 (cilia and flagella associated protein 58)	0.000595142445432995	-7.42670977698216	7	4	0.0036563071297989	1094	16330	89797,25913,10987,55832	NAV2,POT1,COPS5,CAND1
17913	Myo1c (myosin IC)	0.000597747215782692	-7.42234260946573	134	20	0.0182815356489945	1094	16330	4008,1073,3709,5500,23242,283431,4643,830,7171,10095,51474,10634,4638,5501,26037,1072,6764,22800,2017,25921	LMO7,CFL2,ITPR2,PPP1CB,COBL,GAS2L3,MYO1E,CAPZA2,TPM4,ARPC1B,LIMA1,GAS2L1,MYLK,PPP1CC,SIPA1L1,CFL1,ST5,RRAS2,CTTN,ZDHHC5
26088	GGA1 (golgi associated, gamma adaptin ear containing, ARF binding protein 1)	0.000651902692213812	-7.33561525224662	53	11	0.010054844606947	1094	16330	208,10755,164,23621,23041,9531,55297,2157,27342,7415,4088	AKT2,GIPC1,AP1G1,BACE1,MON2,BAG3,CCDC91,F8,RABGEF1,VCP,SMAD3
