TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko04810	Regulation of actin cytoskeleton	0.00252175944808965	-5.98279842739626	213	24	0.0554272517321016	433	7094	2256,5595,4638,4636,22808,8396,5216,5500,9564,2253,3984,3688,22800,10095,5501,3655,1399,10787,8874,1072,2247,2768,8826,1073	FGF11,MAPK3,MYLK,MYL5,MRAS,PIP4K2B,PFN1,PPP1CB,BCAR1,FGF8,LIMK1,ITGB1,RRAS2,ARPC1B,PPP1CC,ITGA6,CRKL,NCKAP1,ARHGEF7,CFL1,FGF2,GNA12,IQGAP1,CFL2
hsa04810	Regulation of actin cytoskeleton	0.00252175944808965	-5.98279842739626	213	24	0.0554272517321016	433	7094	1399,3655,5501,10095,22800,3688,1073,8826,2768,1072,2247,8874,10787,22808,4636,5595,4638,2256,3984,9564,2253,5500,5216,8396	CRKL,ITGA6,PPP1CC,ARPC1B,RRAS2,ITGB1,CFL2,IQGAP1,GNA12,CFL1,FGF2,ARHGEF7,NCKAP1,MRAS,MYL5,MAPK3,MYLK,FGF11,LIMK1,BCAR1,FGF8,PPP1CB,PFN1,PIP4K2B
hsa04978	Mineral absorption	0.00380005177546192	-5.57274058722106	52	9	0.0207852193995381	433	7094	481,140803,4502,4891,2512,2495,261729,30061,9843	ATP1B1,TRPM6,MT2A,SLC11A2,FTL,FTH1,STEAP2,SLC40A1,HEPH
ko04978	Mineral absorption	0.00380005177546192	-5.57274058722106	52	9	0.0207852193995381	433	7094	481,140803,2512,4502,4891,2495,261729,30061,9843	ATP1B1,TRPM6,FTL,MT2A,SLC11A2,FTH1,STEAP2,SLC40A1,HEPH
ko05220	Chronic myeloid leukemia	0.00441531962734633	-5.42267505177173	73	11	0.0254041570438799	433	7094	6776,868,208,53358,7157,4088,25,5595,598,7040,1399	STAT5A,CBLB,AKT2,SHC3,TP53,SMAD3,ABL1,MAPK3,BCL2L1,TGFB1,CRKL
hsa05220	Chronic myeloid leukemia	0.00441531962734633	-5.42267505177173	73	11	0.0254041570438799	433	7094	4088,53358,7157,208,868,6776,1399,7040,598,5595,25	SMAD3,SHC3,TP53,AKT2,CBLB,STAT5A,CRKL,TGFB1,BCL2L1,MAPK3,ABL1
M00684	JAK-STAT signaling	0.00471222888239242	-5.35759425945083	19	5	0.0115473441108545	433	7094	6776,8835,6778,3717,6772	STAT5A,SOCS2,STAT6,JAK2,STAT1
hsa_M00684	JAK-STAT signaling	0.00471222888239242	-5.35759425945083	19	5	0.0115473441108545	433	7094	6776,6772,3717,6778,8835	STAT5A,STAT1,JAK2,STAT6,SOCS2
hsa05131	Shigellosis	0.00501224010384786	-5.2958723373001	64	10	0.023094688221709	433	7094	10095,5595,3688,2017,25,1399,23291,391,8767,5216	ARPC1B,MAPK3,ITGB1,CTTN,ABL1,CRKL,FBXW11,RHOG,RIPK2,PFN1
hsa00510	N-Glycan biosynthesis	0.00892012879939082	-4.71944489310088	49	8	0.0184757505773672	433	7094	85365,146664,4124,1798,10905,84620,4245,11282	ALG2,MGAT5B,MAN2A1,DPAGT1,MAN1A2,ST6GAL2,MGAT1,MGAT4B
