TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
caspase_pathway	Caspase cascade in apoptosis	0.000249090717994371	-8.29769339855671	50	12	0.0705882352941176	170	2226	6304,1073,596,3984,839,637,7431,8738,4000,397,7020,2620	SATB1,CFL2,BCL2,LIMK1,CASP6,BID,VIM,CRADD,LMNA,ARHGDIB,TFAP2A,GAS2
hif1apathway	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha	0.00050884045393139	-7.58337604058604	15	6	0.0352941176470588	170	2226	10987,8453,7157,10399,8260,3091	COPS5,CUL2,TP53,RACK1,NAA10,HIF1A
prlsignalingeventspathway	Signaling events mediated by PRL	0.00612855827563927	-5.09479574827187	23	6	0.0352941176470588	170	2226	8073,3688,389,11156,5595,9564	PTP4A2,ITGB1,RHOC,PTP4A3,MAPK3,BCAR1
pdgfrbpathway	PDGFR-beta signaling pathway	0.0064662179412483	-5.04116389451721	54	10	0.0588235294117647	170	2226	1796,6503,4690,6461,6776,8877,25,9564,3091,6772	DOK1,SLA,NCK1,SHB,STAT5A,SPHK1,ABL1,BCAR1,HIF1A,STAT1
telomerasepathway	Regulation of Telomerase	0.00984687005030991	-4.62060163568484	66	11	0.0647058823529412	170	2226	7490,7040,7337,3659,5931,10728,25,25913,5595,23293,4088	WT1,TGFB1,UBE3A,IRF1,RBBP7,PTGES3,ABL1,POT1,MAPK3,SMG6,SMAD3
hif1_tfpathway	HIF-1-alpha transcription factor network	0.0232509733325396	-3.76140828405989	65	10	0.0588235294117647	170	2226	2022,10987,2023,3172,79365,3091,5315,10397,4088,133	ENG,COPS5,ENO1,HNF4A,BHLHE41,HIF1A,PKM,NDRG1,SMAD3,ADM
angiopoietinreceptor_pathway	Angiopoietin receptor Tie2-mediated signaling	0.0264007293070694	-3.63436364394366	48	8	0.0470588235294118	170	2226	660,3688,1997,4690,6776,4313,5595,2247	BMX,ITGB1,ELF1,NCK1,STAT5A,MMP2,MAPK3,FGF2
epopathway	EPO signaling pathway	0.0355973961678555	-3.33548278515148	33	6	0.0352941176470588	170	2226	596,598,6776,6772,1399,3717	BCL2,BCL2L1,STAT5A,STAT1,CRKL,JAK2
lkb1_pathway	LKB1 signaling events	0.0368949188668473	-3.29968143750262	42	7	0.0411764705882353	170	2226	55437,2011,7157,92335,84446,1509,84335	STRADB,MARK2,TP53,STRADA,BRSK1,CTSD,AKT1S1
kitpathway	Signaling events mediated by Stem cell factor receptor (c-Kit)	0.0405957389169067	-3.20409217066793	52	8	0.0470588235294118	170	2226	1399,6776,596,1796,3717,6772,5800,5595	CRKL,STAT5A,BCL2,DOK1,JAK2,STAT1,PTPRO,MAPK3
rac1_pathway	RAC1 signaling pathway	0.0493079467767147	-3.00967001869811	54	8	0.0470588235294118	170	2226	10095,6776,3984,10787,394,8826,1072,9564	ARPC1B,STAT5A,LIMK1,NCKAP1,ARHGAP5,IQGAP1,CFL1,BCAR1
il2_stat5pathway	IL2 signaling events mediated by STAT5	0.0733920247158631	-2.61194000436229	30	5	0.0294117647058824	170	2226	596,896,598,6776,1997	BCL2,CCND3,BCL2L1,STAT5A,ELF1
a4b1_paxindep_pathway	Paxillin-independent events mediated by a4b1 and a4b7	0.0813663634889503	-2.50879331632607	22	4	0.0235294117647059	170	2226	9564,3717,1399,3688	BCAR1,JAK2,CRKL,ITGB1
rxr_vdr_pathway	RXR and RAR heterodimerization with other nuclear receptor	0.0853358060840903	-2.46116114604259	14	3	0.0176470588235294	170	2226	3164,7040,596	NR4A1,TGFB1,BCL2
syndecan_2_pathway	Syndecan-2-mediated signaling events	0.101889806142627	-2.28386338161208	33	5	0.0294117647058824	170	2226	7040,3688,10399,5595,4313	TGFB1,ITGB1,RACK1,MAPK3,MMP2
erbb1_internalization_pathway	Internalization of ErbB1	0.112459566306692	-2.18516153254832	34	5	0.0294117647058824	170	2226	8874,10253,9101,57732,868	ARHGEF7,SPRY2,USP8,ZFYVE28,CBLB
tnfpathway	TNF receptor signaling pathway	0.114160515268249	-2.17014979226165	44	6	0.0352941176470588	170	2226	10399,6772,11183,8491,117584,6885	RACK1,STAT1,MAP4K5,MAP4K3,RFFL,MAP3K7
cxcr4_pathway	CXCR4-mediated signaling events	0.120921647306773	-2.1126124860511	76	9	0.0529411764705882	170	2226	3717,3984,3688,6776,3655,1072,9564,6772,10399	JAK2,LIMK1,ITGB1,STAT5A,ITGA6,CFL1,BCAR1,STAT1,RACK1
trkrpathway	Neurotrophic factor-mediated Trk receptor signaling	0.130516126056918	-2.03625848853631	56	7	0.0411764705882353	170	2226	627,391,5595,25,53358,1399,10755	BDNF,RHOG,MAPK3,ABL1,SHC3,CRKL,GIPC1
