TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50001	SH2	0.000680127651039311	-7.29323005529508	107	17	0.0213299874529486	797	11955	84174,6772,4690,6776,6461,284948,6452,6503,660,646892,1399,25,6778,8835,53358,4068,3717	SLA2,STAT1,NCK1,STAT5A,SHB,SH2D6,SH3BP2,SLA,BMX,SH2D7,CRKL,ABL1,STAT6,SOCS2,SHC3,SH2D1A,JAK2
PS50021	CH	0.000733298519103947	-7.21795768236206	71	13	0.0163111668757842	797	11955	2620,283431,4008,89795,8826,10634,85458,89797,8874,9645,8407,6525,5339	GAS2,GAS2L3,LMO7,NAV3,IQGAP1,GAS2L1,DIXDC1,NAV2,ARHGEF7,MICAL2,TAGLN2,SMTN,PLEC
PS00076	PYRIDINE_REDOX_1	0.00266615081950192	-5.92711948736964	5	3	0.00376411543287327	797	11955	1738,7296,10587	DLD,TXNRD1,TXNRD2
PS00031	NUCLEAR_REC_DBD_1	0.00293165554348143	-5.83218798361866	46	9	0.0112923462986198	797	11955	367,3164,4306,6096,5916,8013,3172,7068,2104	AR,NR4A1,NR3C2,RORB,RARG,NR4A3,HNF4A,THRB,ESRRG
PS51030	NUCLEAR_REC_DBD_2	0.00293165554348143	-5.83218798361866	46	9	0.0112923462986198	797	11955	8013,3172,7068,2104,367,3164,4306,6096,5916	NR4A3,HNF4A,THRB,ESRRG,AR,NR4A1,NR3C2,RORB,RARG
PS00540	FERRITIN_1	0.0044392393061289	-5.41727224466467	2	2	0.00250941028858218	797	11955	2495,2512	FTH1,FTL
PS51460	GAR	0.00506845681913758	-5.28471888263405	6	3	0.00376411543287327	797	11955	283431,2620,10634	GAS2L3,GAS2,GAS2L1
PS50178	ZF_FYVE	0.00627897920406747	-5.07054785883726	34	7	0.00878293601003764	797	11955	152273,9110,57732,53349,121512,8897,55785	FGD5,MTMR4,ZFYVE28,ZFYVE1,FGD4,MTMR3,FGD6
PS50877	GOLOCO	0.00843246930059763	-4.77566563164018	7	3	0.00376411543287327	797	11955	29899,6002,26086	GPSM2,RGS12,GPSM1
PS51036	ZF_A20	0.00843246930059763	-4.77566563164018	7	3	0.00376411543287327	797	11955	60685,27342,56957	ZFAND3,RABGEF1,OTUD7B
PS51290	CRIC	0.0127272058716388	-4.36401338212766	3	2	0.00250941028858218	797	11955	154043,22866	CNKSR3,CNKSR2
PS00373	GART	0.0127272058716388	-4.36401338212766	3	2	0.00250941028858218	797	11955	10840,2618	ALDH1L1,GART
PS50063	BH4_2	0.0127272058716388	-4.36401338212766	3	2	0.00250941028858218	797	11955	596,598	BCL2,BCL2L1
PS01260	BH4_1	0.0127272058716388	-4.36401338212766	3	2	0.00250941028858218	797	11955	598,596	BCL2L1,BCL2
PS01259	BH3	0.0128291108559964	-4.35603840470492	8	3	0.00376411543287327	797	11955	637,596,598	BID,BCL2,BCL2L1
PS50056	TYR_PHOSPHATASE_2	0.0166652532511987	-4.09442937074632	80	11	0.013801756587202	797	11955	11072,1852,51207,11156,5797,5791,9110,5774,8073,5800,56940	DUSP14,DUSP9,DUSP13,PTP4A3,PTPRM,PTPRE,MTMR4,PTPN3,PTP4A2,PTPRO,DUSP22
PS50010	DH_2	0.0170913454886695	-4.06918305536503	70	10	0.0125470514429109	797	11955	9828,121512,64283,64857,57449,9639,8874,152273,55785,23229	ARHGEF17,FGD4,ARHGEF28,PLEKHG2,PLEKHG5,ARHGEF10,ARHGEF7,FGD5,FGD6,ARHGEF9
PS50853	FN3	0.0171202974613286	-4.06749053334188	192	21	0.0263488080301129	797	11955	92565,5800,78999,1441,10752,5797,4638,79025,85376,149233,55521,64838,23114,1303,11043,558,3590,150221,23363,440804,164312	FANK1,PTPRO,LRFN4,CSF3R,CHL1,PTPRM,MYLK,FNDC11,RIMBP3,IL23R,TRIM36,FNDC4,NFASC,COL12A1,MID2,AXL,IL11RA,RIMBP3C,OBSL1,RIMBP3B,LRRN4
PS50030	UBA	0.0175302963178389	-4.0438246767213	41	7	0.00878293601003764	797	11955	2011,84446,868,5887,51667,8078,81550	MARK2,BRSK1,CBLB,RAD23B,NUB1,USP5,TDRD3
PS50016	ZF_PHD_2	0.0224064630543147	-3.79840583252721	73	10	0.0125470514429109	797	11955	9866,22992,4302,54904,57649,57117,1107,64324,3621,10765	TRIM66,KDM2A,MLLT6,NSD3,PHF12,INTS12,CHD3,NSD1,ING1,KDM5B
PS00204	FERRITIN_2	0.0243322313447454	-3.71595341472959	4	2	0.00250941028858218	797	11955	2495,2512	FTH1,FTL
PS50905	FERRITIN_LIKE	0.0243322313447454	-3.71595341472959	4	2	0.00250941028858218	797	11955	2495,2512	FTH1,FTL
PS00188	BIOTIN	0.0243322313447454	-3.71595341472959	4	2	0.00250941028858218	797	11955	56922,31	MCCC1,ACACA
PS01359	ZF_PHD_1	0.0337732553861871	-3.38808605046889	78	10	0.0125470514429109	797	11955	64324,3621,10765,54904,57649,4302,1107,57117,22992,9866	NSD1,ING1,KDM5B,NSD3,PHF12,MLLT6,CHD3,INTS12,KDM2A,TRIM66
PS00599	AA_TRANSFER_CLASS_2	0.0387762850288927	-3.2499464298138	5	2	0.00250941028858218	797	11955	212,9517	ALAS2,SPTLC2
PS50979	BC	0.0387762850288927	-3.2499464298138	5	2	0.00250941028858218	797	11955	31,56922	ACACA,MCCC1
PS51215	AWS	0.0387762850288927	-3.2499464298138	5	2	0.00250941028858218	797	11955	54904,64324	NSD3,NSD1
PS00392	DDC_GAD_HDC_YDC	0.0387762850288927	-3.2499464298138	5	2	0.00250941028858218	797	11955	3067,2571	HDC,GAD1
PS00079	MULTICOPPER_OXIDASE1	0.0387762850288927	-3.2499464298138	5	2	0.00250941028858218	797	11955	9843,2157	HEPH,F8
PS00889	CNMP_BINDING_2	0.041280501036217	-3.18736502037723	12	3	0.00376411543287327	797	11955	5573,5577,5576	PRKAR1A,PRKAR2B,PRKAR2A
PS50002	SH3	0.0469768382619477	-3.05810060167664	201	20	0.0250941028858218	797	11955	440804,1399,782,25,150221,4643,2017,80022,23677,6503,201176,7082,85376,7159,64398,84174,8874,9564,4690,23229	RIMBP3B,CRKL,CACNB1,ABL1,RIMBP3C,MYO1E,CTTN,MYO15B,SH3BP4,SLA,ARHGAP27,TJP1,RIMBP3,TP53BP2,MPP5,SLA2,ARHGEF7,BCAR1,NCK1,ARHGEF9
PS00421	TM4_1	0.0473065364099655	-3.05110680254615	21	4	0.00501882057716437	797	11955	967,977,951,7106	CD63,CD151,CD37,TSPAN4
PS50033	UBX	0.051077295747434	-2.97441519073385	13	3	0.00376411543287327	797	11955	11124,79058,26043	FAF1,ASPSCR1,UBXN7
PS50975	ATP_GRASP	0.051077295747434	-2.97441519073385	13	3	0.00376411543287327	797	11955	56922,31,2618	MCCC1,ACACA,GART
PS00867	CPSASE_2	0.0556301991319623	-2.88902907532266	6	2	0.00250941028858218	797	11955	56922,31	MCCC1,ACACA
PS50904	PRELI_MSF1	0.0556301991319623	-2.88902907532266	6	2	0.00250941028858218	797	11955	10650,6397	PRELID3A,SEC14L1
PS50106	PDZ	0.0594125655064513	-2.82324953447243	145	15	0.0188205771643664	797	11955	26037,5774,57636,10755,57619,22866,4008,3984,64236,64398,10207,154043,6002,7082,5998	SIPA1L1,PTPN3,ARHGAP23,GIPC1,SHROOM3,CNKSR2,LMO7,LIMK1,PDLIM2,MPP5,PATJ,CNKSR3,RGS12,TJP1,RGS3
