TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP2332	Interleukin-11 Signaling Pathway	0.00714554169895615	-4.9412666553648	44	8	0.0228571428571429	350	5314	7040,6772,5595,10401,466,3717,596,3590	TGFB1,STAT1,MAPK3,PIAS3,ATF1,JAK2,BCL2,IL11RA
WP314	Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation	0.00714554169895615	-4.9412666553648	44	8	0.0228571428571429	350	5314	11124,6885,397,7867,8767,596,839,4000	FAF1,MAP3K7,ARHGDIB,MAPKAPK3,RIPK2,BCL2,CASP6,LMNA
WP1422	Sphingolipid Metabolism	0.00819267668204472	-4.80451461130775	20	5	0.0142857142857143	350	5314	9517,8611,2531,91012,8877	SPTLC2,PLPP1,KDSR,CERS5,SPHK1
WP2572	Primary Focal Segmental Glomerulosclerosis FSGS	0.00847960474880658	-4.77009144007514	74	11	0.0314285714285714	350	5314	4311,4643,375790,7040,4690,3688,7431,977,7490,950,5800	MME,MYO1E,AGRN,TGFB1,NCK1,ITGB1,VIM,CD151,WT1,SCARB2,PTPRO
WP2446	Retinoblastoma (RB) in Cancer	0.0120154440417164	-4.42156245319684	88	12	0.0342857142857143	350	5314	1719,100500808,5931,1111,11124,10714,25,896,7157,81620,2956,9134	DHFR,MIR3917,RBBP7,CHEK1,FAF1,POLD3,ABL1,CCND3,TP53,CDT1,MSH6,CCNE2
WP2858	Ectoderm Differentiation	0.0122004818163074	-4.40627983488281	143	17	0.0485714285714286	350	5314	100302258,51222,7020,6929,57476,166,10634,56913,3801,54207,56963,4771,8835,10253,51762,23229,5080	MIR1469,ZNF219,TFAP2A,TCF3,GRAMD1B,AES,GAS2L1,C1GALT1,KIFC3,KCNK10,RGMA,NF2,SOCS2,SPRY2,RAB8B,ARHGEF9,PAX6
WP286	IL-3 Signaling Pathway	0.0136564478993056	-4.29354349530894	49	8	0.0228571428571429	350	5314	1399,6776,596,3717,598,5595,7040,1232	CRKL,STAT5A,BCL2,JAK2,BCL2L1,MAPK3,TGFB1,CCR3
WP524	G13 Signaling Pathway	0.0142772495158373	-4.24908795155833	40	7	0.02	350	5314	5216,397,3984,1072,5500,1073,8826	PFN1,ARHGDIB,LIMK1,CFL1,PPP1CB,CFL2,IQGAP1
WP51	Regulation of Actin Cytoskeleton	0.0178388845688756	-4.02637467795116	149	17	0.0485714285714286	350	5314	2768,8826,1072,22800,2256,2247,3984,2253,8396,5595,5216,10787,4638,1073,8874,9564,22808	GNA12,IQGAP1,CFL1,RRAS2,FGF11,FGF2,LIMK1,FGF8,PIP4K2B,MAPK3,PFN1,NCKAP1,MYLK,CFL2,ARHGEF7,BCAR1,MRAS
WP536	Calcium Regulation in the Cardiac Cell	0.0201093464227057	-3.9065705758398	151	17	0.0485714285714286	350	5314	8601,5576,154,6547,5570,2778,481,3709,5998,2706,782,5573,773,2868,2791,5577,776	RGS20,PRKAR2A,ADRB2,SLC8A3,PKIB,GNAS,ATP1B1,ITPR2,RGS3,GJB2,CACNB1,PRKAR1A,CACNA1A,GRK4,GNG11,PRKAR2B,CACNA1D
