TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
adrenal_cortical_carcinoma	adrenal_cortical_carcinoma	0.000789671589726374	-7.14389340814135	2326	24	0.258064516129032	93	17630	3737,9735,56957,646,7415,114881,26053,6597,92675,79813,64080,54842,5774,152273,353299,2618,8507,10752,10010,80017,212,103,3164,3717	KCNA2,KNTC1,OTUD7B,BNC1,VCP,OSBPL7,AUTS2,SMARCA4,DTD1,EHMT1,RBKS,MFSD6,PTPN3,FGD5,RGSL1,GART,ENC1,CHL1,TANK,C14orf159,ALAS2,ADAR,NR4A1,JAK2
kidney-carcinoma	kidney-carcinoma	0.00251698238787089	-5.98469456012365	3769	32	0.344086021505376	93	17630	63897,9735,3164,89801,10010,2354,10579,126393,5774,839,64284,9101,22992,1915,5273,79791,6597,6885,7415,7337,7159,2159,79023,23764,3717,11020,152273,8507,7171,353299,3110,2034	HEATR6,KNTC1,NR4A1,PPP1R3F,TANK,FOSB,TACC2,HSPB6,PTPN3,CASP6,RAB17,USP8,KDM2A,EEF1A1,SERPINB10,FBXO31,SMARCA4,MAP3K7,VCP,UBE3A,TP53BP2,F10,NUP37,MAFF,JAK2,IFT27,FGD5,ENC1,TPM4,RGSL1,MNX1,EPAS1
prostate-carcinoma	prostate-carcinoma	0.00258062524519146	-5.95972356631149	9331	63	0.67741935483871	93	17630	7159,2159,5990,103,212,3717,84665,152273,164,79923,8507,30061,353299,3110,2034,339665,9719,92675,64080,493,79791,54578,10102,26053,6885,7415,7337,114881,646,3164,3073,57476,390874,10010,10752,2354,10579,28965,130612,25983,5774,64284,839,22992,53349,2618,9101,1915,54842,5273,79813,66005,63897,9929,10535,950,22996,6461,57176,9735,1005,3737,56957	TP53BP2,F10,RFX2,ADAR,ALAS2,JAK2,MYPN,FGD5,AP1G1,NANOG,ENC1,SLC40A1,RGSL1,MNX1,EPAS1,SLC35E4,ADAMTSL2,DTD1,RBKS,ATP2B4,FBXO31,UGT1A6,TSFM,AUTS2,MAP3K7,VCP,UBE3A,OSBPL7,BNC1,NR4A1,HEXA,GRAMD1B,ONECUT3,TANK,CHL1,FOSB,TACC2,SLC27A6,TMEM198,NGDN,PTPN3,RAB17,CASP6,KDM2A,ZFYVE1,GART,USP8,EEF1A1,MFSD6,SERPINB10,EHMT1,CHID1,HEATR6,JOSD1,RNASEH2A,SCARB2,TTC39A,SHB,VARS2,KNTC1,CDH7,KCNA2,OTUD7B
adrenal_gland-adrenal_gland-adrenal_cortical_carcinoma-functioning	adrenal_gland-adrenal_gland-adrenal_cortical_carcinoma-functioning	0.00353140302944007	-5.64606002823785	1862	19	0.204301075268817	93	17630	114881,56957,3737,64080,79813,92675,6597,26053,8507,2618,353299,152273,5774,54842,3164,103,212,80017,10010	OSBPL7,OTUD7B,KCNA2,RBKS,EHMT1,DTD1,SMARCA4,AUTS2,ENC1,GART,RGSL1,FGD5,PTPN3,MFSD6,NR4A1,ADAR,ALAS2,C14orf159,TANK
functioning	functioning	0.00353140302944007	-5.64606002823785	1862	19	0.204301075268817	93	17630	10010,80017,212,103,3164,54842,5774,152273,2618,353299,8507,26053,6597,92675,79813,64080,3737,56957,114881	TANK,C14orf159,ALAS2,ADAR,NR4A1,MFSD6,PTPN3,FGD5,GART,RGSL1,ENC1,AUTS2,SMARCA4,DTD1,EHMT1,RBKS,KCNA2,OTUD7B,OSBPL7
upper_aerodigestive_tract-mouth-carcinoma-squamous_cell_carcinoma	upper_aerodigestive_tract-mouth-carcinoma-squamous_cell_carcinoma	0.00453186314811537	-5.39662213306945	7213	51	0.548387096774194	93	17630	164,152273,30061,8507,353299,2034,149951,2159,5990,103,7159,3717,9443,84665,7415,7337,114881,388963,5017,9719,64080,54578,26053,2706,6597,6885,130612,5774,53349,9101,2618,3164,3073,257101,57476,170850,10752,10579,28965,950,57176,1005,9735,140578,126520,56957,79813,66005,63897,9929,114928	AP1G1,FGD5,SLC40A1,ENC1,RGSL1,EPAS1,COMMD7,F10,RFX2,ADAR,TP53BP2,JAK2,MED7,MYPN,VCP,UBE3A,OSBPL7,C2orf81,OVOL1,ADAMTSL2,RBKS,UGT1A6,AUTS2,GJB2,SMARCA4,MAP3K7,TMEM198,PTPN3,ZFYVE1,USP8,GART,NR4A1,HEXA,ZNF683,GRAMD1B,KCNG3,CHL1,TACC2,SLC27A6,SCARB2,VARS2,CDH7,KNTC1,CHODL,PLK5,OTUD7B,EHMT1,CHID1,HEATR6,JOSD1,GPRASP2
adrenal_gland	adrenal_gland	0.00608193579543068	-5.10243224627221	2706	24	0.258064516129032	93	17630	10752,10010,80017,212,103,3164,3717,54842,152273,5774,353299,2618,8507,26053,6597,92675,79813,64080,3737,9735,56957,646,7415,114881	CHL1,TANK,C14orf159,ALAS2,ADAR,NR4A1,JAK2,MFSD6,FGD5,PTPN3,RGSL1,GART,ENC1,AUTS2,SMARCA4,DTD1,EHMT1,RBKS,KCNA2,KNTC1,OTUD7B,BNC1,VCP,OSBPL7
lung-carcinoma	lung-carcinoma	0.00666419330853422	-5.01100636665503	4337	34	0.365591397849462	93	17630	6885,6597,79791,7337,7415,79023,23764,3717,2159,7159,212,11020,8507,353299,7171,152273,2034,3110,114928,10095,63897,9735,89801,2354,10579,10010,839,64284,22992,9101,126393,5774,1915,5273	MAP3K7,SMARCA4,FBXO31,UBE3A,VCP,NUP37,MAFF,JAK2,F10,TP53BP2,ALAS2,IFT27,ENC1,RGSL1,TPM4,FGD5,EPAS1,MNX1,GPRASP2,ARPC1B,HEATR6,KNTC1,PPP1R3F,FOSB,TACC2,TANK,CASP6,RAB17,KDM2A,USP8,HSPB6,PTPN3,EEF1A1,SERPINB10
neuroendocrine_carcinoma	neuroendocrine_carcinoma	0.00704526257412391	-4.95539986333613	24	2	0.021505376344086	93	17630	6597,3717	SMARCA4,JAK2
pleura-mesothelioma	pleura-mesothelioma	0.00952384374478343	-4.65395675696172	4267	33	0.354838709677419	93	17630	5273,1915,9101,22992,64284,839,5774,126393,2354,10579,10010,89801,9735,114928,63897,2034,3110,7171,353299,8507,152273,11020,23764,3717,79023,212,2159,7159,7337,7415,6597,6885,79791	SERPINB10,EEF1A1,USP8,KDM2A,RAB17,CASP6,PTPN3,HSPB6,FOSB,TACC2,TANK,PPP1R3F,KNTC1,GPRASP2,HEATR6,EPAS1,MNX1,TPM4,RGSL1,ENC1,FGD5,IFT27,MAFF,JAK2,NUP37,ALAS2,F10,TP53BP2,UBE3A,VCP,SMARCA4,MAP3K7,FBXO31
