TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR014034	Ferritin_CS	0.000184279324827688	-8.5990578817426	4	2	0.0194174757281553	103	18428	2512,2495	FTL,FTH1
IPR008331	Ferritin_DPS_dom	0.000184279324827688	-8.5990578817426	4	2	0.0194174757281553	103	18428	2495,2512	FTH1,FTL
IPR001519	Ferritin	0.000184279324827688	-8.5990578817426	4	2	0.0194174757281553	103	18428	2512,2495	FTL,FTH1
IPR009040	Ferritin-like_diiron	0.000184279324827688	-8.5990578817426	4	2	0.0194174757281553	103	18428	2495,2512	FTH1,FTL
IPR012347	Ferritin-rel	0.000306010806487109	-8.09189014131811	5	2	0.0194174757281553	103	18428	2512,2495	FTL,FTH1
IPR009078	Ferritin-like_SF	0.000637941510495029	-7.3572639551621	7	2	0.0194174757281553	103	18428	2495,2512	FTH1,FTL
IPR004607	PurN	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	2618	GART
IPR004649	RNase_H2_suA	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	10535	RNASEH2A
IPR000115	PRibGlycinamide_synth	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	2618	GART
IPR029813	FosB	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	2354	FOSB
IPR011877	D_ribokin	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	64080	RBKS
IPR001816	Transl_elong_EFTs/EF1B	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	10102	TSFM
IPR002268	Connexin26	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	2706	GJB2
IPR032353	AZUL	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	7337	UBE3A
IPR031410	PPP1R32	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	220004	PPP1R32
IPR030309	FATP6	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	28965	SLC27A6
IPR023160	RNase_HII_hlx-loop-hlx_cap_dom	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	10535	RNASEH2A
IPR020693	Tyr_kinase_non-rcpt_Jak2	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	3717	JAK2
IPR020559	PRibGlycinamide_synth_CS	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	2618	GART
IPR033531	MafF	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	23764	MAFF
IPR002139	Ribo/fructo_kinase	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	64080	RBKS
IPR028042	DUF4639	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	388963	C2orf81
IPR009906	DUF1445	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	80017	C14orf159
IPR004733	PurM_cligase	0.00558932059917104	-5.18689753781138	1	1	0.00970873786407767	103	18428	2618	GART
