TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
hsa04978	Mineral absorption	0.00281875363551785	-5.87146046495169	52	3	0.0769230769230769	39	7094	2495,2512,30061	FTH1,FTL,SLC40A1
ko04978	Mineral absorption	0.00281875363551785	-5.87146046495169	52	3	0.0769230769230769	39	7094	2512,30061,2495	FTL,SLC40A1,FTH1
hsa_M00400	p97-Ufd1-Npl4 complex	0.0164046059898773	-4.11019313054252	3	1	0.0256410256410256	39	7094	7415	VCP
M00400	p97-Ufd1-Npl4 complex	0.0164046059898773	-4.11019313054252	3	1	0.0256410256410256	39	7094	7415	VCP
ko00860	Porphyrin and chlorophyll metabolism	0.0220801807220513	-3.81307487273123	42	2	0.0512820512820513	39	7094	212,54578	ALAS2,UGT1A6
hsa00860	Porphyrin and chlorophyll metabolism	0.0220801807220513	-3.81307487273123	42	2	0.0512820512820513	39	7094	54578,212	UGT1A6,ALAS2
hsa_M00427	Nuclear pore complex	0.0251280466881774	-3.68377065873346	45	2	0.0512820512820513	39	7094	79023,100101267	NUP37,POM121C
M00427	Nuclear pore complex	0.0251280466881774	-3.68377065873346	45	2	0.0512820512820513	39	7094	100101267,79023	POM121C,NUP37
M00079	Keratan sulfate degradation	0.0271950224245889	-3.60472132152256	5	1	0.0256410256410256	39	7094	3073	HEXA
hsa_M00079	Keratan sulfate degradation	0.0271950224245889	-3.60472132152256	5	1	0.0256410256410256	39	7094	3073	HEXA
ko04142	Lysosome	0.0295452269237614	-3.52183307359929	123	3	0.0769230769230769	39	7094	3073,950,164	HEXA,SCARB2,AP1G1
hsa04142	Lysosome	0.0295452269237614	-3.52183307359929	123	3	0.0769230769230769	39	7094	164,950,3073	AP1G1,SCARB2,HEXA
M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	0.032546890689029	-3.42507343903685	6	1	0.0256410256410256	39	7094	2618	GART
hsa_M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	0.032546890689029	-3.42507343903685	6	1	0.0256410256410256	39	7094	2618	GART
hsa05134	Legionellosis	0.0364220979248937	-3.31257960269278	55	2	0.0512820512820513	39	7094	1915,7415	EEF1A1,VCP
ko05134	Legionellosis	0.0364220979248937	-3.31257960269278	55	2	0.0512820512820513	39	7094	7415,1915	VCP,EEF1A1
ko05162	Measles	0.0374329983139502	-3.2852026557068	135	3	0.0769230769230769	39	7094	103,6885,3717	ADAR,MAP3K7,JAK2
hsa05162	Measles	0.0374329983139502	-3.2852026557068	135	3	0.0769230769230769	39	7094	6885,103,3717	MAP3K7,ADAR,JAK2
ko04622	RIG-I-like receptor signaling pathway	0.0562768340456317	-2.87747230194952	70	2	0.0512820512820513	39	7094	6885,10010	MAP3K7,TANK
hsa04622	RIG-I-like receptor signaling pathway	0.0562768340456317	-2.87747230194952	70	2	0.0512820512820513	39	7094	6885,10010	MAP3K7,TANK
hsa_M00034	Methionine salvage pathway	0.0588788321281336	-2.83227363953857	11	1	0.0256410256410256	39	7094	55256	ADI1
M00034	Methionine salvage pathway	0.0588788321281336	-2.83227363953857	11	1	0.0256410256410256	39	7094	55256	ADI1
ko05140	Leishmaniasis	0.0591587828348968	-2.82753021547396	72	2	0.0512820512820513	39	7094	6885,3717	MAP3K7,JAK2
hsa05140	Leishmaniasis	0.0591587828348968	-2.82753021547396	72	2	0.0512820512820513	39	7094	3717,6885	JAK2,MAP3K7
hsa03013	RNA transport	0.0622739757432951	-2.77621166528677	166	3	0.0769230769230769	39	7094	100101267,1915,79023	POM121C,EEF1A1,NUP37
ko03013	RNA transport	0.0622739757432951	-2.77621166528677	166	3	0.0769230769230769	39	7094	79023,1915,100101267	NUP37,EEF1A1,POM121C
M00403	HRD1/SEL1 ERAD complex	0.0692149198492411	-2.67053883484006	13	1	0.0256410256410256	39	7094	7415	VCP
hsa_M00403	HRD1/SEL1 ERAD complex	0.0692149198492411	-2.67053883484006	13	1	0.0256410256410256	39	7094	7415	VCP
hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	0.0794403685751146	-2.53274861958938	15	1	0.0256410256410256	39	7094	3073	HEXA
hsa00604	Glycosphingolipid biosynthesis - ganglio series	0.0794403685751146	-2.53274861958938	15	1	0.0256410256410256	39	7094	3073	HEXA
ko00604	Glycosphingolipid biosynthesis - ganglio series	0.0794403685751146	-2.53274861958938	15	1	0.0256410256410256	39	7094	3073	HEXA
M00686	Toll-like receptor signaling	0.0794403685751146	-2.53274861958938	15	1	0.0256410256410256	39	7094	6885	MAP3K7
hsa_M00686	Toll-like receptor signaling	0.0794403685751146	-2.53274861958938	15	1	0.0256410256410256	39	7094	6885	MAP3K7
hsa00511	Other glycan degradation	0.0945736135274609	-2.35837676860264	18	1	0.0256410256410256	39	7094	3073	HEXA
ko00511	Other glycan degradation	0.0945736135274609	-2.35837676860264	18	1	0.0256410256410256	39	7094	3073	HEXA
hsa_M00684	JAK-STAT signaling	0.099563951157356	-2.30695511607741	19	1	0.0256410256410256	39	7094	3717	JAK2
ko00531	Glycosaminoglycan degradation	0.099563951157356	-2.30695511607741	19	1	0.0256410256410256	39	7094	3073	HEXA
hsa00531	Glycosaminoglycan degradation	0.099563951157356	-2.30695511607741	19	1	0.0256410256410256	39	7094	3073	HEXA
M00684	JAK-STAT signaling	0.099563951157356	-2.30695511607741	19	1	0.0256410256410256	39	7094	3717	JAK2
ko00670	One carbon pool by folate	0.104527485560285	-2.25830522244525	20	1	0.0256410256410256	39	7094	2618	GART
hsa00670	One carbon pool by folate	0.104527485560285	-2.25830522244525	20	1	0.0256410256410256	39	7094	2618	GART
hsa_M00688	MAPK (JNK) signaling	0.109464356929444	-2.21215629020831	21	1	0.0256410256410256	39	7094	6885	MAP3K7
M00688	MAPK (JNK) signaling	0.109464356929444	-2.21215629020831	21	1	0.0256410256410256	39	7094	6885	MAP3K7
M00689	MAPK (p38) signaling	0.1143747047446	-2.16827533685776	22	1	0.0256410256410256	39	7094	6885	MAP3K7
hsa_M00689	MAPK (p38) signaling	0.1143747047446	-2.16827533685776	22	1	0.0256410256410256	39	7094	6885	MAP3K7
ko04950	Maturity onset diabetes of the young	0.133753625230827	-2.01175578904379	26	1	0.0256410256410256	39	7094	3110	MNX1
hsa04950	Maturity onset diabetes of the young	0.133753625230827	-2.01175578904379	26	1	0.0256410256410256	39	7094	3110	MNX1
ko05145	Toxoplasmosis	0.136827516202127	-1.98903415219158	118	2	0.0512820512820513	39	7094	3717,6885	JAK2,MAP3K7
hsa05145	Toxoplasmosis	0.136827516202127	-1.98903415219158	118	2	0.0512820512820513	39	7094	6885,3717	MAP3K7,JAK2
hsa_M00014	Glucuronate pathway (uronate pathway)	0.13853342271309	-1.97664366323946	27	1	0.0256410256410256	39	7094	54578	UGT1A6
hsa00053	Ascorbate and aldarate metabolism	0.13853342271309	-1.97664366323946	27	1	0.0256410256410256	39	7094	54578	UGT1A6
M00014	Glucuronate pathway (uronate pathway)	0.13853342271309	-1.97664366323946	27	1	0.0256410256410256	39	7094	54578	UGT1A6
ko00053	Ascorbate and aldarate metabolism	0.13853342271309	-1.97664366323946	27	1	0.0256410256410256	39	7094	54578	UGT1A6
hsa00030	Pentose phosphate pathway	0.152719143972506	-1.8791547047892	30	1	0.0256410256410256	39	7094	64080	RBKS
ko00030	Pentose phosphate pathway	0.152719143972506	-1.8791547047892	30	1	0.0256410256410256	39	7094	64080	RBKS
ko01523	Antifolate resistance	0.157396940318975	-1.84898438207611	31	1	0.0256410256410256	39	7094	2618	GART
hsa01523	Antifolate resistance	0.157396940318975	-1.84898438207611	31	1	0.0256410256410256	39	7094	2618	GART
hsa04380	Osteoclast differentiation	0.16162780920363	-1.82245906104422	131	2	0.0512820512820513	39	7094	6885,2354	MAP3K7,FOSB
ko04380	Osteoclast differentiation	0.16162780920363	-1.82245906104422	131	2	0.0512820512820513	39	7094	2354,6885	FOSB,MAP3K7
hsa00040	Pentose and glucuronate interconversions	0.171279852642074	-1.76445649503461	34	1	0.0256410256410256	39	7094	54578	UGT1A6
ko00040	Pentose and glucuronate interconversions	0.171279852642074	-1.76445649503461	34	1	0.0256410256410256	39	7094	54578	UGT1A6
ko03030	DNA replication	0.180411040466326	-1.71251747330205	36	1	0.0256410256410256	39	7094	10535	RNASEH2A
hsa03030	DNA replication	0.180411040466326	-1.71251747330205	36	1	0.0256410256410256	39	7094	10535	RNASEH2A
hsa04550	Signaling pathways regulating pluripotency of stem cells	0.1832214309532	-1.69705985239828	142	2	0.0512820512820513	39	7094	3717,79923	JAK2,NANOG
ko04550	Signaling pathways regulating pluripotency of stem cells	0.1832214309532	-1.69705985239828	142	2	0.0512820512820513	39	7094	3717,79923	JAK2,NANOG
M00359	Aminoacyl-tRNA biosynthesis, eukaryotes	0.189444169066088	-1.66366092021189	38	1	0.0256410256410256	39	7094	57176	VARS2
