TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
MOUSE_PWY3DJ-12	ceramide biosynthesis	0.000445659777642946	-7.71595472744435	10	6	0.047244094488189	127	1025	241447,76893,70059,20773,70750,93898	Cers6,Cers2,Degs2,Sptlc2,Kdsr,Cers1
MOUSE_PWY3DJ-1	cyclic AMP biosynthesis	0.0029823648295182	-5.81503872622018	58	15	0.118110236220472	127	1025	56784,67299,216439,233204,23881,114713,224129,69632,271639,11512,432530,109934,270192,380711,105445	Ralgapa1,Dock7,Agap2,Tbc1d17,G3bp2,Rasa2,Adcy5,Arhgef12,Adcy10,Adcy6,Adcy1,Abr,Rab6b,Rap1gap2,Dock9
MOUSE_PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation	0.0154018045568735	-4.17327059740972	5	3	0.0236220472440945	127	1025	170835,16329,16331	Inpp5j,Inpp1,Inpp5d
MOUSE_PWY-3841	folate transformations II (plants)	0.0370100597713337	-3.29656551758041	11	4	0.031496062992126	127	1025	107885,13361,238505,234814	Mthfs,Dhfr,Mtr,Mthfsd
HUMAN_PWY-7511	protein ubiquitylation	0.0651386628368504	-2.73123700687237	8	3	0.0236220472440945	127	1025	93765,22195,22214	Ube2n,Ube2l3,Ube2h
MOUSE_PWY-6358	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism	0.0651386628368504	-2.73123700687237	8	3	0.0236220472440945	127	1025	16331,16329,170835	Inpp5d,Inpp1,Inpp5j
MOUSE_PWY-6000	gamma-linolenate biosynthesis II (animals)	0.0772498831594301	-2.56070987570471	4	2	0.015748031496063	127	1025	76267,74205	Fads1,Acsl3
MOUSE_DETOX1-PWY	superoxide radicals degradation	0.0772498831594301	-2.56070987570471	4	2	0.015748031496063	127	1025	20656,20657	Sod2,Sod3
MOUSE_TRPCAT-PWY	tryptophan degradation I (via anthranilate)	0.0772498831594301	-2.56070987570471	4	2	0.015748031496063	127	1025	71562,70789	Afmid,Kynu
MOUSE_PWY-2201	folate transformations I	0.0890945320001036	-2.41805731563542	9	3	0.0236220472440945	127	1025	238505,234814,107885	Mtr,Mthfsd,Mthfs
MOUSE_NADSYN-PWY	NAD biosynthesis II (from tryptophan)	0.116135830881411	-2.15299481703565	10	3	0.0236220472440945	127	1025	71562,78914,70789	Afmid,Nadsyn1,Kynu
META_PWY-5451	acetone degradation I (to methylglyoxal)	0.123902439024461	-2.08826080511335	1	1	0.0078740157480315	127	1025	13106	Cyp2e1
META_PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	0.123902439024461	-2.08826080511335	1	1	0.0078740157480315	127	1025	71562	Afmid
META_PWY-6309	L-tryptophan degradation XI (mammalian, via kynurenine)	0.123902439024461	-2.08826080511335	1	1	0.0078740157480315	127	1025	71562	Afmid
MOUSE_PWY0-1275	lipoate biosynthesis and incorporation II	0.123902439024461	-2.08826080511335	1	1	0.0078740157480315	127	1025	79464	Lias
META_PWY-6117	spermine and spermidine degradation I	0.123902439024461	-2.08826080511335	1	1	0.0078740157480315	127	1025	212503	Paox
META_PWY-7466	acetone degradation III (to propane-1,2-diol)	0.123902439024461	-2.08826080511335	1	1	0.0078740157480315	127	1025	13106	Cyp2e1
META_TRYPTOPHAN-DEGRADATION-1	L-tryptophan degradation III (eukaryotic)	0.123902439024461	-2.08826080511335	1	1	0.0078740157480315	127	1025	71562	Afmid
MOUSE_PWY3DJ-35583	biosynthesis of prostaglandins	0.145807995047798	-1.92546462519223	11	3	0.0236220472440945	127	1025	64292,21391,19224	Ptges,Tbxas1,Ptgs1
MOUSE_PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	0.163705816566077	-1.80968426337265	6	2	0.015748031496063	127	1025	70789,71562	Kynu,Afmid
MOUSE_PWY3O-450	phosphatidylcholine biosynthesis I	0.163705816566077	-1.80968426337265	6	2	0.015748031496063	127	1025	212862,12660	Chpt1,Chka
MOUSE_PWY-5143	fatty acid activation	0.163705816566077	-1.80968426337265	6	2	0.015748031496063	127	1025	74205,50790	Acsl3,Acsl4
MOUSE_PWY-5996	oleate biosynthesis II (animals)	0.163705816566077	-1.80968426337265	6	2	0.015748031496063	127	1025	60527,76267	Fads3,Fads1
MOUSE_PWY-4202	arsenate detoxification I (glutaredoxin)	0.163705816566077	-1.80968426337265	6	2	0.015748031496063	127	1025	70561,66866	Txndc16,Nhlrc2
MOUSE_TCA-1	TCA cycle	0.177639080648048	-1.72800142393726	12	3	0.0236220472440945	127	1025	66945,269951,20917	Sdha,Idh2,Suclg2
MOUSE_PWY-6558	heparan sulfate biosynthesis (late stages)	0.200721182983472	-1.6058384832413	19	4	0.031496062992126	127	1025	54616,14537,58193,64580	Extl3,Gcnt1,Extl2,Ndst4
MOUSE_PWY3DJ-7	cyclic GMP biosynthesis	0.211160701693131	-1.55513581599222	13	3	0.0236220472440945	127	1025	18160,242202,14919	Npr1,Pde5a,Gucy2e
MOUSE_PWY-6564	heparan sulfate biosynthesis	0.211230341277236	-1.55480607611779	26	5	0.0393700787401575	127	1025	117592,64580,14537,58193,54616	B3galt6,Ndst4,Gcnt1,Extl2,Extl3
MOUSE_PWY4FS-6	phosphatidylethanolamine biosynthesis II	0.21131737646993	-1.55439412172651	7	2	0.015748031496063	127	1025	12660,28042	Chka,Selenoi
MOUSE_PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	0.232559070118278	-1.45861102119893	2	1	0.0078740157480315	127	1025	14450	Gart
MOUSE_PWY0-501	lipoate biosynthesis and incorporation I	0.232559070118278	-1.45861102119893	2	1	0.0078740157480315	127	1025	79464	Lias
MOUSE_ALANINE-DEG3-PWY	alanine degradation III	0.232559070118278	-1.45861102119893	2	1	0.0078740157480315	127	1025	108682	Gpt2
MOUSE_PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.232559070118278	-1.45861102119893	2	1	0.0078740157480315	127	1025	14450	Gart
MOUSE_ALANINE-SYN2-PWY	alanine biosynthesis II	0.232559070118278	-1.45861102119893	2	1	0.0078740157480315	127	1025	108682	Gpt2
MOUSE_PWY-6137	copper transport II	0.232559070118278	-1.45861102119893	2	1	0.0078740157480315	127	1025	11977	Atp7a
MOUSE_PWY-5686	uridine-5'-phosphate biosynthesis	0.232559070118278	-1.45861102119893	2	1	0.0078740157480315	127	1025	22247	Umps
MOUSE_PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	0.232559070118278	-1.45861102119893	2	1	0.0078740157480315	127	1025	14450	Gart
MOUSE_PWY-4561	proline degradation II	0.232559070118278	-1.45861102119893	2	1	0.0078740157480315	127	1025	56189	Prodh2
MOUSE_PWY-5515	L-arabinose degradation II	0.232559070118278	-1.45861102119893	2	1	0.0078740157480315	127	1025	67880	Dcxr
META_PWY-6144	CMP-N-glycoloylneuraminate biosynthesis	0.232559070118278	-1.45861102119893	2	1	0.0078740157480315	127	1025	109754	Cyb5r3
MOUSE_PWY-5670	epoxysqualene biosynthesis	0.232559070118278	-1.45861102119893	2	1	0.0078740157480315	127	1025	14137	Fdft1
MOUSE_PWY3FA-941	ketogenesis	0.260043614347438	-1.3469059145445	8	2	0.015748031496063	127	1025	15360,208715	Hmgcs2,Hmgcs1
MOUSE_PWY66-367	ketogenesis	0.260043614347438	-1.3469059145445	8	2	0.015748031496063	127	1025	15360,208715	Hmgcs2,Hmgcs1
MOUSE_PWY-6126	adenosine nucleotides de novo biosynthesis	0.286091346108107	-1.25144412717066	22	4	0.031496062992126	127	1025	11639,20135,78801,18102	Ak4,Rrm2,Ak7,Nme1
MOUSE_PWY-6260	thyroid hormone metabolism I (via deiodination)	0.32783277304861	-1.11525163887615	3	1	0.0078740157480315	127	1025	13371	Dio2
MOUSE_ADENOSYLHOMOCYSCAT-PWY	methionine salvage II (mammalia)	0.32783277304861	-1.11525163887615	3	1	0.0078740157480315	127	1025	238505	Mtr
MOUSE_PWY-5525	D-glucuronate degradation I	0.32783277304861	-1.11525163887615	3	1	0.0078740157480315	127	1025	67880	Dcxr
MOUSE_PWY3DJ-81	riboflavin, FMN and FAD transformations	0.32783277304861	-1.11525163887615	3	1	0.0078740157480315	127	1025	18605	Enpp1
