TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
22343	Lin7c (lin-7 homolog C (C. elegans))	0.000146152017251559	-8.83086326389154	22	11	0.00921273031825796	1194	7778	68507,327814,75723,14812,269608,76787,22601,56217,16531,319924,56332	Ppfia4,Ppfia2,Amotl1,Grin2b,Plekhg5,Ppfia3,Yap1,Mpp5,Kcnma1,Apba1,Amotl2
665113	Tnik (TRAF2 and NCK interacting kinase)	0.000371134132695725	-7.89894701704375	251	59	0.0494137353433836	1194	7778	216439,214498,56217,217692,13175,545389,330914,242466,80884,18195,108000,58234,211134,51792,58194,27223,241638,17999,17918,59035,16572,26413,114142,19266,223435,320538,19070,26558,14812,13017,231760,22224,243621,12322,20404,16563,109135,20602,234214,19088,18747,330474,217882,14806,67488,14811,382018,16531,19056,360213,219249,15182,58869,67299,259302,83679,320127,20624,77097	Agap2,Cdc73,Mpp5,Sipa1l1,Dclk1,Cep170,Arhgap32,Zfp462,Maged2,Nsf,Cenpf,Shank3,Lzts1,Ppp2r1a,Sh3kbp1,Trp53bp1,Lzts3,Nedd4,Myo5a,Carm1,Kif5a,Mapk1,Foxp2,Ptprd,Trio,Ubn2,Mob4,Homer3,Grin2b,Ctbp2,Rimbp2,Usp10,Iqsec3,Camk2a,Sh3gl2,Kif2a,Plekha5,Ncor2,Sorbs2,Prkar2b,Prkaca,Zc3h4,Cep170b,Grik2,Calcoco1,Grin2a,Unc13a,Kcnma1,Ppp3cb,Trim46,Tdrd3,Hdac2,Pex5l,Dock7,Srgap3,Pde4dip,Dgki,Eftud2,Tanc2
14158	Fer (fer (fms/fps related) protein kinase)	0.000552963034775411	-7.50021940356692	4	4	0.0033500837520938	1194	7778	26413,20848,18195,16451	Mapk1,Stat3,Nsf,Jak1
10971	YWHAQ (tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta)	0.00155476133186692	-6.46643322946082	10	6	0.0050251256281407	1194	7778	22601,58805,66591,12576,68549,16706	Yap1,Mlxipl,Mad2l1bp,Cdkn1b,Sgo2a,Ksr1
10558	SPTLC1 (serine palmitoyltransferase long chain base subunit 1)	0.00155476133186692	-6.46643322946082	10	6	0.0050251256281407	1194	7778	20773,56150,16706,59287,238799,11977	Sptlc2,Mad2l1,Ksr1,Ncstn,Tnpo1,Atp7a
84168	ANTXR1 (ANTXR cell adhesion molecule 1)	0.00242623734450987	-6.02141363956478	5	4	0.0033500837520938	1194	7778	104859,100383,56150,19046	Tecpr2,Bsdc1,Mad2l1,Ppp1cb
65003	MRPL11 (mitochondrial ribosomal protein L11)	0.00242623734450987	-6.02141363956478	5	4	0.0033500837520938	1194	7778	66591,18759,27223,238799	Mad2l1bp,Prkci,Trp53bp1,Tnpo1
7283	TUBG1 (tubulin gamma 1)	0.00250785714297022	-5.98832661837197	14	7	0.00586264656616415	1194	7778	259279,56150,72083,74237,233276,328580,230376	Tubgcp3,Mad2l1,Mzt2,Tubgcp2,Tubgcp5,Tubgcp6,Haus6
22190	Ubc (ubiquitin C)	0.0030899065584491	-5.77961442851383	447	90	0.0753768844221105	1194	7778	18195,67966,209032,13859,53378,360216,73945,22145,11545,27056,77987,69459,66997,18759,17918,67819,244666,66724,51789,93765,329908,56218,76788,66689,227334,20220,76577,17210,26891,67245,208158,11773,72016,56715,320713,67203,68420,14479,98403,268822,14467,68652,53890,68817,20844,21388,11798,208198,52864,319651,108800,12021,19070,72607,19687,18616,66884,106039,72993,17920,66314,70675,76454,72399,327799,75717,23997,76742,14725,68944,270076,11639,218503,56515,68099,108086,50817,19691,232286,15114,28084,68053,56150,237898,16443,56404,17713,18854,13858,216618	Nsf,Zcchc10,Zc3hav1l,Eps15l1,Sdcbp,Zranb1,Otud4,Tuba4a,Parp1,Irf5,Ascc3,Ubl7,Psmd12,Prkci,Myo5a,Derl1,Sprtn,Tab3,Tnk2,Ube2n,Usp24,Patz1,Klhdc10,Klhl28,Usp40,Sap18,Faf2,Mcl1,Cops4,Peli1,Map6d1,Ap2m1,Tedc2,Rabgef1,Mysm1,Nde1,Ankrd13a,Usp15,Zfp451,Adck5,Nipsnap2,Tab2,Sart3,Ddi2,Stam,Tbx5,Xiap,Btbd2,Slx4,Usp37,Ston2,Bard1,Mob4,Usp13,Rfc1,Peg3,Appbp2,Gga1,Appl1,Myo6,Tpd52l2,Vcpip1,Fbxo31,Brap,Usp44,Cul5,Psmd13,Snx27,Lrp2,Tmco1,Gcdh,Ak4,Fcho2,Rnf138,Fam92a,Rnf216,Capn15,Recql,Tmf1,Hap1,Vps25,Ubxn2b,Mad2l1,Usp32,Itsn1,Trip4,Grpel1,Pml,Eps15,Cfap36
69601	Dab2ip (disabled 2 interacting protein)	0.0031543308348044	-5.7589789022186	8	5	0.00418760469011725	1194	7778	13131,83679,72016,68099,216439	Dab1,Pde4dip,Tedc2,Fam92a,Agap2
22194	Ube2e1 (ubiquitin-conjugating enzyme E2E 1)	0.00360981326229081	-5.62409923587256	3	3	0.00251256281407035	1194	7778	57751,23807,76582	Rnf25,Arih2,Ipo11
216439	Agap2 (ArfGAP with GTPase domain, ankyrin repeat and PH domain 2)	0.00467040453069375	-5.36650958777802	190	43	0.0360134003350084	1194	7778	19088,18747,234214,11352,13800,50932,12568,207565,12322,243621,18750,11764,14812,259302,83679,226525,70549,76089,327814,77531,19056,14811,217882,320706,19046,13000,58234,70661,51792,17968,209456,13175,18739,223435,56784,11931,26557,17754,26413,20850,72993,17999,17918	Prkar2b,Prkaca,Sorbs2,Abl2,Enah,Mink1,Cdk5,Camkk2,Camk2a,Iqsec3,Prkca,Ap1b1,Grin2b,Srgap3,Pde4dip,Rasal2,Tln2,Rapgef2,Ppfia2,Anks1b,Ppp3cb,Grin2a,Cep170b,Soga1,Ppp1cb,Csnk2a2,Shank3,Sik3,Ppp2r1a,Ncam2,Trp53bp2,Dclk1,Pitpnm1,Trio,Ralgapa1,Atp1b1,Homer2,Map1a,Mapk1,Stat5a,Appl1,Nedd4,Myo5a
12700	Cish (cytokine inducible SH2-containing protein)	0.00620391499875044	-5.08257473480128	9	5	0.00418760469011725	1194	7778	75717,16847,216233,20850,18750	Cul5,Lepr,Socs2,Stat5a,Prkca
23957	Nr0b2 (nuclear receptor subfamily 0, group B, member 2)	0.00631148077361614	-5.06538495902235	16	7	0.00586264656616415	1194	7778	16179,19697,22034,26423,93759,26424,56458	Irak1,Rela,Traf6,Nr5a1,Sirt1,Nr5a2,Foxo1
110157	Raf1 (v-raf-leukemia viral oncogene 1)	0.00631148077361614	-5.06538495902235	16	7	0.00586264656616415	1194	7778	76484,72399,18176,14812,56715,15461,16706	Kndc1,Brap,Nras,Grin2b,Rabgef1,Hras,Ksr1
67923	Eloc (elongin C)	0.00631148077361614	-5.06538495902235	16	7	0.00586264656616415	1194	7778	216233,68099,12703,78889,22346,72016,232286	Socs2,Fam92a,Socs1,Wsb1,Vhl,Tedc2,Tmf1
154796	AMOT (angiomotin)	0.00639245527230691	-5.05263684772495	6	4	0.0033500837520938	1194	7778	16706,56217,22601,269608	Ksr1,Mpp5,Yap1,Plekhg5
5708	PSMD2 (proteasome 26S subunit, non-ATPase 2)	0.00639245527230691	-5.05263684772495	6	4	0.0033500837520938	1194	7778	17698,16706,21951,27223	Msn,Ksr1,Tnks,Trp53bp1
15378	Hnf4a (hepatic nuclear factor 4, alpha)	0.00639245527230691	-5.05263684772495	6	4	0.0033500837520938	1194	7778	93759,15376,56458,21416	Sirt1,Foxa2,Foxo1,Tcf7l2
56288	PARD3 (par-3 family cell polarity regulator)	0.00639245527230691	-5.05263684772495	6	4	0.0033500837520938	1194	7778	18759,22601,52563,19046	Prkci,Yap1,Cdc23,Ppp1cb
55140	ELP3 (elongator acetyltransferase complex subunit 3)	0.00639245527230691	-5.05263684772495	6	4	0.0033500837520938	1194	7778	12013,51792,56289,320706	Bach1,Ppp2r1a,Rassf1,Soga1
2703358	UL37 (tegument protein UL37)	0.00639245527230691	-5.05263684772495	6	4	0.0033500837520938	1194	7778	68652,22034,19697,16179	Tab2,Traf6,Rela,Irak1
5529	PPP2R5E (protein phosphatase 2 regulatory subunit B'epsilon)	0.00639245527230691	-5.05263684772495	6	4	0.0033500837520938	1194	7778	320706,16706,68549,51792	Soga1,Ksr1,Sgo2a,Ppp2r1a
80097	MZT2B (mitotic spindle organizing protein 2B)	0.00639245527230691	-5.05263684772495	6	4	0.0033500837520938	1194	7778	328580,74237,72083,259279	Tubgcp6,Tubgcp2,Mzt2,Tubgcp3
109620	Dsp (desmoplakin)	0.00639245527230691	-5.05263684772495	6	4	0.0033500837520938	1194	7778	67731,260305,68099,72016	Fbxo32,Nphp4,Fam92a,Tedc2
