TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu05032	Morphine addiction	2.57833250233218e-05	-10.565782591915	91	26	0.0264765784114053	982	7931	16522,14405,328699,14408,14704,14409,432530,14407,14395,224129,13488,22348,16524,320129,14772,14400,18747,16521,16519,18750,14707,14394,18575,11512,18574,110355	Kcnj6,Gabrg1,Gabrr3,Gabrr1,Gng3,Gabrr2,Adcy1,Gabrg3,Gabra2,Adcy5,Drd1,Slc32a1,Kcnj9,Grk3,Grk4,Gabrb1,Prkaca,Kcnj5,Kcnj3,Prkca,Gng5,Gabra1,Pde1c,Adcy6,Pde1b,Grk2
ko05032	Morphine addiction	2.57833250233218e-05	-10.565782591915	91	26	0.0264765784114053	982	7931	16522,14405,328699,432530,14409,14408,14704,14395,14407,224129,13488,22348,14772,320129,16524,14400,18747,16519,16521,18750,14394,14707,11512,18574,18575,110355	Kcnj6,Gabrg1,Gabrr3,Adcy1,Gabrr2,Gabrr1,Gng3,Gabra2,Gabrg3,Adcy5,Drd1,Slc32a1,Grk4,Grk3,Kcnj9,Gabrb1,Prkaca,Kcnj3,Kcnj5,Prkca,Gabra1,Gng5,Adcy6,Pde1b,Pde1c,Grk2
mmu04211	Longevity regulating pathway	6.14775981750347e-05	-9.69683770682612	90	25	0.0254582484725051	982	7931	11512,19744,72993,18176,108079,18747,18707,208647,19697,26987,20869,241113,224129,22241,56458,20656,432530,207565,67605,11652,12326,58988,93759,15461,384783	Adcy6,Rheb,Appl1,Nras,Prkaa2,Prkaca,Pik3cd,Creb3l2,Rela,Eif4e2,Stk11,Prkag3,Adcy5,Ulk1,Foxo1,Sod2,Adcy1,Camkk2,Akt1s1,Akt2,Camk4,Rps6kb2,Sirt1,Hras,Irs2
ko04727	GABAergic synapse	0.000268293415716121	-8.22342934158626	87	23	0.0234215885947047	982	7931	15114,18747,14400,11512,18750,14394,14707,57138,14405,105727,328699,16522,224129,54652,22348,14704,14408,18195,432530,14409,14407,76257,14395	Hap1,Prkaca,Gabrb1,Adcy6,Prkca,Gabra1,Gng5,Slc12a5,Gabrg1,Slc38a1,Gabrr3,Kcnj6,Adcy5,Cacna1f,Slc32a1,Gng3,Gabrr1,Nsf,Adcy1,Gabrr2,Gabrg3,Slc38a3,Gabra2
mmu04727	GABAergic synapse	0.000268293415716121	-8.22342934158626	87	23	0.0234215885947047	982	7931	15114,14400,18747,14707,14394,18750,11512,16522,105727,328699,14405,57138,14407,76257,14395,18195,14408,14704,432530,14409,22348,224129,54652	Hap1,Gabrb1,Prkaca,Gng5,Gabra1,Prkca,Adcy6,Kcnj6,Slc38a1,Gabrr3,Gabrg1,Slc12a5,Gabrg3,Slc38a3,Gabra2,Nsf,Gabrr1,Gng3,Adcy1,Gabrr2,Slc32a1,Adcy5,Cacna1f
mmu04213	Longevity regulating pathway - multiple species	0.000355605022920659	-7.94168992922558	62	18	0.0183299389002037	982	7931	15376,18747,241113,18707,11512,108079,18176,15182,58988,11652,384783,93759,15461,56458,224129,67605,20656,432530	Foxa2,Prkaca,Prkag3,Pik3cd,Adcy6,Prkaa2,Nras,Hdac2,Rps6kb2,Akt2,Irs2,Sirt1,Hras,Foxo1,Adcy5,Akt1s1,Sod2,Adcy1
ko04213	Longevity regulating pathway - multiple species	0.000355605022920659	-7.94168992922558	62	18	0.0183299389002037	982	7931	11652,15182,58988,384783,93759,15461,224129,56458,432530,20656,67605,15376,18747,18707,241113,11512,108079,18176	Akt2,Hdac2,Rps6kb2,Irs2,Sirt1,Hras,Adcy5,Foxo1,Adcy1,Sod2,Akt1s1,Foxa2,Prkaca,Pik3cd,Prkag3,Adcy6,Prkaa2,Nras
mmu_M00094	Ceramide biosynthesis	0.000380607254471628	-7.87374254266478	13	7	0.00712830957230143	982	7931	93898,70059,13244,20773,76893,70750,241447	Cers1,Degs2,Degs1,Sptlc2,Cers2,Kdsr,Cers6
M00094	Ceramide biosynthesis	0.000380607254471628	-7.87374254266478	13	7	0.00712830957230143	982	7931	93898,20773,13244,70059,76893,70750,241447	Cers1,Sptlc2,Degs1,Degs2,Cers2,Kdsr,Cers6
ko05223	Non-small cell lung cancer	0.000455211646567204	-7.69474808987488	58	17	0.0173116089613035	982	7931	15461,11682,58231,11652,12371,20848,12571,12443,18707,20850,21802,18176,56289,18750,26413,13645,54354	Hras,Alk,Stk4,Akt2,Casp9,Stat3,Cdk6,Ccnd1,Pik3cd,Stat5a,Tgfa,Nras,Rassf1,Prkca,Mapk1,Egf,Rassf5
