TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00205	CADHERIN	4.21950112680513e-06	-12.3757936533014	116	32	0.0453257790368272	706	5821	13505,93702,93699,93723,93712,93716,93714,93709,93705,93890,170677,93889,93713,93707,245578,22295,93711,93722,93704,93724,279653,93706,93703,93717,93701,93876,93710,107934,93700,211924,93708,93715	Dsc1,Pcdhgb5,Pcdhgb1,Pcdhga11,Pcdhga4,Pcdhga8,Pcdhga6,Pcdhga1,Pcdhgb8,Pcdhb19,Cdhr1,Pcdhb18,Pcdhga5,Pcdhgc4,Pcdh11x,Cdh23,Pcdhga3,Pcdhga10,Pcdhgb7,Pcdhga12,Pcdh19,Pcdhgc3,Pcdhgb6,Pcdhga9,Pcdhgb4,Pcdhb5,Pcdhga2,Celsr3,Pcdhgb2,Dsg1c,Pcdhgc5,Pcdhga7
PR00717	GPCRKINASE	0.00263077648668071	-5.94047623428391	6	4	0.0056657223796034	706	5821	110355,320129,24013,14772	Grk2,Grk3,Grk1,Grk4
PR00252	NRIONCHANNEL	0.00321776670126142	-5.73906773109431	42	12	0.0169971671388102	706	5821	11444,11435,14409,14395,110902,108043,14400,14407,328699,14394,14408,14405	Chrnb2,Chrna1,Gabrr2,Gabra2,Chrna2,Chrnb3,Gabrb1,Gabrg3,Gabrr3,Gabra1,Gabrr1,Gabrg1
PR00248	GPCRMGR	0.00343866734554298	-5.67267128220688	137	28	0.0396600566572238	706	5821	667180,108072,669149,384221,627805,269902,22301,433070,627367,12374,625068,627743,627132,224572,667060,637004,100009609,56544,546980,637021,627111,620672,22307,224582,56552,675969,545874,546983	Vmn2r20,Grm6,Vmn2r88,Vmn2r17,Vmn2r108,Vmn2r57,Vmn2r89,Vmn2r96,Vmn2r97,Casr,Vmn2r84,Vmn2r105,Vmn2r93,Vmn2r102,Vmn2r5,Vmn2r3,Vmn2r65,Vmn2r1,Vmn2r74,Vmn2r124,Vmn2r92,Vmn2r67,Vmn2r10,Vmn2r110,Vmn2r26,Vmn2r76,Vmn2r25,Vmn2r77
PR00177	NMDARECEPTOR	0.00356580898101992	-5.6363643277118	18	7	0.00991501416430595	706	5821	14804,110637,14812,14807,14809,14806,14811	Grid2,Grik4,Grin2b,Grik3,Grik5,Grik2,Grin2a
PR00253	GABAARECEPTR	0.00415413845845853	-5.48365022272632	23	8	0.0113314447592068	706	5821	14395,14409,328699,14408,14405,14394,14407,14400	Gabra2,Gabrr2,Gabrr3,Gabrr1,Gabrg1,Gabra1,Gabrg3,Gabrb1
PR01535	VOMERONASL2R	0.0110153479565126	-4.50846570989289	116	23	0.0325779036827195	706	5821	546983,545874,675969,56552,22307,224582,620672,627111,637021,546980,100009609,224572,627132,625068,627743,627367,433070,22301,269902,627805,669149,384221,667180	Vmn2r77,Vmn2r25,Vmn2r76,Vmn2r26,Vmn2r10,Vmn2r110,Vmn2r67,Vmn2r92,Vmn2r124,Vmn2r74,Vmn2r65,Vmn2r102,Vmn2r93,Vmn2r84,Vmn2r105,Vmn2r97,Vmn2r96,Vmn2r89,Vmn2r57,Vmn2r108,Vmn2r88,Vmn2r17,Vmn2r20
PR00773	GRPEPROTEIN	0.014691740002756	-4.22046984769941	2	2	0.0028328611898017	706	5821	17713,17714	Grpel1,Grpel2
PR01670	GABAARRHO	0.014691740002756	-4.22046984769941	2	2	0.0028328611898017	706	5821	14409,14408	Gabrr2,Gabrr1
PR01350	CTRFAMILY	0.014691740002756	-4.22046984769941	2	2	0.0028328611898017	706	5821	12311,54598	Calcr,Calcrl
