TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-112314	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	7.5281406533475e-07	-14.0994475648238	135	39	0.0347593582887701	1122	8608	12300,432530,11773,21912,18195,110637,16519,15461,14408,74053,14811,14394,16522,26413,14807,14407,14409,14395,12315,14704,224129,14400,16524,14809,14812,11435,16521,108043,110902,328699,11444,12322,11512,12326,55984,17920,14707,14806,18750	Cacng2,Adcy1,Ap2m1,Tspan7,Nsf,Grik4,Kcnj3,Hras,Gabrr1,Grip1,Grin2a,Gabra1,Kcnj6,Mapk1,Grik3,Gabrg3,Gabrr2,Gabra2,Calm3,Gng3,Adcy5,Gabrb1,Kcnj9,Grik5,Grin2b,Chrna1,Kcnj5,Chrnb3,Chrna2,Gabrr3,Chrnb2,Camk2a,Adcy6,Camk4,Camkk1,Myo6,Gng5,Grik2,Prkca
R-MMU-112316	Neuronal System	1.39267388919858e-05	-11.1816999044007	310	67	0.0597147950089127	1122	8608	13002,269587,16524,14400,55991,26558,16521,380728,16533,110862,16536,11444,382571,12322,110902,16539,16500,18195,12300,26557,74053,14408,16519,110637,16522,240595,14807,226352,14394,14811,14704,22348,11435,319924,14809,14812,16531,105727,330953,223604,12326,11512,76787,108043,328699,18750,14806,243499,17920,14707,16510,55984,327814,21912,432530,11773,15461,26413,72258,20511,224129,68507,14409,12315,14395,14407,19266	Dnajc5,Epb41,Kcnj9,Gabrb1,Panx1,Homer3,Kcnj5,Kcnh4,Kcnmb1,Kcnq3,Kcnq2,Chrnb2,Kcnf1,Camk2a,Chrna2,Kcns2,Kcnb1,Nsf,Cacng2,Homer2,Grip1,Gabrr1,Kcnj3,Grik4,Kcnj6,Kcnv2,Grik3,Epb41l5,Gabra1,Grin2a,Gng3,Slc32a1,Chrna1,Apba1,Grik5,Grin2b,Kcnma1,Slc38a1,Hcn4,Kcnk9,Camk4,Adcy6,Ppfia3,Chrnb3,Gabrr3,Prkca,Grik2,Lrrtm4,Myo6,Gng5,Kcnh1,Camkk1,Ppfia2,Tspan7,Adcy1,Ap2m1,Hras,Mapk1,Kcnk10,Slc1a2,Adcy5,Ppfia4,Gabrr2,Calm3,Gabra2,Gabrg3,Ptprd
R-MMU-166520	Signalling by NGF	1.40313522957903e-05	-11.1742162824798	407	83	0.0739750445632799	1122	8608	16451,228769,114713,56458,16179,13645,12576,51792,24001,14811,18575,58988,18759,19088,12367,225849,16706,18707,56692,23997,269608,26932,72399,109270,208117,109934,14585,76089,171463,12322,16590,231474,16443,19192,11773,432530,110355,223435,22034,15461,68318,59287,320484,26413,26931,14177,14586,12315,67605,12064,18574,224129,14173,19697,14812,18176,226525,30938,384783,100102,13874,14573,18747,20741,77480,67151,11512,12326,244650,80297,12371,26419,114715,18591,207212,18750,69632,18553,20404,13712,213649,66997,71704	Jak1,Psmf1,Rasa2,Foxo1,Irak1,Egf,Cdkn1b,Ppp2r1a,Tiam2,Grin2a,Pde1c,Rps6kb2,Prkci,Prkar2b,Casp3,Ppp2r5b,Ksr1,Pik3cd,Lamtor3,Psmd13,Plekhg5,Ppp2r5e,Brap,Prr5,Aph1b,Abr,Gfra1,Rapgef2,Il17rd,Camk2a,Kit,Paqr3,Itsn1,Psme3,Ap2m1,Adcy1,Grk2,Trio,Traf6,Hras,Aph1c,Ncstn,Rasal3,Mapk1,Ppp2r5c,Fgf6,Gfra2,Calm3,Akt1s1,Bdnf,Pde1b,Adcy5,Fgf2,Rela,Grin2b,Nras,Rasal2,Fgd3,Irs2,Pcsk9,Ereg,Gdnf,Prkaca,Sptb,Kidins220,Psmd9,Adcy6,Camk4,Phlpp2,Sptbn4,Casp9,Mapk8,Spred1,Pdgfb,Arhgef17,Prkca,Arhgef12,Pcsk6,Sh3gl2,Elk1,Arhgef19,Psmd12,Arhgef3
R-MMU-8856825	Cargo recognition for clathrin-mediated endocytosis	1.71696251400608e-05	-10.9723687155553	85	26	0.0231729055258467	1122	8608	20404,233489,14725,16443,12402,26895,108800,26891,58194,22042,13859,16835,67602,13645,194590,15463,269774,100017,20844,13543,73094,13858,11773,320129,110355,218503	Sh3gl2,Picalm,Lrp2,Itsn1,Cbl,Cops7b,Ston2,Cops4,Sh3kbp1,Tfrc,Eps15l1,Ldlr,Necap1,Egf,Reps2,Agfg1,Aak1,Ldlrap1,Stam,Dvl2,Sgip1,Eps15,Ap2m1,Grk3,Grk2,Fcho2
R-MMU-112315	Transmission across Chemical Synapses	1.75205405805421e-05	-10.9521366178783	196	47	0.0418894830659537	1122	8608	74053,14408,15461,16519,110637,18195,21912,11773,432530,12300,22348,68507,14704,224129,14395,12315,14409,14407,14807,16522,26413,14394,20511,14811,16521,105727,319924,11435,13002,14812,14809,16524,14400,18750,14806,17920,14707,55984,327814,12326,11512,76787,12322,11444,108043,110902,328699	Grip1,Gabrr1,Hras,Kcnj3,Grik4,Nsf,Tspan7,Ap2m1,Adcy1,Cacng2,Slc32a1,Ppfia4,Gng3,Adcy5,Gabra2,Calm3,Gabrr2,Gabrg3,Grik3,Kcnj6,Mapk1,Gabra1,Slc1a2,Grin2a,Kcnj5,Slc38a1,Apba1,Chrna1,Dnajc5,Grin2b,Grik5,Kcnj9,Gabrb1,Prkca,Grik2,Myo6,Gng5,Camkk1,Ppfia2,Camk4,Adcy6,Ppfia3,Camk2a,Chrnb2,Chrnb3,Chrna2,Gabrr3
R-MMU-111996	Ca-dependent events	9.23498680725232e-05	-9.28992627987962	28	12	0.0106951871657754	1122	8608	432530,26413,110355,12326,11512,18575,12315,18574,18750,224129,18747,19088	Adcy1,Mapk1,Grk2,Camk4,Adcy6,Pde1c,Calm3,Pde1b,Prkca,Adcy5,Prkaca,Prkar2b
R-MMU-8856828	Clathrin-mediated endocytosis	0.000115288820615055	-9.0680700944963	115	30	0.0267379679144385	1122	8608	13043,58194,26891,22042,13859,16835,67602,20404,14725,72685,233489,214459,16443,18704,108800,12402,26895,73094,13543,100017,20844,320129,13858,11773,110355,218503,13645,15463,269774,194590	Cttn,Sh3kbp1,Cops4,Tfrc,Eps15l1,Ldlr,Necap1,Sh3gl2,Lrp2,Dnajc6,Picalm,Fnbp1l,Itsn1,Pik3c2a,Ston2,Cbl,Cops7b,Sgip1,Dvl2,Ldlrap1,Stam,Grk3,Eps15,Ap2m1,Grk2,Fcho2,Egf,Agfg1,Aak1,Reps2
R-MMU-199991	Membrane Trafficking	0.000138778505571298	-8.88263138087987	497	93	0.0828877005347594	1122	8608	68137,26891,22042,241694,67602,100855,18704,329260,108800,216705,21802,20844,100017,320129,19338,217835,18195,16572,13645,11765,15463,58194,241113,16835,13859,19346,97484,11652,16443,214459,20479,67665,50907,12402,28084,210789,73094,56715,13858,74375,67443,232286,194590,269774,13043,53413,66371,74498,233204,14725,12315,26895,104303,22241,226089,20336,11773,110355,218503,17918,66700,170760,56455,76954,69608,69440,18475,89867,106572,74741,80297,52036,20404,72685,12662,233489,19324,17920,69834,56358,381605,56041,13543,11764,16569,67046,16563,20741,70785,108079,207592,22629,224705	Kdelr1,Cops4,Tfrc,Ralgapa2,Necap1,Tbc1d14,Pik3c2a,Dennd1b,Ston2,Clint1,Tgfa,Stam,Ldlrap1,Grk3,Rab33b,Rin3,Nsf,Kif5a,Egf,Ap1g1,Agfg1,Sh3kbp1,Prkag3,Ldlr,Eps15l1,Rab6a,Cog8,Akt2,Itsn1,Fnbp1l,Vps4b,Dctn4,Preb,Cbl,Vps25,Tbc1d4,Sgip1,Rabgef1,Eps15,Gcc1,Map1lc3b,Tmf1,Reps2,Aak1,Cttn,Exoc7,Chmp4c,Gorasp1,Tbc1d17,Lrp2,Calm3,Cops7b,Arl1,Ulk1,Ric1,Exoc4,Ap2m1,Grk2,Fcho2,Myo5a,Chmp3,Acbd3,Dynll1,St5,Sec24d,Dennd6b,Pafah1b2,Sec16b,Rab31,C2cd5,Sptbn4,Ppp6r3,Sh3gl2,Dnajc6,Chm,Picalm,Rab1a,Myo6,Rab43,Copz2,Tbc1d2,Uso1,Dvl2,Ap1b1,Kif3b,Tbc1d7,Kif2a,Sptb,Dennd1c,Prkaa2,Tbc1d16,Ywhah,Vps52
R-MMU-177929	Signaling by EGFR	0.000204405607172274	-8.49540426766131	312	63	0.0561497326203209	1122	8608	56692,23997,384783,14812,13858,225849,226525,16706,18176,18707,20741,67151,26932,14573,13874,18747,58194,244650,80297,171463,76089,14585,12371,16590,12322,114715,13859,72399,109270,12326,11512,20404,66997,231474,18591,12402,19192,18750,228769,20844,114713,56458,432530,16451,110355,15461,13645,26931,14811,14177,14586,18575,12576,320484,51792,26413,19088,14173,12315,58988,67605,18574,224129	Lamtor3,Psmd13,Irs2,Grin2b,Eps15,Ppp2r5b,Rasal2,Ksr1,Nras,Pik3cd,Sptb,Psmd9,Ppp2r5e,Gdnf,Ereg,Prkaca,Sh3kbp1,Phlpp2,Sptbn4,Il17rd,Rapgef2,Gfra1,Casp9,Kit,Camk2a,Spred1,Eps15l1,Brap,Prr5,Camk4,Adcy6,Sh3gl2,Psmd12,Paqr3,Pdgfb,Cbl,Psme3,Prkca,Psmf1,Stam,Rasa2,Foxo1,Adcy1,Jak1,Grk2,Hras,Egf,Ppp2r5c,Grin2a,Fgf6,Gfra2,Pde1c,Cdkn1b,Rasal3,Ppp2r1a,Mapk1,Prkar2b,Fgf2,Calm3,Rps6kb2,Akt1s1,Pde1b,Adcy5
R-MMU-212718	EGFR interacts with phospholipase C-gamma	0.000204443297042327	-8.49521989700618	30	12	0.0106951871657754	1122	8608	19088,12315,13645,18747,18574,224129,18750,18575,432530,12326,11512,110355	Prkar2b,Calm3,Egf,Prkaca,Pde1b,Adcy5,Prkca,Pde1c,Adcy1,Camk4,Adcy6,Grk2
