TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00112	CA	0.000200075842422458	-8.51681405118669	117	32	0.0230880230880231	1386	9567	93712,93716,279653,93703,170677,93711,93717,93876,93709,93715,245578,22295,13505,93707,93702,93723,107934,93710,93699,93890,93708,93714,93722,211924,93700,93704,93713,93889,93724,93705,93706,93701	Pcdhga4,Pcdhga8,Pcdh19,Pcdhgb6,Cdhr1,Pcdhga3,Pcdhga9,Pcdhb5,Pcdhga1,Pcdhga7,Pcdh11x,Cdh23,Dsc1,Pcdhgc4,Pcdhgb5,Pcdhga11,Celsr3,Pcdhga2,Pcdhgb1,Pcdhb19,Pcdhgc5,Pcdhga6,Pcdhga10,Dsg1c,Pcdhgb2,Pcdhgb7,Pcdhga5,Pcdhb18,Pcdhga12,Pcdhgb8,Pcdhgc3,Pcdhgb4
SM00462	PTB	0.000966451887401248	-6.94187904079165	40	14	0.0101010101010101	1386	9567	217169,224650,67425,70676,72993,13131,210789,11787,100017,319924,319939,70729,224093,77531	Tns4,Anks1,Eps8l1,Gulp1,Appl1,Dab1,Tbc1d4,Apbb2,Ldlrap1,Apba1,Tns3,Nos1ap,Fam43a,Anks1b
SM00045	DAGKa	0.0011370090223177	-6.77935412904936	10	6	0.00432900432900433	1386	9567	380921,331374,217480,227333,320127,56077	Dgkh,Dgkk,Dgkb,Dgkd,Dgki,Dgke
SM00612	Kelch	0.00472213434635264	-5.35549438956881	56	16	0.0115440115440115	1386	9567	75785,228003,78267,71778,100503085,13803,234378,246293,224023,237010,236904,242721,76788,232539,209239,66689	Klhl24,Klhl41,Klhdc8b,Klhl5,Klhl3,Enc1,Klhl26,Klhl8,Klhl22,Klhl4,Klhl15,Klhdc7a,Klhdc10,Klhl42,Gan,Klhl28
SM00314	RA	0.00571084282728844	-5.16538866072725	29	10	0.00721500721500722	1386	9567	71746,56289,14786,77300,54354,14783,217835,66985,76089,215653	Rgl3,Rassf1,Grb7,Raph1,Rassf5,Grb10,Rin3,Rassf7,Rapgef2,Rassf2
SM00558	JmjC	0.00747557243559218	-4.89611458262516	30	10	0.00721500721500722	1386	9567	20591,319594,225876,277250,194952,68736,20592,338523,214899,75605	Kdm5c,Hif1an,Kdm2a,Kdm3b,Jmjd4,Tyw5,Kdm5d,Kdm7a,Kdm5a,Kdm5b
SM00233	PH	0.00784743998510377	-4.84756791692268	253	51	0.0367965367965368	1386	9567	24001,241639,78514,240753,106952,71801,109135,223435,320129,20947,384783,14389,269608,80297,217198,14786,105445,71704,231999,268739,234353,241075,381605,83436,233765,216439,109934,69710,27260,72993,101476,226525,11652,226971,16428,347722,77300,380921,16443,14783,331374,69632,114713,94190,227333,241308,20741,213649,20650,30938,110355	Tiam2,Fermt1,Arhgap10,Plekha6,Arap3,Plekhf2,Plekha5,Trio,Grk3,Swap70,Irs2,Gab2,Plekhg5,Sptbn4,Plekhh3,Grb7,Dock9,Arhgef3,Plekha8,Arhgef40,Psd3,Plekhm3,Tbc1d2,Plekha2,Plekha7,Agap2,Abr,Arap1,Plek2,Appl1,Plekha1,Rasal2,Akt2,Plekhb2,Itk,Agap1,Raph1,Dgkh,Itsn1,Grb10,Dgkk,Arhgef12,Rasa2,Ophn1,Dgkd,Ralgps1,Sptb,Arhgef19,Sntb2,Fgd3,Grk2
SM00046	DAGKc	0.00967763878981995	-4.63793733412009	14	6	0.00432900432900433	1386	9567	217480,227333,56077,320127,380921,331374	Dgkb,Dgkd,Dgke,Dgki,Dgkh,Dgkk
SM00079	PBPe	0.00972019695768994	-4.63354939757826	18	7	0.00505050505050505	1386	9567	14806,14807,14812,110637,14811,14804,14809	Grik2,Grik3,Grin2b,Grik4,Grin2a,Grid2,Grik5
SM00918	Lig_chan-Glu_bd	0.00972019695768994	-4.63354939757826	18	7	0.00505050505050505	1386	9567	14809,14811,14804,14806,110637,14807,14812	Grik5,Grin2a,Grid2,Grik2,Grik4,Grik3,Grin2b
