TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP1983	Splicing factor NOVA regulated synaptic proteins	0.00214591739135939	-6.14418812975529	42	13	0.020440251572327	636	4813	16536,16522,225724,269587,57321,12390,14806,110351,13131,16531,54725,14812,94332	Kcnq2,Kcnj6,Mapk4,Epb41,Terf2ip,Cav2,Grik2,Rap1gap,Dab1,Kcnma1,Cadm1,Grin2b,Cadm3
WP339	ESC Pluripotency Pathways	0.00219783606968119	-6.12028200736477	117	27	0.0424528301886792	636	4813	353283,14173,16973,18707,22411,13645,12167,14177,22422,20848,13543,55994,22414,11652,12005,16195,18591,26413,16878,14169,16451,15461,14371,13712,13542,57265,225724	Eras,Fgf2,Lrp5,Pik3cd,Wnt11,Egf,Bmpr1b,Fgf6,Wnt7b,Stat3,Dvl2,Smad9,Wnt2b,Akt2,Axin1,Il6st,Pdgfb,Mapk1,Lif,Fgf14,Jak1,Hras,Fzd9,Elk1,Dvl1,Fzd2,Mapk4
WP1261	ErbB signaling pathway	0.00518202858815117	-5.26255868003938	46	13	0.020440251572327	636	4813	15461,13645,13874,13712,12322,70584,21802,20850,12576,26419,18183,18750,26413	Hras,Egf,Ereg,Elk1,Camk2a,Pak4,Tgfa,Stat5a,Cdkn1b,Mapk8,Nrg3,Prkca,Mapk1
WP387	IL-6 signaling Pathway	0.00868514391437379	-4.74614130897457	99	22	0.0345911949685535	636	4813	15461,12568,14389,16451,54721,16194,26413,12367,16195,56458,26419,26931,269643,20850,11835,225849,16331,20848,12371,26932,14159,51792	Hras,Cdk5,Gab2,Jak1,Tyk2,Il6ra,Mapk1,Casp3,Il6st,Foxo1,Mapk8,Ppp2r5c,Ppp2r2c,Stat5a,Ar,Ppp2r5b,Inpp5d,Stat3,Casp9,Ppp2r5e,Fes,Ppp2r1a
WP407	Kit Receptor Signaling Pathway	0.0119069489848528	-4.43063310098917	67	16	0.0251572327044025	636	4813	20850,22612,16331,20848,18750,14159,58194,12703,12402,15461,114715,26413,17179,16590,14783,14786	Stat5a,Yes1,Inpp5d,Stat3,Prkca,Fes,Sh3kbp1,Socs1,Cbl,Hras,Spred1,Mapk1,Matk,Kit,Grb10,Grb7
WP29	Notch Signaling Pathway	0.0138851654315731	-4.27693424388505	46	12	0.0188679245283019	636	4813	20602,18129,15182,59287,208117,209200,74198,433586,14534,13542,13543,13017	Ncor2,Notch2,Hdac2,Ncstn,Aph1b,Dtx3l,Dtx2,Maml3,Kat2a,Dvl1,Dvl2,Ctbp2
WP1246	Hypothetical Network for Drug Addiction	0.0157286311019305	-4.15227259036948	31	9	0.0141509433962264	636	4813	14812,18747,26413,79264,57321,14811,13488,12326,432530	Grin2b,Prkaca,Mapk1,Krit1,Terf2ip,Grin2a,Drd1,Camk4,Adcy1
WP37	IL-1 Signaling Pathway	0.0186240251941563	-3.98330285465501	37	10	0.0157232704402516	636	4813	26419,26413,22034,230233,16180,68652,67245,73914,16179,19697	Mapk8,Mapk1,Traf6,Elp1,Il1rap,Tab2,Peli1,Irak3,Irak1,Rela
WP1560	MicroRNAs in Cardiomyocyte Hypertrophy	0.0212183621280092	-3.85288833407169	83	18	0.0283018867924528	636	4813	26419,16195,26413,79221,11652,15184,54720,13542,208727,57265,225724,16878,14173,16973,20848,19056,18707,13645	Mapk8,Il6st,Mapk1,Hdac9,Akt2,Hdac5,Rcan1,Dvl1,Hdac4,Fzd2,Mapk4,Lif,Fgf2,Lrp5,Stat3,Ppp3cb,Pik3cd,Egf
WP403	Wnt Signaling Pathway	0.021913956155964	-3.82063157773271	60	14	0.0220125786163522	636	4813	57265,13542,13543,18759,12443,14371,22422,16835,22411,26931,18750,26932,12005,22414	Fzd2,Dvl1,Dvl2,Prkci,Ccnd1,Fzd9,Wnt7b,Ldlr,Wnt11,Ppp2r5c,Prkca,Ppp2r5e,Axin1,Wnt2b
