TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0017157	regulation of exocytosis	9.39635791706297e-05	-9.2726033064062	248	11	0.0486725663716814	226	20694	20963,14159,18750,20479,13488,18645,18195,17920,20844,108043,16859	Syk,Fes,Prkca,Vps4b,Drd1,Pfn2,Nsf,Myo6,Stam,Chrnb3,Lgals9
GO:0051128	regulation of cellular component organization	0.000208851331117592	-8.47388789348338	2480	46	0.20353982300885	226	20694	75426,225849,233789,98403,76484,19355,77116,56376,20741,54198,29819,18605,74108,18195,380711,237256,237847,23897,16976,74919,18750,14159,21973,12954,208647,66102,208158,382056,107035,21802,20479,192212,20963,13853,16973,260305,13131,56275,14025,72162,407786,20844,208727,381293,11545,18645	Igfbpl1,Ppp2r5b,Smg1,Zfp451,Kndc1,Rad1,Mtmr2,Pdlim5,Sptb,Snx3,Stau2,Enpp1,Parn,Nsf,Rap1gap2,Zc3h12d,Rtn4rl1,Hax1,Lrpap1,Slc35f6,Prkca,Fes,Top2a,Cryaa,Creb3l2,Cxcl16,Map6d1,Crtc1,Fbxo38,Tgfa,Vps4b,Prom2,Syk,Epm2a,Lrp5,Nphp4,Dab1,Rbm14,Bcl11a,Dhx36,Taf9b,Stam,Hdac4,Kif14,Parp1,Pfn2
GO:0007018	microtubule-based movement	0.000472806404649136	-7.65682454575192	252	10	0.0442477876106195	226	20694	56444,75050,11778,67203,78801,381293,17828,19324,29819,217935	Actr10,Kif27,Ap3s2,Nde1,Ak7,Kif14,Bloc1s5,Rab1a,Stau2,Wdr60
GO:0007017	microtubule-based process	0.000587080639661339	-7.44034837165769	630	17	0.0752212389380531	226	20694	208158,75050,67203,11778,12954,56444,29819,237436,78801,70661,233276,56275,14159,217935,19324,17828,381293	Map6d1,Kif27,Nde1,Ap3s2,Cryaa,Actr10,Stau2,Gas2l3,Ak7,Sik3,Tubgcp5,Rbm14,Fes,Wdr60,Rab1a,Bloc1s5,Kif14
GO:0080090	regulation of primary metabolic process	0.000658367864646755	-7.32574671804477	5300	80	0.353982300884956	226	20694	18645,59057,381293,109700,14605,14025,208727,242466,20591,17920,12311,109270,16650,18514,192212,16973,22688,20963,382056,21802,544971,74326,18750,21973,235469,19324,269037,56490,68652,78829,74108,18195,12394,239510,54198,77116,22042,320713,98403,67630,216874,233789,225849,22668,244219,225998,11545,107934,72607,66505,243963,72162,56275,407786,72057,13131,170719,56175,13853,59009,106039,16859,236904,208647,12954,57875,74533,13488,55994,23808,23897,13543,18605,19703,54201,237256,224792,58231,76484,26931	Pfn2,Zfp24,Kif14,Itga1,Tsc22d3,Bcl11a,Hdac4,Zfp462,Kdm5c,Myo6,Calcr,Prr5,Kpna6,Pbx1,Prom2,Lrp5,Zfp26,Syk,Crtc1,Tgfa,Bdp1,Hnrnpr,Prkca,Top2a,Zfp280d,Rab1a,Ctif,Zbtb20,Tab2,Tsc22d4,Parn,Nsf,Runx1,Phf20l1,Snx3,Mtmr2,Tfrc,Mysm1,Zfp451,Samd8,Camta2,Smg1,Ppp2r5b,Sf1,Zfp668,Rorb,Parp1,Celsr3,Usp13,Zmynd11,Zfp473,Dhx36,Rbm14,Taf9b,Phf10,Dab1,Oxr1,Bace2,Epm2a,Sh3rf1,Gga1,Lgals9,Klhl15,Creb3l2,Cryaa,Angptl4,Gzf1,Drd1,Smad9,Ash2l,Hax1,Dvl2,Enpp1,Renbp,Zfp316,Zc3h12d,Adgrf5,Stk4,Kndc1,Ppp2r5c
GO:0090669	telomerase RNA stabilization	0.000702240315690581	-7.26123488247646	4	2	0.00884955752212389	226	20694	74108,72162	Parn,Dhx36
GO:0099111	microtubule-based transport	0.000750146181870729	-7.19524246126527	177	8	0.0353982300884956	226	20694	67203,11778,75050,56444,19324,29819,17828,78801	Nde1,Ap3s2,Kif27,Actr10,Rab1a,Stau2,Bloc1s5,Ak7
GO:0007399	nervous system development	0.000816615601474283	-7.11034207385562	2267	41	0.18141592920354	226	20694	67203,208647,107035,382056,59009,13853,260305,13131,66912,18514,72057,17920,79464,72162,14025,17828,107934,381293,109700,59057,225998,75050,225849,76484,58231,56376,77116,54198,29819,380711,12394,68151,78801,16470,13543,237847,279653,14159,18750,13488,55994	Nde1,Creb3l2,Fbxo38,Crtc1,Sh3rf1,Epm2a,Nphp4,Dab1,Bzw2,Pbx1,Phf10,Myo6,Lias,Dhx36,Bcl11a,Bloc1s5,Celsr3,Kif14,Itga1,Zfp24,Rorb,Kif27,Ppp2r5b,Kndc1,Stk4,Pdlim5,Mtmr2,Snx3,Stau2,Rap1gap2,Runx1,Wls,Ak7,Ush1g,Dvl2,Rtn4rl1,Pcdh19,Fes,Prkca,Drd1,Smad9
GO:0051173	positive regulation of nitrogen compound metabolic process	0.000924783439701881	-6.98595096710325	3110	52	0.230088495575221	226	20694	237256,12394,18195,74108,58231,320713,22042,225849,216874,76484,23808,55994,13488,74326,74533,19324,21973,18750,68652,269037,56490,23897,13543,13131,18514,16650,20963,16973,192212,21802,16859,59009,382056,106039,12954,208647,59057,225998,18645,381293,109700,11545,407786,208727,56275,72162,72607,12311,109270,72057,17920,242466	Zc3h12d,Runx1,Nsf,Parn,Stk4,Mysm1,Tfrc,Ppp2r5b,Camta2,Kndc1,Ash2l,Smad9,Drd1,Hnrnpr,Gzf1,Rab1a,Top2a,Prkca,Tab2,Ctif,Zbtb20,Hax1,Dvl2,Dab1,Pbx1,Kpna6,Syk,Lrp5,Prom2,Tgfa,Lgals9,Sh3rf1,Crtc1,Gga1,Cryaa,Creb3l2,Zfp24,Rorb,Pfn2,Kif14,Itga1,Parp1,Taf9b,Hdac4,Rbm14,Dhx36,Usp13,Calcr,Prr5,Phf10,Myo6,Zfp462
GO:0031325	positive regulation of cellular metabolic process	0.0009555522533997	-6.95322110880937	3269	54	0.238938053097345	226	20694	381293,109700,11545,59057,225998,18645,12311,72057,109270,17920,242466,407786,208727,56275,72607,72162,13853,20963,16973,192212,13131,18514,16650,12954,208647,21802,16859,59009,382056,19324,21973,18750,23808,13488,55994,74326,74533,13543,68652,269037,56490,23897,12856,237256,12394,18195,74108,225849,216874,76484,58231,320713,22042,224792	Kif14,Itga1,Parp1,Zfp24,Rorb,Pfn2,Calcr,Phf10,Prr5,Myo6,Zfp462,Taf9b,Hdac4,Rbm14,Usp13,Dhx36,Epm2a,Syk,Lrp5,Prom2,Dab1,Pbx1,Kpna6,Cryaa,Creb3l2,Tgfa,Lgals9,Sh3rf1,Crtc1,Rab1a,Top2a,Prkca,Ash2l,Drd1,Smad9,Hnrnpr,Gzf1,Dvl2,Tab2,Ctif,Zbtb20,Hax1,Cox17,Zc3h12d,Runx1,Nsf,Parn,Ppp2r5b,Camta2,Kndc1,Stk4,Mysm1,Tfrc,Adgrf5
