TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0044464	cell part	0.000253669132634818	-8.27947976752432	15725	193	0.853982300884956	226	20747	66307,17250,237759,29819,54198,67443,19775,17828,70059,56348,22619,75212,227394,50817,67630,107934,76484,101142,75560,260305,208647,56175,100503085,217666,13853,108086,19324,235469,78267,76775,242297,78801,74254,243963,244219,70791,216874,280662,22042,320736,14230,12311,74919,11545,21973,16650,56275,22688,19355,208158,382571,74108,17920,114570,66865,381812,11778,14159,20591,320407,245578,56709,56079,68652,14025,66912,20963,170719,381293,231724,241633,380711,225849,106039,208727,67203,58231,23948,79464,76261,18514,14408,21802,66290,23897,77116,233789,14950,12394,20844,544971,18605,59009,18195,103511,241639,20918,237256,224792,16976,215193,18645,79202,236904,79201,72057,382056,66505,54151,270152,72061,436002,18553,97243,52705,71966,74533,74326,207911,13131,627111,209630,233863,16859,108043,18750,26931,242466,244650,192212,13488,20479,70661,23808,75050,16470,270084,56376,246190,55994,59057,217935,259055,14605,233276,75540,224794,21912,12856,320713,56444,109270,54201,382117,19294,58182,68151,407786,237436,52504,16521,22247,19134,171270,71330,320683,21683,56490,20741,109700,98403,279653,16973,227195,232679,100503583,67792,70152,225998,269037,237847,14867,22668,78829,239510,13543,66471,319190,12954,224582,107035,67880,72162	Isoc1,Abcc1,Col23a1,Stau2,Snx3,Map1lc3b,Xpr1,Bloc1s5,Degs2,Hsd17b12,Siae,Rnf121,Slco4c1,Capn15,Samd8,Celsr3,Kndc1,Itfg2,Ep400,Nphp4,Creb3l2,Bace2,Klhl3,L2hgdh,Epm2a,Rnf216,Rab1a,Zfp280d,Klhdc8b,Slc10a7,Fam110b,Ak7,Gpn1,Zfp473,Zfp668,Hars2,Camta2,Afm,Tfrc,Vstm4,Fkbp10,Calcr,Slc35f6,Parp1,Top2a,Kpna6,Rbm14,Zfp26,Rad1,Map6d1,Kcnf1,Parn,Myo6,Crip3,Pmpca,Cracr2a,Ap3s2,Fes,Kdm5c,Klri2,Pcdh11x,Dnajb12,Astn2,Tab2,Bcl11a,Bzw2,Syk,Oxr1,Kif14,Rad9b,Atp8b4,Rap1gap2,Ppp2r5b,Gga1,Hdac4,Nde1,Stk4,Mmp17,Lias,0610040J01Rik,Pbx1,Gabrr1,Tgfa,Atp6v1g1,Hax1,Mtmr2,Smg1,H13,Runx1,Stam,Bdp1,Enpp1,Sh3rf1,Nsf,Calhm5,Fermt1,Eif1,Zc3h12d,Adgrf5,Lrpap1,Utp25,Pfn2,Tnfrsf22,Klhl15,Tnfrsf23,Phf10,Crtc1,Zmynd11,Cyhr1,Jaml,Aopep,Olfr243,Pcsk6,Naa11,Krr1,Nkiras2,Gzf1,Hnrnpr,Mchr1,Dab1,Vmn2r92,Frmd4a,Gtf3c1,Lgals9,Chrnb3,Prkca,Ppp2r5c,Zfp462,Phlpp2,Prom2,Drd1,Vps4b,Sik3,Ash2l,Kif27,Ush1g,Lpcat2,Pdlim5,Otoa,Smad9,Zfp24,Wdr60,Olfr582,Tsc22d3,Tubgcp5,Fpgt,Enpp4,Tspan7,Cox17,Mysm1,Actr10,Prr5,Zfp316,Tcaim,Nectin2,Prokr1,Wls,Taf9b,Gas2l3,Cenpo,Kcnj5,Umps,Prpf4b,Vmn1r203,Rcbtb1,Zfp629,Tecta,Zbtb20,Sptb,Itga1,Zfp451,Pcdh19,Lrp5,Ino80d,Zc3hc1,Fsbp,Rgs8,Mettl7a1,Rorb,Ctif,Rtn4rl1,Gstm6,Sf1,Tsc22d4,Phf20l1,Dvl2,Anp32e,Hist2h2be,Cryaa,Vmn2r110,Fbxo38,Dcxr,Dhx36
GO:0005623	cell	0.0002598439174021	-8.25542942489579	15729	193	0.853982300884956	226	20747	233789,12394,14950,77116,544971,20844,18514,79464,76261,23948,23897,66290,21802,14408,16976,224792,237256,18645,215193,18195,103511,59009,18605,20918,241639,14159,11778,66865,381812,56709,56079,245578,320407,20591,19355,208158,382571,22688,56275,114570,17920,74108,380711,208727,106039,225849,58231,67203,66912,14025,68652,241633,231724,381293,170719,20963,78267,19324,235469,108086,76775,242297,208647,56175,260305,217666,13853,100503085,11545,74919,12311,14230,320736,22042,280662,16650,21973,244219,74254,243963,78801,216874,70791,17828,19775,22619,75212,56348,70059,237759,17250,66307,54198,67443,29819,101142,76484,75560,107934,67630,50817,227394,14867,237847,22668,78829,16973,279653,269037,70152,225998,67792,232679,100503583,227195,12954,72162,67880,107035,224582,13543,239510,319190,66471,58182,19294,382117,109270,54201,20741,56490,21683,71330,320683,98403,109700,16521,52504,407786,237436,68151,171270,19134,22247,75050,16470,20479,70661,23808,192212,13488,246190,270084,56376,26931,18750,108043,244650,242466,320713,21912,12856,56444,14605,259055,217935,55994,59057,224794,75540,233276,72061,270152,66505,54151,382056,436002,79202,72057,79201,236904,16859,74533,74326,71966,52705,97243,18553,627111,209630,233863,13131,207911	Smg1,Runx1,H13,Mtmr2,Bdp1,Stam,Pbx1,Lias,0610040J01Rik,Mmp17,Hax1,Atp6v1g1,Tgfa,Gabrr1,Lrpap1,Adgrf5,Zc3h12d,Pfn2,Utp25,Nsf,Calhm5,Sh3rf1,Enpp1,Eif1,Fermt1,Fes,Ap3s2,Pmpca,Cracr2a,Dnajb12,Astn2,Pcdh11x,Klri2,Kdm5c,Rad1,Map6d1,Kcnf1,Zfp26,Rbm14,Crip3,Myo6,Parn,Rap1gap2,Hdac4,Gga1,Ppp2r5b,Stk4,Nde1,Bzw2,Bcl11a,Tab2,Atp8b4,Rad9b,Kif14,Oxr1,Syk,Klhdc8b,Rab1a,Zfp280d,Rnf216,Slc10a7,Fam110b,Creb3l2,Bace2,Nphp4,L2hgdh,Epm2a,Klhl3,Parp1,Slc35f6,Calcr,Fkbp10,Vstm4,Tfrc,Afm,Kpna6,Top2a,Zfp668,Gpn1,Zfp473,Ak7,Camta2,Hars2,Bloc1s5,Xpr1,Siae,Rnf121,Hsd17b12,Degs2,Col23a1,Abcc1,Isoc1,Snx3,Map1lc3b,Stau2,Itfg2,Kndc1,Ep400,Celsr3,Samd8,Capn15,Slco4c1,Gstm6,Rtn4rl1,Sf1,Tsc22d4,Lrp5,Pcdh19,Ctif,Mettl7a1,Rorb,Rgs8,Zc3hc1,Fsbp,Ino80d,Cryaa,Dhx36,Dcxr,Fbxo38,Vmn2r110,Dvl2,Phf20l1,Hist2h2be,Anp32e,Prokr1,Nectin2,Tcaim,Prr5,Zfp316,Sptb,Zbtb20,Tecta,Rcbtb1,Zfp629,Zfp451,Itga1,Kcnj5,Cenpo,Taf9b,Gas2l3,Wls,Vmn1r203,Prpf4b,Umps,Kif27,Ush1g,Vps4b,Sik3,Ash2l,Prom2,Drd1,Otoa,Lpcat2,Pdlim5,Ppp2r5c,Prkca,Chrnb3,Phlpp2,Zfp462,Mysm1,Tspan7,Cox17,Actr10,Tsc22d3,Olfr582,Wdr60,Smad9,Zfp24,Enpp4,Fpgt,Tubgcp5,Aopep,Jaml,Zmynd11,Cyhr1,Crtc1,Olfr243,Tnfrsf22,Phf10,Tnfrsf23,Klhl15,Lgals9,Gzf1,Hnrnpr,Nkiras2,Krr1,Naa11,Pcsk6,Vmn2r92,Frmd4a,Gtf3c1,Dab1,Mchr1
GO:0005654	nucleoplasm	0.000718683757256422	-7.23808913391721	2554	45	0.199115044247788	226	20747	56275,19355,17920,72057,382056,66505,54151,20591,407786,74326,74533,14025,170719,19134,106039,208727,101142,56490,75560,58231,98403,76261,208647,18514,242466,13853,108086,70661,23808,12394,233789,22668,55994,13543,74254,243963,319190,12954,237256,74919,320713,11545,21973,72162,16650	Rbm14,Rad1,Myo6,Phf10,Crtc1,Zmynd11,Cyhr1,Kdm5c,Taf9b,Hnrnpr,Gzf1,Bcl11a,Oxr1,Prpf4b,Gga1,Hdac4,Itfg2,Zbtb20,Ep400,Stk4,Zfp451,0610040J01Rik,Creb3l2,Pbx1,Zfp462,Epm2a,Rnf216,Sik3,Ash2l,Runx1,Smg1,Sf1,Smad9,Dvl2,Gpn1,Zfp473,Hist2h2be,Cryaa,Zc3h12d,Slc35f6,Mysm1,Parp1,Top2a,Dhx36,Kpna6
GO:0030896	checkpoint clamp complex	0.00115610358652014	-6.7626999050301	5	2	0.00884955752212389	226	20747	231724,19355	Rad9b,Rad1
GO:0043229	intracellular organelle	0.00218765743444939	-6.12492397228822	11712	149	0.65929203539823	226	20747	66307,17250,29819,54198,67443,19775,17828,70059,56348,22619,75212,67630,101142,75560,260305,56175,208647,100503085,13853,217666,108086,19324,235469,242297,76775,243963,74254,244219,70791,216874,22042,14230,12311,74919,11545,21973,16650,56275,22688,19355,208158,74108,17920,114570,11778,66865,14159,20591,56079,56709,68652,14025,20963,170719,231724,381293,241633,106039,225849,380711,208727,67203,58231,76261,79464,18514,21802,66290,23897,77116,12394,233789,14950,20844,544971,59009,18195,241639,237256,224792,16976,215193,18645,236904,72057,382056,66505,54151,72061,97243,52705,74326,74533,13131,209630,233863,16859,18750,26931,244650,242466,192212,13488,70661,23808,20479,75050,16470,270084,56376,55994,59057,217935,14605,233276,12856,320713,56444,54201,382117,407786,237436,68151,52504,22247,19134,71330,320683,20741,56490,109700,98403,16973,232679,227195,100503583,67792,225998,70152,78829,22668,239510,13543,319190,66471,12954,107035,72162,67880	Isoc1,Abcc1,Stau2,Snx3,Map1lc3b,Xpr1,Bloc1s5,Degs2,Hsd17b12,Siae,Rnf121,Samd8,Itfg2,Ep400,Nphp4,Bace2,Creb3l2,Klhl3,Epm2a,L2hgdh,Rnf216,Rab1a,Zfp280d,Fam110b,Slc10a7,Zfp473,Gpn1,Zfp668,Hars2,Camta2,Tfrc,Fkbp10,Calcr,Slc35f6,Parp1,Top2a,Kpna6,Rbm14,Zfp26,Rad1,Map6d1,Parn,Myo6,Crip3,Ap3s2,Pmpca,Fes,Kdm5c,Astn2,Dnajb12,Tab2,Bcl11a,Syk,Oxr1,Rad9b,Kif14,Atp8b4,Gga1,Ppp2r5b,Rap1gap2,Hdac4,Nde1,Stk4,0610040J01Rik,Lias,Pbx1,Tgfa,Atp6v1g1,Hax1,Mtmr2,Runx1,Smg1,H13,Stam,Bdp1,Sh3rf1,Nsf,Fermt1,Zc3h12d,Adgrf5,Lrpap1,Utp25,Pfn2,Klhl15,Phf10,Crtc1,Zmynd11,Cyhr1,Aopep,Naa11,Krr1,Hnrnpr,Gzf1,Dab1,Frmd4a,Gtf3c1,Lgals9,Prkca,Ppp2r5c,Phlpp2,Zfp462,Prom2,Drd1,Sik3,Ash2l,Vps4b,Kif27,Ush1g,Lpcat2,Pdlim5,Smad9,Zfp24,Wdr60,Tsc22d3,Tubgcp5,Cox17,Mysm1,Actr10,Zfp316,Tcaim,Taf9b,Gas2l3,Wls,Cenpo,Umps,Prpf4b,Rcbtb1,Zfp629,Sptb,Zbtb20,Itga1,Zfp451,Lrp5,Zc3hc1,Ino80d,Fsbp,Rgs8,Rorb,Mettl7a1,Tsc22d4,Sf1,Phf20l1,Dvl2,Hist2h2be,Anp32e,Cryaa,Fbxo38,Dhx36,Dcxr
GO:0043226	organelle	0.0037125574685406	-5.59603429523155	12021	151	0.668141592920354	226	20747	100503085,217666,13853,260305,208647,56175,76775,242297,108086,19324,235469,70791,216874,78801,74254,243963,244219,21973,16650,22042,12311,14230,74919,11545,29819,54198,67443,66307,17250,70059,56348,75212,22619,19775,17828,67630,75560,101142,21802,66290,23897,76261,79464,18514,20844,544971,77116,14950,12394,233789,241639,59009,18195,215193,18645,237256,224792,16976,74108,114570,17920,56275,22688,19355,208158,20591,56079,56709,66865,11778,14159,20963,170719,381293,231724,241633,68652,14025,67203,58231,106039,380711,208727,225849,242466,244650,18750,26931,270084,56376,192212,13488,20479,70661,23808,75050,16470,233276,59057,55994,217935,14605,56444,12856,320713,236904,72057,382056,54151,66505,72061,207911,13131,209630,233863,97243,52705,74326,74533,16859,232679,100503583,227195,67792,70152,225998,16973,22668,78829,66471,319190,239510,13543,107035,72162,67880,12954,54201,382117,22247,19134,68151,237436,407786,52504,109700,98403,71330,320683,20741,56490	Klhl3,L2hgdh,Epm2a,Nphp4,Creb3l2,Bace2,Slc10a7,Fam110b,Rnf216,Rab1a,Zfp280d,Hars2,Camta2,Ak7,Gpn1,Zfp473,Zfp668,Top2a,Kpna6,Tfrc,Calcr,Fkbp10,Slc35f6,Parp1,Stau2,Snx3,Map1lc3b,Isoc1,Abcc1,Degs2,Hsd17b12,Rnf121,Siae,Xpr1,Bloc1s5,Samd8,Ep400,Itfg2,Tgfa,Atp6v1g1,Hax1,0610040J01Rik,Lias,Pbx1,Stam,Bdp1,Mtmr2,H13,Runx1,Smg1,Fermt1,Sh3rf1,Nsf,Utp25,Pfn2,Zc3h12d,Adgrf5,Lrpap1,Parn,Crip3,Myo6,Rbm14,Zfp26,Rad1,Map6d1,Kdm5c,Astn2,Dnajb12,Pmpca,Ap3s2,Fes,Syk,Oxr1,Kif14,Rad9b,Atp8b4,Tab2,Bcl11a,Nde1,Stk4,Gga1,Rap1gap2,Hdac4,Ppp2r5b,Zfp462,Phlpp2,Prkca,Ppp2r5c,Lpcat2,Pdlim5,Prom2,Drd1,Vps4b,Sik3,Ash2l,Kif27,Ush1g,Tubgcp5,Zfp24,Smad9,Wdr60,Tsc22d3,Actr10,Cox17,Mysm1,Klhl15,Phf10,Crtc1,Cyhr1,Zmynd11,Aopep,Mchr1,Dab1,Frmd4a,Gtf3c1,Naa11,Krr1,Hnrnpr,Gzf1,Lgals9,Zc3hc1,Fsbp,Ino80d,Rgs8,Mettl7a1,Rorb,Lrp5,Sf1,Tsc22d4,Anp32e,Hist2h2be,Phf20l1,Dvl2,Fbxo38,Dhx36,Dcxr,Cryaa,Zfp316,Tcaim,Umps,Prpf4b,Wls,Gas2l3,Taf9b,Cenpo,Itga1,Zfp451,Rcbtb1,Zfp629,Sptb,Zbtb20
GO:0005875	microtubule associated complex	0.00422359466780904	-5.46706869650808	139	6	0.0265486725663717	226	20747	75050,217935,56444,381293,67203,67443	Kif27,Wdr60,Actr10,Kif14,Nde1,Map1lc3b
GO:0005634	nucleus	0.00438366331675866	-5.42987053047017	6691	92	0.407079646017699	226	20747	208727,106039,380711,225849,56490,320683,71330,98403,58231,52504,14025,407786,68652,231724,381293,19134,22247,20963,170719,56709,20591,19355,22688,56275,114570,17920,74108,54201,237256,12954,72162,107035,215193,13543,239510,66471,319190,233789,12394,77116,544971,78829,22668,18514,76261,23897,225998,67792,100503583,21802,232679,227195,101142,16859,75560,74533,74326,52705,97243,233863,72061,66505,54151,382056,72057,29819,236904,320713,11545,74919,22042,16650,21973,244219,14605,243963,74254,59057,55994,216874,70661,23808,20479,235469,13488,108086,26931,208647,18750,13853,244650,242466	Hdac4,Gga1,Rap1gap2,Ppp2r5b,Zbtb20,Zfp629,Rcbtb1,Zfp451,Stk4,Cenpo,Bcl11a,Taf9b,Tab2,Rad9b,Kif14,Prpf4b,Umps,Syk,Oxr1,Dnajb12,Kdm5c,Rad1,Zfp26,Rbm14,Crip3,Myo6,Parn,Zfp316,Zc3h12d,Cryaa,Dhx36,Fbxo38,Utp25,Dvl2,Phf20l1,Anp32e,Hist2h2be,Smg1,Runx1,Mtmr2,Bdp1,Tsc22d4,Sf1,Pbx1,0610040J01Rik,Hax1,Rorb,Rgs8,Fsbp,Tgfa,Zc3hc1,Ino80d,Itfg2,Lgals9,Ep400,Gzf1,Hnrnpr,Krr1,Naa11,Gtf3c1,Aopep,Zmynd11,Cyhr1,Crtc1,Phf10,Stau2,Klhl15,Mysm1,Parp1,Slc35f6,Tfrc,Kpna6,Top2a,Zfp668,Tsc22d3,Zfp473,Gpn1,Zfp24,Smad9,Camta2,Sik3,Ash2l,Vps4b,Zfp280d,Drd1,Rnf216,Ppp2r5c,Creb3l2,Prkca,Epm2a,Phlpp2,Zfp462
GO:0098554	cytoplasmic side of endoplasmic reticulum membrane	0.00501868690728337	-5.2945869517488	10	2	0.00884955752212389	226	20747	14950,13853	H13,Epm2a
GO:0097730	non-motile cilium	0.00553538435472798	-5.19659427445051	147	6	0.0265486725663717	226	20747	13488,260305,18750,16470,244650,207911	Drd1,Nphp4,Prkca,Ush1g,Phlpp2,Mchr1
