TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko04728	Dopaminergic synapse	0.00147792059581443	-6.51711918197616	130	6	0.0789473684210526	76	7931	16521,225849,18750,26931,208647,13488	Kcnj5,Ppp2r5b,Prkca,Ppp2r5c,Creb3l2,Drd1
mmu04728	Dopaminergic synapse	0.00147792059581443	-6.51711918197616	130	6	0.0789473684210526	76	7931	16521,225849,18750,26931,13488,208647	Kcnj5,Ppp2r5b,Prkca,Ppp2r5c,Drd1,Creb3l2
mmu04071	Sphingolipid signaling pathway	0.00573014235302675	-5.16201490510392	120	5	0.0657894736842105	76	7931	17250,225849,18750,70059,26931	Abcc1,Ppp2r5b,Prkca,Degs2,Ppp2r5c
ko04071	Sphingolipid signaling pathway	0.00573014235302675	-5.16201490510392	120	5	0.0657894736842105	76	7931	17250,225849,18750,70059,26931	Abcc1,Ppp2r5b,Prkca,Degs2,Ppp2r5c
mmu05032	Morphine addiction	0.0111028945568462	-4.50054943377162	91	4	0.0526315789473684	76	7931	16521,14408,18750,13488	Kcnj5,Gabrr1,Prkca,Drd1
ko05032	Morphine addiction	0.0111028945568462	-4.50054943377162	91	4	0.0526315789473684	76	7931	16521,18750,14408,13488	Kcnj5,Prkca,Gabrr1,Drd1
mmu04150	mTOR signaling pathway	0.0150314870656567	-4.19760814028069	152	5	0.0657894736842105	76	7931	18750,109270,13543,66290,16973	Prkca,Prr5,Dvl2,Atp6v1g1,Lrp5
ko04150	mTOR signaling pathway	0.0150314870656567	-4.19760814028069	152	5	0.0657894736842105	76	7931	18750,109270,13543,66290,16973	Prkca,Prr5,Dvl2,Atp6v1g1,Lrp5
ko05223	Non-small cell lung cancer	0.0178978282604836	-4.02307589972602	58	3	0.0394736842105263	76	7931	21802,18750,58231	Tgfa,Prkca,Stk4
mmu05223	Non-small cell lung cancer	0.0178978282604836	-4.02307589972602	58	3	0.0394736842105263	76	7931	21802,18750,58231	Tgfa,Prkca,Stk4
mmu05031	Amphetamine addiction	0.0261445332593295	-3.64411516350638	67	3	0.0394736842105263	76	7931	18750,208647,13488	Prkca,Creb3l2,Drd1
ko05031	Amphetamine addiction	0.0261445332593295	-3.64411516350638	67	3	0.0394736842105263	76	7931	18750,208647,13488	Prkca,Creb3l2,Drd1
ko00785	Lipoic acid metabolism	0.0284769058278316	-3.5586618420262	3	1	0.0131578947368421	76	7931	79464	Lias
M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	0.0284769058278316	-3.5586618420262	3	1	0.0131578947368421	76	7931	22247	Umps
mmu_M00408	ESCRT-0 complex	0.0284769058278316	-3.5586618420262	3	1	0.0131578947368421	76	7931	20844	Stam
mmu_M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	0.0284769058278316	-3.5586618420262	3	1	0.0131578947368421	76	7931	22247	Umps
M00408	ESCRT-0 complex	0.0284769058278316	-3.5586618420262	3	1	0.0131578947368421	76	7931	20844	Stam
mmu00785	Lipoic acid metabolism	0.0284769058278316	-3.5586618420262	3	1	0.0131578947368421	76	7931	79464	Lias
ko04151	PI3K-Akt signaling pathway	0.0441966323154615	-3.11910668475912	341	7	0.0921052631578947	76	7931	208647,20963,26931,225849,109700,18750,244650	Creb3l2,Syk,Ppp2r5c,Ppp2r5b,Itga1,Prkca,Phlpp2
mmu04151	PI3K-Akt signaling pathway	0.0441966323154615	-3.11910668475912	341	7	0.0921052631578947	76	7931	208647,20963,26931,225849,109700,18750,244650	Creb3l2,Syk,Ppp2r5c,Ppp2r5b,Itga1,Prkca,Phlpp2
ko04261	Adrenergic signaling in cardiomyocytes	0.0489938668177122	-3.01606015569102	144	4	0.0526315789473684	76	7931	26931,208647,225849,18750	Ppp2r5c,Creb3l2,Ppp2r5b,Prkca
mmu04261	Adrenergic signaling in cardiomyocytes	0.0489938668177122	-3.01606015569102	144	4	0.0526315789473684	76	7931	18750,225849,26931,208647	Prkca,Ppp2r5b,Ppp2r5c,Creb3l2
mmu04727	GABAergic synapse	0.0505658206970566	-2.98447941122364	87	3	0.0394736842105263	76	7931	18750,14408,18195	Prkca,Gabrr1,Nsf
ko04727	GABAergic synapse	0.0505658206970566	-2.98447941122364	87	3	0.0394736842105263	76	7931	14408,18750,18195	Gabrr1,Prkca,Nsf
mmu04216	Ferroptosis	0.055938635331703	-2.88349998672035	40	2	0.0263157894736842	76	7931	22042,67443	Tfrc,Map1lc3b
ko04216	Ferroptosis	0.055938635331703	-2.88349998672035	40	2	0.0263157894736842	76	7931	22042,67443	Tfrc,Map1lc3b
ko03015	mRNA surveillance pathway	0.0579385384324963	-2.8483725124942	92	3	0.0394736842105263	76	7931	233789,225849,26931	Smg1,Ppp2r5b,Ppp2r5c
mmu03015	mRNA surveillance pathway	0.0579385384324963	-2.8483725124942	92	3	0.0394736842105263	76	7931	225849,233789,26931	Ppp2r5b,Smg1,Ppp2r5c
mmu04962	Vasopressin-regulated water reabsorption	0.0635916402331842	-2.75527326014989	43	2	0.0263157894736842	76	7931	208647,18195	Creb3l2,Nsf
ko04962	Vasopressin-regulated water reabsorption	0.0635916402331842	-2.75527326014989	43	2	0.0263157894736842	76	7931	18195,208647	Nsf,Creb3l2
ko04064	NF-kappa B signaling pathway	0.0674186162123069	-2.69683409427107	98	3	0.0394736842105263	76	7931	11545,68652,20963	Parp1,Tab2,Syk
mmu04064	NF-kappa B signaling pathway	0.0674186162123069	-2.69683409427107	98	3	0.0394736842105263	76	7931	11545,20963,68652	Parp1,Syk,Tab2
mmu04916	Melanogenesis	0.0707274423725236	-2.64892162902175	100	3	0.0394736842105263	76	7931	13543,208647,18750	Dvl2,Creb3l2,Prkca
ko04916	Melanogenesis	0.0707274423725236	-2.64892162902175	100	3	0.0394736842105263	76	7931	208647,13543,18750	Creb3l2,Dvl2,Prkca
ko04723	Retrograde endocannabinoid signaling	0.0724091174020867	-2.62542305655106	101	3	0.0394736842105263	76	7931	16521,14408,18750	Kcnj5,Gabrr1,Prkca
mmu04723	Retrograde endocannabinoid signaling	0.0724091174020867	-2.62542305655106	101	3	0.0394736842105263	76	7931	18750,14408,16521	Prkca,Gabrr1,Kcnj5
mmu00740	Riboflavin metabolism	0.0741703783835601	-2.60139042167516	8	1	0.0131578947368421	76	7931	18605	Enpp1
ko00740	Riboflavin metabolism	0.0741703783835601	-2.60139042167516	8	1	0.0131578947368421	76	7931	18605	Enpp1
ko05030	Cocaine addiction	0.0770702254377197	-2.5630382540931	48	2	0.0263157894736842	76	7931	208647,13488	Creb3l2,Drd1
mmu05030	Cocaine addiction	0.0770702254377197	-2.5630382540931	48	2	0.0263157894736842	76	7931	13488,208647	Drd1,Creb3l2
mmu00520	Amino sugar and nucleotide sugar metabolism	0.0798663738471139	-2.52740036777067	49	2	0.0263157894736842	76	7931	75540,19703	Fpgt,Renbp
ko00520	Amino sugar and nucleotide sugar metabolism	0.0798663738471139	-2.52740036777067	49	2	0.0263157894736842	76	7931	19703,75540	Renbp,Fpgt
mmu_M00296	BER complex	0.0918480199255883	-2.38762002524974	10	1	0.0131578947368421	76	7931	11545	Parp1
M00296	BER complex	0.0918480199255883	-2.38762002524974	10	1	0.0131578947368421	76	7931	11545	Parp1
ko04152	AMPK signaling pathway	0.115728058359317	-2.15651216459533	124	3	0.0394736842105263	76	7931	225849,208647,26931	Ppp2r5b,Creb3l2,Ppp2r5c
mmu04152	AMPK signaling pathway	0.115728058359317	-2.15651216459533	124	3	0.0394736842105263	76	7931	208647,26931,225849	Creb3l2,Ppp2r5c,Ppp2r5b
mmu05034	Alcoholism	0.116662693967845	-2.14846846545075	195	4	0.0526315789473684	76	7931	208727,319190,208647,13488	Hdac4,Hist2h2be,Creb3l2,Drd1
ko05034	Alcoholism	0.116662693967845	-2.14846846545075	195	4	0.0526315789473684	76	7931	208727,319190,208647,13488	Hdac4,Hist2h2be,Creb3l2,Drd1
M00415	Fatty acid biosynthesis, elongation, endoplasmic reticulum	0.117741717230751	-2.1392618905491	13	1	0.0131578947368421	76	7931	56348	Hsd17b12
