TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS01289	TSC22	0.000873486059408199	-7.04301838798151	4	2	0.0123456790123457	162	13278	78829,14605	Tsc22d4,Tsc22d3
PS50179	VHS	0.00503451295689734	-5.29143848899044	9	2	0.0123456790123457	162	13278	106039,20844	Gga1,Stam
PS00650	G_PROTEIN_RECEP_F2_2	0.00516116999264458	-5.26659198243034	29	3	0.0185185185185185	162	13278	12311,107934,224792	Calcr,Celsr3,Adgrf5
PS01359	ZF_PHD_1	0.0115532563314368	-4.46078794829237	72	4	0.0246913580246914	162	13278	72057,239510,20591,66505	Phf10,Phf20l1,Kdm5c,Zmynd11
PS51382	SPX	0.0122006326254889	-4.40626747403905	1	1	0.00617283950617284	162	13278	19775	Xpr1
PS51380	EXS	0.0122006326254889	-4.40626747403905	1	1	0.00617283950617284	162	13278	19775	Xpr1
PS00156	OMPDECASE	0.0122006326254889	-4.40626747403905	1	1	0.00617283950617284	162	13278	22247	Umps
PS50097	BTB	0.014872009801323	-4.20827436951782	163	6	0.037037037037037	162	13278	100503085,56490,236904,74533,71330,66689	Klhl3,Zbtb20,Klhl15,Gzf1,Rcbtb1,Klhl28
PS00177	TOPOISOMERASE_II	0.0242533175323838	-3.71920186549653	2	1	0.00617283950617284	162	13278	21973	Top2a
PS51437	CG_1	0.0242533175323838	-3.71920186549653	2	1	0.00617283950617284	162	13278	216874	Camta2
PS00347	PARP_ZN_FINGER_1	0.0242533175323838	-3.71920186549653	2	1	0.00617283950617284	162	13278	11545	Parp1
PS00414	PROFILIN	0.0242533175323838	-3.71920186549653	2	1	0.00617283950617284	162	13278	18645	Pfn2
PS50064	PARP_ZN_FINGER_2	0.0242533175323838	-3.71920186549653	2	1	0.00617283950617284	162	13278	11545	Parp1
PS50050	TNFR_NGFR_2	0.0243399500983118	-3.71563624161747	20	2	0.0123456790123457	162	13278	79202,79201	Tnfrsf22,Tnfrsf23
PS00652	TNFR_NGFR_1	0.0266896861760376	-3.62347807374508	21	2	0.0123456790123457	162	13278	79202,79201	Tnfrsf22,Tnfrsf23
PS00661	FERM_2	0.0291271319075712	-3.53608517123194	22	2	0.0123456790123457	162	13278	241639,209630	Fermt1,Frmd4a
PS01358	ZF_RANBP2_1	0.0316498255481975	-3.45302264231243	23	2	0.0123456790123457	162	13278	50817,68652	Capn15,Tab2
PS50199	ZF_RANBP2_2	0.0316498255481975	-3.45302264231243	23	2	0.0123456790123457	162	13278	68652,50817	Tab2,Capn15
PS50261	G_PROTEIN_RECEP_F2_4	0.0322860838624215	-3.43311898176453	57	3	0.0185185185185185	162	13278	107934,12311,224792	Celsr3,Calcr,Adgrf5
PS50157	ZINC_FINGER_C2H2_2	0.0355363288074404	-3.33719975907457	609	13	0.0802469135802469	162	13278	98403,242466,244219,74533,14025,243963,56490,54201,235469,59057,210162,320683,22688	Zfp451,Zfp462,Zfp668,Gzf1,Bcl11a,Zfp473,Zbtb20,Zfp316,Zfp280d,Zfp24,Zkscan2,Zfp629,Zfp26
PS51166	CBM20	0.0361598377607866	-3.31980623017214	3	1	0.00617283950617284	162	13278	13853	Epm2a
PS51062	RUNT	0.0361598377607866	-3.31980623017214	3	1	0.00617283950617284	162	13278	12394	Runx1
PS00103	PUR_PYR_PR_TRANSFER	0.0361598377607866	-3.31980623017214	3	1	0.00617283950617284	162	13278	22247	Umps
PS00674	AAA	0.0425454511267462	-3.15718233621712	27	2	0.0123456790123457	162	13278	18195,20479	Nsf,Vps4b
PS50227	G_PROTEIN_RECEP_F2_3	0.0454590545925755	-3.09094325724175	28	2	0.0123456790123457	162	13278	12311,107934	Calcr,Celsr3
PS51204	HSA	0.0479219549960311	-3.03818152892801	4	1	0.00617283950617284	162	13278	75560	Ep400
PS51377	KIND	0.0479219549960311	-3.03818152892801	4	1	0.00617283950617284	162	13278	76484	Kndc1
PS50296	SUI1	0.0479219549960311	-3.03818152892801	4	1	0.00617283950617284	162	13278	20918	Eif1
PS51060	PARP_ALPHA_HD	0.0479219549960311	-3.03818152892801	4	1	0.00617283950617284	162	13278	11545	Parp1
PS00143	INSULINASE	0.0479219549960311	-3.03818152892801	4	1	0.00617283950617284	162	13278	66865	Pmpca
PS50880	TOPRIM	0.0479219549960311	-3.03818152892801	4	1	0.00617283950617284	162	13278	21973	Top2a
PS00028	ZINC_FINGER_C2H2_1	0.0479790641624053	-3.03699052650434	637	13	0.0802469135802469	162	13278	74533,243963,54201,56490,14025,98403,242466,244219,320683,22688,235469,210162,59057	Gzf1,Zfp473,Zfp316,Zbtb20,Bcl11a,Zfp451,Zfp462,Zfp668,Zfp629,Zfp26,Zfp280d,Zkscan2,Zfp24
PS50221	GPS	0.0546198458396972	-2.90735798535548	31	2	0.0123456790123457	162	13278	224792,107934	Adgrf5,Celsr3
PS50016	ZF_PHD_2	0.0577572592638353	-2.85150623594174	72	3	0.0185185185185185	162	13278	72057,20591,66505	Phf10,Kdm5c,Zmynd11
PS50180	GAE	0.0595414098149927	-2.8210832452235	5	1	0.00617283950617284	162	13278	106039	Gga1
PS51220	NIDO	0.0595414098149927	-2.8210832452235	5	1	0.00617283950617284	162	13278	21683	Tecta
PS51800	ZF_CHHC_U11_48K	0.0595414098149927	-2.8210832452235	5	1	0.00617283950617284	162	13278	229780	Trmt13
PS51803	ZF_C2HC_RNF	0.0595414098149927	-2.8210832452235	5	1	0.00617283950617284	162	13278	68718	Rnf166
PS00212	ALBUMIN_1	0.0595414098149927	-2.8210832452235	5	1	0.00617283950617284	162	13278	280662	Afm
