TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-399721	Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity	0.00053551058188061	-7.53228990752361	30	4	0.0363636363636364	110	8608	17920,18750,21912,18195	Myo6,Prkca,Tspan7,Nsf
R-MMU-399719	Trafficking of AMPA receptors	0.00053551058188061	-7.53228990752361	30	4	0.0363636363636364	110	8608	18195,21912,17920,18750	Nsf,Tspan7,Myo6,Prkca
R-MMU-4641262	Disassembly of the destruction complex and recruitment of AXIN to the membrane	0.000608837899202243	-7.4039585010511	31	4	0.0363636363636364	110	8608	16973,13543,26931,225849	Lrp5,Dvl2,Ppp2r5c,Ppp2r5b
R-MMU-416993	Trafficking of GluR2-containing AMPA receptors	0.00100727506763506	-6.90050654699966	16	3	0.0272727272727273	110	8608	18195,21912,18750	Nsf,Tspan7,Prkca
R-MMU-112314	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	0.00166202243091405	-6.39972008630178	135	7	0.0636363636363636	110	8608	18195,14408,108043,21912,16521,17920,18750	Nsf,Gabrr1,Chrnb3,Tspan7,Kcnj5,Myo6,Prkca
R-MMU-2028269	Signaling by Hippo	0.00197568363747003	-6.22684079496916	20	3	0.0272727272727273	110	8608	58231,260305,13543	Stk4,Nphp4,Dvl2
R-MMU-5663220	RHO GTPases Activate Formins	0.00303517104452175	-5.79748749872039	112	6	0.0545454545454545	110	8608	18645,13543,26931,52504,67203,225849	Pfn2,Dvl2,Ppp2r5c,Cenpo,Nde1,Ppp2r5b
R-MMU-597592	Post-translational protein modification	0.0075610222883307	-4.88474887460838	821	19	0.172727272727273	110	8608	18195,227195,319190,19703,407786,414084,75540,21973,21683,20844,72607,237847,11545,20741,246190,54198,21802,320713,19324	Nsf,Ino80d,Hist2h2be,Renbp,Taf9b,Tnip3,Fpgt,Top2a,Tecta,Stam,Usp13,Rtn4rl1,Parp1,Sptb,Otoa,Snx3,Tgfa,Mysm1,Rab1a
R-MMU-195721	Signaling by Wnt	0.0107930568073869	-4.52885223979812	237	8	0.0727272727272727	110	8608	16973,26931,23808,68151,13543,18750,225849,54198	Lrp5,Ppp2r5c,Ash2l,Wls,Dvl2,Prkca,Ppp2r5b,Snx3
R-MMU-112315	Transmission across Chemical Synapses	0.0126194827604489	-4.37251340841037	196	7	0.0636363636363636	110	8608	108043,18195,14408,21912,17920,18750,16521	Chrnb3,Nsf,Gabrr1,Tspan7,Myo6,Prkca,Kcnj5
R-MMU-5099900	WNT5A-dependent internalization of FZD4	0.0152440423929997	-4.18356651501141	15	2	0.0181818181818182	110	8608	13543,18750	Dvl2,Prkca
R-MMU-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	0.016268553174223	-4.1185212876904	116	5	0.0454545454545455	110	8608	225849,244650,20963,26931,109270	Ppp2r5b,Phlpp2,Syk,Ppp2r5c,Prr5
R-MMU-196299	Beta-catenin phosphorylation cascade	0.0216674236610629	-3.83194536016203	18	2	0.0181818181818182	110	8608	26931,225849	Ppp2r5c,Ppp2r5b
R-MMU-389513	CTLA4 inhibitory signaling	0.0264661690671334	-3.63188800056382	20	2	0.0181818181818182	110	8608	26931,225849	Ppp2r5c,Ppp2r5b
R-MMU-5688426	Deubiquitination	0.0312587150581233	-3.4654570598201	236	7	0.0636363636363636	110	8608	407786,227195,54198,20844,72607,414084,320713	Taf9b,Ino80d,Snx3,Stam,Usp13,Tnip3,Mysm1
R-MMU-392499	Metabolism of proteins	0.0362642933912094	-3.31692167495029	1097	21	0.190909090909091	110	8608	54198,21802,19324,320713,20741,224792,246190,11545,18195,407786,19703,319190,227195,72607,20844,72061,237847,414084,75540,21973,21683	Snx3,Tgfa,Rab1a,Mysm1,Sptb,Adgrf5,Otoa,Parp1,Nsf,Taf9b,Renbp,Hist2h2be,Ino80d,Usp13,Stam,Aopep,Rtn4rl1,Tnip3,Fpgt,Top2a,Tecta
