TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00288	VHS	0.00638351301280274	-5.0540367042	9	2	0.0151515151515152	132	9567	20844,106039	Stam,Gga1
SM00612	Kelch	0.00730855966063843	-4.91870906148313	56	4	0.0303030303030303	132	9567	236904,100503085,78267,66689	Klhl15,Klhl3,Klhdc8b,Klhl28
SM01335	PADR1	0.0137974286612606	-4.28327303307452	1	1	0.00757575757575758	132	9567	11545	Parp1
SM00743	Agenet	0.0137974286612606	-4.28327303307452	1	1	0.00757575757575758	132	9567	239510	Phf20l1
SM00934	OMPdecase	0.0137974286612606	-4.28327303307452	1	1	0.00757575757575758	132	9567	22247	Umps
SM00434	TOP4c	0.0274059107244018	-3.59699656898362	2	1	0.00757575757575758	132	9567	21973	Top2a
SM01076	CG-1	0.0274059107244018	-3.59699656898362	2	1	0.00757575757575758	132	9567	216874	Camta2
SM01336	zf-PARP	0.0274059107244018	-3.59699656898362	2	1	0.00757575757575758	132	9567	11545	Parp1
SM01072	CDC48_2	0.0274059107244018	-3.59699656898362	2	1	0.00757575757575758	132	9567	18195	Nsf
SM00433	TOP2c	0.0274059107244018	-3.59699656898362	2	1	0.00757575757575758	132	9567	21973	Top2a
SM00547	ZnF_RBZ	0.03052064264024	-3.48935201642321	20	2	0.0151515151515152	132	9567	50817,68652	Capn15,Tab2
SM00208	TNFR	0.039568320294855	-3.22972647344068	23	2	0.0151515151515152	132	9567	79202,79201	Tnfrsf22,Tnfrsf23
SM00750	KIND	0.0408280142037534	-3.19838681054848	3	1	0.00757575757575758	132	9567	76484	Kndc1
SM01065	CBM_2	0.0408280142037534	-3.19838681054848	3	1	0.00757575757575758	132	9567	13853	Epm2a
SM01073	CDC48_N	0.0408280142037534	-3.19838681054848	3	1	0.00757575757575758	132	9567	18195	Nsf
SM00773	WGR	0.0408280142037534	-3.19838681054848	3	1	0.00757575757575758	132	9567	11545	Parp1
SM01269	Lipid_DES	0.0408280142037534	-3.19838681054848	3	1	0.00757575757575758	132	9567	70059	Degs2
SM00008	HormR	0.0427832733970987	-3.15160806125892	24	2	0.0151515151515152	132	9567	107934,12311	Celsr3,Calcr
SM00875	BACK	0.0457325142995765	-3.08494576142022	58	3	0.0227272727272727	132	9567	100503085,236904,66689	Klhl3,Klhl15,Klhl28
SM00392	PROF	0.054066272477273	-2.91754471679811	4	1	0.00757575757575758	132	9567	18645	Pfn2
SM01263	Leuk-A4-hydro_C	0.054066272477273	-2.91754471679811	4	1	0.00757575757575758	132	9567	72061	Aopep
SM00573	HSA	0.054066272477273	-2.91754471679811	4	1	0.00757575757575758	132	9567	75560	Ep400
SM00225	BTB	0.0583325645643532	-2.84159477271038	200	6	0.0454545454545455	132	9567	66689,74533,71330,56490,236904,100503085	Klhl28,Gzf1,Rcbtb1,Zbtb20,Klhl15,Klhl3
SM00303	GPS	0.060206967904766	-2.80996718743906	29	2	0.0151515151515152	132	9567	107934,224792	Celsr3,Adgrf5
SM00892	Endonuclease_NS	0.0671231847458684	-2.70122576941087	5	1	0.00757575757575758	132	9567	18605	Enpp1
SM00103	ALBUMIN	0.0671231847458684	-2.70122576941087	5	1	0.00757575757575758	132	9567	280662	Afm
SM00584	TLDc	0.0671231847458684	-2.70122576941087	5	1	0.00757575757575758	132	9567	170719	Oxr1
SM00539	NIDO	0.0671231847458684	-2.70122576941087	5	1	0.00757575757575758	132	9567	21683	Tecta
SM00355	ZnF_C2H2	0.0784354836499345	-2.54547885644147	611	13	0.0984848484848485	132	9567	243963,59057,244219,242466,14025,98403,56490,22688,210162,320683,74533,235469,54201	Zfp473,Zfp24,Zfp668,Zfp462,Bcl11a,Zfp451,Zbtb20,Zfp26,Zkscan2,Zfp629,Gzf1,Zfp280d,Zfp316
SM00665	B561	0.0800012164994407	-2.52571343818086	6	1	0.00757575757575758	132	9567	72023	Cyb561d1
SM00021	DAX	0.0800012164994407	-2.52571343818086	6	1	0.00757575757575758	132	9567	13543	Dvl2
SM00477	NUC	0.0800012164994407	-2.52571343818086	6	1	0.00757575757575758	132	9567	18605	Enpp1
