TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	-	1.75074907272825e-05	-10.9528817270595	398	37	0.0936708860759494	395	8819	269437,241639,16367,233765,16800,226971,215632,20399,17207,75547,269587,26556,333605,77300,227743,545156,13821,235283,208177,21961,79264,236915,319710,14389,223435,14884,227737,11784,26936,11652,347722,380921,94190,224650,70676,544817,213990	Plch1,Fermt1,Irs1,Plekha7,Arhgef2,Plekhb2,Psd4,Sh2b1,Mcf2l,Akap13,Epb41,Homer1,Frmpd4,Raph1,Mapkap1,Kalrn,Epb41l1,Gramd1b,Phldb2,Tns1,Krit1,Arhgef9,Frmd6,Gab2,Trio,Gtf2h1,Fam129b,Apba2,Mprip,Akt2,Agap1,Dgkh,Ophn1,Anks1,Gulp1,Arhgap27,Agap3
3.30.40.10	-	0.00116316135240993	-6.75661367696917	438	34	0.0860759493670886	395	8819	22129,72145,228829,63958,70998,74302,214899,12402,78911,636931,22036,19720,328572,381338,14357,18193,30841,17344,105239,22644,69368,17246,234135,19377,170737,20821,19763,69260,93836,246198,109113,26356,73469,20438	Ttc3,Wdfy3,Phf20,Ube4b,Phf6,Mtmr3,Kdm5a,Cbl,Trim42,Trim71,Traip,Trim27,Ep300,Lonrf2,Dtx1,Nsd1,Kdm2b,Pias2,Rnf44,Rnf103,Wdfy1,Mdm2,Nsd3,Rai1,Znrf1,Trim21,Ring1,Ing2,Rnf111,Mllt6,Uhrf2,Ing1,Rnf38,Siah1b
1.10.238.110	-	0.00582538064041185	-5.14553093567188	3	2	0.00506329113924051	395	8819	110197,217480	Dgkg,Dgkb
3.40.1170.10	-	0.00582538064041185	-5.14553093567188	3	2	0.00506329113924051	395	8819	17685,17688	Msh2,Msh6
3.30.420.110	-	0.0113058514845086	-4.48243485680429	4	2	0.00506329113924051	395	8819	17685,17688	Msh2,Msh6
1.10.10.1610	-	0.0113058514845086	-4.48243485680429	4	2	0.00506329113924051	395	8819	21677,21678	Tead2,Tead3
1.10.565.10	-	0.0194339642837114	-3.94073300739145	48	6	0.0151898734177215	395	8819	18667,353187,110784,11819,19411,22260	Pgr,Nr1d2,Nr3c2,Nr2f2,Rarg,Nr1h2
1.10.30.10	-	0.0255166397465473	-3.66842450054852	51	6	0.0151898734177215	395	8819	269389,21429,20670,20665,15353,244579	Tox2,Ubtf,Sox15,Sox10,Hmg20b,Tox3
1.20.900.10	-	0.0317731383892235	-3.44913405090149	68	7	0.0177215189873418	395	8819	17207,223435,75547,236915,16800,545156,110279	Mcf2l,Trio,Akap13,Arhgef9,Arhgef2,Kalrn,Bcr
1.10.1380.10	-	0.0361842989546641	-3.31912998477285	7	2	0.00506329113924051	395	8819	27390,107522	Mmel1,Ece2
3.40.50.10330	-	0.0379993457694585	-3.27018633599716	17	3	0.00759493670886076	395	8819	217480,380921,110197	Dgkb,Dgkh,Dgkg
3.90.190.10	-	0.0382390443068488	-3.26389818308695	86	8	0.020253164556962	395	8819	21961,67603,74302,19244,19268,19245,19260,19211	Tns1,Dusp6,Mtmr3,Ptp4a2,Ptprf,Ptp4a3,Ptpn22,Pten
3.30.50.10	-	0.0411995221716613	-3.18932862046912	57	6	0.0151898734177215	395	8819	18667,353187,110784,11819,19411,22260	Pgr,Nr1d2,Nr3c2,Nr2f2,Rarg,Nr1h2
3.40.50.10580	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	66144	Atp6v1f
4.10.280.30	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	110279	Bcr
3.30.160.40	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	15288	Hmbs
1.10.287.190	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	235459	Gtf2a2
1.10.287.380	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	22321	Vars
1.10.150.190	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	13665	Eif2s1
3.30.70.1130	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	13665	Eif2s1
3.30.200.160	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	70239	Gtf3c5
1.10.1470.20	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	14104	Fasn
1.10.10.1340	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	67279	Med31
1.10.8.870	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	14571	Gpd2
1.20.120.430	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	70359	Gtpbp3
1.25.40.40	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	12858	Cox5a
2.60.15.10	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	66043	Atp5d
3.10.129.110	-	0.0447896586920176	-3.10577799897465	1	1	0.00253164556962025	395	8819	14104	Fasn
1.25.40.70	-	0.0468392765537138	-3.06103318542497	8	2	0.00506329113924051	395	8819	240752,18705	Pik3c2b,Pik3c2g
3.40.50.10810	-	0.0479993862984653	-3.03656705360462	31	4	0.010126582278481	395	8819	107182,244059,320790,13990	Btaf1,Chd2,Chd7,Smarcad1
1.10.150.50	-	0.0634467570630967	-2.75755419624459	112	9	0.0227848101265823	395	8819	224650,72615,14011,327814,380921,19024,320858,14390,20866	Anks1,Anks3,Etv6,Ppfia2,Dgkh,Ppfibp2,L3mbtl4,Gabpa,Stim1
2.30.30.190	-	0.0709776333525934	-2.64539047477396	10	2	0.00506329113924051	395	8819	74081,78785	Cep350,Clip4
1.20.1260.10	-	0.0709776333525934	-2.64539047477396	10	2	0.00506329113924051	395	8819	14325,14319	Ftl1,Fth1
3.90.810.10	-	0.0709776333525934	-2.64539047477396	10	2	0.00506329113924051	395	8819	18481,72729	Pak3,Cdc42se2
3.30.720.50	-	0.0709776333525934	-2.64539047477396	10	2	0.00506329113924051	395	8819	14897,14357	Trip12,Dtx1
1.20.80.10	-	0.0717484902315574	-2.63458846663268	50	5	0.0126582278481013	395	8819	13821,269587,333605,319710,79264	Epb41l1,Epb41,Frmpd4,Frmd6,Krit1
4.10.280.10	-	0.0724250769877899	-2.62520267232708	115	9	0.0227848101265823	395	8819	15111,21425,100039596,234219,83383,11865,11622,12753,16918	Hand2,Tfeb,Tcf24,Helt,Tfap4,Arntl,Ahr,Clock,Mycl
3.40.525.10	-	0.0731056771808528	-2.61584925202927	22	3	0.00759493670886076	395	8819	545156,353211,223435	Kalrn,Prune2,Trio
1.10.555.10	-	0.0742108670790803	-2.60084468294114	66	6	0.0151898734177215	395	8819	94190,544817,228482,110279,11855,50768	Ophn1,Arhgap27,Arhgap11a,Bcr,Arhgap5,Dlc1
3.30.530.20	-	0.0813943863016318	-2.50844897270521	23	3	0.00759493670886076	395	8819	50768,20845,71795	Dlc1,Star,Pitpnc1
1.10.720.30	-	0.0813943863016318	-2.50844897270521	23	3	0.00759493670886076	395	8819	239719,224903,17344	Mrtfb,Safb,Pias2
3.60.130.10	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	170442	Bbox1
2.40.50.770	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	74386	Rmi1
3.30.700.20	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	225339	Ammecr1l
1.10.1630.10	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	328572	Ep300
3.90.199.10	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	21974	Top2b
1.10.260.70	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	20230	Satb1
3.40.366.10	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	14104	Fasn
3.30.2020.30	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	170442	Bbox1
3.30.70.380	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	69955	Fars2
1.10.268.10	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	21974	Top2b
2.30.280.10	-	0.087578055700756	-2.43522481812072	2	1	0.00253164556962025	395	8819	109113	Uhrf2
