TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50003	PH_DOMAIN	0.000194059380111161	-8.54734636268758	238	24	0.0400667779632721	599	13278	380921,77300,17207,233765,14389,226971,236915,227737,269437,215632,241639,16800,16367,94190,347722,213990,545156,110279,75547,26936,544817,208177,11652,223435	Dgkh,Raph1,Mcf2l,Plekha7,Gab2,Plekhb2,Arhgef9,Fam129b,Plch1,Psd4,Fermt1,Arhgef2,Irs1,Ophn1,Agap1,Agap3,Kalrn,Bcr,Akap13,Mprip,Arhgap27,Phldb2,Akt2,Trio
PS50016	ZF_PHD_2	0.00139040779671893	-6.57815819593224	72	10	0.01669449081803	599	13278	234135,109113,214899,18193,30841,320595,26356,246198,69260,74042	Nsd3,Uhrf2,Kdm5a,Nsd1,Kdm2b,Phf8,Ing1,Mllt6,Ing2,Phf8-ps
PS01359	ZF_PHD_1	0.00139040779671893	-6.57815819593224	72	10	0.01669449081803	599	13278	18193,228829,320595,26356,234135,214899,109113,74042,246198,69260	Nsd1,Phf20,Phf8,Ing1,Nsd3,Kdm5a,Uhrf2,Phf8-ps,Mllt6,Ing2
PS51457	BEN	0.00431477225950977	-5.44571073463223	8	3	0.00500834724540901	599	13278	331623,67991,320705	Bend3,Nacc2,Bend6
PS00540	FERRITIN_1	0.00591286302685023	-5.13062512715888	3	2	0.00333889816360601	599	13278	14319,14325	Fth1,Ftl1
PS01357	ZF_ZZ_1	0.00756765190489942	-4.88387244394322	18	4	0.00667779632721202	599	13278	15204,328572,13528,74287	Herc2,Ep300,Dtnb,Kcmf1
PS50135	ZF_ZZ_2	0.00756765190489942	-4.88387244394322	18	4	0.00667779632721202	599	13278	74287,15204,328572,13528	Kcmf1,Herc2,Ep300,Dtnb
PS00554	TEA_1	0.0114725535478183	-4.46779774421275	4	2	0.00333889816360601	599	13278	21677,21678	Tead2,Tead3
PS01289	TSC22	0.0114725535478183	-4.46779774421275	4	2	0.00333889816360601	599	13278	78829,21807	Tsc22d4,Tsc22d1
PS51088	TEA_2	0.0114725535478183	-4.46779774421275	4	2	0.00333889816360601	599	13278	21678,21677	Tead3,Tead2
