TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005515	protein binding	0.000239088598329069	-8.3386763704209	8786	40	0.666666666666667	60	20217	19049,69731,16516,381813,17913,53945,18519,71393,217944,83383,19024,15558,20670,93836,110454,240675,16367,53860,11538,11877,12660,56233,110006,58200,22333,72333,27632,12985,24063,14319,396184,14325,19268,12580,29859,13617,269682,12122,67279,72281	Ppp1r1b,Gemin7,Kcnj15,Prmt8,Myo1c,Slc40a1,Kat2b,Kctd6,Rapgef5,Tfap4,Ppfibp2,Htr2a,Sox15,Rnf111,Ly6a,Vwa2,Irs1,Sept9,Adnp,Arvcf,Chka,Hdac7,Gusb,Ppp1r1a,Vdac1,Palld,Nelfe,Csf3,Spry1,Fth1,Flrt1,Ftl1,Ptprf,Cdkn2c,Sult4a1,Ednra,Golga3,Bid,Med31,Sh2d4a
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	0.000560825614043553	-7.48610054917217	12	2	0.0333333333333333	60	20217	12580,18519	Cdkn2c,Kat2b
GO:0042165	neurotransmitter binding	0.00075399572377267	-7.19012386136143	60	3	0.05	60	20217	15558,12660,11656	Htr2a,Chka,Alas2
GO:0016724	oxidoreductase activity, oxidizing metal ions, oxygen as acceptor	0.00101192173551284	-6.89590404755724	16	2	0.0333333333333333	60	20217	14319,14325	Fth1,Ftl1
GO:0004322	ferroxidase activity	0.00101192173551284	-6.89590404755724	16	2	0.0333333333333333	60	20217	14319,14325	Fth1,Ftl1
GO:0008199	ferric iron binding	0.00114465722720403	-6.77265005168186	17	2	0.0333333333333333	60	20217	14319,14325	Fth1,Ftl1
GO:0016722	oxidoreductase activity, oxidizing metal ions	0.00268884262633001	-5.91864442838761	26	2	0.0333333333333333	60	20217	14325,14319	Ftl1,Fth1
GO:0005158	insulin receptor binding	0.00268884262633001	-5.91864442838761	26	2	0.0333333333333333	60	20217	16367,19268	Irs1,Ptprf
GO:0005488	binding	0.00277597359790827	-5.88675374722277	13028	49	0.816666666666667	60	20217	170676,14325,396184,75317,12985,14319,24063,27632,72333,58200,18705,22333,110006,72281,67279,12122,269682,13617,12580,29859,22644,19268,110454,93836,20670,19024,15558,83383,217944,71393,209176,53945,18519,17913,69731,381813,16516,19049,110197,12660,56233,11656,11877,11538,67993,53860,240675,231986,16367	Peg10,Ftl1,Flrt1,Parpbp,Csf3,Fth1,Spry1,Nelfe,Palld,Ppp1r1a,Pik3c2g,Vdac1,Gusb,Sh2d4a,Med31,Bid,Golga3,Ednra,Cdkn2c,Sult4a1,Rnf103,Ptprf,Ly6a,Rnf111,Sox15,Ppfibp2,Htr2a,Tfap4,Rapgef5,Kctd6,Ido2,Slc40a1,Kat2b,Myo1c,Gemin7,Prmt8,Kcnj15,Ppp1r1b,Dgkg,Chka,Hdac7,Alas2,Arvcf,Adnp,Nudt12,Sept9,Vwa2,Jazf1,Irs1
GO:0000210	NAD+ diphosphatase activity	0.00296779937686222	-5.8199345513585	1	1	0.0166666666666667	60	20217	67993	Nudt12
GO:0030291	protein serine/threonine kinase inhibitor activity	0.00333984483690138	-5.70183092909019	29	2	0.0333333333333333	60	20217	12580,18519	Cdkn2c,Kat2b
GO:0008198	ferrous iron binding	0.004056969191024	-5.50731908881575	32	2	0.0333333333333333	60	20217	14319,14325	Fth1,Ftl1
GO:0004857	enzyme inhibitor activity	0.00529434251851869	-5.24111647788996	379	5	0.0833333333333333	60	20217	209378,58200,18519,12580,19049	Itih5,Ppp1r1a,Kat2b,Cdkn2c,Ppp1r1b
GO:0016749	N-succinyltransferase activity	0.00592693728940599	-5.12824767672743	2	1	0.0166666666666667	60	20217	11656	Alas2
GO:0003870	5-aminolevulinate synthase activity	0.00592693728940599	-5.12824767672743	2	1	0.0166666666666667	60	20217	11656	Alas2
GO:0033754	indoleamine 2,3-dioxygenase activity	0.00592693728940599	-5.12824767672743	2	1	0.0166666666666667	60	20217	209176	Ido2
GO:0071886	1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding	0.00592693728940599	-5.12824767672743	2	1	0.0166666666666667	60	20217	15558	Htr2a
GO:0031751	D4 dopamine receptor binding	0.00592693728940599	-5.12824767672743	2	1	0.0166666666666667	60	20217	19049	Ppp1r1b
