TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO_CELLULAR_IRON_ION_HOMEOSTASIS	GO_CELLULAR_IRON_ION_HOMEOSTASIS	1.08665155376722e-05	-11.4298244659326	41	4	0.0754716981132075	53	15632	53945,14325,14319,11656	Slc40a1,Ftl1,Fth1,Alas2
GO_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY	GO_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY	1.43466684312896e-05	-11.1519928077801	237	7	0.132075471698113	53	15632	24063,58200,396184,19049,83383,18519,12580	Spry1,Ppp1r1a,Flrt1,Ppp1r1b,Tfap4,Kat2b,Cdkn2c
JUBAN_TARGETS_OF_SPI1_AND_FLI1_UP	JUBAN_TARGETS_OF_SPI1_AND_FLI1_UP	2.75946428113051e-05	-10.4978889051209	105	5	0.0943396226415094	53	15632	19049,14325,19268,110197,11656	Ppp1r1b,Ftl1,Ptprf,Dgkg,Alas2
GO_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	4.19021938213452e-05	-10.0801723739022	501	9	0.169811320754717	53	15632	24063,58200,72281,396184,13617,83383,19049,18519,12580	Spry1,Ppp1r1a,Sh2d4a,Flrt1,Ednra,Tfap4,Ppp1r1b,Kat2b,Cdkn2c
GO_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	GO_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	5.89702684741839e-05	-9.73847716523738	123	5	0.0943396226415094	53	15632	24063,83383,19049,12580,18519	Spry1,Tfap4,Ppp1r1b,Cdkn2c,Kat2b
GO_IRON_ION_HOMEOSTASIS	GO_IRON_ION_HOMEOSTASIS	6.04890433071439e-05	-9.71304831168975	63	4	0.0754716981132075	53	15632	11656,14319,14325,53945	Alas2,Fth1,Ftl1,Slc40a1
GO_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS	GO_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS	9.67122546991402e-05	-9.24377043448442	71	4	0.0754716981132075	53	15632	11656,14319,14325,53945	Alas2,Fth1,Ftl1,Slc40a1
BLALOCK_ALZHEIMERS_DISEASE_UP	BLALOCK_ALZHEIMERS_DISEASE_UP	0.00011591656622257	-9.06263988234909	1529	15	0.283018867924528	53	15632	110197,19268,58200,14325,14319,56233,110006,72333,13617,269682,19024,16516,18519,12580,17913	Dgkg,Ptprf,Ppp1r1a,Ftl1,Fth1,Hdac7,Gusb,Palld,Ednra,Golga3,Ppfibp2,Kcnj15,Kat2b,Cdkn2c,Myo1c
GO_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	GO_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	0.000121867557702765	-9.01257569551376	332	7	0.132075471698113	53	15632	58200,396184,24063,12580,18519,83383,19049	Ppp1r1a,Flrt1,Spry1,Cdkn2c,Kat2b,Tfap4,Ppp1r1b
GO_REGULATION_OF_KINASE_ACTIVITY	GO_REGULATION_OF_KINASE_ACTIVITY	0.00012587594664886	-8.98021368640678	717	10	0.188679245283019	53	15632	12580,18519,15558,83383,19049,396184,16367,11538,58200,24063	Cdkn2c,Kat2b,Htr2a,Tfap4,Ppp1r1b,Flrt1,Irs1,Adnp,Ppp1r1a,Spry1
GO_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY	GO_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY	0.000126348313300111	-8.9764680736445	29	3	0.0566037735849057	53	15632	19049,18519,12580	Ppp1r1b,Kat2b,Cdkn2c
GO_KINASE_INHIBITOR_ACTIVITY	GO_KINASE_INHIBITOR_ACTIVITY	0.000194602482710741	-8.5445516302735	85	4	0.0754716981132075	53	15632	396184,12580,18519,19049	Flrt1,Cdkn2c,Kat2b,Ppp1r1b
REACTOME_IRON_UPTAKE_AND_TRANSPORT	REACTOME_IRON_UPTAKE_AND_TRANSPORT	0.000242783735545647	-8.32333948806695	36	3	0.0566037735849057	53	15632	53945,14319,14325	Slc40a1,Fth1,Ftl1
GSE29949_CD8_NEG_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_DN	GSE29949_CD8_NEG_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_DN	0.000292607112717423	-8.13667976100172	173	5	0.0943396226415094	53	15632	13617,24063,18519,15558,29859	Ednra,Spry1,Kat2b,Htr2a,Sult4a1
GO_REGULATION_OF_BINDING	GO_REGULATION_OF_BINDING	0.000297727081502755	-8.11933332497432	271	6	0.113207547169811	53	15632	18519,381813,83383,11538,12985,19268	Kat2b,Prmt8,Tfap4,Adnp,Csf3,Ptprf
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.000308533287410882	-8.08368081959406	39	3	0.0566037735849057	53	15632	14319,11656,110006	Fth1,Alas2,Gusb
GO_TRANSITION_METAL_ION_HOMEOSTASIS	GO_TRANSITION_METAL_ION_HOMEOSTASIS	0.000336077495265032	-7.9981687839248	98	4	0.0754716981132075	53	15632	53945,11656,14325,14319	Slc40a1,Alas2,Ftl1,Fth1
GO_NEGATIVE_REGULATION_OF_PHOSPHORYLATION	GO_NEGATIVE_REGULATION_OF_PHOSPHORYLATION	0.000337057286596499	-7.99525765215797	392	7	0.132075471698113	53	15632	396184,58200,24063,12580,18519,19049,83383	Flrt1,Ppp1r1a,Spry1,Cdkn2c,Kat2b,Ppp1r1b,Tfap4
GO_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION	GO_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION	0.000368257797828831	-7.90672732747891	979	11	0.207547169811321	53	15632	72281,11538,24063,58200,19268,19049,83383,12580,18519,209378,396184	Sh2d4a,Adnp,Spry1,Ppp1r1a,Ptprf,Ppp1r1b,Tfap4,Cdkn2c,Kat2b,Itih5,Flrt1
