TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0035556	intracellular signal transduction	0.00128254684751089	-6.65890745331289	553	45	0.0756302521008403	595	11648	561747,569040,140424,60658,393653,393365,406767,393993,791176,550420,796610,565828,474323,378998,565379,554840,562867,334571,751627,566719,327321,553493,541526,403063,80963,30380,30280,286784,30298,568726,393802,393109,393902,415151,415100,572060,100001531,406411,436801,567039,100001532,368504,550444,654774,405769	plcg2,plcd3a,gucy2f,nos1,rhogd,mtmr8,sh3bp5b,ralaa,camk1db,gucy1a3,zgc:171482,stk33,rap2c,arhgap29b,phkg1a,pskh1,mavs,prkcda,rab43,rerglb,mapkapk2a,arhgef7a,camkk1a,araf,rnd3a,nras,jak1,arl13b,jak2b,adcy7,camk1gb,rasl11b,rab7,rac2,nfkb2,rab33ba,rab22a,rhoaa,asb13a.1,cdc42bpb,plcb3,itsn1,arl4ca,dock4b,syk
GO:0065007	biological regulation	0.00163660678079447	-6.4151302166592	4930	287	0.482352941176471	595	11648	557858,406508,406507,406741,368504,768176,403039,795582,100001531,393902,403127,394235,369191,403063,100007463,566719,564500,751764,556743,65233,573209,573301,406787,474323,403080,553650,791176,30277,140815,100148071,445564,564531,570188,30421,550276,556608,563776,407729,573719,100141351,436769,568726,406815,492343,406769,568518,325042,570789,566044,557280,405763,751108,324309,378854,568668,387534,554840,81884,565379,445392,406767,792333,100037369,140424,30140,565269,64810,692252,450056,30391,405850,407086,336529,322473,795788,378723,58038,373878,30380,564874,406577,80963,100004455,564271,553373,559677,58031,558920,114414,561675,30472,541318,403033,436801,324254,406729,556765,30280,337167,553277,403025,404602,566739,58129,553781,100148965,558525,567422,565875,556208,30407,569864,415104,378998,100000492,554722,100037326,393653,561411,100006398,571961,567359,565200,436963,415151,563398,436729,445184,393109,286784,569174,562289,503869,100332265,30732,791455,402815,321461,368910,100861460,794108,30705,30154,562867,64276,368475,323870,30967,64812,327395,565192,447837,30635,449679,494478,60658,751760,492816,373872,654774,405769,324098,503713,100001532,566167,550444,393644,567039,406411,259191,393682,393802,798375,30298,114420,554779,30286,405870,326282,327321,566878,751627,497648,553493,192302,563896,572527,322113,554509,563920,321330,494033,30366,553740,30707,548345,550420,334868,568055,768137,565828,337089,553189,558170,563365,393993,494490,678549,570672,406442,447818,563633,415100,559336,567331,100147853,414273,436625,447816,30577,100037357,565082,450028,572084,65239,436934,30536,140613,30222,553648,556259,571972,436941,393457,564127,555939,100000978,796610,102216265,724016,325423,195819,359834,406447,30556,569040,562195,393962,30264,553688,415252,368449,327588,567402,572060,100007394,561654,447850,571486,561117,415165,114425,325586,325167,386635,569052,568138,58153,541526,30615,334571,567762,404605,58138,100000577,335357,30227,406304,337866,140614,573084,30183,325609,393365,100150352,561747,337626	dnajc10,usp33,gadd45gb.1,e2f4,itsn1,proza,igfbp5b,or104-1,rab22a,rab7,tlr1,pfn2,tnr,araf,tle3b,rerglb,scara5,bmf2,sema6e,six4a,cry1ba,nexn,kctd10,rap2c,dnajc2,fam58a,camk1db,mdka,cebpa,or128-2,smad9,si:ch211-132b12.7,kcnd2,hoxc3a,abhd4,kcnj1b,deaf1,caprin2,nfyal,coa3a,homer1b,adcy7,aebp2,ctdnep1a,syt11a,lrp5,tnika,ubap2b,adam10a,kcnf1a,kcnh6a,nkd1,fstl1b,tspan2a,ntrk3a,elf2b,pskh1,ncoa2,phkg1a,fbxo5,sh3bp5b,nanog,atpif1a,gucy2f,clocka,her8.2,vent,pcgf5b,tbc1d16,hoxa10b,foxg1b,junba,oprd1b,lpar5a,ccl25b,sox2,stx1b,ppp2r5eb,nras,tnfrsf21,plekhj1,rnd3a,epoa,chfr,ccndbp1,nelfa,cd81a,amotl2a,neurod6a,mlf2,rx1,spopla,cyr61,asb13a.1,mtor,rftn2,dcun1d4,jak1,tsc1a,dido1,casc3,phox2a,fes,fgfr3,zmynd11,or108-1,atp2b3b,plxna3,nr1i2,akap1b,hoxd13a,tspan3b,ctcf,arhgap29b,mafaa,rorab,pnpla4,rhogd,yap1,prok2,slc25a38b,cenph,stat2,csdc2a,rac2,zgc:172079,setd7,lpar2a,rasl11b,arl13b,zgc:114123,tfeb,btc,ap1ar,elavl3,prdx2,nr1d2a,cd63,mtdha,or106-1,nipblb,fgfr1a,gli2a,mavs,lbx2,htr5ab,clint1a,igf2bp3,sox19b,ndrg3b,gpr146,lingo1b,six3a,cav3,tfr1b,nos1,llgl1,prdm12b,fyna,dock4b,syk,cd82a,ppm1k,plcb3,mier1b,arl4ca,slc39a10,cdc42bpb,rhoaa,fmr1,lin7a,camk1gb,apln,jak2b,rps9,or103-2,ndrg3a,ucmab,smad7,mapkapk2a,sfrp2,rab43,dlg1l,arhgef7a,hdac1,slc26a3.2,sall4,ing4,orc1,dll4,rhpn2,tfap2c,fzd10,nr3c1,cse1l,nalcn,gucy1a3,cnppd1,ppp1r14c,dclre1b,stk33,prrx1b,dnmt3ab,spoplb,podxl,ralaa,slc6a9,fbxo8,syn1,amfr,taf6,smurf2,nfkb2,zgc:114200,sparcl1,or128-10,rgmb,rspo1,rtn4a,ldb2a,tnfrsf1b,htra1b,dram1,zgc:158291,map2k6,rad17,emx3,her9,ccnd1,cpsf3l,ccdc22,flrt2,zgc:91944,zgpat,foxp1a,avpr1ab,polr3g,zgc:171482,sox8a,npas4a,fstl1a,rpl36a,tgfb1a,hmga1a,tcf7l1b,plcd3a,epha7,usp20,tbx16,bach1b,eaf2,epb41l5,hpx,myo5b,rab33ba,adnp2a,rnf220a,eif4e3,plekha7a,atp6v0a2b,ccne2,zeb1b,cyth1b,ankrd13c,erbb3a,kcnj1a.6,tp53bp2b,slc40a1,camkk1a,acvr1l,prkcda,myclb,relt,pbx1a,ppp1r14bb,syt4,ntn1a,gadd45ba,supt6h,xbp1,tbx2a,acvr1ba,atf1,mtmr8,igfbp6a,plcg2,etv5a
GO:0018108	peptidyl-tyrosine phosphorylation	0.00165844084184982	-6.40187736988484	26	6	0.0100840336134454	595	11648	566739,405769,30298,373872,30280,30705	fes,syk,jak2b,fyna,jak1,fgfr1a
GO:0018210	peptidyl-threonine modification	0.00248795217073909	-5.99629532826945	28	6	0.0100840336134454	595	11648	554840,791176,565379,565828,541526,393802	pskh1,camk1db,phkg1a,stk33,camkk1a,camk1gb
GO:0018107	peptidyl-threonine phosphorylation	0.00248795217073909	-5.99629532826945	28	6	0.0100840336134454	595	11648	565379,541526,565828,393802,554840,791176	phkg1a,camkk1a,stk33,camk1gb,pskh1,camk1db
GO:0009790	embryo development	0.00249472656865022	-5.99357614750763	865	63	0.105882352941176	595	11648	30154,572527,192302,324309,30705,30615,751108,550571,794108,58153,568138,360144,327321,553740,406304,30227,494033,554509,64812,567422,260439,791176,558920,792333,368360,337866,406787,100000471,449679,81884,337626,559106,403060,30556,140815,445229,195819,30183,325423,30277,573084,393644,100001532,415252,368449,324215,30264,373872,573024,406554,259191,393399,568518,286784,406774,794339,798375,564324,405870,553591,100124531,114425,325042	gli2a,sall4,hdac1,fstl1b,fgfr1a,acvr1l,nkd1,fibinb,nipblb,slc40a1,tp53bp2b,mapk1,mapkapk2a,nr3c1,gadd45ba,ntn1a,tfap2c,orc1,sox19b,plxna3,copa,camk1db,amotl2a,nanog,lbr,supt6h,kctd10,rtf1,cav3,ncoa2,etv5a,ambra1b,smc1al,tcf7l1b,cebpa,naa50,rpl36a,acvr1ba,fstl1a,mdka,tbx2a,slc39a10,plcb3,eaf2,epb41l5,igf2b,tbx16,fyna,lpp,lclat1,fmr1,sinup,lrp5,arl13b,sec23a,ldb3a,apln,ccdc85b,ucmab,ttc39c,loxl5b,zeb1b,tnika
GO:0036233	glycine import	0.00260518142667288	-5.95025296064614	2	2	0.00336134453781513	595	11648	494490,494450	slc6a9,slc6a5
GO:0060080	inhibitory postsynaptic potential	0.00260518142667288	-5.95025296064614	2	2	0.00336134453781513	595	11648	494490,724016	slc6a9,npas4a
GO:0043092	L-amino acid import	0.00260518142667288	-5.95025296064614	2	2	0.00336134453781513	595	11648	494450,494490	slc6a5,slc6a9
GO:0034755	iron ion transmembrane transport	0.00260518142667288	-5.95025296064614	2	2	0.00336134453781513	595	11648	58153,564500	slc40a1,scara5
