TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.30.2230.10	-	0.00252608170740333	-5.98108590901984	2	2	0.0048661800486618	411	8168	393962,406508	usp20,usp33
3.30.505.10	-	0.00918453366030499	-4.6902343334815	84	10	0.024330900243309	411	8168	565200,30280,405769,30298,561747,337866,566739,373872,406308,393651	stat2,jak1,syk,jak2b,plcg2,supt6h,fes,fyna,grb2b,grap2b
1.10.238.10	-	0.011303074920096	-4.48268047345825	214	19	0.0462287104622871	411	8168	751628,569040,393417,368504,564909,567331,325423,100001532,572207,335623,565200,415241,571340,751108,678557,393629,406541,436825,324309	gpd2,plcd3a,capn1a,itsn1,hpcal4,sparcl1,fstl1a,plcb3,rcvrn3,pvalb5,stat2,calua,rcn2,nkd1,slc25a24l,guca1e,slc25a25a,s100b,fstl1b
2.60.40.150	-	0.0125071020208796	-4.38145863434624	75	9	0.0218978102189781	411	8168	335357,563633,561747,569040,368504,406769,100001532,560924,334571	syt4,smurf2,plcg2,plcd3a,itsn1,syt11a,plcb3,dysf,prkcda
1.10.1000.11	-	0.0141632917221062	-4.25710175148222	4	2	0.0048661800486618	411	8168	325586,678549	cyth1b,fbxo8
2.60.40.1260	-	0.0141632917221062	-4.25710175148222	4	2	0.0048661800486618	411	8168	195817,30196	lmnl3,lmnb2
1.50.40.10	-	0.0161633371948695	-4.12500973762585	53	7	0.0170316301703163	411	8168	393133,678557,406541,100093708,393226,569608,571961	slc25a14,slc25a24l,slc25a25a,slc25a17,slc25a32a,slc25a29,slc25a38b
2.30.29.30	-	0.0162091423576096	-4.12217985286314	222	19	0.0462287104622871	411	8168	553493,555239,561747,569320,406577,553536,393365,325586,436769,403009,569040,368504,368448,567039,394182,768144,571486,322969,368449	arhgef7a,mtmr10,plcg2,sntg2,plekhj1,necap2,mtmr8,cyth1b,homer1b,ezra,plcd3a,itsn1,ptpn4a,cdc42bpb,plekha3,afap1l1b,plekha7a,nup50,epb41l5
1.10.287.110	-	0.0241662310644067	-3.72279903087317	45	6	0.0145985401459854	411	8168	58154,406814,403080,445061,393275,557858	dnajc3b,dnaja2,dnajc2,dnajb4,dnajb6b,dnajc10
3.30.70.1230	-	0.0248076994948072	-3.69660121049473	13	3	0.0072992700729927	411	8168	140424,550420,568726	gucy2f,gucy1a3,adcy7
3.30.1370.10	-	0.0262599530395939	-3.63971019839569	34	5	0.0121654501216545	411	8168	321686,572785,259191,30967,556208	kiaa0907,sf1,fmr1,igf2bp3,akap1b
1.10.150.220	-	0.033107411812314	-3.4079980998437	6	2	0.0048661800486618	411	8168	568055,100000577	ppp1r14c,ppp1r14bb
1.10.1450.10	-	0.033107411812314	-3.4079980998437	6	2	0.0048661800486618	411	8168	58031,378854	cd81a,tspan2a
3.30.1330.30	-	0.0434610973605796	-3.13588905457434	16	3	0.0072992700729927	411	8168	336713,406304,406507	rpl30,gadd45ba,gadd45gb.1
3.20.20.190	-	0.0434610973605796	-3.13588905457434	16	3	0.0072992700729927	411	8168	569040,100001532,561747	plcd3a,plcb3,plcg2
3.60.15.10	-	0.0434610973605796	-3.13588905457434	16	3	0.0072992700729927	411	8168	553648,405865,768137	cpsf3l,ethe1,dclre1b
4.10.400.10	-	0.0443164234033294	-3.11639993918284	27	4	0.0097323600973236	411	8168	100034487,406426,568518,436929	lrp12,spint1a,lrp5,dgcr2
3.30.1520.10	-	0.0443592215733825	-3.11543466459392	39	5	0.0121654501216545	411	8168	558917,368424,562018,378966,561624	snx9b,snx9a,sh3pxd2aa,ncf1,snx22
2.30.30.70	-	0.0503183153772138	-2.98938614534563	1	1	0.0024330900243309	411	8168	336568	rpl21
4.10.630.10	-	0.0503183153772138	-2.98938614534563	1	1	0.0024330900243309	411	8168	81884	ncoa2
3.30.56.30	-	0.0503183153772138	-2.98938614534563	1	1	0.0024330900243309	411	8168	406652	srp19
3.20.80.10	-	0.0503183153772138	-2.98938614534563	1	1	0.0024330900243309	411	8168	402960	tex264a
3.40.1160.10	-	0.0503183153772138	-2.98938614534563	1	1	0.0024330900243309	411	8168	557186	aldh18a1
3.10.450.80	-	0.0503183153772138	-2.98938614534563	1	1	0.0024330900243309	411	8168	195819	rpl36a
3.30.420.140	-	0.0503183153772138	-2.98938614534563	1	1	0.0024330900243309	411	8168	337866	supt6h
1.10.10.650	-	0.0503183153772138	-2.98938614534563	1	1	0.0024330900243309	411	8168	337866	supt6h
1.10.3500.10	-	0.0503183153772138	-2.98938614534563	1	1	0.0024330900243309	411	8168	337866	supt6h
1.25.40.270	-	0.0503183153772138	-2.98938614534563	1	1	0.0024330900243309	411	8168	406414	vta1
2.30.42.10	-	0.0814731344685717	-2.50748195150044	105	9	0.0218978102189781	411	8168	794339,394134,368448,393682,321330,569320,565082,497648,60658	ldb3a,mpp6b,ptpn4a,lin7a,rhpn2,sntg2,htra1b,dlg1l,nos1
3.90.520.10	-	0.0869898977438887	-2.44196328495609	10	2	0.0048661800486618	411	8168	326282,445564	smad7,smad9
1.20.58.200	-	0.098110549043208	-2.32166038462223	2	1	0.0024330900243309	411	8168	334107	tsn
1.10.150.310	-	0.098110549043208	-2.32166038462223	2	1	0.0024330900243309	411	8168	337866	supt6h
2.40.340.10	-	0.098110549043208	-2.32166038462223	2	1	0.0024330900243309	411	8168	555470	gphna
3.90.15.10	-	0.098110549043208	-2.32166038462223	2	1	0.0024330900243309	411	8168	553496	top1l
1.10.10.41	-	0.098110549043208	-2.32166038462223	2	1	0.0024330900243309	411	8168	553496	top1l
3.30.160.40	-	0.098110549043208	-2.32166038462223	2	1	0.0024330900243309	411	8168	338290	hmbsb
1.20.58.190	-	0.098110549043208	-2.32166038462223	2	1	0.0024330900243309	411	8168	334107	tsn
2.170.11.10	-	0.098110549043208	-2.32166038462223	2	1	0.0024330900243309	411	8168	553496	top1l
1.10.930.10	-	0.098110549043208	-2.32166038462223	2	1	0.0024330900243309	411	8168	405769	syk
1.10.132.10	-	0.098110549043208	-2.32166038462223	2	1	0.0024330900243309	411	8168	553496	top1l
1.10.455.10	-	0.098110549043208	-2.32166038462223	2	1	0.0024330900243309	411	8168	619204	mrps7
3.40.50.20	-	0.102893888499	-2.27405703052985	11	2	0.0048661800486618	411	8168	559403,570672	acaca,syn1
1.10.30.10	-	0.111994891110605	-2.18930202381132	51	5	0.0121654501216545	411	8168	102216265,378723,554137,30556,64812	sox8a,sox2,hbp1,tcf7l1b,sox19b
3.30.1490.20	-	0.119511092420048	-2.12434608831969	12	2	0.0048661800486618	411	8168	570672,559403	syn1,acaca
