TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
dre_M00089	Triacylglycerol biosynthesis	0.00311332765851603	-5.77206313815762	14	4	0.0202020202020202	198	4269	436958,406554,777624,406734	gpat3,lclat1,agpat2,agpat3
M00089	Triacylglycerol biosynthesis	0.00311332765851603	-5.77206313815762	14	4	0.0202020202020202	198	4269	406554,436958,777624,406734	lclat1,gpat3,agpat2,agpat3
dre_M00687	MAPK (ERK1/2) signaling	0.00925897179348843	-4.68216227390942	10	3	0.0151515151515152	198	4269	360144,403063,406728	mapk1,araf,map2k1
M00687	MAPK (ERK1/2) signaling	0.00925897179348843	-4.68216227390942	10	3	0.0151515151515152	198	4269	406728,403063,360144	map2k1,araf,mapk1
ko04350	TGF-beta signaling pathway	0.0160455831838868	-4.1323216583132	85	9	0.0454545454545455	198	4269	406411,359834,326282,30183,360144,406741,30615,563633,445564	rhoaa,tgfb1a,smad7,acvr1ba,mapk1,e2f4,acvr1l,smurf2,smad9
dre04350	TGF-beta signaling pathway	0.0160455831838868	-4.1323216583132	85	9	0.0454545454545455	198	4269	30183,360144,326282,359834,406411,445564,563633,30615,406741	acvr1ba,mapk1,smad7,tgfb1a,rhoaa,smad9,smurf2,acvr1l,e2f4
ko04012	ErbB signaling pathway	0.0184650825910092	-3.99187375784661	87	9	0.0454545454545455	198	4269	561747,406728,360144,30380,386635,503869,324254,403063,406308	plcg2,map2k1,mapk1,nras,erbb3a,btc,mtor,araf,grb2b
dre04012	ErbB signaling pathway	0.0184650825910092	-3.99187375784661	87	9	0.0454545454545455	198	4269	324254,386635,503869,403063,406308,30380,406728,561747,360144	mtor,erbb3a,btc,araf,grb2b,nras,map2k1,plcg2,mapk1
dre_M00284	Origin recognition complex	0.0283763092413375	-3.56220066358114	6	2	0.0101010101010101	198	4269	406462,554509	orc4,orc1
M00284	Origin recognition complex	0.0283763092413375	-3.56220066358114	6	2	0.0101010101010101	198	4269	554509,406462	orc1,orc4
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	0.0295947206078449	-3.52015929140285	15	3	0.0151515151515152	198	4269	561747,569040,100001532	plcg2,plcd3a,plcb3
dre_M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	0.0295947206078449	-3.52015929140285	15	3	0.0151515151515152	198	4269	100001532,569040,561747	plcb3,plcd3a,plcg2
dre04933	AGE-RAGE signaling pathway in diabetic complications	0.0346560088457952	-3.36228415291788	97	9	0.0454545454545455	198	4269	561747,360144,100001532,30380,359834,30298,334571,30222,569040	plcg2,mapk1,plcb3,nras,tgfb1a,jak2b,prkcda,ccnd1,plcd3a
ko04270	Vascular smooth muscle contraction	0.0346560088457952	-3.36228415291788	97	9	0.0454545454545455	198	4269	568726,334571,403063,406411,550420,100001532,555939,360144,406728	adcy7,prkcda,araf,rhoaa,gucy1a3,plcb3,avpr1ab,mapk1,map2k1
ko04933	AGE-RAGE signaling pathway in diabetic complications	0.0346560088457952	-3.36228415291788	97	9	0.0454545454545455	198	4269	561747,360144,30380,100001532,359834,30298,334571,30222,569040	plcg2,mapk1,nras,plcb3,tgfb1a,jak2b,prkcda,ccnd1,plcd3a
dre04270	Vascular smooth muscle contraction	0.0346560088457952	-3.36228415291788	97	9	0.0454545454545455	198	4269	568726,403063,334571,100001532,555939,406411,550420,406728,360144	adcy7,araf,prkcda,plcb3,avpr1ab,rhoaa,gucy1a3,map2k1,mapk1
ko04110	Cell cycle	0.0374334266368866	-3.28519121338305	114	10	0.0505050505050505	198	4269	192302,554509,503763,415165,406304,406741,30222,403060,406462,359834	hdac1,orc1,ywhae2,ccne2,gadd45ba,e2f4,ccnd1,smc1al,orc4,tgfb1a
dre04110	Cell cycle	0.0374334266368866	-3.28519121338305	114	10	0.0505050505050505	198	4269	192302,554509,503763,415165,406304,30222,406741,403060,406462,359834	hdac1,orc1,ywhae2,ccne2,gadd45ba,ccnd1,e2f4,smc1al,orc4,tgfb1a
dre04910	Insulin signaling pathway	0.0431790800442421	-3.1423991592581	133	11	0.0555555555555556	198	4269	245697,337167,406308,559403,324254,403063,30380,360144,406459,406728,565379	flot1b,tsc1a,grb2b,acaca,mtor,araf,nras,mapk1,zgc:77112,map2k1,phkg1a
ko04910	Insulin signaling pathway	0.0431790800442421	-3.1423991592581	133	11	0.0555555555555556	198	4269	406308,559403,324254,403063,245697,337167,360144,565379,406459,406728,30380	grb2b,acaca,mtor,araf,flot1b,tsc1a,mapk1,phkg1a,zgc:77112,map2k1,nras
ko00561	Glycerolipid metabolism	0.0469933463590938	-3.0577492541214	43	5	0.0252525252525253	198	4269	777624,406734,450063,406554,436958	agpat2,agpat3,mogat2,lclat1,gpat3
dre00561	Glycerolipid metabolism	0.0469933463590938	-3.0577492541214	43	5	0.0252525252525253	198	4269	406554,450063,436958,406734,777624	lclat1,mogat2,gpat3,agpat3,agpat2
ko04540	Gap junction	0.0557124304244907	-2.88755198954146	90	8	0.0404040404040404	198	4269	406728,100007679,360144,100001532,30380,550420,406308,568726	map2k1,map2k5,mapk1,plcb3,nras,gucy1a3,grb2b,adcy7
dre04540	Gap junction	0.0557124304244907	-2.88755198954146	90	8	0.0404040404040404	198	4269	360144,100007679,406728,550420,100001532,30380,406308,568726	mapk1,map2k5,map2k1,gucy1a3,plcb3,nras,grb2b,adcy7
dre04912	GnRH signaling pathway	0.0587609329598006	-2.83427805033823	91	8	0.0404040404040404	198	4269	334571,406308,568726,65239,406728,360144,100001532,30380	prkcda,grb2b,adcy7,map2k6,map2k1,mapk1,plcb3,nras
ko04912	GnRH signaling pathway	0.0587609329598006	-2.83427805033823	91	8	0.0404040404040404	198	4269	406308,334571,568726,360144,406728,65239,30380,100001532	grb2b,prkcda,adcy7,mapk1,map2k1,map2k6,nras,plcb3
ko00900	Terpenoid backbone biosynthesis	0.0626406130116531	-2.77034144108226	20	3	0.0151515151515152	198	4269	336798,555882,394060	ggps1,fnta,hmgcs1
dre00900	Terpenoid backbone biosynthesis	0.0626406130116531	-2.77034144108226	20	3	0.0151515151515152	198	4269	336798,555882,394060	ggps1,fnta,hmgcs1
dre00564	Glycerophospholipid metabolism	0.0658111704823406	-2.72096569088986	62	6	0.0303030303030303	198	4269	555725,406734,777624,751628,406554,436958	pcyt1bb,agpat3,agpat2,gpd2,lclat1,gpat3
ko00564	Glycerophospholipid metabolism	0.0658111704823406	-2.72096569088986	62	6	0.0303030303030303	198	4269	406734,555725,777624,751628,406554,436958	agpat3,pcyt1bb,agpat2,gpd2,lclat1,gpat3
dre04370	VEGF signaling pathway	0.0700649290616896	-2.65833290882476	63	6	0.0303030303030303	198	4269	30380,406728,561747,327321,415151,360144	nras,map2k1,plcg2,mapkapk2a,rac2,mapk1
ko04370	VEGF signaling pathway	0.0700649290616896	-2.65833290882476	63	6	0.0303030303030303	198	4269	30380,406728,561747,327321,415151,360144	nras,map2k1,plcg2,mapkapk2a,rac2,mapk1
dre00515	Mannose type O-glycan biosynthesis	0.0706752123028527	-2.64966037147558	21	3	0.0151515151515152	198	4269	497644,768123,101669768	pomgnt2,b4galt1l,b4gat1
ko00515	Mannose type O-glycan biosynthesis	0.0706752123028527	-2.64966037147558	21	3	0.0151515151515152	198	4269	768123,497644,101669768	b4galt1l,pomgnt2,b4gat1
dre_M00692	Cell cycle - G1/S transition	0.07537148540668	-2.58532625312566	10	2	0.0101010101010101	198	4269	30222,415165	ccnd1,ccne2
M00692	Cell cycle - G1/S transition	0.07537148540668	-2.58532625312566	10	2	0.0101010101010101	198	4269	30222,415165	ccnd1,ccne2
dre_M00082	Fatty acid biosynthesis, initiation	0.0906209474674815	-2.40106988440736	2	1	0.00505050505050505	198	4269	559403	acaca
M00082	Fatty acid biosynthesis, initiation	0.0906209474674815	-2.40106988440736	2	1	0.00505050505050505	198	4269	559403	acaca
dre_M00690	MAPK (ERK5) signaling	0.0906209474674815	-2.40106988440736	2	1	0.00505050505050505	198	4269	100007679	map2k5
M00690	MAPK (ERK5) signaling	0.0906209474674815	-2.40106988440736	2	1	0.00505050505050505	198	4269	100007679	map2k5
ko00562	Inositol phosphate metabolism	0.0972116491568158	-2.33086472740451	53	5	0.0252525252525253	198	4269	790916,561747,393365,569040,100001532	ipmkb,plcg2,mtmr8,plcd3a,plcb3
dre00562	Inositol phosphate metabolism	0.0972116491568158	-2.33086472740451	53	5	0.0252525252525253	198	4269	569040,100001532,790916,393365,561747	plcd3a,plcb3,ipmkb,mtmr8,plcg2
dre04068	FoxO signaling pathway	0.101835934163441	-2.28439224929821	137	10	0.0505050505050505	198	4269	406728,360144,436769,30380,436729,359834,403063,406308,30222,406304	map2k1,mapk1,homer1b,nras,setd7,tgfb1a,araf,grb2b,ccnd1,gadd45ba
dre_M00075	N-glycan biosynthesis, complex type	0.104094488393641	-2.26245625006891	12	2	0.0101010101010101	198	4269	445376,768123	st6gal1,b4galt1l
M00075	N-glycan biosynthesis, complex type	0.104094488393641	-2.26245625006891	12	2	0.0101010101010101	198	4269	768123,445376	b4galt1l,st6gal1
ko04520	Adherens junction	0.104158740705367	-2.2618391905972	70	6	0.0303030303030303	198	4269	30705,360144,415151,553542,373872,406411	fgfr1a,mapk1,rac2,zgc:109889,fyna,rhoaa
dre04520	Adherens junction	0.104158740705367	-2.2618391905972	70	6	0.0303030303030303	198	4269	553542,373872,406411,30705,360144,415151	zgc:109889,fyna,rhoaa,fgfr1a,mapk1,rac2
ko04020	Calcium signaling pathway	0.110483981369344	-2.20288473351608	157	11	0.0555555555555556	198	4269	100001532,555939,565379,561747,60658,797199,558525,568726,569040,368475,386635	plcb3,avpr1ab,phkg1a,plcg2,nos1,slc8a1b,atp2b3b,adcy7,plcd3a,htr5ab,erbb3a
dre04020	Calcium signaling pathway	0.110483981369344	-2.20288473351608	157	11	0.0555555555555556	198	4269	100001532,555939,561747,565379,60658,797199,568726,558525,569040,368475,386635	plcb3,avpr1ab,plcg2,phkg1a,nos1,slc8a1b,adcy7,atp2b3b,plcd3a,htr5ab,erbb3a
dre04320	Dorso-ventral axis formation	0.117030991148773	-2.14531649764588	26	3	0.0151515151515152	198	4269	406728,360144,406308	map2k1,mapk1,grb2b
ko04320	Dorso-ventral axis formation	0.117030991148773	-2.14531649764588	26	3	0.0151515151515152	198	4269	360144,406308,406728	mapk1,grb2b,map2k1
dre04010	MAPK signaling pathway	0.122537197988875	-2.09934063803979	215	14	0.0707070707070707	198	4269	360144,415151,415100,100007679,65239,406728,359834,30380,30705,406308,327321,406304,541536,58129	mapk1,rac2,nfkb2,map2k5,map2k6,map2k1,tgfb1a,nras,fgfr1a,grb2b,mapkapk2a,gadd45ba,ppp5c,fgfr3
