TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity	0.000490450964493423	-7.62018525440797	4	3	0.00505902192242833	593	11766	406554,777624,436958	lclat1,agpat2,gpat3
GO:0071617	lysophospholipid acyltransferase activity	0.000490450964493423	-7.62018525440797	4	3	0.00505902192242833	593	11766	436958,406554,777624	gpat3,lclat1,agpat2
GO:0042171	lysophosphatidic acid acyltransferase activity	0.000490450964493423	-7.62018525440797	4	3	0.00505902192242833	593	11766	436958,406554,777624	gpat3,lclat1,agpat2
GO:0015375	glycine:sodium symporter activity	0.00253603722800314	-5.97715256270294	2	2	0.00337268128161889	593	11766	494490,494450	slc6a9,slc6a5
GO:0005294	neutral L-amino acid secondary active transmembrane transporter activity	0.00253603722800314	-5.97715256270294	2	2	0.00337268128161889	593	11766	494450,494490	slc6a5,slc6a9
GO:0004672	protein kinase activity	0.00293205278997996	-5.83205249035175	410	34	0.0573355817875211	593	11766	566739,334571,30298,324254,554840,30705,65239,541526,386635,100148546,373872,567039,568668,100007679,406728,445223,393365,30280,565379,777621,405769,360144,100141364,562195,58129,403063,325042,327321,30183,393802,791176,30615,140424,565828	fes,prkcda,jak2b,mtor,pskh1,fgfr1a,map2k6,camkk1a,erbb3a,fastkd1,fyna,cdc42bpb,ntrk3a,map2k5,map2k1,nek7,mtmr8,jak1,phkg1a,zgc:153952,syk,mapk1,zgc:172180,epha7,fgfr3,araf,tnika,mapkapk2a,acvr1ba,camk1gb,camk1db,acvr1l,gucy2f,stk33
GO:0004435	phosphatidylinositol phospholipase C activity	0.0038274215658363	-5.56556392291248	7	3	0.00505902192242833	593	11766	561747,100001532,569040	plcg2,plcb3,plcd3a
GO:0016411	acylglycerol O-acyltransferase activity	0.0038274215658363	-5.56556392291248	7	3	0.00505902192242833	593	11766	436958,406554,777624	gpat3,lclat1,agpat2
GO:0004629	phospholipase C activity	0.0038274215658363	-5.56556392291248	7	3	0.00505902192242833	593	11766	561747,100001532,569040	plcg2,plcb3,plcd3a
GO:0016773	phosphotransferase activity, alcohol group as acceptor	0.0039395197716934	-5.53669644845792	481	38	0.0640809443507589	593	11766	327321,325042,30183,393802,790916,403063,58129,565828,777765,30615,791176,140424,65239,30705,386635,541526,100148546,566739,30298,334571,406789,554840,324254,368220,777621,360144,405769,100141364,562195,100007679,568668,373872,567039,445223,406728,393365,30280,565379	mapkapk2a,tnika,acvr1ba,camk1gb,ipmkb,araf,fgfr3,stk33,gk5,acvr1l,camk1db,gucy2f,map2k6,fgfr1a,erbb3a,camkk1a,fastkd1,fes,jak2b,prkcda,pank1a,pskh1,mtor,adka,zgc:153952,mapk1,syk,zgc:172180,epha7,map2k5,ntrk3a,fyna,cdc42bpb,nek7,map2k1,mtmr8,jak1,phkg1a
GO:0004683	calmodulin-dependent protein kinase activity	0.00611529229895	-5.09696271066651	24	5	0.00843170320404722	593	11766	565379,393802,541526,327321,791176	phkg1a,camk1gb,camkk1a,mapkapk2a,camk1db
GO:0004713	protein tyrosine kinase activity	0.00730928382404184	-4.91860998210733	81	10	0.0168634064080944	593	11766	566739,568668,373872,30298,30280,58129,30705,386635,405769,562195	fes,ntrk3a,fyna,jak2b,jak1,fgfr3,fgfr1a,erbb3a,syk,epha7
GO:0016176	superoxide-generating NADPH oxidase activator activity	0.00735330073493544	-4.9126059869804	3	2	0.00337268128161889	593	11766	378966,562018	ncf1,sh3pxd2aa
GO:0015187	glycine transmembrane transporter activity	0.00735330073493544	-4.9126059869804	3	2	0.00337268128161889	593	11766	494490,494450	slc6a9,slc6a5
