TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-DRE-114604	GPVI-mediated activation cascade	0.00309126817694964	-5.77917385901665	28	6	0.0204081632653061	294	5494	405769,30298,373872,30280,561747,406308	syk,jak2b,fyna,jak1,plcg2,grb2b
R-DRE-1236394	Signaling by ERBB4	0.00409728105219996	-5.49743168325841	39	7	0.0238095238095238	294	5494	503869,436825,386635,406308,561411,559336,30380	btc,s100b,erbb3a,grb2b,yap1,zgc:114200,nras
R-DRE-112409	RAF-independent MAPK1/3 activation	0.00524596649516478	-5.25029578429731	14	4	0.0136054421768707	294	5494	30280,406728,360144,30298	jak1,map2k1,mapk1,jak2b
R-DRE-201451	Signaling by BMP	0.00525788381542888	-5.24802664964189	22	5	0.0170068027210884	294	5494	445564,325423,326282,324309,563633	smad9,fstl1a,smad7,fstl1b,smurf2
R-DRE-535734	Fatty acid, triacylglycerol, and ketone body metabolism	0.00694546523136443	-4.96966631706198	113	13	0.0442176870748299	294	5494	436958,562140,751628,553804,450063,81884,393984,559403,402954,777624,406734,100037326,406554	gpat3,smarcd3b,gpd2,mcee,mogat2,ncoa2,aacs,acaca,cbr4,agpat2,agpat3,pnpla4,lclat1
R-DRE-110056	MAPK3 (ERK1) activation	0.00694641430579163	-4.96952967976591	8	3	0.0102040816326531	294	5494	406728,30280,30298	map2k1,jak1,jak2b
R-DRE-112411	MAPK1 (ERK2) activation	0.00694641430579163	-4.96952967976591	8	3	0.0102040816326531	294	5494	360144,30298,30280	mapk1,jak2b,jak1
R-DRE-166520	Signalling by NGF	0.01466607796804	-4.22221807308028	296	25	0.0850340136054422	294	5494	406728,386635,58129,403063,568726,541536,30298,373872,30380,503869,334571,447816,406308,324254,325609,327321,360144,664698,559976,30705,553493,445209,368504,559336,447837	map2k1,erbb3a,fgfr3,araf,adcy7,ppp5c,jak2b,fyna,nras,btc,prkcda,rtn4a,grb2b,mtor,atf1,mapkapk2a,mapk1,neflb,grin2bb,fgfr1a,arhgef7a,dnal4a,itsn1,zgc:114200,lingo1b
R-DRE-5675221	Negative regulation of MAPK pathway	0.0150950560341255	-4.19338800373181	28	5	0.0170068027210884	294	5494	30380,360144,403063,541536,406728	nras,mapk1,araf,ppp5c,map2k1
R-DRE-2979096	NOTCH2 Activation and Transmission of Signal to the Nucleus	0.0159364893763249	-4.13914386975568	4	2	0.00680272108843537	294	5494	563920,30277	dll4,mdka
R-DRE-5173105	O-linked glycosylation	0.0163527259816544	-4.11336066882954	39	6	0.0204081632653061	294	5494	101669768,497644,100149189,445376,558716,393326	b4gat1,pomgnt2,si:ch73-237c6.1,st6gal1,galnt11,st3gal3a
R-DRE-5673000	RAF activation	0.0164466608243353	-4.107632811778	19	4	0.0136054421768707	294	5494	406728,403063,30298,30380	map2k1,araf,jak2b,nras
R-DRE-1250347	SHC1 events in ERBB4 signaling	0.0181585874398414	-4.00861169298404	11	3	0.0102040816326531	294	5494	30380,503869,406308	nras,btc,grb2b
R-DRE-2871809	FCERI mediated Ca+2 mobilization	0.0181585874398414	-4.00861169298404	11	3	0.0102040816326531	294	5494	561747,406308,393651	plcg2,grb2b,grap2b
R-DRE-397795	G-protein beta:gamma signalling	0.0197132904585037	-3.92646222814355	20	4	0.0136054421768707	294	5494	30298,100001532,30280,406308	jak2b,plcb3,jak1,grb2b
R-DRE-2172127	DAP12 interactions	0.0217354498579576	-3.82881071735701	231	20	0.0680272108843537	294	5494	405769,664698,360144,559976,30705,30380,373872,30298,393651,541536,568726,403063,386635,58129,406728,561747,324254,406308,334571,503869	syk,neflb,mapk1,grin2bb,fgfr1a,nras,fyna,jak2b,grap2b,ppp5c,adcy7,araf,erbb3a,fgfr3,map2k1,plcg2,mtor,grb2b,prkcda,btc
