TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0065007	biological regulation	0.000412468164120418	-7.7933515330578	4930	35	0.660377358490566	53	11648	751627,447818,768137,554722,796610,402815,445564,325167,567039,335357,58129,563633,572060,654774,541526,571961,553650,114420,393653,369191,562195,406442,436963,561675,30227,563776,403039,30707,100000978,140815,436941,30222,494478,407086,562867	rab43,taf6,dclre1b,rorab,zgc:171482,nr1d2a,smad9,ankrd13c,cdc42bpb,syt4,fgfr3,smurf2,rab33ba,dock4b,camkk1a,slc25a38b,fam58a,rps9,rhogd,tnr,epha7,amfr,csdc2a,mlf2,ntn1a,deaf1,igfbp5b,cse1l,polr3g,cebpa,zgc:91944,ccnd1,tfr1b,junba,mavs
GO:0071495	cellular response to endogenous stimulus	0.000766598257705171	-7.17354767777651	242	6	0.113207547169811	53	11648	407086,402815,563633,445564,58129,554722	junba,nr1d2a,smurf2,smad9,fgfr3,rorab
GO:0050794	regulation of cellular process	0.00111161355919415	-6.80194266226267	4299	31	0.584905660377358	53	11648	562867,563633,436941,407086,572060,30222,58129,403039,140815,100000978,563776,335357,325167,567039,445564,561675,30227,402815,406442,436963,369191,554722,562195,796610,553650,114420,751627,541526,654774,393653,447818	mavs,smurf2,zgc:91944,junba,rab33ba,ccnd1,fgfr3,igfbp5b,cebpa,polr3g,deaf1,syt4,ankrd13c,cdc42bpb,smad9,mlf2,ntn1a,nr1d2a,amfr,csdc2a,tnr,rorab,epha7,zgc:171482,fam58a,rps9,rab43,camkk1a,dock4b,rhogd,taf6
GO:0010556	regulation of macromolecule biosynthetic process	0.00127723935353605	-6.66305428524628	1579	16	0.30188679245283	53	11648	447818,553650,114420,554722,402815,436963,445564,561675,563776,325167,140815,100000978,407086,30222,436941,562867	taf6,fam58a,rps9,rorab,nr1d2a,csdc2a,smad9,mlf2,deaf1,ankrd13c,cebpa,polr3g,junba,ccnd1,zgc:91944,mavs
GO:0044260	cellular macromolecule metabolic process	0.00143166536755863	-6.54891691962401	2978	24	0.452830188679245	53	11648	554722,768137,562195,335049,571961,114420,541526,393326,447818,368924,445564,402815,406442,58129,140815,100000978,393596,567039,445229,445223,563633,407086,494478,30222	rorab,dclre1b,epha7,ebna1bp2,slc25a38b,rps9,camkk1a,st3gal3a,taf6,fkbp5,smad9,nr1d2a,amfr,fgfr3,cebpa,polr3g,wdr46,cdc42bpb,naa50,nek7,smurf2,junba,tfr1b,ccnd1
GO:0071310	cellular response to organic substance	0.00147993903113234	-6.51575438723551	376	7	0.132075471698113	53	11648	406442,402815,563633,407086,58129,554722,445564	amfr,nr1d2a,smurf2,junba,fgfr3,rorab,smad9
GO:0042541	hemoglobin biosynthetic process	0.00153448341981817	-6.47956148890377	13	2	0.0377358490566038	53	11648	571961,494478	slc25a38b,tfr1b
GO:0009889	regulation of biosynthetic process	0.00173755231361976	-6.35527787242045	1625	16	0.30188679245283	53	11648	562867,407086,30222,436941,140815,100000978,563776,325167,445564,561675,402815,436963,554722,447818,114420,553650	mavs,junba,ccnd1,zgc:91944,cebpa,polr3g,deaf1,ankrd13c,smad9,mlf2,nr1d2a,csdc2a,rorab,taf6,rps9,fam58a
GO:0020027	hemoglobin metabolic process	0.00178502159026816	-6.32832476843536	14	2	0.0377358490566038	53	11648	571961,494478	slc25a38b,tfr1b
GO:0009719	response to endogenous stimulus	0.001876094445165	-6.27856308576073	288	6	0.113207547169811	53	11648	407086,402815,563633,445564,554722,58129	junba,nr1d2a,smurf2,smad9,rorab,fgfr3
