TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0052858	peptidyl-lysine acetyltransferase activity	0.00416454190040709	-5.4811489973099	1	1	0.0204081632653061	49	11766	445229	naa50
GO:0004493	methylmalonyl-CoA epimerase activity	0.00416454190040709	-5.4811489973099	1	1	0.0204081632653061	49	11766	553804	mcee
GO:0016409	palmitoyltransferase activity	0.00599370848478676	-5.11704494577374	28	2	0.0408163265306122	49	11766	678546,564062	sptssb,zdhhc18a
GO:0004758	serine C-palmitoyltransferase activity	0.00831209289433337	-4.79004384931728	2	1	0.0204081632653061	49	11766	678546	sptssb
GO:0008118	N-acetyllactosaminide alpha-2,3-sialyltransferase activity	0.00831209289433337	-4.79004384931728	2	1	0.0204081632653061	49	11766	393326	st3gal3a
GO:1990381	ubiquitin-specific protease binding	0.00831209289433337	-4.79004384931728	2	1	0.0204081632653061	49	11766	406442	amfr
GO:0016454	C-palmitoyltransferase activity	0.00831209289433337	-4.79004384931728	2	1	0.0204081632653061	49	11766	678546	sptssb
GO:0004998	transferrin receptor activity	0.00831209289433337	-4.79004384931728	2	1	0.0204081632653061	49	11766	494478	tfr1b
GO:0046982	protein heterodimerization activity	0.00849900367371791	-4.76780633721278	101	3	0.0612244897959184	49	11766	445564,447818,562867	smad9,taf6,mavs
GO:0016740	transferase activity	0.0151496978661077	-4.18977469005679	1650	13	0.26530612244898	49	11766	564062,445229,393326,445223,58129,678546,561384,562195,406442,541526,100000978,563633,567039	zdhhc18a,naa50,st3gal3a,nek7,fgfr3,sptssb,mepce,epha7,amfr,camkk1a,polr3g,smurf2,cdc42bpb
GO:0019905	syntaxin binding	0.0156492300220291	-4.15733356307667	46	2	0.0408163265306122	49	11766	562169,335357	vps54,syt4
GO:0005049	nuclear export signal receptor activity	0.0165564934300313	-4.10097690184134	4	1	0.0204081632653061	49	11766	30707	cse1l
GO:1904264	ubiquitin protein ligase activity involved in ERAD pathway	0.0165564934300313	-4.10097690184134	4	1	0.0204081632653061	49	11766	406442	amfr
GO:0004714	transmembrane receptor protein tyrosine kinase activity	0.0169657728893414	-4.07655732390915	48	2	0.0408163265306122	49	11766	58129,562195	fgfr3,epha7
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups	0.0174693485763227	-4.04730744366403	132	3	0.0612244897959184	49	11766	445229,564062,678546	naa50,zdhhc18a,sptssb
GO:0004879	RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding	0.0183279492111723	-3.99932810494062	50	2	0.0408163265306122	49	11766	402815,554722	nr1d2a,rorab
GO:0098531	transcription factor activity, direct ligand regulated sequence-specific DNA binding	0.0183279492111723	-3.99932810494062	50	2	0.0408163265306122	49	11766	554722,402815	rorab,nr1d2a
GO:0005007	fibroblast growth factor-activated receptor activity	0.0206534779409521	-3.87987155046605	5	1	0.0204081632653061	49	11766	58129	fgfr3
GO:0001968	fibronectin binding	0.0206534779409521	-3.87987155046605	5	1	0.0204081632653061	49	11766	403039	igfbp5b
GO:0003677	DNA binding	0.0235585837240516	-3.7482650355858	1196	10	0.204081632653061	49	11766	561675,436963,554722,768137,445564,436941,402815,407086,140815,563776	mlf2,csdc2a,rorab,dclre1b,smad9,zgc:91944,nr1d2a,junba,cebpa,deaf1
GO:0010485	H4 histone acetyltransferase activity	0.0247337414886597	-3.69958691537616	6	1	0.0204081632653061	49	11766	445229	naa50
GO:0035312	5'-3' exodeoxyribonuclease activity	0.0247337414886597	-3.69958691537616	6	1	0.0204081632653061	49	11766	768137	dclre1b
GO:0017112	Rab guanyl-nucleotide exchange factor activity	0.0247337414886597	-3.69958691537616	6	1	0.0204081632653061	49	11766	436881	rgp1
GO:0004672	protein kinase activity	0.0272118419116062	-3.60410303602648	410	5	0.102040816326531	49	11766	541526,445223,562195,567039,58129	camkk1a,nek7,epha7,cdc42bpb,fgfr3
GO:0019199	transmembrane receptor protein kinase activity	0.0274142493049862	-3.59669235313878	62	2	0.0408163265306122	49	11766	58129,562195	fgfr3,epha7
GO:0004887	thyroid hormone receptor activity	0.0287973508995932	-3.54747187872391	7	1	0.0204081632653061	49	11766	402815	nr1d2a
GO:0003836	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity	0.0287973508995932	-3.54747187872391	7	1	0.0204081632653061	49	11766	393326	st3gal3a
GO:0005432	calcium:sodium antiporter activity	0.0287973508995932	-3.54747187872391	7	1	0.0204081632653061	49	11766	797199	slc8a1b
GO:0017016	Ras GTPase binding	0.030772189274811	-3.48114394252659	66	2	0.0408163265306122	49	11766	436881,30707	rgp1,cse1l
GO:1901363	heterocyclic compound binding	0.0311552721047503	-3.46877179912102	3683	22	0.448979591836735	49	11766	436941,562195,541526,436963,554722,407086,140815,445223,796610,402815,751627,445564,567039,572060,561675,368924,768137,321872,393653,58129,563776,114420	zgc:91944,epha7,camkk1a,csdc2a,rorab,junba,cebpa,nek7,zgc:171482,nr1d2a,rab43,smad9,cdc42bpb,rab33ba,mlf2,fkbp5,dclre1b,srsf4,rhogd,fgfr3,deaf1,rps9
GO:0002020	protease binding	0.0328443727378687	-3.41597485046449	8	1	0.0204081632653061	49	11766	406442	amfr
GO:0016408	C-acyltransferase activity	0.0328443727378687	-3.41597485046449	8	1	0.0204081632653061	49	11766	678546	sptssb
GO:0031267	small GTPase binding	0.0342846586408074	-3.37305729481259	70	2	0.0408163265306122	49	11766	436881,30707	rgp1,cse1l
GO:0016746	transferase activity, transferring acyl groups	0.0351454000764084	-3.34826153482514	173	3	0.0612244897959184	49	11766	564062,445229,678546	zdhhc18a,naa50,sptssb
GO:0097159	organic cyclic compound binding	0.0351759686920335	-3.34739213714173	3724	22	0.448979591836735	49	11766	445223,796610,407086,140815,402815,751627,562195,541526,436941,436963,554722,563776,393653,58129,114420,445564,567039,368924,768137,321872,572060,561675	nek7,zgc:171482,junba,cebpa,nr1d2a,rab43,epha7,camkk1a,zgc:91944,csdc2a,rorab,deaf1,rhogd,fgfr3,rps9,smad9,cdc42bpb,fkbp5,dclre1b,srsf4,rab33ba,mlf2
GO:0051020	GTPase binding	0.0351862368158172	-3.34710027238899	71	2	0.0408163265306122	49	11766	30707,436881	cse1l,rgp1
GO:0005515	protein binding	0.035616076583347	-3.33495815364011	2045	14	0.285714285714286	49	11766	796610,325167,407086,335357,541526,436881,562169,406442,447818,445564,368924,562867,403039,30707	zgc:171482,ankrd13c,junba,syt4,camkk1a,rgp1,vps54,amfr,taf6,smad9,fkbp5,mavs,igfbp5b,cse1l
