TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-DRE-201451	Signaling by BMP	0.00582143946913073	-5.14620771635441	22	2	0.0689655172413793	29	5494	563633,445564	smurf2,smad9
R-DRE-6811440	Retrograde transport at the Trans-Golgi-Network	0.00870243564309806	-4.74415233352601	27	2	0.0689655172413793	29	5494	751627,562169	rab43,vps54
R-DRE-5173105	O-linked glycosylation	0.0176681286167619	-4.03599290562969	39	2	0.0689655172413793	29	5494	100149189,393326	si:ch73-237c6.1,st3gal3a
R-DRE-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	0.0250990351550824	-3.68492587361979	121	3	0.103448275862069	29	5494	562169,751627,572060	vps54,rab43,rab33ba
R-DRE-71032	Propionyl-CoA catabolism	0.0261246824140891	-3.64487472516956	5	1	0.0344827586206897	29	5494	553804	mcee
R-DRE-977068	Termination of O-glycan biosynthesis	0.0261246824140891	-3.64487472516956	5	1	0.0344827586206897	29	5494	393326	st3gal3a
R-DRE-8849470	PTK6 Regulates Cell Cycle	0.0261246824140891	-3.64487472516956	5	1	0.0344827586206897	29	5494	30222	ccnd1
R-DRE-936440	Negative regulators of RIG-I/MDA5 signaling	0.0261246824140891	-3.64487472516956	5	1	0.0344827586206897	29	5494	562867	mavs
R-DRE-5173214	O-glycosylation of TSR domain-containing proteins	0.0363889700111476	-3.31348957193156	7	1	0.0344827586206897	29	5494	100149189	si:ch73-237c6.1
R-DRE-190371	FGFR3b ligand binding and activation	0.0465487682003935	-3.06725473746969	9	1	0.0344827586206897	29	5494	58129	fgfr3
R-DRE-199991	Membrane Trafficking	0.0475790303236865	-3.04536315422911	383	5	0.172413793103448	29	5494	562169,494478,751627,572060,566797	vps54,tfr1b,rab43,rab33ba,zgc:114173
R-DRE-418885	DCC mediated attractive signaling	0.0515898047954953	-2.96443120749906	10	1	0.0344827586206897	29	5494	30227	ntn1a
R-DRE-442717	CREB phosphorylation through the activation of CaMKK	0.0566051030563102	-2.87165613783169	11	1	0.0344827586206897	29	5494	541526	camkk1a
R-DRE-5653656	Vesicle-mediated transport	0.0596236390082856	-2.81970315589099	408	5	0.172413793103448	29	5494	751627,494478,572060,562169,566797	rab43,tfr1b,rab33ba,vps54,zgc:114173
R-DRE-190372	FGFR3c ligand binding and activation	0.0714978322660267	-2.63808814769944	14	1	0.0344827586206897	29	5494	58129	fgfr3
R-DRE-190239	FGFR3 ligand binding and activation	0.0714978322660267	-2.63808814769944	14	1	0.0344827586206897	29	5494	58129	fgfr3
R-DRE-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	0.0733821307123518	-2.61207482378602	85	2	0.0689655172413793	29	5494	100007704,797199	slc7a8a,slc8a1b
R-DRE-425561	Sodium/Calcium exchangers	0.0764114386279339	-2.57162287375571	15	1	0.0344827586206897	29	5494	797199	slc8a1b
R-DRE-5654227	Phospholipase C-mediated cascade; FGFR3	0.0764114386279339	-2.57162287375571	15	1	0.0344827586206897	29	5494	58129	fgfr3
R-DRE-901042	Calnexin/calreticulin cycle	0.0812999343888473	-2.50961006945395	16	1	0.0344827586206897	29	5494	406442	amfr
R-DRE-901032	ER Quality Control Compartment (ERQC)	0.0812999343888473	-2.50961006945395	16	1	0.0344827586206897	29	5494	406442	amfr
R-DRE-2173788	Downregulation of TGF-beta receptor signaling	0.0861634433172299	-2.45150928271215	17	1	0.0344827586206897	29	5494	563633	smurf2
R-DRE-77289	Mitochondrial Fatty Acid Beta-Oxidation	0.0861634433172299	-2.45150928271215	17	1	0.0344827586206897	29	5494	553804	mcee
R-DRE-373752	Netrin-1 signaling	0.0861634433172299	-2.45150928271215	17	1	0.0344827586206897	29	5494	30227	ntn1a
R-DRE-168928	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways	0.0861634433172299	-2.45150928271215	17	1	0.0344827586206897	29	5494	562867	mavs
R-DRE-3214858	RMTs methylate histone arginines	0.0910020885883021	-2.39687282120887	18	1	0.0344827586206897	29	5494	30222	ccnd1
R-DRE-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	0.100605277945644	-2.29655055802429	20	1	0.0344827586206897	29	5494	403039	igfbp5b
R-DRE-5654704	SHC-mediated cascade:FGFR3	0.100605277945644	-2.29655055802429	20	1	0.0344827586206897	29	5494	58129	fgfr3
R-DRE-418359	Reduction of cytosolic Ca++ levels	0.105370065476166	-2.25027669197803	21	1	0.0344827586206897	29	5494	797199	slc8a1b
R-DRE-3928663	EPHA-mediated growth cone collapse	0.105370065476166	-2.25027669197803	21	1	0.0344827586206897	29	5494	562195	epha7
R-DRE-5654710	PI-3K cascade:FGFR3	0.105370065476166	-2.25027669197803	21	1	0.0344827586206897	29	5494	58129	fgfr3
R-DRE-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	0.105370065476166	-2.25027669197803	21	1	0.0344827586206897	29	5494	563633	smurf2
R-DRE-2173789	TGF-beta receptor signaling activates SMADs	0.110110476239891	-2.20627108773756	22	1	0.0344827586206897	29	5494	563633	smurf2
R-DRE-5654706	FRS-mediated FGFR3 signaling	0.114826630512149	-2.16433184889593	23	1	0.0344827586206897	29	5494	58129	fgfr3
R-DRE-913709	O-linked glycosylation of mucins	0.119518648007472	-2.12428286951342	24	1	0.0344827586206897	29	5494	393326	st3gal3a
R-DRE-76066	RNA Polymerase III Transcription Initiation From Type 2 Promoter	0.119518648007472	-2.12428286951342	24	1	0.0344827586206897	29	5494	100000978	polr3g
R-DRE-917977	Transferrin endocytosis and recycling	0.119518648007472	-2.12428286951342	24	1	0.0344827586206897	29	5494	494478	tfr1b
R-DRE-352230	Amino acid transport across the plasma membrane	0.124186647861937	-2.08596962039923	25	1	0.0344827586206897	29	5494	100007704	slc7a8a
R-DRE-3000178	ECM proteoglycans	0.124186647861937	-2.08596962039923	25	1	0.0344827586206897	29	5494	369191	tnr
R-DRE-2022854	Keratan sulfate biosynthesis	0.124186647861937	-2.08596962039923	25	1	0.0344827586206897	29	5494	393326	st3gal3a
R-DRE-76061	RNA Polymerase III Transcription Initiation From Type 1 Promoter	0.12883074865177	-2.04925576203537	26	1	0.0344827586206897	29	5494	100000978	polr3g
R-DRE-5654708	Downstream signaling of activated FGFR3	0.12883074865177	-2.04925576203537	26	1	0.0344827586206897	29	5494	58129	fgfr3
R-DRE-69236	G1 Phase	0.133451068382208	-2.01402039730222	27	1	0.0344827586206897	29	5494	30222	ccnd1
R-DRE-69231	Cyclin D associated events in G1	0.133451068382208	-2.01402039730222	27	1	0.0344827586206897	29	5494	30222	ccnd1
R-DRE-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	0.138047724504593	-1.98015582386683	28	1	0.0344827586206897	29	5494	566797	zgc:114173
R-DRE-532668	N-glycan trimming in the ER and Calnexin/Calreticulin cycle	0.138047724504593	-1.98015582386683	28	1	0.0344827586206897	29	5494	406442	amfr
R-DRE-76071	RNA Polymerase III Transcription Initiation From Type 3 Promoter	0.138047724504593	-1.98015582386683	28	1	0.0344827586206897	29	5494	100000978	polr3g
R-DRE-5654732	Negative regulation of FGFR3 signaling	0.138047724504593	-1.98015582386683	28	1	0.0344827586206897	29	5494	58129	fgfr3
R-DRE-210991	Basigin interactions	0.142620833906521	-1.94756568134732	29	1	0.0344827586206897	29	5494	100007704	slc7a8a
R-DRE-1638074	Keratan sulfate/keratin metabolism	0.142620833906521	-1.94756568134732	29	1	0.0344827586206897	29	5494	393326	st3gal3a
R-DRE-4085001	Sialic acid metabolism	0.151696877327517	-1.88587097736478	31	1	0.0344827586206897	29	5494	393326	st3gal3a
R-DRE-6811438	Intra-Golgi traffic	0.151696877327517	-1.88587097736478	31	1	0.0344827586206897	29	5494	572060	rab33ba
R-DRE-418360	Platelet calcium homeostasis	0.160680122690833	-1.82833970591882	33	1	0.0344827586206897	29	5494	797199	slc8a1b
R-DRE-438064	Post NMDA receptor activation events	0.165137232459793	-1.80097843888469	34	1	0.0344827586206897	29	5494	541526	camkk1a
R-DRE-74158	RNA Polymerase III Transcription	0.165137232459793	-1.80097843888469	34	1	0.0344827586206897	29	5494	100000978	polr3g
R-DRE-1660661	Sphingolipid de novo biosynthesis	0.165137232459793	-1.80097843888469	34	1	0.0344827586206897	29	5494	678546	sptssb
R-DRE-76046	RNA Polymerase III Transcription Initiation	0.165137232459793	-1.80097843888469	34	1	0.0344827586206897	29	5494	100000978	polr3g
R-DRE-5654741	Signaling by FGFR3	0.169571485254769	-1.77448069915371	35	1	0.0344827586206897	29	5494	58129	fgfr3
R-DRE-917937	Iron uptake and transport	0.178371871583271	-1.72388474176489	37	1	0.0344827586206897	29	5494	494478	tfr1b
R-DRE-3928665	EPH-ephrin mediated repulsion of cells	0.178371871583271	-1.72388474176489	37	1	0.0344827586206897	29	5494	562195	epha7
R-DRE-72312	rRNA processing	0.190793635585102	-1.6565628769965	152	2	0.0689655172413793	29	5494	393596,114420	wdr46,rps9
R-DRE-8868773	rRNA processing in the nucleus and cytosol	0.190793635585102	-1.6565628769965	152	2	0.0689655172413793	29	5494	393596,114420	wdr46,rps9
R-DRE-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	0.190793635585102	-1.6565628769965	152	2	0.0689655172413793	29	5494	114420,393596	rps9,wdr46
R-DRE-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	0.191403832569963	-1.65336977628725	40	1	0.0344827586206897	29	5494	563633	smurf2
R-DRE-76042	RNA Polymerase II Transcription Initiation And Promoter Clearance	0.195703298809382	-1.63115554826136	41	1	0.0344827586206897	29	5494	447818	taf6
R-DRE-73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	0.195703298809382	-1.63115554826136	41	1	0.0344827586206897	29	5494	447818	taf6
R-DRE-75953	RNA Polymerase II Transcription Initiation	0.195703298809382	-1.63115554826136	41	1	0.0344827586206897	29	5494	447818	taf6
R-DRE-73776	RNA Polymerase II Promoter Escape	0.195703298809382	-1.63115554826136	41	1	0.0344827586206897	29	5494	447818	taf6
R-DRE-1834949	Cytosolic sensors of pathogen-associated DNA	0.199980688198227	-1.60953447610508	42	1	0.0344827586206897	29	5494	100000978	polr3g
R-DRE-442755	Activation of NMDA receptor upon glutamate binding and postsynaptic events	0.199980688198227	-1.60953447610508	42	1	0.0344827586206897	29	5494	541526	camkk1a
R-DRE-72187	mRNA 3'-end processing	0.221040290811746	-1.50941028271571	47	1	0.0344827586206897	29	5494	321872	srsf4
R-DRE-418346	Platelet homeostasis	0.225187496898012	-1.49082190424896	48	1	0.0344827586206897	29	5494	797199	slc8a1b
R-DRE-8848021	Signaling by PTK6	0.233418047618636	-1.45492423727489	50	1	0.0344827586206897	29	5494	30222	ccnd1
R-DRE-75815	Ubiquitin-dependent degradation of Cyclin D	0.245605798458433	-1.40402747362941	53	1	0.0344827586206897	29	5494	30222	ccnd1
R-DRE-72695	Formation of the ternary complex, and subsequently, the 43S complex	0.245605798458433	-1.40402747362941	53	1	0.0344827586206897	29	5494	114420	rps9
R-DRE-5578775	Ion homeostasis	0.245605798458433	-1.40402747362941	53	1	0.0344827586206897	29	5494	797199	slc8a1b
R-DRE-69229	Ubiquitin-dependent degradation of Cyclin D1	0.245605798458433	-1.40402747362941	53	1	0.0344827586206897	29	5494	30222	ccnd1
R-DRE-4641257	Degradation of AXIN	0.257606357404693	-1.35632260569043	56	1	0.0344827586206897	29	5494	563633	smurf2
R-DRE-422475	Axon guidance	0.258615519336714	-1.35241280154209	335	3	0.103448275862069	29	5494	58129,562195,30227	fgfr3,epha7,ntn1a
R-DRE-4839726	Chromatin organization	0.261565426110946	-1.34107083131787	57	1	0.0344827586206897	29	5494	30222	ccnd1
R-DRE-3247509	Chromatin modifying enzymes	0.261565426110946	-1.34107083131787	57	1	0.0344827586206897	29	5494	30222	ccnd1
R-DRE-446219	Synthesis of substrates in N-glycan biosythesis	0.265504106015824	-1.32612497320005	58	1	0.0344827586206897	29	5494	393326	st3gal3a
R-DRE-4608870	Asymmetric localization of PCP proteins	0.269422498389802	-1.31147450553891	59	1	0.0344827586206897	29	5494	563633	smurf2
R-DRE-6807505	RNA polymerase II transcribes snRNA genes	0.277198823182288	-1.28302025704954	61	1	0.0344827586206897	29	5494	447818	taf6
R-DRE-72202	Transport of Mature Transcript to Cytoplasm	0.277198823182288	-1.28302025704954	61	1	0.0344827586206897	29	5494	321872	srsf4
R-DRE-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	0.277198823182288	-1.28302025704954	61	1	0.0344827586206897	29	5494	321872	srsf4
R-DRE-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	0.281056955730922	-1.26919794075323	62	1	0.0344827586206897	29	5494	58129	fgfr3
R-DRE-170834	Signaling by TGF-beta Receptor Complex	0.281056955730922	-1.26919794075323	62	1	0.0344827586206897	29	5494	563633	smurf2
R-DRE-72649	Translation initiation complex formation	0.281056955730922	-1.26919794075323	62	1	0.0344827586206897	29	5494	114420	rps9
R-DRE-425407	SLC-mediated transmembrane transport	0.281117776098959	-1.26898156543492	198	2	0.0689655172413793	29	5494	797199,100007704	slc8a1b,slc7a8a
R-DRE-72702	Ribosomal scanning and start codon recognition	0.284895200994088	-1.25563388214774	63	1	0.0344827586206897	29	5494	114420	rps9
