TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR014034	Ferritin_CS	4.90494080465063e-06	-12.2252675333887	8	4	0.0176991150442478	226	13620	100006523,100170833,436651,58108	zgc:198419,zgc:194125,zgc:92066,fth1a
IPR001519	Ferritin	1.43343009734752e-05	-11.1528552234402	10	4	0.0176991150442478	226	13620	100006523,436651,100170833,58108	zgc:198419,zgc:92066,zgc:194125,fth1a
IPR008331	Ferritin_DPS_dom	1.43343009734752e-05	-11.1528552234402	10	4	0.0176991150442478	226	13620	100006523,436651,100170833,58108	zgc:198419,zgc:92066,zgc:194125,fth1a
IPR009040	Ferritin-like_diiron	1.43343009734752e-05	-11.1528552234402	10	4	0.0176991150442478	226	13620	58108,100006523,100170833,436651	fth1a,zgc:198419,zgc:194125,zgc:92066
IPR012347	Ferritin-rel	2.22323922317547e-05	-10.7139602230135	11	4	0.0176991150442478	226	13620	58108,100006523,100170833,436651	fth1a,zgc:198419,zgc:194125,zgc:92066
IPR009078	Ferritin-like_SF	6.48438342525911e-05	-9.64352872878298	14	4	0.0176991150442478	226	13620	58108,436651,100170833,100006523	fth1a,zgc:92066,zgc:194125,zgc:198419
IPR015668	Bcl-9	0.000274137614814787	-8.20188033380884	2	2	0.00884955752212389	226	13620	449616,449532	bcl9,bcl9l
IPR024670	BCL9_beta-catenin-bd_dom	0.000274137614814787	-8.20188033380884	2	2	0.00884955752212389	226	13620	449616,449532	bcl9,bcl9l
IPR015425	FH2_Formin	0.000813394365148868	-7.11429449204297	3	2	0.00884955752212389	226	13620	777608,560060	fhdc3,daam1b
IPR009288	AIG2-like	0.000813394365148868	-7.11429449204297	3	2	0.00884955752212389	226	13620	100038780,447805	ggact.3,ggact.2
IPR025281	DUF4074	0.000813394365148868	-7.11429449204297	3	2	0.00884955752212389	226	13620	30349,30339	hoxd3a,hoxb3a
IPR002101	MARCKS	0.00160897330953403	-6.4321589993419	4	2	0.00884955752212389	226	13620	406407,323201	marcksl1a,marcksb
IPR001827	Homeobox_Antennapedia_CS	0.0048083116066737	-5.33740927380902	21	3	0.0132743362831858	226	13620	30349,30340,30339	hoxd3a,hoxb4a,hoxb3a
IPR013024	GGCT-like	0.00544889650613844	-5.2123421667459	7	2	0.00884955752212389	226	13620	100038780,447805	ggact.3,ggact.2
IPR011993	PH_dom-like	0.00574857150488318	-5.15880388897106	234	10	0.0442477876106195	226	13620	561747,558578,553536,406666,561184,558152,30644,563267,378972,58003	plcg2,smek1,necap2,gab1,nf2a,sh2b1,mtmr2,arhgap12a,akt2,evla
IPR020636	Ca/CaM-dep_Ca-dep_prot_Kinase	0.00792016600270426	-4.83834311343805	25	3	0.0132743362831858	226	13620	550537,445208,561635	stk11,camk2d1,mylk3
IPR013057	AA_transpt_TM	0.0112993047561076	-4.48301408116482	10	2	0.00884955752212389	226	13620	336741,566537	slc38a6,slc38a2
IPR001523	Paired_dom	0.0136604467432219	-4.29325072089244	11	2	0.00884955752212389	226	13620	30558,60639	pax9,pax6b
IPR023313	UBQ-conjugating_AS	0.014393553815189	-4.24097482434911	31	3	0.0132743362831858	226	13620	30100,30622,321943	ube2kb,ube2ib,ube2l3b
IPR009057	Homeodomain-like	0.0158696994483775	-4.14334368297366	314	11	0.0486725663716814	226	13620	64807,30349,245948,474318,30558,60639,30536,30339,561241,30340,58138	vox,hoxd3a,gbx2,irx4b,pax9,pax6b,emx3,hoxb3a,snapc4,hoxb4a,pbx1a
IPR003840	DNA_helicase	0.0165932452276276	-4.09875958042994	1	1	0.00442477876106195	226	13620	326729	pif1
IPR000692	Fibrillarin	0.0165932452276276	-4.09875958042994	1	1	0.00442477876106195	226	13620	406275	fbl
IPR013049	Spo11/TopoVI_A_N	0.0165932452276276	-4.09875958042994	1	1	0.00442477876106195	226	13620	402982	spo11
IPR000007	Tubby_C	0.0165932452276276	-4.09875958042994	1	1	0.00442477876106195	226	13620	557730	tulp4a
IPR028487	S100A13	0.0165932452276276	-4.09875958042994	1	1	0.00442477876106195	226	13620	336965	s100v2
IPR016642	26S_Psome_Rpn2	0.0165932452276276	-4.09875958042994	1	1	0.00442477876106195	226	13620	554967	psmd1
IPR011061	Hirudin/antistatin	0.0165932452276276	-4.09875958042994	1	1	0.00442477876106195	226	13620	404210	crim1
IPR022701	GlycosylTrfase_1_N	0.0165932452276276	-4.09875958042994	1	1	0.00442477876106195	226	13620	550132	gtdc1
IPR014767	DAD_dom	0.0165932452276276	-4.09875958042994	1	1	0.00442477876106195	226	13620	560060	daam1b
