TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	1.71012833953284e-05	-10.9763570449136	111	10	0.0641025641025641	156	9224	322256,336741,192329,568615,566537,445057,57934,767696,324413,406564	eif5,slc38a6,ppp1r10,sel1l,slc38a2,dusp2,actb1,mbnl1,bhlhe40,sfpq
WEBER_METHYLATED_HCP_IN_FIBROBLAST_DN	WEBER_METHYLATED_HCP_IN_FIBROBLAST_DN	9.29249606229035e-05	-9.28371826553242	15	4	0.0256410256410256	156	9224	402982,100006523,436651,100170833	spo11,zgc:198419,zgc:92066,zgc:194125
KEGG_GLIOMA	KEGG_GLIOMA	0.000100376354602449	-9.20658389037173	45	6	0.0384615384615385	156	9224	368415,777733,378972,561747,245702,445208	ptenb,rb1,akt2,plcg2,igf1rb,camk2d1
PID_RB_1PATHWAY	PID_RB_1PATHWAY	0.000162997064638453	-8.72177836567271	49	6	0.0384615384615385	156	9224	678649,798771,368882,192295,777733,65237	zgc:136929,mef2cb,tbp,ccna2,rb1,mapk14a
TTANTCA_UNKNOWN	TTANTCA_UNKNOWN	0.000171134242163751	-8.67306226755254	559	22	0.141025641025641	156	9224	65237,565410,192315,352926,30339,100149745,30558,323827,558864,336741,402982,30349,324413,245702,554053,402969,568615,556994,445208,449554,449616,404210	mapk14a,capga,uxs1,gpx1a,hoxb3a,sesn2,pax9,st5,flrt3,slc38a6,spo11,hoxd3a,bhlhe40,igf1rb,pcdh2g5,tmem88a,sel1l,ppm1la,camk2d1,rbfox1,bcl9,crim1
MCBRYAN_PUBERTAL_BREAST_6_7WK_UP	MCBRYAN_PUBERTAL_BREAST_6_7WK_UP	0.000189746498968718	-8.5698215926165	120	9	0.0576923076923077	156	9224	81534,678610,798771,404210,554176,368415,555192,378972,65237	stom,map4k2,mef2cb,crim1,cygb2,ptenb,epas1b,akt2,mapk14a
GSE17721_12H_VS_24H_GARDIQUIMOD_BMDC_DN	GSE17721_12H_VS_24H_GARDIQUIMOD_BMDC_DN	0.0001980549935932	-8.52696582041366	148	10	0.0641025641025641	156	9224	368415,556012,65237,436754,81534,334206,322256,404610,792266,777733	ptenb,pcmtd2,mapk14a,gstz1,stom,osbpl2b,eif5,fam49bb,alkbh3,rb1
GO_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	GO_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	0.000210058566070941	-8.46812418007619	33	5	0.032051282051282	156	9224	777733,798771,64603,449616,449532	rb1,mef2cb,eomesa,bcl9,bcl9l
V$GFI1_01	V$GFI1_01	0.000246144492997891	-8.30959182455597	152	10	0.0641025641025641	156	9224	368415,30339,767696,58138,558181,449532,678610,449616,445208,798771	ptenb,hoxb3a,mbnl1,pbx1a,ctdspl2a,bcl9l,map4k2,bcl9,camk2d1,mef2cb
GO_NEGATIVE_REGULATION_OF_NEUROLOGICAL_SYSTEM_PROCESS	GO_NEGATIVE_REGULATION_OF_NEUROLOGICAL_SYSTEM_PROCESS	0.000249687931587776	-8.29529869349343	8	3	0.0192307692307692	156	9224	368415,30644,555939	ptenb,mtmr2,avpr1ab
YATTNATC_UNKNOWN	YATTNATC_UNKNOWN	0.000266929153556874	-8.22852727725719	214	12	0.0769230769230769	156	9224	352926,30339,30340,560060,30349,449532,678610,445208,449554,566499,558864,192329	gpx1a,hoxb3a,hoxb4a,daam1b,hoxd3a,bcl9l,map4k2,camk2d1,rbfox1,slc16a10,flrt3,ppp1r10
GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.000341579769794662	-7.98192931971613	103	8	0.0512820512820513	156	9224	100149745,192295,555192,561747,324413,562052,777733,406404	sesn2,ccna2,epas1b,plcg2,bhlhe40,kif14,rb1,ak3
MCBRYAN_PUBERTAL_BREAST_5_6WK_DN	MCBRYAN_PUBERTAL_BREAST_5_6WK_DN	0.000361605916699326	-7.92495556702667	79	7	0.0448717948717949	156	9224	678610,368415,554176,65237,378972,404210,798771	map4k2,ptenb,cygb2,mapk14a,akt2,crim1,mef2cb
GO_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	GO_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	0.000365353917671824	-7.91464403671947	37	5	0.032051282051282	156	9224	192295,562052,445208,573336,58138	ccna2,kif14,camk2d1,nae1,pbx1a
