TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00210	Ferritin	1.53264847319767e-05	-11.0859281978347	10	4	0.0186915887850467	214	12674	436651,100006523,58108,100170833	zgc:92066,zgc:198419,fth1a,zgc:194125
PF11502	BCL9	0.000283792059105752	-8.16726877422968	2	2	0.00934579439252336	214	12674	449616,449532	bcl9,bcl9l
PF02181	FH2	0.00084188060967008	-7.07987234751663	3	2	0.00934579439252336	214	12674	560060,777608	daam1b,fhdc3
PF06094	GGACT	0.00084188060967008	-7.07987234751663	3	2	0.00934579439252336	214	12674	447805,100038780	ggact.2,ggact.3
PF13293	DUF4074	0.00084188060967008	-7.07987234751663	3	2	0.00934579439252336	214	12674	30349,30339	hoxd3a,hoxb3a
PF02063	MARCKS	0.00166500726723854	-6.39792579085142	4	2	0.00934579439252336	214	12674	323201,406407	marcksb,marcksl1a
PF01490	Aa_trans	0.0116796845540533	-4.44990430930521	10	2	0.00934579439252336	214	12674	336741,566537	slc38a6,slc38a2
PF00292	PAX	0.0141176926309426	-4.26032647167647	11	2	0.00934579439252336	214	12674	60639,30558	pax6b,pax9
PF01512	Complex1_51K	0.0168849613382879	-4.08133191485479	1	1	0.00467289719626168	214	12674	445291	ndufv1
PF15302	P33MONOX	0.0168849613382879	-4.08133191485479	1	1	0.00467289719626168	214	12674	664766	zgc:123105
PF05970	PIF1	0.0168849613382879	-4.08133191485479	1	1	0.00467289719626168	214	12674	326729	pif1
PF02822	Antistasin	0.0168849613382879	-4.08133191485479	1	1	0.00467289719626168	214	12674	404210	crim1
PF06963	FPN1	0.0168849613382879	-4.08133191485479	1	1	0.00467289719626168	214	12674	58153	slc40a1
PF10531	SLBB	0.0168849613382879	-4.08133191485479	1	1	0.00467289719626168	214	12674	445291	ndufv1
PF08934	Rb_C	0.0168849613382879	-4.08133191485479	1	1	0.00467289719626168	214	12674	777733	rb1
PF15282	BMP2K_C	0.0168849613382879	-4.08133191485479	1	1	0.00467289719626168	214	12674	494101	bmp2k
PF08427	DUF1741	0.0168849613382879	-4.08133191485479	1	1	0.00467289719626168	214	12674	393591	zgc:63733
PF09038	53-BP1_Tudor	0.0168849613382879	-4.08133191485479	1	1	0.00467289719626168	214	12674	557086	tp53bp1
