TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS00540	FERRITIN_1	5.67083008549016e-06	-12.0801750513826	8	4	0.0263157894736842	152	8802	100006523,436651,58108,100170833	zgc:198419,zgc:92066,fth1a,zgc:194125
PS50905	FERRITIN_LIKE	1.65586470647377e-05	-11.008602111334	10	4	0.0263157894736842	152	8802	58108,100170833,100006523,436651	fth1a,zgc:194125,zgc:198419,zgc:92066
PS00204	FERRITIN_2	9.72088062137753e-05	-9.23864925169456	6	3	0.0197368421052632	152	8802	58108,436651,100006523	fth1a,zgc:92066,zgc:198419
PS51444	FH2	0.000878749286122298	-7.03701092721834	3	2	0.0131578947368421	152	8802	777608,560060	fhdc3,daam1b
PS00032	ANTENNAPEDIA	0.00534463243998834	-5.2316625039439	21	3	0.0197368421052632	152	8802	30339,30349,30340	hoxb3a,hoxd3a,hoxb4a
PS00034	PAIRED_1	0.0147110483293919	-4.21915648046408	11	2	0.0131578947368421	152	8802	30558,60639	pax9,pax6b
PS51057	PAIRED_2	0.0147110483293919	-4.21915648046408	11	2	0.0131578947368421	152	8802	30558,60639	pax9,pax6b
PS00183	UBIQUITIN_CONJUGAT_1	0.0159326770506353	-4.13938311829181	31	3	0.0197368421052632	152	8802	30100,321943,30622	ube2kb,ube2l3b,ube2ib
PS00645	COMPLEX1_51K_2	0.0172688025452539	-4.05885372650289	1	1	0.00657894736842105	152	8802	445291	ndufv1
PS51765	ZF_RAG1	0.0172688025452539	-4.05885372650289	1	1	0.00657894736842105	152	8802	30663	rag1
PS51231	DAD	0.0172688025452539	-4.05885372650289	1	1	0.00657894736842105	152	8802	560060	daam1b
PS51252	ANTISTASIN	0.0172688025452539	-4.05885372650289	1	1	0.00657894736842105	152	8802	404210	crim1
PS00644	COMPLEX1_51K_1	0.0172688025452539	-4.05885372650289	1	1	0.00657894736842105	152	8802	445291	ndufv1
PS00360	RIBOSOMAL_S9	0.0172688025452539	-4.05885372650289	1	1	0.00657894736842105	152	8802	767765	rps16
PS51487	NBD	0.0172688025452539	-4.05885372650289	1	1	0.00657894736842105	152	8802	30663	rag1
PS00566	FIBRILLARIN	0.0172688025452539	-4.05885372650289	1	1	0.00657894736842105	152	8802	406275	fbl
