TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF16488	ArgoL2	0.000614140123340304	-7.39528744194467	4	4	0.001508864579404	2651	16832	192669,192670,26523,27161	AGO3,AGO4,AGO1,AGO2
PF16487	ArgoMid	0.000614140123340304	-7.39528744194467	4	4	0.001508864579404	2651	16832	192669,192670,26523,27161	AGO3,AGO4,AGO1,AGO2
PF16486	ArgoN	0.000614140123340304	-7.39528744194467	4	4	0.001508864579404	2651	16832	26523,27161,192669,192670	AGO1,AGO2,AGO3,AGO4
PF00130	C1_1	0.00253800467584933	-5.97637706735542	49	16	0.00603545831761599	2651	16832	118987,54849,8527,23025,673,5582,8476,1607,160851,25780,5579,8526,5584,1608,5578,83593	PDZD8,DEF8,DGKD,UNC13A,BRAF,PRKCG,CDC42BPA,DGKB,DGKH,RASGRP3,PRKCB,DGKE,PRKCI,DGKG,PRKCA,RASSF5
PF00651	BTB	0.0026274392634601	-5.94174557119486	129	33	0.012448132780083	2651	16832	79842,55643,7597,26137,64410,143879,23119,138151,166348,114781,3104,22903,65986,653121,11275,22836,10773,59349,23099,3090,53339,9903,56062,51479,8216,89857,54800,255877,360023,100128927,9880,728116,55213	ZBTB3,BTBD2,ZBTB25,ZBTB20,KLHL25,KBTBD3,HIC2,NACC2,KBTBD12,BTBD9,ZBTB48,BTBD3,ZBTB10,ZBTB8A,KLHL2,RHOBTB3,ZBTB6,KLHL12,ZBTB43,HIC1,BTBD1,KLHL21,KLHL4,ANKFY1,LZTR1,KLHL6,KLHL24,BCL6B,ZBTB41,ZBTB42,ZBTB39,ZBTB8B,RCBTB1
PF07092	DUF1356	0.00390308313275666	-5.54598849130343	3	3	0.001131648434553	2651	16832	54664,113277,79022	TMEM106B,TMEM106A,TMEM106C
PF04714	BCL_N	0.00390308313275666	-5.54598849130343	3	3	0.001131648434553	2651	16832	605,9274,9275	BCL7A,BCL7C,BCL7B
PF02214	BTB_2	0.00398762457607581	-5.52455956971008	51	16	0.00603545831761599	2651	16832	57528,3746,54793,23510,3749,3750,3787,83892,3745,79047,115207,3788,54442,93107,253980,65987	KCTD16,KCNC1,KCTD9,KCTD2,KCNC4,KCND1,KCNS1,KCTD10,KCNB1,KCTD15,KCTD12,KCNS2,KCTD5,KCNG4,KCTD13,KCTD14
PF00781	DAGK_cat	0.00476097220293047	-5.34730338728071	15	7	0.002640513013957	2651	16832	1608,375298,55750,1607,8526,8527,160851	DGKG,CERKL,AGK,DGKB,DGKE,DGKD,DGKH
PF00481	PP2C	0.00552713912445477	-5.19808493466298	19	8	0.003017729158808	2651	16832	10454,22843,23035,9647,5494,147699,152926,132160	TAB1,PPM1E,PHLPP2,PPM1F,PPM1A,PPM1N,PPM1K,PPM1M
