Id	ire
BLALOCK_ALZHEIMERS_DISEASE_UP	 
AACTTT_UNKNOWN	 
PILON_KLF1_TARGETS_DN	 
GO_CELL_PROJECTION_PART	 
GO_CELL_PROJECTION_ORGANIZATION	 
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	 
GO_NEURON_PART	 
GO_NEUROGENESIS	 
GO_INTRACELLULAR_TRANSPORT	 
PEREZ_TP53_TARGETS	 
GO_REGULATION_OF_ORGANELLE_ORGANIZATION	 
GO_CELLULAR_COMPONENT_MORPHOGENESIS	 
GO_CELLULAR_MACROMOLECULE_LOCALIZATION	 
GO_RESPONSE_TO_ENDOGENOUS_STIMULUS	 
GO_NEURON_PROJECTION	 
Predicted 3' IRE genes	3
Predicted 5' IRE genes	5
HALLMARK_HEME_METABOLISM	 
ENSG00000205307	5
ENSG00000164692	no IRE
ENSG00000112561	3
ENSG00000177302	no IRE
ENSG00000284238	no IRE
ENSG00000076716	no IRE
ENSG00000137364	no IRE
ENSG00000164292	3
ENSG00000113658	no IRE
ENSG00000176170	5
ENSG00000156103	no IRE
ENSG00000104936	no IRE
ENSG00000197429	no IRE
ENSG00000140836	no IRE
ENSG00000132330	3
ENSG00000145819	no IRE
ENSG00000230989	no IRE
ENSG00000211455	3
ENSG00000006652	5
ENSG00000142541	3
ENSG00000011304	no IRE
ENSG00000150907	no IRE
ENSG00000147862	no IRE
ENSG00000089234	no IRE
ENSG00000099326	no IRE
ENSG00000101361	3
ENSG00000080839	no IRE
ENSG00000204592	no IRE
ENSG00000233904	no IRE
ENSG00000225201	no IRE
ENSG00000206493	no IRE
ENSG00000229252	no IRE
ENSG00000236632	no IRE
ENSG00000230254	no IRE
ENSG00000182199	3
ENSG00000114098	3
ENSG00000166147	5
ENSG00000029725	3
ENSG00000118418	no IRE
ENSG00000198911	3
ENSG00000076321	no IRE
ENSG00000139613	no IRE
ENSG00000104763	no IRE
ENSG00000011243	5
ENSG00000082641	no IRE
ENSG00000139644	no IRE
ENSG00000249437	no IRE
ENSG00000276068	no IRE
ENSG00000278613	no IRE
ENSG00000198033	no IRE
ENSG00000101972	no IRE
ENSG00000160271	no IRE
ENSG00000183479	no IRE
ENSG00000173786	no IRE
ENSG00000135114	no IRE
ENSG00000137161	no IRE
ENSG00000125482	no IRE
ENSG00000118515	no IRE
ENSG00000160310	no IRE
ENSG00000197892	no IRE
ENSG00000077782	no IRE
ENSG00000107331	3
ENSG00000006611	3
ENSG00000170525	3
ENSG00000196954	no IRE
ENSG00000142945	no IRE
ENSG00000145451	5
ENSG00000169925	3
ENSG00000104880	3
ENSG00000268861	3
ENSG00000125386	3
ENSG00000068078	no IRE
ENSG00000140575	5
ENSG00000111537	no IRE
ENSG00000167995	no IRE
ENSG00000165689	3
ENSG00000155657	no IRE
ENSG00000077327	no IRE
ENSG00000079557	no IRE
ENSG00000130313	no IRE
ENSG00000110723	3
ENSG00000010704	3
ENSG00000177600	no IRE
ENSG00000176463	no IRE
ENSG00000078674	no IRE
ENSG00000151748	3
ENSG00000170776	3
ENSG00000069702	no IRE
ENSG00000100034	3
ENSG00000121281	no IRE
ENSG00000158373	no IRE
ENSG00000166833	5
ENSG00000044115	no IRE
ENSG00000058056	no IRE
ENSG00000006638	no IRE
ENSG00000073737	no IRE
ENSG00000085719	3
ENSG00000110047	no IRE
ENSG00000187109	3
ENSG00000174807	no IRE
ENSG00000071859	5
ENSG00000141458	5
ENSG00000130713	no IRE
ENSG00000167759	no IRE
ENSG00000172262	no IRE
ENSG00000113712	no IRE
ENSG00000125676	no IRE
ENSG00000104969	no IRE
ENSG00000118007	no IRE
ENSG00000170759	5
ENSG00000185650	no IRE
ENSG00000105963	no IRE
ENSG00000196329	no IRE
ENSG00000111596	no IRE
ENSG00000127603	no IRE
ENSG00000100206	3
ENSG00000188372	5
ENSG00000135643	no IRE
ENSG00000138646	no IRE
ENSG00000166326	3
ENSG00000115657	no IRE
ENSG00000072501	no IRE
ENSG00000265972	no IRE
ENSG00000167978	3
ENSG00000163939	3
ENSG00000070756	no IRE
ENSG00000214021	5
ENSG00000132952	no IRE
ENSG00000212710	no IRE
ENSG00000282841	no IRE
ENSG00000112576	5
ENSG00000100281	3
ENSG00000136940	no IRE
ENSG00000102967	5
ENSG00000067182	3
ENSG00000150593	no IRE
ENSG00000132950	5
ENSG00000183431	no IRE
ENSG00000172845	no IRE
ENSG00000003402	3
ENSG00000065883	5
ENSG00000152990	no IRE
ENSG00000105722	no IRE
ENSG00000103353	3
ENSG00000147403	no IRE
ENSG00000272886	no IRE
ENSG00000113578	no IRE
ENSG00000157110	no IRE
ENSG00000111247	3
ENSG00000168309	3
ENSG00000118495	no IRE
ENSG00000268089	no IRE
ENSG00000130208	no IRE
ENSG00000077254	no IRE
ENSG00000092969	no IRE
ENSG00000063244	no IRE
ENSG00000197971	3
ENSG00000047648	3
ENSG00000087074	no IRE
ENSG00000137203	5
ENSG00000177732	no IRE
ENSG00000124782	5
ENSG00000205189	3
ENSG00000250722	no IRE
ENSG00000182054	no IRE
ENSG00000105701	no IRE
ENSG00000103811	no IRE
ENSG00000108848	no IRE
ENSG00000114857	5
ENSG00000114316	no IRE
ENSG00000204580	5
ENSG00000223680	no IRE
ENSG00000229767	no IRE
ENSG00000137332	no IRE
ENSG00000215522	no IRE
ENSG00000234078	no IRE
ENSG00000230456	no IRE
ENSG00000162191	no IRE
ENSG00000205777	no IRE
ENSG00000105650	5
ENSG00000285188	no IRE
ENSG00000100393	no IRE
ENSG00000163602	no IRE
ENSG00000281766	no IRE
ENSG00000174669	no IRE
ENSG00000117298	no IRE
ENSG00000160712	no IRE
ENSG00000144579	3
ENSG00000105325	3
ENSG00000164949	no IRE
ENSG00000114315	no IRE
ENSG00000104859	no IRE
ENSG00000136026	no IRE
ENSG00000165240	3
ENSG00000131626	3
ENSG00000070495	no IRE
ENSG00000184678	no IRE
ENSG00000182492	no IRE
ENSG00000159692	no IRE
ENSG00000263001	5
ENSG00000105323	no IRE
ENSG00000177239	no IRE
ENSG00000019549	no IRE
ENSG00000110330	3
ENSG00000196646	no IRE
ENSG00000162032	3
ENSG00000025800	no IRE
ENSG00000145191	no IRE
ENSG00000151208	3
ENSG00000274429	no IRE
ENSG00000117020	no IRE
ENSG00000275199	no IRE
ENSG00000163050	5
ENSG00000130684	no IRE
ENSG00000162383	no IRE
ENSG00000168214	no IRE
ENSG00000121417	3
ENSG00000145555	no IRE
ENSG00000214274	no IRE
ENSG00000129219	3
ENSG00000167333	3
ENSG00000231389	no IRE
ENSG00000229685	no IRE
ENSG00000235844	no IRE
ENSG00000228163	no IRE
ENSG00000206291	no IRE
ENSG00000224103	no IRE
ENSG00000168384	no IRE
ENSG00000236177	no IRE
ENSG00000105856	no IRE
ENSG00000283847	no IRE
ENSG00000114026	no IRE
ENSG00000105967	3
ENSG00000100280	5
ENSG00000149295	no IRE
ENSG00000185340	5
ENSG00000135837	no IRE
ENSG00000111817	3
ENSG00000117543	no IRE
ENSG00000198055	no IRE
ENSG00000135899	no IRE
ENSG00000142677	no IRE
ENSG00000155660	no IRE
ENSG00000146122	no IRE
ENSG00000124920	3
ENSG00000243646	no IRE
ENSG00000133773	no IRE
ENSG00000204103	no IRE
ENSG00000162236	no IRE
ENSG00000080031	5
ENSG00000160868	3
ENSG00000071243	no IRE
ENSG00000012124	no IRE
ENSG00000100151	no IRE
ENSG00000143398	no IRE
ENSG00000135862	3
ENSG00000157551	3
ENSG00000175215	no IRE
ENSG00000101150	no IRE
ENSG00000132196	no IRE
ENSG00000122786	no IRE
ENSG00000004455	no IRE
ENSG00000129116	no IRE
ENSG00000197756	no IRE
ENSG00000078114	no IRE
ENSG00000196199	no IRE
ENSG00000077092	no IRE
ENSG00000025039	3
ENSG00000154380	no IRE
ENSG00000136935	5
ENSG00000118707	5
ENSG00000130821	no IRE
ENSG00000163870	no IRE
ENSG00000117151	3
ENSG00000242515	no IRE
ENSG00000244731	no IRE
ENSG00000206340	no IRE
ENSG00000244207	no IRE
ENSG00000227746	no IRE
ENSG00000184209	no IRE
ENSG00000177479	5
ENSG00000134201	no IRE
ENSG00000138135	no IRE
ENSG00000104881	no IRE
ENSG00000188120	no IRE
ENSG00000117228	no IRE
