seqnames,start,end,width,strand,source,type,score,phase,gene_id,gene_version,gene_name,gene_source,gene_biotype
chr4,48519,53370,4852,-,ensembl,gene,NA,NA,ENSDARG00000115971,1,CU856344.2,ensembl,protein_coding
chr4,646154,675427,29274,+,ensembl_havana,gene,NA,NA,ENSDARG00000099652,2,xpot,ensembl_havana,protein_coding
chr4,701612,734347,32736,-,havana,gene,NA,NA,ENSDARG00000103870,2,CU855889.2,havana,antisense
chr4,1301436,1360495,59060,-,ensembl_havana,gene,NA,NA,ENSDARG00000102340,2,ptn,ensembl_havana,protein_coding
chr4,2396024,2440175,44152,-,ensembl,gene,NA,NA,ENSDARG00000039724,7,OSBPL8,ensembl,protein_coding
chr4,4267451,4358940,91490,+,ensembl_havana,gene,NA,NA,ENSDARG00000101363,2,ano2,ensembl_havana,protein_coding
chr4,5392094,5494298,102205,+,havana,gene,NA,NA,ENSDARG00000045837,8,si:dkey-14d8.20,havana,protein_coding
chr4,6833583,6994283,160701,+,ensembl_havana,gene,NA,NA,ENSDARG00000024874,13,dock4b,ensembl_havana,protein_coding
chr4,7677318,7713665,36348,+,ensembl_havana,gene,NA,NA,ENSDARG00000018688,10,elk3,ensembl_havana,protein_coding
chr4,7876197,7883731,7535,+,ensembl_havana,gene,NA,NA,ENSDARG00000075025,4,cdc123,ensembl_havana,protein_coding
chr4,8045564,8155571,110008,-,ensembl_havana,gene,NA,NA,ENSDARG00000039392,11,wnk1b,ensembl_havana,protein_coding
chr4,8213063,8515824,302762,+,ensembl_havana,gene,NA,NA,ENSDARG00000076014,6,ERC1,ensembl_havana,protein_coding
chr4,8709082,8735591,26510,-,havana,gene,NA,NA,ENSDARG00000093557,4,BX842699.1,havana,lincRNA
chr4,8849816,8903240,53425,-,ensembl_havana,gene,NA,NA,ENSDARG00000088181,3,mpped1,ensembl_havana,protein_coding
chr4,8906893,9008851,101959,-,ensembl_havana,gene,NA,NA,ENSDARG00000063097,7,scube1,ensembl_havana,protein_coding
chr4,9103182,9173552,70371,-,ensembl_havana,gene,NA,NA,ENSDARG00000034375,6,chst11,ensembl_havana,protein_coding
chr4,10365857,10562174,196318,+,ensembl_havana,gene,NA,NA,ENSDARG00000032799,7,kcnd2,ensembl_havana,protein_coding
chr4,10721795,10763547,41753,+,ensembl_havana,gene,NA,NA,ENSDARG00000045748,7,stab2,ensembl_havana,protein_coding
chr4,12111154,12239160,128007,+,ensembl_havana,gene,NA,NA,ENSDARG00000006747,10,tmem178b,ensembl_havana,protein_coding
chr4,12122794,12224810,102017,-,havana,gene,NA,NA,ENSDARG00000094980,4,CR792454.1,havana,antisense
chr4,12317461,12323228,5768,-,ensembl_havana,gene,NA,NA,ENSDARG00000058244,5,il17ra1a,ensembl_havana,protein_coding
chr4,13507584,13509946,2363,-,ensembl_havana,gene,NA,NA,ENSDARG00000024211,6,ifng1,ensembl_havana,protein_coding
chr4,13733838,13756716,22879,+,ensembl_havana,gene,NA,NA,ENSDARG00000045685,8,cntn1b,ensembl_havana,protein_coding
chr4,14449233,14531687,82455,-,ensembl_havana,gene,NA,NA,ENSDARG00000003811,10,plxnb2a,ensembl_havana,protein_coding
chr4,14481835,14624481,142647,-,havana,gene,NA,NA,ENSDARG00000094799,2,plxnb2a,havana,protein_coding
chr4,15217929,15420452,202524,-,ensembl_havana,gene,NA,NA,ENSDARG00000019328,12,plxna4,ensembl_havana,protein_coding
chr4,15490215,15603588,113374,-,ensembl_havana,gene,NA,NA,ENSDARG00000032919,10,chchd3a,ensembl_havana,protein_coding
chr4,15605844,15816540,210697,+,ensembl_havana,gene,NA,NA,ENSDARG00000004336,10,exoc4,ensembl_havana,protein_coding
chr4,15889437,15966260,76824,+,ensembl_havana,gene,NA,NA,ENSDARG00000069692,6,col7a1l,ensembl_havana,protein_coding
chr4,16076719,16124419,47701,-,ensembl_havana,gene,NA,NA,ENSDARG00000012684,13,atp2b1a,ensembl_havana,protein_coding
chr4,16982249,17055950,73702,-,ensembl_havana,gene,NA,NA,ENSDARG00000011582,12,sox5,ensembl_havana,protein_coding
chr4,17424855,17538270,113416,+,ensembl_havana,gene,NA,NA,ENSDARG00000007175,12,recql,ensembl_havana,protein_coding
chr4,17647547,17680493,32947,-,ensembl,gene,NA,NA,ENSDARG00000115392,1,BX890572.2,ensembl,protein_coding
chr4,17662413,17669881,7469,-,ensembl_havana,gene,NA,NA,ENSDARG00000045561,4,dram1,ensembl_havana,protein_coding
chr4,17726841,17793152,66312,-,ensembl_havana,gene,NA,NA,ENSDARG00000045560,8,mybpc1,ensembl_havana,protein_coding
chr4,18985529,19028861,43333,-,ensembl_havana,gene,NA,NA,ENSDARG00000099812,2,si:dkey-31f5.11,ensembl_havana,protein_coding
chr4,21866851,21958295,91445,+,ensembl_havana,gene,NA,NA,ENSDARG00000032218,11,acss3,ensembl_havana,protein_coding
chr4,21962316,22207873,245558,-,ensembl_havana,gene,NA,NA,ENSDARG00000013000,11,ppfia2,ensembl_havana,protein_coding
chr4,28442262,28498065,55804,+,havana,gene,NA,NA,ENSDARG00000096034,2,si:ch73-289h5.5,havana,protein_coding
chr4,29165840,29290030,124191,+,ensembl,gene,NA,NA,ENSDARG00000104041,3,CR388132.2,ensembl,protein_coding
chr4,59841099,59884702,43604,+,ensembl_havana,gene,NA,NA,ENSDARG00000090734,5,si:dkey-16p6.1,ensembl_havana,protein_coding
chr4,60215803,60231222,15420,-,havana,gene,NA,NA,ENSDARG00000101524,3,znf1080,havana,protein_coding
chr7,778297,804515,26219,-,ensembl,gene,NA,NA,ENSDARG00000098696,3,rela,ensembl,protein_coding
chr7,1550966,1623385,72420,+,ensembl_havana,gene,NA,NA,ENSDARG00000079949,6,supt16h,ensembl_havana,protein_coding
chr7,7279903,7373059,93157,+,havana,gene,NA,NA,ENSDARG00000070100,6,si:ch211-168d1.3,havana,protein_coding
chr7,8267985,8344243,76259,-,ensembl_havana,gene,NA,NA,ENSDARG00000036893,8,f13a1b,ensembl_havana,protein_coding
chr7,12389866,12789251,399386,-,ensembl_havana,gene,NA,NA,ENSDARG00000027903,10,adamtsl3,ensembl_havana,protein_coding
chr7,12976173,12999913,23741,+,ensembl_havana,gene,NA,NA,ENSDARG00000058336,8,slc25a22b,ensembl_havana,protein_coding
chr7,13988075,14207006,218932,+,ensembl,gene,NA,NA,ENSDARG00000062909,7,furina,ensembl,protein_coding
chr7,15618127,15653635,35509,+,ensembl,gene,NA,NA,ENSDARG00000057477,7,lrrc28,ensembl,protein_coding
chr7,19153320,19168375,15056,-,ensembl_havana,gene,NA,NA,ENSDARG00000080020,6,il13ra1,ensembl_havana,protein_coding
chr7,20058857,20158380,99524,-,ensembl_havana,gene,NA,NA,ENSDARG00000056346,8,acap1,ensembl_havana,protein_coding
chr7,20536258,20574417,38160,-,havana,gene,NA,NA,ENSDARG00000104557,2,CR318653.1,havana,antisense
chr7,20673287,20758828,85542,-,ensembl,gene,NA,NA,ENSDARG00000021405,12,chd3,ensembl,protein_coding
chr7,21180747,21313684,132938,+,ensembl,gene,NA,NA,ENSDARG00000036445,10,serpinh2,ensembl,protein_coding
chr7,21785595,21838440,52846,-,havana,gene,NA,NA,ENSDARG00000102693,2,BX005336.1,havana,antisense
chr7,21787507,21806454,18948,+,ensembl_havana,gene,NA,NA,ENSDARG00000069388,6,tmem88b,ensembl_havana,protein_coding
chr7,21940857,22132265,191409,-,ensembl_havana,gene,NA,NA,ENSDARG00000077329,5,nlgn2a,ensembl_havana,protein_coding
chr7,22675475,22677211,1737,+,ensembl_havana,gene,NA,NA,ENSDARG00000088589,5,ponzr3,ensembl_havana,protein_coding
chr7,22809905,22820816,10912,+,ensembl_havana,gene,NA,NA,ENSDARG00000008188,12,sf1,ensembl_havana,protein_coding
chr7,22823889,22852189,28301,+,ensembl_havana,gene,NA,NA,ENSDARG00000013317,11,pygmb,ensembl_havana,protein_coding
chr7,23013946,23153185,139240,+,havana,gene,NA,NA,ENSDARG00000105634,2,BX957325.1,havana,lincRNA
chr7,23577723,23725799,148077,+,ensembl_havana,gene,NA,NA,ENSDARG00000074183,6,si:dkey-172j4.3,ensembl_havana,protein_coding
chr7,23940933,23965561,24629,+,ensembl_havana,gene,NA,NA,ENSDARG00000102029,3,si:dkey-183c6.7,ensembl_havana,protein_coding
chr7,25049577,25100304,50728,+,ensembl_havana,gene,NA,NA,ENSDARG00000054931,6,ppp2r5b,ensembl_havana,protein_coding
chr7,25135739,25294104,158366,+,ensembl_havana,gene,NA,NA,ENSDARG00000098874,4,exoc6b,ensembl_havana,protein_coding
chr7,26049818,26057520,7703,+,havana,gene,NA,NA,ENSDARG00000105575,2,si:dkey-6n21.12,havana,protein_coding
chr7,26326462,26365420,38959,+,havana,gene,NA,NA,ENSDARG00000056781,6,zanl,havana,protein_coding
