TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00169	PH	0.000964745313040316	-6.94364641576999	174	17	0.0218508997429306	778	18711	20399,380921,544817,233765,208177,14389,94190,545156,241639,223435,16367,226971,11652,236915,17207,26936,77300	Sh2b1,Dgkh,Arhgap27,Plekha7,Phldb2,Gab2,Ophn1,Kalrn,Fermt1,Trio,Irs1,Plekhb2,Akt2,Arhgef9,Mcf2l,Mprip,Raph1
PF17811	JHD	0.00130327623210189	-6.64287400629926	6	3	0.0038560411311054	778	18711	320595,30841,74042	Phf8,Kdm2b,Phf8-ps
PF12877	DUF3827	0.00172675145059886	-6.36151340992092	2	2	0.0025706940874036	778	18711	241589,330286	D430041D05Rik,D630045J12Rik
PF07647	SAM_2	0.00339516815617882	-5.68540198865939	36	6	0.0077120822622108	778	18711	50768,380921,19024,20866,327814,224650	Dlc1,Dgkh,Ppfibp2,Stim1,Ppfia2,Anks1
PF10523	BEN	0.00342756615423669	-5.6759048456968	8	3	0.0038560411311054	778	18711	67991,331623,320705	Nacc2,Bend3,Bend6
PF00569	ZZ	0.00361707165487388	-5.62209051562674	16	4	0.0051413881748072	778	18711	13528,74287,328572,15204	Dtnb,Kcmf1,Ep300,Herc2
PF00627	UBA	0.00389823391976277	-5.5472316694965	26	5	0.006426735218509	778	18711	16798,12402,217351,13728,279766	Lats1,Cbl,Tnrc6c,Mark2,Rhbdd3
PF13639	zf-RING_2	0.00491888264234387	-5.31467387948487	51	7	0.0089974293059126	778	18711	22036,170737,22129,93836,73469,105239,22644	Traip,Znrf1,Ttc3,Rnf111,Rnf38,Rnf44,Rnf103
PF17982	C5HCH	0.0050370121555529	-5.29094219896902	3	2	0.0025706940874036	778	18711	234135,18193	Nsd3,Nsd1
PF05395	DARPP-32	0.0050370121555529	-5.29094219896902	3	2	0.0025706940874036	778	18711	19049,58200	Ppp1r1b,Ppp1r1a
PF14513	DAG_kinase_N	0.0050370121555529	-5.29094219896902	3	2	0.0025706940874036	778	18711	110197,217480	Dgkg,Dgkb
PF01624	MutS_I	0.0050370121555529	-5.29094219896902	3	2	0.0025706940874036	778	18711	17688,17685	Msh6,Msh2
PF00069	Pkinase	0.00646514862223599	-5.04132927827762	351	25	0.032133676092545	778	18711	208583,56637,225028,320795,13548,217410,13728,20874,78334,101568,223435,27219,18481,11652,59126,545156,18555,24014,24086,69922,73914,16798,20817,17776,50883	Nek11,Gsk3b,Map4k3,Pkn1,Dyrk1a,Trib2,Mark2,Slk,Cdk19,Vrk3,Trio,Sgk2,Pak3,Akt2,Nek6,Kalrn,Cdk16,Rnasel,Tlk2,Vrk2,Irak3,Lats1,Srpk2,Mast2,Chek2
PF00609	DAGK_acc	0.00690065831888133	-4.9761384633965	10	3	0.0038560411311054	778	18711	380921,110197,217480	Dgkh,Dgkg,Dgkb
PF01585	G-patch	0.00843859091461659	-4.774939937557	20	4	0.0051413881748072	778	18711	66549,54723,74157,77286	Aggf1,Tfip11,Cmtr1,Nkrf
PF00373	FERM_M	0.00929796653553131	-4.67795955482419	44	6	0.0077120822622108	778	18711	13821,319710,241639,79264,269587,333605	Epb41l1,Frmd6,Fermt1,Krit1,Epb41,Frmpd4
PF02221	E1_DerP2_DerF2	0.00979644087241285	-4.62573613555449	4	2	0.0025706940874036	778	18711	67963,17084	Npc2,Ly86
PF17725	YBD	0.00979644087241285	-4.62573613555449	4	2	0.0025706940874036	778	18711	21677,21678	Tead2,Tead3
PF05188	MutS_II	0.00979644087241285	-4.62573613555449	4	2	0.0025706940874036	778	18711	17685,17688	Msh2,Msh6
PF11857	DUF3377	0.00979644087241285	-4.62573613555449	4	2	0.0025706940874036	778	18711	17388,17391	Mmp15,Mmp24
PF13882	Bravo_FIGEY	0.00979644087241285	-4.62573613555449	4	2	0.0025706940874036	778	18711	12661,269116	Chl1,Nfasc
PF04382	SAB	0.00979644087241285	-4.62573613555449	4	2	0.0025706940874036	778	18711	269587,13821	Epb41,Epb41l1
PF01166	TSC22	0.00979644087241285	-4.62573613555449	4	2	0.0025706940874036	778	18711	78829,21807	Tsc22d4,Tsc22d1
PF05190	MutS_IV	0.00979644087241285	-4.62573613555449	4	2	0.0025706940874036	778	18711	17685,17688	Msh2,Msh6
PF05902	4_1_CTD	0.00979644087241285	-4.62573613555449	4	2	0.0025706940874036	778	18711	13821,269587	Epb41l1,Epb41
PF01285	TEA	0.00979644087241285	-4.62573613555449	4	2	0.0025706940874036	778	18711	21678,21677	Tead3,Tead2
PF00505	HMG_box	0.0127397940869093	-4.36302479169171	47	6	0.0077120822622108	778	18711	15353,20670,269389,244579,20665,21429	Hmg20b,Sox15,Tox2,Tox3,Sox10,Ubtf
PF00105	zf-C4	0.0127397940869093	-4.36302479169171	47	6	0.0077120822622108	778	18711	11819,353187,18667,22260,19411,110784	Nr2f2,Nr1d2,Pgr,Nr1h2,Rarg,Nr3c2
PF07679	I-set	0.0147030369054371	-4.21970121432807	141	12	0.0154241645244216	778	18711	72333,330222,225638,19268,223435,20612,12661,269116,94332,26563,14184,545156	Palld,Sdk1,Alpk2,Ptprf,Trio,Siglec1,Chl1,Nfasc,Cadm3,Ror1,Fgfr3,Kalrn
PF00104	Hormone_recep	0.0154775135741472	-4.16836704554674	49	6	0.0077120822622108	778	18711	19411,110784,11819,18667,353187,22260	Rarg,Nr3c2,Nr2f2,Pgr,Nr1d2,Nr1h2
PF05192	MutS_III	0.0158791062797371	-4.14275110436044	5	2	0.0025706940874036	778	18711	17688,17685	Msh6,Msh2
PF00488	MutS_V	0.0158791062797371	-4.14275110436044	5	2	0.0025706940874036	778	18711	17688,17685	Msh6,Msh2
PF12998	ING	0.0158791062797371	-4.14275110436044	5	2	0.0025706940874036	778	18711	26356,69260	Ing1,Ing2
PF04144	SCAMP	0.0158791062797371	-4.14275110436044	5	2	0.0025706940874036	778	18711	107767,56214	Scamp1,Scamp4
PF00291	PALP	0.0158791062797371	-4.14275110436044	5	2	0.0025706940874036	778	18711	232078,12411	Thnsl2,Cbs
PF06464	DMAP_binding	0.0158791062797371	-4.14275110436044	5	2	0.0025706940874036	778	18711	13433,208440	Dnmt1,Dip2c
PF17907	AWS	0.0158791062797371	-4.14275110436044	5	2	0.0025706940874036	778	18711	18193,234135	Nsd1,Nsd3
PF01284	MARVEL	0.0162331951369905	-4.12069705071967	24	4	0.0051413881748072	778	18711	67801,72003,17153,17306	Pllp,Synpr,Mal,Sypl2
PF03826	OAR	0.0184927176536575	-3.99037826473739	14	3	0.0038560411311054	778	18711	140477,18740,18741	Dmbx1,Pitx1,Pitx2
PF00621	RhoGEF	0.020948399851714	-3.86569301492417	67	7	0.0089974293059126	778	18711	75547,545156,223435,16800,17207,110279,236915	Akap13,Kalrn,Trio,Arhgef2,Mcf2l,Bcr,Arhgef9
PF00781	DAGK_cat	0.0224148583920564	-3.79803121894738	15	3	0.0038560411311054	778	18711	380921,110197,217480	Dgkh,Dgkg,Dgkb
PF02351	GDNF	0.0231670213041821	-3.76502550710248	6	2	0.0025706940874036	778	18711	14585,14587	Gfra1,Gfra3
PF13906	AA_permease_C	0.0231670213041821	-3.76502550710248	6	2	0.0025706940874036	778	18711	11988,11987	Slc7a2,Slc7a1
PF03803	Scramblase	0.0231670213041821	-3.76502550710248	6	2	0.0025706940874036	778	18711	22038,235527	Plscr1,Plscr4
PF00685	Sulfotransfer_1	0.0242310220342785	-3.72012156451177	40	5	0.006426735218509	778	18711	319415,53374,29859,195646,15476	Hs3st5,Chst3,Sult4a1,Hs3st2,Hs3st1
PF00041	fn3	0.0253209672849969	-3.67612248002681	135	11	0.0141388174807198	778	18711	330222,78911,12931,21960,19268,12661,16161,12986,269116,333564,545156	Sdk1,Trim42,Crlf1,Tnr,Ptprf,Chl1,Il12rb1,Csf3r,Nfasc,Fndc3c1,Kalrn
PF03798	TRAM_LAG1_CLN8	0.0267528091771143	-3.62111579518702	16	3	0.0038560411311054	778	18711	68385,93898,99887	Tlcd1,Cers1,Tmem56
PF00010	HLH	0.0291930551596696	-3.53382443499322	104	9	0.0115681233933162	778	18711	12753,16918,83383,234219,11865,15111,11622,100039596,21425	Clock,Mycl,Tfap4,Helt,Arntl,Hand2,Ahr,Tcf24,Tfeb
PF17838	PH_16	0.0315497015575123	-3.4561911493895	7	2	0.0025706940874036	778	18711	16800,75547	Arhgef2,Akap13
PF10409	PTEN_C2	0.0315497015575123	-3.4561911493895	7	2	0.0025706940874036	778	18711	21961,19211	Tns1,Pten
PF05649	Peptidase_M13_N	0.0315497015575123	-3.4561911493895	7	2	0.0025706940874036	778	18711	107522,27390	Ece2,Mmel1
PF01431	Peptidase_M13	0.0315497015575123	-3.4561911493895	7	2	0.0025706940874036	778	18711	107522,27390	Ece2,Mmel1
PF01151	ELO	0.0315497015575123	-3.4561911493895	7	2	0.0025706940874036	778	18711	54326,74559	Elovl2,Elovl7
PF00989	PAS	0.0366674268141978	-3.30586647077642	18	3	0.0038560411311054	778	18711	11865,11622,12753	Arntl,Ahr,Clock
PF00792	PI3K_C2	0.0409237466937553	-3.19604478065923	8	2	0.0025706940874036	778	18711	240752,18705	Pik3c2b,Pik3c2g
PF01436	NHL	0.0409237466937553	-3.19604478065923	8	2	0.0025706940874036	778	18711	636931,66866	Trim71,Nhlrc2
PF15715	PAF	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	68026	Pclaf
PF01990	ATP-synt_F	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	66144	Atp6v1f
PF01928	CYTH	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	105663	Thtpa
PF07904	Eaf7	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	73247	Mrgbp
PF07093	SGT1	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	70601	Ecd
PF12215	Glyco_hydr_116N	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	230101	Gba2
PF13000	Acatn	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	11416	Slc33a1
PF08613	Cyclin	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	69171	Cnppd1
PF09103	BRCA-2_OB1	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	12190	Brca2
PF11095	Gemin7	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	69731	Gemin7
PF07998	Peptidase_M54	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	13929	Amz2
PF07555	NAGidase	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	76055	Oga
PF12631	MnmE_helical	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	70359	Gtpbp3
PF09169	BRCA-2_helical	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	12190	Brca2
PF14887	HMG_box_5	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	21429	Ubtf
PF15996	PNISR	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	66625	Pnisr
PF12489	ARA70	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	27057	Ncoa4
PF11470	TUG-UBL1	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	68938	Aspscr1
PF10384	Scm3	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	381280	Hjurp
PF15690	NRIP1_repr_4	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	268903	Nrip1
PF06246	Isy1	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	57905	Isy1
PF16979	SIN1_PH	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	227743	Mapkap1
PF07741	BRF1	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	72308	Brf1
PF05422	SIN1	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	227743	Mapkap1
PF02284	COX5A	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	12858	Cox5a
PF05669	Med31	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	67279	Med31
PF07304	SRA1	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	24068	Sra1
PF02823	ATP-synt_DE_N	0.0415798193575007	-3.18014034101816	1	1	0.0012853470437018	778	18711	66043	Atp5d
