Id	ire
TTGCWCAAY_CEBPB_02	 
TGANTCA_AP1_C	 
YRTCANNRCGC_UNKNOWN	 
TGGAAA_NFAT_Q4_01	 
KEGG_GLIOMA	 
PID_BETA_CATENIN_NUC_PATHWAY	 
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	 
WTGAAAT_UNKNOWN	 
GO_INTRACELLULAR_SIGNAL_TRANSDUCTION	 
CTACTAG_MIR325	 
TGGNNNNNNKCCAR_UNKNOWN	 
GO_POSTSYNAPTIC_MEMBRANE	 
GO_SYNAPTIC_MEMBRANE	 
GO_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	 
TNCATNTCCYR_UNKNOWN	 
Predicted 3' IRE genes	3
Predicted 5' IRE genes	5
HALLMARK_HEME_METABOLISM	 
ENSDARG00000009418	5
ENSDARG00000029764	no IRE
ENSDARG00000077842	no IRE
ENSDARG00000040184	no IRE
ENSDARG00000026723	no IRE
ENSDARG00000033498	no IRE
ENSDARG00000071168	no IRE
ENSDARG00000069356	no IRE
ENSDARG00000075899	no IRE
ENSDARG00000111712	no IRE
ENSDARG00000090624	no IRE
ENSDARG00000055543	no IRE
ENSDARG00000104279	no IRE
ENSDARG00000005416	no IRE
ENSDARG00000077948	5
ENSDARG00000077749	no IRE
ENSDARG00000051783	no IRE
ENSDARG00000087517	no IRE
ENSDARG00000014181	no IRE
ENSDARG00000004843	3
ENSDARG00000029556	no IRE
ENSDARG00000101947	no IRE
ENSDARG00000015901	no IRE
ENSDARG00000099455	no IRE
ENSDARG00000105243	no IRE
ENSDARG00000077839	no IRE
ENSDARG00000036868	no IRE
ENSDARG00000017661	no IRE
ENSDARG00000027915	no IRE
ENSDARG00000055022	no IRE
ENSDARG00000104361	no IRE
ENSDARG00000104243	no IRE
ENSDARG00000006640	5
ENSDARG00000061896	no IRE
ENSDARG00000042387	no IRE
ENSDARG00000061656	no IRE
ENSDARG00000058873	no IRE
ENSDARG00000068983	no IRE
ENSDARG00000086490	no IRE
ENSDARG00000015176	no IRE
ENSDARG00000020758	no IRE
ENSDARG00000001975	no IRE
ENSDARG00000009899	no IRE
ENSDARG00000002071	no IRE
ENSDARG00000068934	no IRE
ENSDARG00000076928	no IRE
ENSDARG00000058011	no IRE
ENSDARG00000101523	no IRE
ENSDARG00000036870	no IRE
ENSDARG00000003616	no IRE
ENSDARG00000039806	no IRE
ENSDARG00000003952	3
ENSDARG00000012682	no IRE
ENSDARG00000038154	no IRE
ENSDARG00000067913	no IRE
ENSDARG00000100519	no IRE
ENSDARG00000057660	no IRE
ENSDARG00000025220	no IRE
ENSDARG00000059558	no IRE
ENSDARG00000079725	no IRE
ENSDARG00000032838	3
ENSDARG00000043141	3
ENSDARG00000025504	3
ENSDARG00000018329	no IRE
ENSDARG00000026820	no IRE
ENSDARG00000100847	no IRE
ENSDARG00000005315	no IRE
ENSDARG00000042892	3
ENSDARG00000078512	3
ENSDARG00000113739	no IRE
ENSDARG00000004861	no IRE
ENSDARG00000079625	no IRE
ENSDARG00000074443	no IRE
ENSDARG00000116210	no IRE
ENSDARG00000014463	no IRE
ENSDARG00000041689	no IRE
ENSDARG00000014091	no IRE
ENSDARG00000040657	no IRE
ENSDARG00000079705	no IRE
ENSDARG00000035132	3
ENSDARG00000094605	no IRE
ENSDARG00000099746	no IRE
ENSDARG00000057867	no IRE
ENSDARG00000052512	no IRE
ENSDARG00000070037	no IRE
ENSDARG00000045156	no IRE
ENSDARG00000037925	no IRE
ENSDARG00000041586	no IRE
ENSDARG00000038500	no IRE
ENSDARG00000003411	no IRE
ENSDARG00000010571	no IRE
ENSDARG00000037960	no IRE
ENSDARG00000012002	no IRE
ENSDARG00000006487	no IRE
ENSDARG00000089042	no IRE
ENSDARG00000053650	no IRE
ENSDARG00000025071	no IRE
ENSDARG00000055999	no IRE
ENSDARG00000105018	no IRE
ENSDARG00000011683	no IRE
ENSDARG00000014866	no IRE
ENSDARG00000074528	no IRE
ENSDARG00000094648	no IRE
ENSDARG00000078853	no IRE
ENSDARG00000074293	no IRE
ENSDARG00000062002	no IRE
ENSDARG00000058876	no IRE
ENSDARG00000116438	no IRE
ENSDARG00000002235	no IRE
ENSDARG00000008388	no IRE
ENSDARG00000104864	no IRE
ENSDARG00000016010	no IRE
ENSDARG00000039196	no IRE
ENSDARG00000019117	no IRE
ENSDARG00000038005	no IRE
ENSDARG00000044895	no IRE
ENSDARG00000010294	no IRE
ENSDARG00000063007	no IRE
ENSDARG00000077361	no IRE
ENSDARG00000060549	no IRE
ENSDARG00000012949	no IRE
ENSDARG00000002971	no IRE
ENSDARG00000061020	3
ENSDARG00000045804	no IRE
ENSDARG00000025797	no IRE
ENSDARG00000018574	no IRE
ENSDARG00000102762	no IRE
ENSDARG00000099448	no IRE
ENSDARG00000056138	no IRE
ENSDARG00000109783	no IRE
ENSDARG00000092134	no IRE
ENSDARG00000098135	no IRE
ENSDARG00000062960	no IRE
ENSDARG00000103114	no IRE
ENSDARG00000087907	5
ENSDARG00000102252	no IRE
ENSDARG00000021032	no IRE
ENSDARG00000009837	no IRE
ENSDARG00000075509	no IRE
ENSDARG00000074303	no IRE
ENSDARG00000060482	no IRE
ENSDARG00000061600	no IRE
ENSDARG00000042236	no IRE
ENSDARG00000038225	3
ENSDARG00000040237	no IRE
ENSDARG00000044688	no IRE
ENSDARG00000029146	no IRE
ENSDARG00000097827	3
ENSDARG00000100515	no IRE
ENSDARG00000102023	no IRE
ENSDARG00000045150	no IRE
ENSDARG00000069989	3
ENSDARG00000038608	no IRE
ENSDARG00000052468	no IRE
ENSDARG00000017803	no IRE
ENSDARG00000053389	no IRE
ENSDARG00000015807	3
ENSDARG00000069432	no IRE
ENSDARG00000091614	no IRE
ENSDARG00000079075	no IRE
ENSDARG00000077468	no IRE
ENSDARG00000091266	no IRE
ENSDARG00000058638	no IRE
ENSDARG00000093078	no IRE
ENSDARG00000102460	no IRE
ENSDARG00000100828	no IRE
ENSDARG00000001313	no IRE
ENSDARG00000062765	no IRE
ENSDARG00000100143	no IRE
ENSDARG00000070074	no IRE
ENSDARG00000008485	no IRE
ENSDARG00000101413	no IRE
ENSDARG00000006921	3
ENSDARG00000073765	no IRE
ENSDARG00000037924	no IRE
ENSDARG00000059048	no IRE
ENSDARG00000113771	5
ENSDARG00000077715	5
ENSDARG00000042703	no IRE
ENSDARG00000017107	no IRE
ENSDARG00000027087	no IRE
ENSDARG00000099339	no IRE
ENSDARG00000009525	no IRE
ENSDARG00000093931	no IRE
ENSDARG00000027159	no IRE
ENSDARG00000017084	no IRE
ENSDARG00000036548	no IRE
ENSDARG00000013346	no IRE
ENSDARG00000089893	no IRE
ENSDARG00000055525	no IRE
ENSDARG00000037433	3
ENSDARG00000003169	no IRE
ENSDARG00000070145	no IRE
ENSDARG00000015946	no IRE
ENSDARG00000071868	no IRE
ENSDARG00000062790	no IRE
ENSDARG00000070461	no IRE
ENSDARG00000096594	no IRE
ENSDARG00000037278	no IRE
ENSDARG00000039215	no IRE
ENSDARG00000011545	no IRE
ENSDARG00000061832	no IRE
ENSDARG00000012776	no IRE
ENSDARG00000060578	no IRE
