TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00225	BTB	0.000248593160171943	-8.29969289265336	175	48	0.0301507537688442	1592	9480	3749,114781,23099,3746,728116,115207,64410,65986,54442,3745,9880,11275,3787,54793,166348,65987,360023,55643,89857,10773,3090,83892,53339,57528,26137,22836,3788,79842,3750,23510,653121,22903,143879,51479,55213,253980,79047,100128927,3104,59349,23119,54800,138151,255877,56062,8216,9903,7597	KCNC4,BTBD9,ZBTB43,KCNC1,ZBTB8B,KCTD12,KLHL25,ZBTB10,KCTD5,KCNB1,ZBTB39,KLHL2,KCNS1,KCTD9,KBTBD12,KCTD14,ZBTB41,BTBD2,KLHL6,ZBTB6,HIC1,KCTD10,BTBD1,KCTD16,ZBTB20,RHOBTB3,KCNS2,ZBTB3,KCND1,KCTD2,ZBTB8A,BTBD3,KBTBD3,ANKFY1,RCBTB1,KCTD13,KCTD15,ZBTB42,ZBTB48,KLHL12,HIC2,KLHL24,NACC2,BCL6B,KLHL4,LZTR1,KLHL21,ZBTB25
SM00109	C1	0.000368586217968069	-7.90583590363901	63	22	0.0138190954773869	1592	9480	23025,283455,54849,5584,9475,25780,5582,83593,4650,8476,118987,5578,23526,1608,1607,5579,23371,8526,6093,673,160851,8527	UNC13A,KSR2,DEF8,PRKCI,ROCK2,RASGRP3,PRKCG,RASSF5,MYO9B,CDC42BPA,PDZD8,PRKCA,ARHGAP45,DGKG,DGKB,PRKCB,TNS2,DGKE,ROCK1,BRAF,DGKH,DGKD
SM01163	DUF1785	0.00343266256457021	-5.67441906104443	5	4	0.00251256281407035	1592	9480	192670,27161,26523,192669	AGO4,AGO2,AGO1,AGO3
SM00594	UAS	0.00472849356572889	-5.35414861225217	3	3	0.00188442211055276	1592	9480	11124,26043,23197	FAF1,UBXN7,FAF2
SM00246	WH2	0.00476707413369733	-5.34602255144397	11	6	0.00376884422110553	1592	9480	644150,7456,10810,147179,25802,10163	WIPF3,WIPF1,WASF3,WIPF2,LMOD1,WASF2
SM00523	DWA	0.00819083768967859	-4.80473910433557	12	6	0.00376884422110553	1592	9480	4089,4782,4088,4091,4784,4087	SMAD4,NFIC,SMAD3,SMAD6,NFIX,SMAD2
SM00454	SAM	0.0112927918605567	-4.48359064524755	85	23	0.0144472361809045	1592	9480	23254,2049,23034,25939,26013,8500,8626,84456,11196,203286,23098,116985,22941,51776,80012,2044,160851,401474,8527,201191,8658,2043,57713	KAZN,EPHB3,SAMD4A,SAMHD1,L3MBTL1,PPFIA1,TP63,L3MBTL3,SEC23IP,ANKS6,SARM1,ARAP1,SHANK2,MAP3K20,PHC3,EPHA5,DGKH,SAMD12,DGKD,SAMD14,TNKS,EPHA4,SFMBT2
SM00332	PP2Cc	0.011689459022033	-4.44906778155503	20	8	0.0050251256281407	1592	9480	152926,5494,10454,23035,147699,9647,132160,22843	PPM1K,PPM1A,TAB1,PHLPP2,PPM1N,PPM1F,PPM1M,PPM1E
SM00133	S_TK_X	0.0120025752711784	-4.42263404628716	49	15	0.00942211055276382	1592	9480	5578,27330,6093,8476,6195,5579,5567,5582,5613,9475,23012,9252,5584,5592,157	PRKCA,RPS6KA6,ROCK1,CDC42BPA,RPS6KA1,PRKCB,PRKACB,PRKCG,PRKX,ROCK2,STK38L,RPS6KA5,PRKCI,PRKG1,GRK3
SM00045	DAGKa	0.0159097505766709	-4.14082311389732	10	5	0.00314070351758794	1592	9480	160851,8527,8526,1607,1608	DGKH,DGKD,DGKE,DGKB,DGKG
SM01249	KASH	0.0165355075722108	-4.10224523618186	4	3	0.00188442211055276	1592	9480	23224,161176,23345	SYNE2,SYNE3,SYNE1
SM00320	WD40	0.0174074622582927	-4.05085629927902	265	58	0.0364321608040201	1592	9480	9184,57539,121441,89849,3993,23001,54806,57175,89891,10238,2782,23046,115825,55234,10885,284434,254065,57521,79819,9515,29062,8439,1477,22898,1762,149465,5928,79269,54584,7011,987,10517,80344,59345,26100,284403,54014,161436,1130,80335,57599,55135,9948,256364,10607,56995,84321,114987,10681,55062,54461,51343,9742,84942,146845,26094,55250,49856	BUB3,WDR35,NEDD1,ATG16L2,LLGL2,WDFY3,AHI1,CORO1B,WDR34,DCAF7,GNB1,KIF21B,WDFY2,SMU1,WDR3,NWD1,BRWD3,RPTOR,WDR78,STXBP5L,WDR91,NSMAF,CSTF1,DENND3,DMWD,CFAP57,RBBP4,DCAF10,GNB1L,TEP1,LRBA,FBXW10,DCAF11,GNB4,WIPI2,WDR62,BRWD1,EML5,LYST,WDR82,WDR48,WRAP53,WDR1,EML3,TBL3,TULP4,THOC3,WDR31,GNB5,WIPI1,FBXW5,FZR1,IFT140,WDR73,CFAP52,DCAF4,ELP2,WRAP73
SM00249	PHD	0.019565683873282	-3.93397807001896	89	23	0.0144472361809045	1592	9480	80853,51317,7994,54904,79960,23522,29128,6672,5927,7468,22992,8805,23469,257218,148479,4302,3621,9767,7862,9678,57661,23030,23338	KDM7A,PHF21A,KAT6A,NSD3,JADE1,KAT6B,UHRF1,SP100,KDM5A,NSD2,KDM2A,TRIM24,PHF3,SHPRH,PHF13,MLLT6,ING1,JADE3,BRPF1,PHF14,PHRF1,KDM4B,JADE2
SM00046	DAGKc	0.0196867562519113	-3.92780914079058	14	6	0.00376884422110553	1592	9480	1608,8526,1607,160851,8527,55750	DGKG,DGKE,DGKB,DGKH,DGKD,AGK
SM00512	Skp1	0.0281865798836044	-3.56890930496229	2	2	0.00125628140703518	1592	9480	6500,6921	SKP1,ELOC
SM00555	GIT	0.0281865798836044	-3.56890930496229	2	2	0.00125628140703518	1592	9480	9815,28964	GIT2,GIT1
SM01352	APCDDC	0.0281865798836044	-3.56890930496229	2	2	0.00125628140703518	1592	9480	147495,164284	APCDD1,APCDD1L
SM00951	QLQ	0.0281865798836044	-3.56890930496229	2	2	0.00125628140703518	1592	9480	6595,6597	SMARCA2,SMARCA4
SM01237	ICA69	0.0281865798836044	-3.56890930496229	2	2	0.00125628140703518	1592	9480	3382,130026	ICA1,ICA1L
SM01010	AMPKBI	0.0281865798836044	-3.56890930496229	2	2	0.00125628140703518	1592	9480	5565,5564	PRKAB2,PRKAB1
SM01314	SnAC	0.0281865798836044	-3.56890930496229	2	2	0.00125628140703518	1592	9480	6595,6597	SMARCA2,SMARCA4
SM00902	Fe_hyd_SSU	0.0281865798836044	-3.56890930496229	2	2	0.00125628140703518	1592	9480	26502,64428	NARF,NARFL
SM01104	CTD	0.0281865798836044	-3.56890930496229	2	2	0.00125628140703518	1592	9480	23524,6829	SRRM2,SUPT5H
SM00240	FHA	0.0285547872872868	-3.55593067612132	23	8	0.0050251256281407	1592	9480	4683,547,3607,23095,221937,55743,11200,57519	NBN,KIF1A,FOXK2,KIF1B,FOXK1,CHFR,CHEK2,STARD9
SM00239	C2	0.0292554506107305	-3.53168937699847	122	29	0.01821608040201	1592	9480	90342,55784,5330,11060,8895,54843,57520,51196,6861,83851,113026,57699,5579,23322,9783,255928,9699,5582,8681,9462,29,23025,50618,127833,5578,5334,140730,9651,255189	FER1L5,MCTP2,PLCB2,WWP2,CPNE3,SYTL2,HECW2,PLCE1,SYT5,SYT16,PLCD3,CPNE5,PRKCB,RPGRIP1L,RIMS3,SYT14,RIMS2,PRKCG,JMJD7-PLA2G4B,RASAL2,ABR,UNC13A,ITSN2,SYT2,PRKCA,PLCL1,RIMS4,PLCH2,PLA2G4F
