TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr4|4 C1	mouse chr4|4 C1	0.00197848462820458	-6.22542406658794	7	2	0.00836820083682008	239	24173	56079,66290	Astn2,Atp6v1g1
mouse chr10|10 A1	mouse chr10|10 A1	0.00670988211100979	-5.00417389730195	39	3	0.0125523012552301	239	24173	13853,237256,68652	Epm2a,Zc3h12d,Tab2
mouse chr1 H4|1 84.44 cM	mouse chr1 H4|1 84.44 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	11545	Parp1
mouse chr9 E1|9 43.98 cM	mouse chr9 E1|9 43.98 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	17920	Myo6
mouse chrX A7.3|X 37.49 cM	mouse chrX A7.3|X 37.49 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	19703	Renbp
mouse chr13 D1|13 52.92 cM	mouse chr13 D1|13 52.92 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	544971	Bdp1
mouse chr9 F1|9 58.24 cM	mouse chr9 F1|9 58.24 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	15983	Ifrd2
mouse chr1 H2.3|1 75.95 cM	mouse chr1 H2.3|1 75.95 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	18514	Pbx1
mouse chr2|2 A1-A2	mouse chr2|2 A1-A2	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	20844	Stam
mouse chr7 F5|7 88.27 cM	mouse chr7 F5|7 88.27 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	79202	Tnfrsf22
mouse chr9 A4|9 17.65 cM	mouse chr9 A4|9 17.65 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	16521	Kcnj5
mouse chr11 E1|11 67.54 cM	mouse chr11 E1|11 67.54 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	18195	Nsf
mouse chr13 A3.3|13 18.35 cM	mouse chr13 A3.3|13 18.35 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	17828	Bloc1s5
mouse chr7 C|7 35.36 cM	mouse chr7 C|7 35.36 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	18553	Pcsk6
mouse chr9 A5.1|9 23.63 cM	mouse chr9 A5.1|9 23.63 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	21683	Tecta
mouse chr17 B1|17 17.09 cM	mouse chr17 B1|17 17.09 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	12954	Cryaa
mouse chr11 D|11 62.91 cM	mouse chr11 D|11 62.91 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	21973	Top2a
mouse chr3 D|3 28.15 cM	mouse chr3 D|3 28.15 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	18645	Pfn2
mouse chr10 D2|10 59.97 cM	mouse chr10 D2|10 59.97 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	52705	Krr1
mouse chr4 C6|4 47.79 cM	mouse chr4 C6|4 47.79 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	13131	Dab1
mouse chr11 E1|11 70.8 cM	mouse chr11 E1|11 70.8 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	18750	Prkca
mouse chr1 G3|1 66.49 cM	mouse chr1 G3|1 66.49 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	19775	Xpr1
mouse chr16|16 B3-B4	mouse chr16|16 B3-B4	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	12856	Cox17
mouse chr9 A4|9 20.79 cM	mouse chr9 A4|9 20.79 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	22619	Siae
mouse chr14 E5|14 65.28 cM	mouse chr14 E5|14 65.28 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	105445	Dock9
mouse chr5 G1.3|5 68.18 cM	mouse chr5 G1.3|5 68.18 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	23948	Mmp17
mouse chr5 B2|5 18.01 cM	mouse chr5 B2|5 18.01 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	16976	Lrpap1
mouse chr5 F|5 61.84 cM	mouse chr5 F|5 61.84 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	280668	Adam1a
mouse chr1 G3|1 65.41 cM	mouse chr1 G3|1 65.41 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	67792	Rgs8
mouse chr4 A1|4 5.11 cM	mouse chr4 A1|4 5.11 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	100503583	Fsbp
mouse chr12 A1.1|12 2.02 cM	mouse chr12 A1.1|12 2.02 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	52504	Cenpo
mouse chr13 A5|13 27.41 cM	mouse chr13 A5|13 27.41 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	20963	Syk
mouse chr16 B3|16 23.06 cM	mouse chr16 B3|16 23.06 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	22042	Tfrc
mouse chr1 B|1 12.81 cM	mouse chr1 B|1 12.81 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	98403	Zfp451
mouse chr7 F5|7 88.28 cM	mouse chr7 F5|7 88.28 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	79201	Tnfrsf23
mouse chr1 E4|1 59.8 cM	mouse chr1 E4|1 59.8 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	381293	Kif14
mouse chr16 C4|16 53.7 cM	mouse chr16 C4|16 53.7 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	12394	Runx1
mouse chr4 A5|4 14.68 cM	mouse chr4 A5|4 14.68 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	14408	Gabrr1
mouse chr6 D1|6 37.62 cM	mouse chr6 D1|6 37.62 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	21802	Tgfa
mouse chr9 F4|9 73.14 cM	mouse chr9 F4|9 73.14 cM	0.00988706407978538	-4.61652803487186	1	1	0.00418410041841004	239	24173	382117	Tcaim
mouse chr11|11 B5	mouse chr11|11 B5	0.0147246433514212	-4.21823277035437	95	4	0.0167364016736402	239	24173	380711,16859,216974,237847	Rap1gap2,Lgals9,Proca1,Rtn4rl1
mouse chr3|3 H4	mouse chr3|3 H4	0.0164500258692563	-4.10742822917283	20	2	0.00836820083682008	239	24173	68151,75540	Wls,Fpgt
mouse chr3|3	mouse chr3|3	0.0187339095632024	-3.97742005162212	831	15	0.0627615062761506	239	24173	55994,23897,68151,67120,72607,72162,66471,72023,56376,14867,319190,212114,229780,241943,75540	Smad9,Hax1,Wls,Ttc14,Usp13,Dhx36,Anp32e,Cyb561d1,Pdlim5,Gstm6,Hist2h2be,Nhlrc3,Trmt13,Ccdc144b,Fpgt
mouse chr13|13 B1	mouse chr13|13 B1	0.0188738383085334	-3.96997853230888	57	3	0.0125523012552301	239	24173	105239,100503085,75050	Rnf44,Klhl3,Kif27
mouse chr13 D2.2|13 64.61 cM	mouse chr13 D2.2|13 64.61 cM	0.019676779109627	-3.92831606388101	2	1	0.00418410041841004	239	24173	109700	Itga1
mouse chrX|X E2	mouse chrX|X E2	0.019676779109627	-3.92831606388101	2	1	0.00418410041841004	239	24173	245578	Pcdh11x
mouse chr11 B3|11 42.96 cM	mouse chr11 B3|11 42.96 cM	0.019676779109627	-3.92831606388101	2	1	0.00418410041841004	239	24173	13543	Dvl2
mouse chr9 A3|9 7.55 cM	mouse chr9 A3|9 7.55 cM	0.019676779109627	-3.92831606388101	2	1	0.00418410041841004	239	24173	22688	Zfp26
mouse chr11 A3.1|11 12.92 cM	mouse chr11 A3.1|11 12.92 cM	0.019676779109627	-3.92831606388101	2	1	0.00418410041841004	239	24173	19324	Rab1a
mouse chr6|6 F3	mouse chr6|6 F3	0.0225601945620664	-3.7915682281844	61	3	0.0125523012552301	239	24173	320407,381812,101142	Klri2,Cracr2a,Itfg2
mouse chr16|16 A1	mouse chr16|16 A1	0.0255635046265537	-3.6665895451571	64	3	0.0125523012552301	239	24173	17250,67203,74108	Abcc1,Nde1,Parn
mouse chr7 F3|7 69.01 cM	mouse chr7 F3|7 69.01 cM	0.0293700996089704	-3.52777814225641	3	1	0.00418410041841004	239	24173	233863	Gtf3c1
