TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00695	DUSP	0.00287085100622065	-5.85314677531642	2	2	0.00533333333333333	375	6990	406508,393962	usp33,usp20
SM00563	PlsC	0.00395790762311905	-5.53203977135683	13	4	0.0106666666666667	375	6990	436958,406734,777624,406554	gpat3,agpat3,agpat2,lclat1
SM00219	TyrKc	0.00434073908175734	-5.43971065003264	60	9	0.024	375	6990	566739,568668,562195,30705,373872,30298,58129,30280,405769	fes,ntrk3a,epha7,fgfr1a,fyna,jak2b,fgfr3,jak1,syk
SM00149	PLCYc	0.00455967654383871	-5.39050359134044	7	3	0.008	375	6990	100001532,561747,569040	plcb3,plcg2,plcd3a
SM00326	SH3	0.00680662407765181	-4.98985901188945	151	16	0.0426666666666667	375	6990	562018,568138,368504,497648,654774,368424,553811,393609,561747,558917,406308,394134,553493,393651,378966,373872	sh3pxd2aa,tp53bp2b,itsn1,dlg1l,dock4b,snx9a,sh3d19,myo1eb,plcg2,snx9b,grb2b,mpp6b,arhgef7a,grap2b,ncf1,fyna
SM00726	UIM	0.00700731033380718	-4.96080134146256	8	3	0.008	375	6990	406790,393489,768201	usp25,zfand2a,usp37
SM00274	FOLN	0.0100969425979692	-4.59552261403413	9	3	0.008	375	6990	567331,324309,325423	sparcl1,fstl1b,fstl1a
SM00148	PLCXc	0.0138576485284147	-4.27891795845861	10	3	0.008	375	6990	561747,100001532,569040	plcg2,plcb3,plcd3a
SM00222	Sec7	0.0160236776927	-4.13368779485611	4	2	0.00533333333333333	375	6990	678549,325586	fbxo8,cyth1b
SM00239	C2	0.0169909577121068	-4.07507397572236	62	8	0.0213333333333333	375	6990	563633,100001532,406769,368504,569040,561747,560924,335357	smurf2,plcb3,syt11a,itsn1,plcd3a,plcg2,dysf,syt4
