Id	ire
AACTTT_UNKNOWN	 
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	 
GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	 
GO_NEUROGENESIS	 
PILON_KLF1_TARGETS_DN	 
PEREZ_TP53_TARGETS	 
GO_RIBONUCLEOTIDE_BINDING	 
GO_NEURON_PART	 
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	 
GO_SYNAPSE	 
GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	 
GO_DRUG_BINDING	 
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	 
GO_ADENYL_NUCLEOTIDE_BINDING	 
GEORGES_TARGETS_OF_MIR192_AND_MIR215	 
Predicted 3' IRE genes	3
Predicted 5' IRE genes	5
HALLMARK_HEME_METABOLISM	 
ENSMUSG00000005583	no IRE
ENSMUSG00000022178	no IRE
ENSMUSG00000079033	no IRE
ENSMUSG00000028995	no IRE
ENSMUSG00000034021	no IRE
ENSMUSG00000082361	no IRE
ENSMUSG00000036192	3
ENSMUSG00000032238	3
ENSMUSG00000013076	3
ENSMUSG00000028184	no IRE
ENSMUSG00000022892	no IRE
ENSMUSG00000020935	no IRE
ENSMUSG00000014426	no IRE
ENSMUSG00000062098	no IRE
ENSMUSG00000036743	no IRE
ENSMUSG00000028134	3
ENSMUSG00000026109	no IRE
ENSMUSG00000028347	no IRE
ENSMUSG00000046079	no IRE
ENSMUSG00000037669	no IRE
ENSMUSG00000006335	no IRE
ENSMUSG00000024219	3
ENSMUSG00000032495	3
ENSMUSG00000029202	no IRE
ENSMUSG00000034384	no IRE
ENSMUSG00000032352	no IRE
ENSMUSG00000032446	3
ENSMUSG00000032965	no IRE
ENSMUSG00000028214	no IRE
ENSMUSG00000001552	3
ENSMUSG00000052684	no IRE
ENSMUSG00000035305	5
ENSMUSG00000020648	no IRE
ENSMUSG00000064329	no IRE
ENSMUSG00000043102	no IRE
ENSMUSG00000027195	3
ENSMUSG00000022106	5
ENSMUSG00000020882	no IRE
ENSMUSG00000039384	no IRE
ENSMUSG00000021025	no IRE
ENSMUSG00000057914	no IRE
ENSMUSG00000003352	5
ENSMUSG00000043467	no IRE
ENSMUSG00000018293	no IRE
ENSMUSG00000051579	no IRE
ENSMUSG00000021241	no IRE
ENSMUSG00000027805	3
ENSMUSG00000021975	no IRE
ENSMUSG00000017478	no IRE
ENSMUSG00000029304	no IRE
ENSMUSG00000037705	3
ENSMUSG00000023845	no IRE
ENSMUSG00000025451	no IRE
ENSMUSG00000026610	no IRE
ENSMUSG00000057000	no IRE
ENSMUSG00000062949	no IRE
ENSMUSG00000010097	3
ENSMUSG00000042638	no IRE
ENSMUSG00000025512	no IRE
ENSMUSG00000048387	no IRE
ENSMUSG00000033389	3
ENSMUSG00000038366	no IRE
ENSMUSG00000059810	no IRE
ENSMUSG00000018425	no IRE
ENSMUSG00000037025	3
ENSMUSG00000043461	no IRE
ENSMUSG00000027612	3
ENSMUSG00000027684	no IRE
ENSMUSG00000076435	no IRE
ENSMUSG00000029640	no IRE
ENSMUSG00000032249	no IRE
ENSMUSG00000008193	no IRE
ENSMUSG00000059246	no IRE
ENSMUSG00000018900	no IRE
ENSMUSG00000063652	3
ENSMUSG00000056900	3
ENSMUSG00000055737	no IRE
ENSMUSG00000063663	no IRE
ENSMUSG00000029486	3
ENSMUSG00000051149	5
ENSMUSG00000032875	3
ENSMUSG00000066189	no IRE
ENSMUSG00000028226	no IRE
ENSMUSG00000037279	no IRE
ENSMUSG00000019146	3
ENSMUSG00000050578	no IRE
ENSMUSG00000017670	no IRE
ENSMUSG00000041112	no IRE
ENSMUSG00000041977	no IRE
ENSMUSG00000026748	no IRE
ENSMUSG00000022867	no IRE
ENSMUSG00000038067	5
ENSMUSG00000040481	no IRE
ENSMUSG00000040997	no IRE
ENSMUSG00000024579	no IRE
ENSMUSG00000073758	no IRE
ENSMUSG00000025006	no IRE
ENSMUSG00000049047	no IRE
ENSMUSG00000026568	no IRE
ENSMUSG00000021506	5
ENSMUSG00000067261	no IRE
ENSMUSG00000050296	no IRE
ENSMUSG00000051065	no IRE
ENSMUSG00000002602	no IRE
ENSMUSG00000020053	no IRE
ENSMUSG00000035299	no IRE
ENSMUSG00000000266	no IRE
ENSMUSG00000027852	3
ENSMUSG00000040249	no IRE
ENSMUSG00000079415	no IRE
ENSMUSG00000062646	no IRE
ENSMUSG00000047777	no IRE
ENSMUSG00000037315	no IRE
ENSMUSG00000028487	no IRE
ENSMUSG00000058076	no IRE
ENSMUSG00000020387	no IRE
ENSMUSG00000030201	no IRE
ENSMUSG00000054814	no IRE
ENSMUSG00000028613	no IRE
ENSMUSG00000024640	no IRE
ENSMUSG00000020611	no IRE
ENSMUSG00000022353	no IRE
ENSMUSG00000022995	3
ENSMUSG00000027236	no IRE
ENSMUSG00000043424	no IRE
ENSMUSG00000021413	3
ENSMUSG00000001741	3
ENSMUSG00000022935	no IRE
ENSMUSG00000023025	5
ENSMUSG00000001985	3
ENSMUSG00000021253	no IRE
ENSMUSG00000025237	no IRE
ENSMUSG00000019803	no IRE
ENSMUSG00000016529	no IRE
ENSMUSG00000004371	no IRE
ENSMUSG00000020091	no IRE
ENSMUSG00000016664	no IRE
ENSMUSG00000022336	no IRE
ENSMUSG00000031189	5
ENSMUSG00000000838	no IRE
ENSMUSG00000035268	no IRE
ENSMUSG00000045095	3
